Plant_Species,Salmonella Typhimurium,Reference
Abies balsamea,0,DOI:10.3390/f10111042
Abies borisii-regis,0,
Abies nordmannia,0,
Abies semenovii,0,
Achillea ligustica,0,
Achillea millefolium,0,DOI:10.3390/medicines4020030
Aegle marmelos,1,DOI:10.3389/fvets.2023.1188752
Aeollanthus suaveolens,0,
Agathosma betulina,0,
Agathosma rosmarinifolia,0,
Allium cepa,1,DOI:10.3390/molecules191220034
Allium sativum,1,DOI:10.3390/molecules191220034
Allium tuberosum,0,DOI:10.3390/molecules191220034
Aloysia triphylla,0,DOI:10.3390/molecules24050900
Alpinia katsumadai,0,
Amorpha fruticosa,0,
Anethum graveolens,1,DOI:10.5281/zenodo.159101
Angelica archangelica,0,
Anthoxanthum odoratum,0,
Armoracia lapathifolia,1,DOI:10.1007/s10722-013-0010-4
Artemisia alba,0,
Artemisia chamaemelifolia,1,DOI:10.1590/S0102-695X2013000600002
Artemisia scoparia,1,DOI:10.1177/1934578X20915034
Astronium urundeuva,0,
Atractylodes lancea,0,
Averrhoa bilimbi,1,DOI:10.4103/0975-7406.199342
Brassica juncea,1,DOI:10.1111/1750-3841.12052
Brassica oleraceae,1,DOI:10.4315/0362-028X-69.9.2274
Bupleurum linearifolium,0,
Bursera delpechiana,1,DOI:10.21010/ajtcam.v14i3.8
Calyptranthes sintenisii,0,
Cananga odorata,1,DOI:10.3390/antibiotics10101191
Carum carvi,1,DOI:10.1080/13880200802055917
Catharanthus roseus,0,
Chaerophyllum macrospermum,0,
Cichorium intybus,1,DOI:10.1186/s12941-020-00371-1
Cinnamomum angustifolium,1,DOI:10.3390/antibiotics12020254
Cinnamomum camphora,1,DOI:10.1111/lam.13610. Epub 2021 Dec 1.
Cinnamomum cassia,1,DOI:10.3389/fvets.2023.1188752
Cinnamomum zeylanicum,1,10.1007/s10068-017-0241-9
Citrus aurantifolia,1,DOI:10.3390/ijms19071966
Citrus aurantium,0,
Citrus bergamia,1,DOI:10.3390/foods12010203
Citrus japonica,1,DOI:10.3390/molecules26113412
Citrus maxima,1,DOI:10.3390/coatings12101492
Citrus medica,1,10.1016/j.lwt.2017.05.036
Citrus paradisi,1,DOi:10.1111/j.1365-2621.2011.02640.x
Citrus reticulata,0,DOI:10.3390/molecules26113412
Citrus sinensis,0,DOI:10.3390/molecules26113412
Coleus aromaticus,1,DOI:10.1155/2012/457150
Coriandrum sativum,0,DOI:10.1016/j.foodcont.2005.11.009
Coridothymus capitatus,1,DOI:10.1111/j.1600-0463.2005.apm1130101.x
Corydothymus capitatus,1,DOI:10.1016/j.foodcont.2005.11.009
Croton zambesicus,0,
Cuminum cyminum,1,DOI:10.22037/afb.v1i1.7134
Cupressocyparis leylandii,0,
Curcuma longa,1,DOI:10.3389/fvets.2023.1188752
Cymbopogon citratus,0,DOI:10.3390/molecules24050900
Cymbopogon distans,0,
Cymbopogon martini,1,DOI:10.3390/antibiotics10101191
Cymbopogon nardus,0,DOI:10.1016/j.foodcont.2005.11.009
Cymbopogon winterianus,1,DOI:10.1080/13880200802055917
Daucus carota,0,DOI:10.1155/2016/9045196
Dracocephalum moldavica,1,DOI:10.3390/plants11070941
Elaeagnus angustifolia,1,DOI:10.3390/molecules25092021
Elletaria cardamomum,1,DOI:10.3389/fmicb.2021.620227
Elsholtzia blanda,0,
Eruca sativa,1,DOI:10.1590/1413-7054201943006819
Eucalyptus camaldulensis,1,DOI:10.5812/jjnpp.65050
Eucalyptus globulus,1,DOI:10.3390/coatings12101492
Eugenia caryophyllus,1,DOI:10.1016/j.foodcont.2005.11.009
Ferula galbaniflua,0,
Fissitigma shangtzeense,0,
Foeniculum vulgare,1,DOI:10.1186/s12941-020-00371-1
Gardenia jasminoides,0,
Guerea macrophylla,0,
Helichrysum amorginum,0,
Hibiscus abelmoschus,0,
Homalomena aromatica,0,
Illicium verum,0,DOI:10.2174/1874944501508010030
Iris florentina,0,
Jasminum azoricum,1,DOI:10.3390/plants10061089
Jasminum sambac,0,DOI:DOI:10.3390/coatings12101492
Kaempferia galanga,0,10.1002/fsn3.116
Larix decidua,0,
Laurus nobilis,1,DOI:10.3390/foods5020028
Lavandula angustifolia,1,DOI:10.3390/coatings12101492
Lavandula latifolia,0,
Lavandula x hybrida,0,
Lawsonia inermis,1,DOI:10.1080/14786419.2019.1569006
Lepechinia urbanii,0,
Levisticum officinale,1,DOI:10.3389/fvets.2023.1188752
Lippia alba,1,DOI:10.3390/antibiotics10101191
Lippia citriodora,0,DOI:10.3390/molecules23010123
Lippia graveolens,1,DOI:10.3390/pathogens12101245
Lithraea ternifolia,0,
Litsea cubeba,1,DOI:10.1080/14786419.2018.1557177
Litsea zeylanica,0,
Lonicera japonica,1,DOI:10.1155/2015/905063
Majorana hortensis,1,DOI:10.1155/2016/3694901
Mangifera indica,0,DOI:10.1007/s13197-020-04816-5
Melaleuca alternifolia,0,DOI:10.1177/1934578X19878904
Melicocca bijuga,0,
Mentha arvensis,0,DOI:10.3390/foods12213938
Mentha citrata,1,DOI:10.1016/j.indcrop.2016.07.005
Mentha piperita,0,DOI:10.3390/molecules24050900
Mentha spicata,0,DOI:10.1155/2015/916305
Mentha viridis,1,DOI:10.1155/2022/7990508
Mimusops elengi,1,DOI:10.3389/fvets.2023.1188752
Monarda didyma,0,
Monarda fistulosa,0,
Narcissus jonquilla,0,
Nelumbo nucifera,1,DOI:10.3923/ijp.2009.98.100
Neolitsea australiensis,0,
Neolitsea brassii,0,
Nigella sativa,0,DOI:10.1016/0378-8741(91)90047-h
Ocimum basilicum,1,10.1016/j.foodchem.2021.129940
Ocimum gratissimum,1,DOI:10.1016/j.micpath.2018.03.041
Oliveria decumbens,1,DOI:10.21203/rs.3.rs-3164788/v1
Origanum glandulosum,1,DOI:10.1016/j.foodchem.2007.05.050
Origanum onites,1,DOI:10.1016/j.foodcont.2009.07.016
Origanum syriacum,1,DOI:10.4103/japtr.japtr_106_21
Origanum vulgare,1,DOI:10.1111/j.1600-0463.2005.apm1130101.x
Osmanthus fragrans,0,
Pectis elongata,0,
Pelargonium citronellum,0,
Pelargonium sidoides,1,DOI:10.3389/fvets.2023.1188752
Perilla acuta,0,
Perilla frutescens,0,
Petroselinum crispum,1,DOI:10.3389/fvets.2023.1188752
Peucedanum petiolare,0,
Peucedanum zenkeri,0,
Picea engelmanni,0,
Pimenta dioica,1,DOI:10.1016/j.foodcont.2005.11.009
Pimenta racemosa,1,DOI:10.5897/JMPR2017.6435
Pimpinella saxifraga,1,DOI:10.1016/j.foodchem.2019.02.103
Pinus halepensis,0,DOI:10.1016/s2222-1808(14)60323-6
Pinus mugo,0,
Pinus nigra,0,DOI:10.1504/ijewm.2013.055590
Pinus pinaster,0,DOI:10.1504/ijewm.2013.055590
Pinus sibirica,0,
Pinus sylvestris,0,DOI:10.1504/ijewm.2013.055590
Piper betle,1,DOI:10.12982/VIS.2022.042
Piper nigrum,1,DOI:10.3389/fvets.2023.1188752
Platonia insignis,0,
Psidium guajava,0,DOI:10.1155/2013/746165
Rheum palmatum,1,10.25141/2471-7371-2015-1.0001
Rosa damascena,1,DOI:10.3389/fvets.2023.1188752
Rosa rugosa,0,
Rosmarinus officinalis,1,DOI:10.1016/J.LWT.2017.05.075
Salvia lavandulaefolia,1,DOI:10.1007/s13197-017-2905-0
Salvia officinalis,1,DOI:10.1016/j.meatsci.2011.11.026
Salvia sclarea,0,DOI:10.1002/fsn3.116
Satureja hortensis,1,DOI:10.1016/j.foodcont.2005.11.009
Satureja montana,1,DOI:10.1016/j.foodcont.2005.11.009
Satureja thymbra,1,DOI:10.1080/14786410310001608145
Saturiea hortensis,1,DOI:10.22037/afb.v1i1.7134
Spartium junceum,0,DOI:10.1186/s12941-020-00371-1
Tagetes lucida,1,DOI:10.3390/antibiotics10101191
Tamarindus indica,1,DOI:10.4103/0973-1296.66944
Terminalia bentzoe,0,
Thymus mastichina,1,DOI:10.1111/j.1600-0463.2005.apm1130101.x
Thymus mongolicus,1,DOI:10.3390/molecules26020307
Thymus quinquecostatus,1,DOI:10.1007/BF02973874
Thymus riatarum,1,DOI:10.3390/medicines3030019
Thymus richardii,1,DOI:10.3390/molecules28124803
Thymus satureoides,1,DOI:10.1016/j.foodcont.2005.11.009
Thymus serpyllum,1,DOI:10.1016/j.foodcont.2005.11.009
Thymus vulgaris,1,DOI:10.1016/j.foodcont.2005.11.009
Thymus zygis,1,DOI:10.1111/j.1600-0463.2005.apm1130101.x
Trifolium pratense,0,DOI:10.3390/molecules19010713
Trifolium repens,0,
Valeriana officinalis,1,DOI:10.3390/coatings12101492
Viburnum orientale,0,
Vitis vinifera,0,
Zanthoxylum armatum,0,
Zataria multiflora,1,DOI:10.1016/j.foodres.2008.07.018
