Compound,RI,Tea tree,Lavender,Bergamot,Peppermint
alpha-Thujene,924.9,0.86,0.16,–,0.83
alpha-Pinene,930.3,2.57,–,0.15,1.15
Camphene,944.5,–,0.13,–,–
beta-Pinene,972.9,0.70,–,0.78,–
Sabinene,973.2,–,0.14,–,0.51
Myrcene,992.5,0.75,0.19,0.37,–
alpha-Phellandrene,1003.7,0.33,0.26,–,–
n.i.,1011.1,–,–,–,0.17
alpha-Terpinene,1015.5,7.84,0.75,–,–
p-Cymene,1024.4,5.15,0.21,1.03,0.19
beta-Phellandrene,1027.4,1.54,–,–,–
Limonene,1028.4,–,–,6.67,–
"1,8-Cineole",1028.6,3.15,1.88,–,1.71
Sylvestrene,1029.0,–,0.67,–,–
gamma-Terpinene,1058.1,19.47,0.15,1.39,0.13
Artemisia ketone,1063.8,–,0.21,–,0.34
cis-Sabinene hydrate,1070.2,–,0.10,–,0.87
trans-Sabinene hydrate,1102.0,–,–,–,0.11
cis-Linalool oxide,1073.2,–,0.65,0.26,–
Terpinolene,1087.7,3.21,–,–,–
trans-Linalool oxide,1089.8,–,0.61,0.23,–
Linalool,1105.0,–,35.68,22.93,0.38
1-Octen-3-yl acetate,1116.5,–,0.66,–,–
n.i.,1121.3,–,–,–,0.08
Camphor,1141.8,0.64,–,–,–
Menthofuran,1162.8,–,–,–,7.16
Menthol,1166.8,–,–,–,3.39
Borneol,1167.4,1.75,–,–,–
Isomenthol,1176.6,–,–,–,49.30
Terpinen-4-ol,1178.5,44.72,3.94,0.49,–
Neoisomenthol,1184.6,–,–,–,0.99
alpha-Terpineol,1194.6,3.11,0.44,0.33,–
Hexyl isovalerate,1245.1,–,0.32,–,–
Pulegone,1240.9,–,–,–,1.57
Ascaridole,1241.0,–,–,0.24,–
Linalool acetate,1258.6,0.24,42.25,57.51,–
n.i.,1258.7,–,–,0.33,–
Piperitone,1259.6,–,–,–,0.29
n.i.,1264.6,0.41,–,–,–
Neomenthyl acetate,1276.8,–,–,–,0.23
Lavandulyl acetate,1294.8,–,1.72,–,–
Menthyl acetate,1295.4,–,–,–,5.63
Isomenthyl acetate,1309.4,–,–,–,0.17
Hexyl tiglate,1337.9,–,0.17,–,–
n.i.,1348.2,–,0.20,–,–
n.i.,1356.4,–,0.28,–,–
n.i.,1362.2,–,0.34,–,–
Terpinyl acetate,1351.6,–,–,0.71,–
Neryl acetate,1369.3,–,0.52,1.87,–
beta-Bourbonene,1381.6,–,–,–,0.29
Geranyl acetate,1388.6,–,0.85,0.72,–
n.i.,1405.2,–,–,0.62,–
Sesquithujene,1405.7,–,0.12,–,–
alpha-Gurjunene,1406.3,0.32,–,–,–
trans-Caryophyllene,1416.4,0.35,0.91,0.47,1.79
alpha-trans-Bergamotene,1434.6,–,–,0.39,–
Aromadendrene,1435.5,1.25,–,–,–
alpha-Humulene,1451.3,0.50,0.13,–,–
Alloaromadendrene,1458.2,0.30,–,–,–
trans-beta-Farnesene,1459.1,–,0.04,–,–
"trans-Cadina-1(6),4-diene",1472.4,1.31,–,–,–
"cis-Muurola-4(14),5-diene",1479.8,–,0.11,–,–
Germacrene D,1479.8,–,–,–,1.00
Valencene,1493.2,1.51,–,–,–
beta-Bisabolene,1510.7,–,–,2.08,–
Lavandulyl isovalerate,1512.6,–,0.42,–,–
gamma-Cadinene,1513.2,–,0.21,–,–
delta-Cadinene,1523.1,0.44,–,–,–
"trans-Cadina-1,4-diene",1531.9,0.39,–,–,–
Caryophyllene oxide,1580.9,–,1.31,–,–
Sum of identified,–,100.00,98.30,98.64,99.72
