Bit_name,Structure,SMILES,Chemical_name,Correlation_Coefficient
Bit_875,ccc,CC(=O)C1=C(C=C(C=C1)OC)O,2-Hydroxy-4-methoxy-acetophenone,0.4545754721974469
Bit_1607,cc(c)O,CC(=O)C1=C(C=C(C=C1)OC)O,2-Hydroxy-4-methoxy-acetophenone,0.4450478995009884
Bit_1750,ccc,COc1ccc(\C=C\C)cc1,(E)-Anethole,0.4334900189513166
Bit_1602,cO,CC(=O)C1=C(C=C(C=C1)OC)O,2-Hydroxy-4-methoxy-acetophenone,0.4228431221617966
Bit_1602,CO,CC(C)C1CCC(C)=C(O)C1=O,Diosphenol,0.4228431221617966
Bit_1365,cc(c)C,CC(C)c1ccc(C)c(O)c1,Carvacrol,0.3485174753060874
Bit_1853,cccc(c)C,CC(C)c1ccc(C)c(O)c1,Carvacrol,0.3485174753060874
Bit_1930,ccc(cc)C(C)C,CC(C)c1ccc(C)c(O)c1,Carvacrol,0.3445662036907694
Bit_1930,CC(=O)CC(C)C,CC(CC(=O)C=C(C)C)C1CC=C(C)C=C1,alpha-Turmerone,0.3445662036907694
Bit_741,ccc(O)c(c)C,CC(C)c1ccc(C)c(O)c1,Carvacrol,0.3337325828875461
Bit_1309,CC,[C@]12([C@@H](CC[C@H]([C@@]2(CCC(=C1)C)O)C)C(C)C)[H],Cubenol,-0.189118651062558
Bit_1574,CCC=C(C)C,CC(CCC=C(C)C)CC=O,(-)-Citronellal,-0.2097076816446464
Bit_1574,C=C(C)C,CC1CCC(=C(C1=O)O)C(C)C,Isodiosphenol,-0.2097076816446464
Bit_1574,CC[C@H]1CCC1(C)C,O=C1[C@H]([C@]2(C([C@](C2)(C1)[H])(C)C)[H])C,Isopinocamphone,-0.2097076816446464
Bit_383,C[C@@H]1C[C@H](C)C1(C)C,CC1=CC[C@@H]2C[C@H]1C2(C)C,alpha-Pinene,-0.3260273247839167
Bit_383,CC1CC(C)C1(C)C,CC1(C)C2CC1C(=C)CC2,beta-Pinene,-0.3260273247839167
Bit_1950,CC(C)C,CC1=CCC[C@]2(C)CC[C@H](CC12)C(C)(C)O,alpha-Eudesmol,-0.3375886836934361
Bit_171,C=C(C)C,[H][C@@]12C3C(C)=CC[C@]1([H])[C@]3(C)CC[C@H]2C(C)C,alpha-Copaene,-0.3418724019823638
Bit_549,CC(C)(C)C,C\C1=C\CC\C(C)=C/C2C(CC1)C2(C)C,Bicyclogermacrene,-0.4134251191745194
