,"Aframomum melegueta - Aframomum melegueta (Roscoe) K. Schum., fam. Zingiberaceae","Alpinia chinensis root (Vietnam) - Alpinia chinensis Rosc., fam. Zingiberaceae","Argyranthemum adauctum ssp. adauctum - Argyranthemum adauctum ssp.adauctum Humphries, fam.Asteraceae (Compositae)","Artemisia verlotiorum (Italy) - Artemisia verlotiorum Lamotte, fam. Asteraceae (Compositae)","Baccharis coridifolia - Baccharis coridifolia De Candole, fam. Asteraceae (Compositae)","Canella winterana (Cuba) 2 - Canella winterana (L.) Gaertn., fam. Canellaceae","Curcuma pierreana (Vietnam), 1b stem - Curcuma pierreana Gagnep., fam. Zingiberaceae","Curcuma pierreana (Vietnam), 1c leaf - Curcuma pierreana Gagnep., fam. Zingiberaceae","Lemon balm (Germany) - Melissa officinalis L., fam. Lamiaceae (Labiatae)","Melittis melissophyllum - Melittis melissophylum L., ssp. albida Guss, fam. Lamiaceae (Labiatae)","Micromeria graeca (Greece) - Micromeria graeca (L.) Bentham et Reichenb., fam. Lamiaceae (Labiatae)","Mullilam leaf (India) - Zanthoxylum rhetsa D.C. syn. Z. limonella (Dennst.) Alston, fam. Rutaceae","Myrceugenia miersiana (Brazil) - Myrceugenia miersiana (Gardner) D. Legrand et Kausel, fam. Myrtaceae","Myrceugenia myrcioides (Brazil) - Myrceugenia myrcioides (Cambess.) O. Berg, fam. Myrtaceae","Nepeta betonicifolia (Turkey) - Nepeta betonicifolia C.A. Meyer, fam. Lamiaceae (Labiatae)","Nepeta cataria (Argentina) - Nepeta cataria L., fam. Lamiaceae (Labiatae)","Nepeta cilicia - Nepeta cilicia Boiss., fam. Lamiaceae (Labiatae)","Pelargonium sidoides - Pelargonium sidoides DC., fam. Geraniaceae","Pinus sylvestris (Greece) - Pinus sylvestris L. (Scotch pine), fam. Pinaceae","Psidium myrsinoides (Brazil) - Psidium myrsinoides O. Berg, fam. Myrtaceae","Satureja wiedemanniana - Satureja wiedemanniana (Lallem.) Velen, fam. Lamiaceae (Labiatae)","Yarrow (Cuba) - Achillea millefolium L., fam. Asteraceae (Compositae)","Yarrow (Poland) - Achillea millefolium L., fam. Asteraceae (Compositae)"
"Aframomum melegueta - Aframomum melegueta (Roscoe) K. Schum., fam. Zingiberaceae",1.0,0.3944802900789969,0.3665606179079153,0.27941491016051134,0.20965580835137332,0.3564341263666394,0.32721038111439893,0.32284366811357557,0.3633532150527903,0.3469968008985428,0.34826867175292586,0.40409571727254,0.28055813889399295,0.23815991668599845,0.3436311323744451,0.0,0.323607898273372,0.39097734310693877,0.26019400299102313,0.45693474913173626,0.342435446758652,0.40875959481384827,0.3704002221788426
"Alpinia chinensis root (Vietnam) - Alpinia chinensis Rosc., fam. Zingiberaceae",0.3944802900789969,1.0,0.6067062539927381,0.49452211324267636,0.39679858368429377,0.49160802678132975,0.5374303841432515,0.5486015494359187,0.6167856997734751,0.598225722891506,0.5633035396314691,0.6566110979170002,0.4949398323517995,0.41827459383633725,0.47743427143588935,0.12199687943948012,0.45332523841130523,0.6610591512079744,0.44988194879505605,0.5775871785422529,0.6189151520078243,0.626988407038719,0.6283240807798297
"Argyranthemum adauctum ssp. adauctum - Argyranthemum adauctum ssp.adauctum Humphries, fam.Asteraceae (Compositae)",0.3665606179079153,0.6067062539927381,1.0,0.5874665575449101,0.417507847331814,0.5233505955547899,0.5719674122265141,0.6049129646449776,0.69049566490506,0.6600266401281735,0.6528483177713231,0.7027145469928426,0.5379057475898625,0.4589690359316866,0.5168303234716081,0.13913605456962674,0.46540407774438397,0.7365238381790589,0.4899426617923226,0.5663134759739981,0.6734882286913877,0.7074065838865188,0.7233745737071027
"Artemisia verlotiorum (Italy) - Artemisia verlotiorum Lamotte, fam. Asteraceae (Compositae)",0.27941491016051134,0.49452211324267636,0.5874665575449101,1.0,0.327102621428528,0.5094926275206179,0.468782833312806,0.5101319811815421,0.5402973764453045,0.5314916605403108,0.512934625599274,0.5646995307474814,0.42296608711568795,0.4059453991493136,0.5320727508676599,0.0875011571583052,0.4545697556028929,0.5731933497198441,0.4010620062362129,0.4728485589256981,0.6035010390675521,0.684101844248368,0.5458743982677583
"Baccharis coridifolia - Baccharis coridifolia De Candole, fam. Asteraceae (Compositae)",0.20965580835137332,0.39679858368429377,0.417507847331814,0.327102621428528,1.0,0.3157935365138729,0.38670078626966387,0.39026373037220685,0.42131222261945034,0.41209010689444536,0.38768343374371017,0.4703260470101509,0.39309879999860886,0.33431817604073266,0.3170924900478731,0.024206857958472994,0.3040243568241878,0.45471143551267323,0.3020069102360583,0.4152561946798907,0.44937610564866814,0.42297140129928157,0.44449077016957295
"Canella winterana (Cuba) 2 - Canella winterana (L.) Gaertn., fam. Canellaceae",0.3564341263666394,0.49160802678132975,0.5233505955547899,0.5094926275206179,0.3157935365138729,1.0,0.41407572336493725,0.41924947440829896,0.5470350109988755,0.497333443487775,0.520676934226721,0.577606593021361,0.3946194039357148,0.30757668007600714,0.7162696926395049,0.1184458183775835,0.6925789737207633,0.5794425352331487,0.38517230272814307,0.6021586450966081,0.47384996083673303,0.6293798316272279,0.4870882779589495
"Curcuma pierreana (Vietnam), 1b stem - Curcuma pierreana Gagnep., fam. Zingiberaceae",0.32721038111439893,0.5374303841432515,0.5719674122265141,0.468782833312806,0.38670078626966387,0.41407572336493725,1.0,0.8166401886425485,0.5727470485391104,0.5705559691806699,0.5251193224963506,0.6213695233672123,0.46904121543641364,0.40124473056455034,0.39113947954709183,0.09828983053496121,0.3889928639516296,0.6097906127032926,0.40694071360729445,0.5555845140536146,0.5812721938762873,0.5750212157445094,0.6162031868653908
"Curcuma pierreana (Vietnam), 1c leaf - Curcuma pierreana Gagnep., fam. Zingiberaceae",0.32284366811357557,0.5486015494359187,0.6049129646449776,0.5101319811815421,0.39026373037220674,0.41924947440829896,0.8166401886425485,1.0,0.5883127090842679,0.5998354905413277,0.5355003518753125,0.6320748982153856,0.48089903710620174,0.41117221610441357,0.39923159045811973,0.10328436401033059,0.39222892425391664,0.6261498554839505,0.4188054341556028,0.5520194804638183,0.5982648904001658,0.5896907816650623,0.6429291625563514
"Lemon balm (Germany) - Melissa officinalis L., fam. Lamiaceae (Labiatae)",0.3633532150527903,0.6167856997734751,0.69049566490506,0.5402973764453045,0.42131222261945045,0.5470350109988755,0.5727470485391104,0.5883127090842679,1.0,0.6892164455178542,0.6552573520504167,0.7133298207791906,0.5473206990160948,0.4636321141154027,0.5227668307052604,0.14409611341972073,0.46313774060749213,0.7586564816545015,0.49848580715121404,0.5734506088272544,0.6545804537334717,0.6977467769236954,0.6803295995801546
"Melittis melissophyllum - Melittis melissophylum L., ssp. albida Guss, fam. Lamiaceae (Labiatae)",0.3469968008985428,0.598225722891506,0.6600266401281735,0.5314916605403108,0.41209010689444525,0.497333443487775,0.5705559691806699,0.5998354905413277,0.6892164455178542,1.0,0.60112765350319,0.6893766605991107,0.5308827988938039,0.4519648363241021,0.4896719576090225,0.1322691201054339,0.44078833711314946,0.7293960757427991,0.4796297566617804,0.5586113078049622,0.6396100676804752,0.6671106022883405,0.6723781752287704
