,Limonene,beta-Pinene,alpha-Pinene,Bornyl acetate,Camphene,para-Cymene,alpha-Muurolene,beta-Caryophyllene,beta-Selinene,delta-Cadinene,Tricyclene,Myrcene,alpha-Humulene,Terpinolene,beta-Phellandrene,alpha-Terpinyl acetate,delta-3-Carene,alpha-Terpinene,Sabinene,alpha-Terpineol,Linalool,alpha-Phellandrene,alpha-Fenchol,Terpinen-4-ol,gamma-Terpinene,Camphor,beta-Bisabolene,alpha-Bisabolene,Geraniol,Geranyl acetate,Citronellol,Nerol,(-)-Isopulegol,Citronellal,"1,8-Cineole",p-Cymen-8-ol,cis-Sabinene hydrate,trans-Sabinene hydrate,Caryophyllene oxide,trans-Pinocarveol,Myrtenol,trans-Carveol,Germacrene D,Neryl acetate,Nerolidol (unknown isomer),4-Thujanol,delta-Elemene,(Z)-beta-Farnesene,beta-Elemene,(E)-Nerolidol,(E)-beta-Ocimene,(Z)-beta-Ocimene,alpha-Thujene,Carvone,cis-Carveol,alpha-Selinene,Nonanal,"trans-p-Mentha-2,8-dien-1-ol",Octanal,trans-alpha-Bergamotene,(E)-beta-Farnesene,Linalyl acetate,Bisabolene (unknown isomer),cis-Linalool oxide (5) (furanoid),alpha-Bisabolol,trans-Linalool oxide (5) (furanoid),Decanal,Undecanal,Perilla aldehyde,Geranial,cis-gamma-Bisabolene,Neral,6-Methyl-5-hepten-2-one,(Z)-3-Hexenol,Methyl geranate,Citronellyl acetate,alpha-Bergamotene,Dodecane,Pentadecane,cis-Linalool oxide (unknown isomer),1-Hexanol,(E)-2-Hexenol,Bicyclogermacrene,1-Octanol,Methyl cinnamate,3-Octanol,Decyl acetate,Nonyl acetate,Hexyl acetate,Bergamotene (unknown isomer),1-Decanol,Acoradiene (unknown structure),cis-alpha-Bergamotene,beta-Sesquiphellandrene,Farnesene (unknown isomer),"3,7-Dimethylocta-1,5-diene-3,7-diol","3,7-Dimethylocta-1,7-dien-3,6-diol","cis-Limonene-1,2-epoxide","trans-Limonene-1,2-epoxide",Epoxy-linalyl acetate (isomer 1),Epoxy-linalyl acetate (isomer 2),Hotrienol,1-Nonanol,"alpha,p-Dimethylstyrene",Alloocimene (unknown isomer),1-Pentanol,2-Pentanol,"cis-p-Mentha-2,8-dien-1-ol","p-2,8-Menthadienol-1",beta-Santalene,Sesquiterpene hydrocarbons (unknown),Esters (unknown structure),Linalyl propionate,Pulegone,gamma-Heptalactone,Lavandulol,Citronellyl formate,Geranyl formate,Butyl acetate,"1,4-Cineole",dihydro-Linalool,Nootkatone,Dodecanal,Octyl acetate,Germacrene B,(E)-2-Decenal,(Z)-Nerolidol,"(E,E)-alpha-Farnesene",Isopulegol,Heptyl acetate,Verbenol (unknown isomer),Campherenol,Tetradecanal,cis-Sabinene hydrate acetate,1-Dodecanol,Tetradecanol,beta-Ocimene,"2,3-Dimethyl-3-(4-methyl-3-pentenyl)-2-norbornanol",epi-beta-Santalene,delta-Muurolene,trans-8-Hydroxylinalool,trans-Sabinene hydrate acetate,Linalyl formate,Solanone
"Bergamot (China) 1 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.4251,0.0482,0.0084,0.0,0.0003,0.0156,0.0,0.0011,0.0,0.0,0.0,0.0143,0.0001,0.0014,0.0,0.0003,0.0204,0.0,0.0078,0.0254,0.1789,0.0001,0.0001,0.0016,0.0135,0.0,0.0002,0.0,0.0567,0.0131,0.0001,0.0052,0.0001,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0088,0.0001,0.0006,0.0,0.0,0.0,0.0,0.0027,0.0,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.1137,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0048,0.0,0.0036,0.0002,0.0001,0.0005,0.0015,0.0002,0.0003,0.0021,0.0007,0.0001,0.0,0.0,0.0,0.0011,0.0,0.0002,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0004,0.0002,0.0002,0.0002,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bergamot (China) 3 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.4188,0.0435,0.0094,0.0,0.0021,0.001,0.0,0.0039,0.0,0.0,0.0,0.0134,0.0,0.0018,0.0,0.0022,0.0,0.0,0.0088,0.0011,0.0756,0.0002,0.0,0.0003,0.0525,0.0,0.0077,0.0,0.002,0.0058,0.0006,0.0014,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0002,0.0,0.0045,0.3115,0.0,0.0,0.0,0.0,0.0012,0.0007,0.0,0.0006,0.0,0.0007,0.0001,0.0,0.0,0.0011,0.0004,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0017,0.0,0.0005,0.0003,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bergamot (China) 4 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.3542,0.029,0.0052,0.0,0.0001,0.0011,0.0,0.0053,0.0,0.0,0.0,0.0095,0.0,0.0016,0.0,0.0019,0.0,0.0,0.0058,0.0007,0.1738,0.001,0.0,0.0005,0.048,0.0,0.0095,0.0,0.0015,0.0077,0.0005,0.0009,0.0,0.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0011,0.0,0.0057,0.3115,0.0,0.0,0.0,0.0,0.0008,0.0008,0.0,0.0014,0.0,0.0004,0.0001,0.0,0.0,0.0013,0.0015,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0019,0.0,0.0005,0.0005,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bergamot (China) 6 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.4251,0.0482,0.0084,0.0,0.0003,0.0156,0.0,0.0011,0.0,0.0,0.0,0.0143,0.0,0.0014,0.0,0.0003,0.0204,0.0,0.0078,0.0254,0.1789,0.0,0.0001,0.0016,0.0135,0.0,0.0002,0.0,0.0567,0.0131,0.0,0.0052,0.0,0.0002,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.1137,0.0,0.0007,0.0,0.0,0.0008,0.0,0.0,0.0048,0.0,0.0036,0.0002,0.0001,0.0005,0.0015,0.0002,0.0003,0.0021,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0002,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0002,0.0002,0.0002,0.0,0.0,0.0007,0.0,0.0,0.0011,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bergamot (France, Corsica) - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.2838,0.0751,0.0156,0.0,0.0003,0.0023,0.0,0.0,0.0,0.0,0.0,0.0077,0.0,0.0017,0.0,0.0,0.0,0.0,0.0126,0.0011,0.1894,0.0007,0.0,0.0021,0.069,0.0,0.0,0.0,0.0002,0.0019,0.0,0.0009,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,0.2948,0.0056,0.0,0.0,0.0,0.0008,0.0,0.0,0.0058,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bergamot (Italy) 1 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.3835,0.0577,0.0138,0.0001,0.0001,0.0054,0.0001,0.0027,0.0001,0.0001,0.0,0.0204,0.0001,0.0036,0.0,0.001,0.0,0.0021,0.0126,0.0018,0.096,0.0,0.0,0.0001,0.0767,0.0,0.0046,0.0001,0.0001,0.0073,0.0001,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0062,0.0,0.0,0.0,0.0,0.0,0.0,0.0078,0.0023,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.0,0.0036,0.0,0.2688,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0031,0.0,0.0019,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0005,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bergamot (Italy) 2 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.33,0.0707,0.0151,0.0,0.0004,0.0034,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0017,0.0,0.0,0.0,0.0,0.0123,0.0008,0.1267,0.0004,0.0,0.0029,0.0763,0.0,0.0,0.0,0.0002,0.0026,0.0,0.0005,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.3271,0.006,0.0,0.0,0.0,0.0009,0.0,0.0,0.0035,0.0,0.0023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bergamot (Italy) 4 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.35,0.077,0.0129,0.0002,0.0004,0.0048,0.0,0.004,0.0,0.0,0.0001,0.0,0.0003,0.0034,0.005,0.002,0.0001,0.0018,0.0128,0.0006,0.11,0.0004,0.0,0.0003,0.0855,0.0001,0.0045,0.0,0.0001,0.005,0.0005,0.0001,0.0,0.0002,0.0001,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0007,0.004,0.0,0.0,0.0,0.0007,0.0001,0.002,0.0023,0.0004,0.0035,0.0,0.0,0.0,0.0004,0.0,0.0,0.0032,0.0,0.28,0.0,0.0001,0.0002,0.0001,0.0007,0.0001,0.0007,0.003,0.0001,0.0023,0.0001,0.0,0.0001,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0001,0.0003,0.0003,0.0001,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0003,0.0013,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.0009,0.0001,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0
"Bergamot (Italy) 6 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.3562,0.0893,0.0145,0.0,0.0003,0.0097,0.0,0.0021,0.0,0.0,0.0,0.0083,0.0001,0.0023,0.0019,0.0,0.0,0.001,0.0116,0.0016,0.0867,0.0003,0.0,0.0003,0.0653,0.0,0.0045,0.0,0.0011,0.0047,0.0001,0.0007,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,0.2912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047,0.0,0.0016,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,0.0001,0.0012,0.0001,0.0001,0.0001,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.001
"Bergamot (Italy, Calabria) 3 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.266,0.075,0.0169,0.0,0.0018,0.0105,0.0,0.001,0.0,0.0,0.0,0.01,0.0,0.0055,0.0,0.0,0.0012,0.0,0.01,0.0,0.181,0.0,0.0,0.007,0.0825,0.0,0.0067,0.0,0.0,0.006,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,0.0,0.0,0.0031,0.0,0.297,0.0,0.0,0.0,0.0,0.0055,0.0,0.0,0.0059,0.0,0.0055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
