,"Anise herb - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)","Fennel, bitter (Hungary) - Foeniculum vulgare Miller, var. vulgare DC, fam. Apiaceae (Umbelliferae)","Fennel, bitter (Lithuania) - Foeniculum vulgare Miller, var. vulgare Dc, fam. Apiaceae (Umbelliferae)","Fennel, bitter (Portugal) - Foeniculum vulgare Miller, var. vulgare DC, fam. Apiaceae (Umbelliferae)","Fennel, bitter (Spain) 3 - Foeniculum vulgare Miller, var. vulgare DC, fam. Apiaceae (Umbelliferae)","Fennel, bitter 1 - Foeniculum vulgare Miller, var. vulgare DC, fam. Apiaceae (Umbelliferae)","Fennel, bitter 3a, fruit headspace - Foeniculum vulgare Miller, var. vulgare DC, fam. Apiaceae (Umbelliferae)","Fennel, bitter 3b, fruit oil - Foeniculum vulgare Miller, var. vulgare DC, fam. Apiaceae (Umbelliferae)","Fennel, bitter, flower (Turkey) - Foeniculum vulgare Miller, var. vulgare DC, fam. Apiaceae (Umbelliferae)","Fennel, bitter, leaf (Turkey) - Foeniculum vulgare Miller, var. vulgare DC, fam. Apiaceae (Umbelliferae)","Fennel, bitter, stem (Turkey) - Foeniculum vulgare Miller, var. vulgare DC, fam. Apiaceae (Umbelliferae)","Fennel, bitter, umbel flower (Turkey) - Foeniculum vulgare Miller, var. vulgare DC, fam. Apiaceae (Umbelliferae)","Fennel, pepper (Portugal) - Foeniculum vulgare Miller, ssp. piperitum, fam. Apiaceae (Umbelliferae)","Fennel, sweet 2 - Foeniculum vulgare Miller, var. dulce DC, fam. Apiaceae (Umbelliferae)","Fennel, sweet 4 - Foeniculum vulgare Miller, var. dulce DC, fam. Apiaceae (Umbelliferae)","Heracleum persicum (Iran) 1b leaf b - Heracleum persicum L., fam. Apiaceae (Umbelliferae)","Heracleum persicum (Iran) 1c flower - Heracleum persicum L., fam. Apiaceae (Umbelliferae)","Hypericum olympicum (Yugoslavia) - Hypericum olympicum L., fam. Guttiferae (Hyperiaceae)","Tagetes lucida - Tagetes lucida Cav. ssp. lucida, fam. Asteraceae (Compositae)"
"Anise herb - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)",1.0,0.44630231641203855,0.4188521058506405,0.4053424496273256,0.3921982488161079,0.40293742770237306,0.20138854083183444,0.33870928329419503,0.3655301673732957,0.34889875030547346,0.4801501121853613,0.41586030884303715,0.4012648083332503,0.3464877027619311,0.2494795042992134,0.4473500889766616,0.4759293342946346,0.5717995771969149,0.30294534188325417
"Fennel, bitter (Hungary) - Foeniculum vulgare Miller, var. vulgare DC, fam. Apiaceae (Umbelliferae)",0.44630231641203855,1.0,0.8604872759978359,0.5327752849423008,0.5124668997559405,0.6952538032271571,0.35776906702322775,0.7146403243811178,0.7280946632724394,0.478305290508936,0.6568528602230757,0.7522854183529637,0.7205333911928762,0.7145203158613478,0.5222616959780779,0.5593722639489351,0.5304303654485485,0.5065911038355244,0.23452873132872332
"Fennel, bitter (Lithuania) - Foeniculum vulgare Miller, var. vulgare Dc, fam. Apiaceae (Umbelliferae)",0.4188521058506405,0.8604872759978359,1.0,0.48195787948578994,0.46370256983163805,0.6805850893864561,0.2992746847918355,0.7633866213482458,0.7478393045456697,0.4051322977084053,0.5924505337542025,0.7394663524514329,0.7470069041401521,0.7739749577192485,0.54526383596843,0.5620613408340124,0.4980887209430225,0.47700101908236425,0.20829028447516162
"Fennel, bitter (Portugal) - Foeniculum vulgare Miller, var. vulgare DC, fam. Apiaceae (Umbelliferae)",0.4053424496273256,0.5327752849423008,0.48195787948578994,1.0,0.8427847256433656,0.6485366069621936,0.5199530794812657,0.4216407171795533,0.334348553979796,0.4583153106386171,0.5402738095483948,0.40135322307368904,0.5501372035756041,0.35318365288193876,0.2402589871835018,0.33772563923242005,0.3820018897411489,0.4423257015973089,0.4224912060609909
"Fennel, bitter (Spain) 3 - Foeniculum vulgare Miller, var. vulgare DC, fam. Apiaceae (Umbelliferae)",0.3921982488161079,0.5124668997559405,0.46370256983163805,0.8427847256433656,1.0,0.6956349046101801,0.5215849260339985,0.3760028388826565,0.30282935025044355,0.5159063440781361,0.5441875001890453,0.38723011326348855,0.474779060594829,0.3328427476750998,0.23639012559510797,0.308752221105532,0.3674212002486422,0.42977832904404145,0.346775241390762
"Fennel, bitter 1 - Foeniculum vulgare Miller, var. vulgare DC, fam. Apiaceae (Umbelliferae)",0.40293742770237306,0.6952538032271571,0.6805850893864561,0.6485366069621936,0.6956349046101801,1.0,0.51558460731742,0.5856859244604251,0.4609488050192966,0.4431981571638841,0.5560058843850166,0.513929221275847,0.5971296498209665,0.5432315149144054,0.4175995982106504,0.4113519007977837,0.43956899771684566,0.4545040151099804,0.2217773327051753
"Fennel, bitter 3a, fruit headspace - Foeniculum vulgare Miller, var. vulgare DC, fam. Apiaceae (Umbelliferae)",0.20138854083183444,0.35776906702322775,0.2992746847918355,0.5199530794812657,0.5215849260339985,0.51558460731742,1.0,0.3599360539454378,0.13625644978185658,0.2280192539468595,0.2894747687193552,0.18348873773713903,0.3486749768502847,0.1324543908568775,0.0,0.12793445188821806,0.17014421568018268,0.23385858327451636,0.08646454857191233
"Fennel, bitter 3b, fruit oil - Foeniculum vulgare Miller, var. vulgare DC, fam. Apiaceae (Umbelliferae)",0.33870928329419503,0.7146403243811178,0.7633866213482458,0.4216407171795533,0.3760028388826565,0.5856859244604251,0.3599360539454378,1.0,0.6555480155193439,0.277120327849522,0.4710393915906116,0.6115555898516811,0.779290688924418,0.5938180401195741,0.35755260448477,0.4880159584888555,0.4065312873295909,0.39191033204218007,0.15290616799739565
"Fennel, bitter, flower (Turkey) - Foeniculum vulgare Miller, var. vulgare DC, fam. Apiaceae (Umbelliferae)",0.3655301673732957,0.7280946632724394,0.7478393045456697,0.334348553979796,0.30282935025044355,0.4609488050192966,0.13625644978185658,0.6555480155193439,1.0,0.4070621739670096,0.588061440116136,0.8688613554079171,0.6529589606682877,0.6621969098984056,0.44023746336769665,0.5669154147240671,0.47538835703994753,0.4214009726985902,0.15890677499838346
"Fennel, bitter, leaf (Turkey) - Foeniculum vulgare Miller, var. vulgare DC, fam. Apiaceae (Umbelliferae)",0.34889875030547346,0.478305290508936,0.4051322977084053,0.4583153106386171,0.5159063440781361,0.4431981571638841,0.2280192539468595,0.277120327849522,0.4070621739670096,1.0,0.679999511293151,0.5343436072257672,0.34559293974341365,0.27912988531855765,0.16964123649884444,0.32291026659838995,0.35110550898404647,0.3879136999938412,0.1949046333231106
