,"Cornmint (Mentha arvensis) (Brazil) 2 - Mentha arvensis (L.) var. piperascens Malinv., fam. Lamiaceae (Labiatae)","Cornmint (Mentha arvensis) (Bulgaria) - Mentha arvensis (L.) var. piperascens Malinv., fam. Lamiaceae (Labiatae)","Cornmint (Mentha arvensis) (China) 2 - Mentha arvensis (L.) var. piperascens Malinv., fam. Lamiaceae (Labiatae)","Cornmint (Mentha arvensis) (India) 1 - Mentha arvensis (L.) var. piperascens Malinv., fam. Lamiaceae (Labiatae)","Cornmint (Mentha arvensis) (India) 2 - Mentha arvensis (L.) var. piperascens Malinv., fam. Lamiaceae (Labiatae)","Cornmint (Mentha arvensis) (India) 3 Shivalik - Mentha arvensis (L.) var. piperascens Malinv., fam. Lamiaceae (Labiatae)","Cornmint (Mentha arvensis) (India) 4a - Mentha arvensis (L.) var. piperascens Malinv., fam. Lamiacea (Labiatae)","Cornmint (Mentha arvensis) (India) 4b Gomti - Mentha arvensis (L). var. piperascens Malinv., fam. Lamiaceae (Labiatae)","Cornmint (Mentha arvensis) (Italy) 1 - Mentha arvensis (L.) var. piperascens Malinv., fam. Lamiaceae (Labiatae)","Cornmint (Mentha arvensis) (Italy) 2 - Mentha arvensis (L.) var. piperascens Malinv., fam. Lamiaceae (Labiatae)","Cornmint (Mentha arvensis) (Japan) 2 - Mentha arvensis (L.) var. piperascens Malinv., fam. Lamiaceae (Labiatae)","Cornmint (Mentha arvensis) - Mentha arvensis (L.) var. piperascens Malinv., fam. Lamiaceae (Labiatae)","Cornmint (Mentha arvensis) Japan 3 - Mentha arvensis (L.) var. piperascens Malinv., fam. Lamiaceae (Labiatae)","Cornmint (Mentha arvensis) Yugoslavia - Mentha arvensis (L.) var. piperascens Malinv., fam. Lamiaceae (Labiatae)","Mentha haplocalyx (China) - Mentha haplocalyx Briq., fam. Lamiaceae (Labiatae)","Mentha x verticillata (chemotype I) - Mentha x verticillata L. (Chemotype I), fam. Lamiaceae (Labiatae)","Mentha x verticillata (chemotype II) - Mentha x verticillata L. (Chemotype II), fam. Lamiaceae (Labiatae)","Mentha x verticillata (chemotype III) - Mentha x verticillata L. (Chemotype III), fam. Lamiaceae (Labiatae)","Peppermint (India) 1 - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (India) 2 - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (Japan) 1 - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (Vietnam) 1a - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (Vietnam) 1b - Mentha piperita L., fam. Lamiaceae (Labiatae)"
"Cornmint (Mentha arvensis) (Brazil) 2 - Mentha arvensis (L.) var. piperascens Malinv., fam. Lamiaceae (Labiatae)",1.0,0.6000903617729823,0.7980109882232771,0.7119005384580073,0.665187698572068,0.6512523888572854,0.6411690635298758,0.5388755516960297,0.7110877582693689,0.7832610387227161,0.41151459171084037,0.6925102250592048,0.7582797647384903,0.5688898558245785,0.6089684262239969,0.7765715653032114,0.376694180528544,0.26818225503342874,0.6773346802714546,0.6421783420583481,0.6301118569995551,0.4703387569393943,0.7025181379471722
"Cornmint (Mentha arvensis) (Bulgaria) - Mentha arvensis (L.) var. piperascens Malinv., fam. Lamiaceae (Labiatae)",0.6000903617729823,1.0,0.5159013274043244,0.5947508186257362,0.4410015329662037,0.4875019637788961,0.46229653846699137,0.3951253355282719,0.7002525072785952,0.6215390116679969,0.2537284804581045,0.5203976192813381,0.5765125170119505,0.47753980311314415,0.4336962812709786,0.5794342292034269,0.4590750516233536,0.3280386695082885,0.6407859064480129,0.6443770033298731,0.6387783738577401,0.32760374075196097,0.6271572945855864
"Cornmint (Mentha arvensis) (China) 2 - Mentha arvensis (L.) var. piperascens Malinv., fam. Lamiaceae (Labiatae)",0.7980109882232771,0.5159013274043244,1.0,0.7458994858815915,0.8387606743101403,0.7758794414907904,0.8070326171210229,0.7027590114472385,0.5769300328777212,0.6827735604530814,0.5966877329055396,0.8175059369559068,0.8391284662617948,0.6442666357112304,0.7696498680744077,0.8205709747811223,0.293042905704857,0.2015660790204319,0.6050077354218846,0.5257499543047139,0.529922795530449,0.6504295504538125,0.7048064427167391
"Cornmint (Mentha arvensis) (India) 1 - Mentha arvensis (L.) var. piperascens Malinv., fam. Lamiaceae (Labiatae)",0.7119005384580073,0.5947508186257362,0.7458994858815915,1.0,0.7009864017070842,0.7787017046395701,0.7407129673742503,0.6885809327459369,0.6756902541494474,0.7161701384258263,0.5447475365341654,0.8309599694326308,0.8234099403424556,0.6791015441812736,0.7274771906205927,0.8213822752571347,0.46549118874179907,0.35216025475874513,0.7026074266789772,0.6549577193330183,0.633948712124818,0.611477757583801,0.8077326522782562
"Cornmint (Mentha arvensis) (India) 2 - Mentha arvensis (L.) var. piperascens Malinv., fam. Lamiaceae (Labiatae)",0.665187698572068,0.4410015329662037,0.8387606743101403,0.7009864017070842,1.0,0.7884237617473211,0.826350792020311,0.8000917800659564,0.4758911198057787,0.5464262574898113,0.6826319068242427,0.7907151151699254,0.7527612883998934,0.6829399805974601,0.764978972268103,0.7076358364038902,0.2745292436829241,0.17025365483489607,0.5486963884916394,0.44437349969028717,0.46742087673299193,0.7656523495431913,0.6774307516569517
"Cornmint (Mentha arvensis) (India) 3 Shivalik - Mentha arvensis (L.) var. piperascens Malinv., fam. Lamiaceae (Labiatae)",0.6512523888572854,0.4875019637788961,0.7758794414907904,0.7787017046395701,0.7884237617473211,1.0,0.868859531395394,0.8396668507319501,0.5442667167302597,0.6024531185401938,0.6579616167508537,0.8475975640830185,0.815797620824313,0.652798858614086,0.7805666610875956,0.7759471647484837,0.34976462346613835,0.18845195338126275,0.6147417602255454,0.5317298661892511,0.5241922667469969,0.7391160004907837,0.7092481576280083
"Cornmint (Mentha arvensis) (India) 4a - Mentha arvensis (L.) var. piperascens Malinv., fam. Lamiacea (Labiatae)",0.6411690635298758,0.46229653846699137,0.8070326171210229,0.7407129673742503,0.826350792020311,0.868859531395394,1.0,0.8409105492181291,0.5122278072345556,0.5985543407503725,0.7040357814524544,0.8790005367099062,0.825093418670555,0.6953288646331084,0.8233844725087741,0.7809433175341645,0.28211442060843495,0.1819976455394624,0.5798855996937597,0.46929842674448485,0.4886463323317186,0.7885082322149608,0.6962443063719516
"Cornmint (Mentha arvensis) (India) 4b Gomti - Mentha arvensis (L). var. piperascens Malinv., fam. Lamiaceae (Labiatae)",0.5388755516960297,0.3951253355282719,0.7027590114472385,0.6885809327459369,0.8000917800659564,0.8396668507319501,0.8409105492181291,1.0,0.419181045148286,0.47983245730283863,0.7627352452374759,0.7785365464756692,0.7201464479609916,0.6549921268476753,0.7789180478431749,0.6639839573377964,0.2724416878971605,0.13002559835174787,0.5140565941115278,0.41552037917734386,0.4241272603028998,0.8657893974612785,0.641331449155914
"Cornmint (Mentha arvensis) (Italy) 1 - Mentha arvensis (L.) var. piperascens Malinv., fam. Lamiaceae (Labiatae)",0.7110877582693689,0.7002525072785952,0.5769300328777208,0.6756902541494474,0.47589111980577903,0.5442667167302602,0.5122278072345561,0.4191810451482858,1.0,0.7666198411836097,0.2597765910363674,0.5845656626438263,0.6373863374506168,0.5324364578849032,0.4610626065365442,0.6670920769746342,0.5572560494587318,0.42540099034002565,0.773791564586781,0.7807856822471031,0.7838861837264597,0.34408757060440776,0.7102337517113296
"Cornmint (Mentha arvensis) (Italy) 2 - Mentha arvensis (L.) var. piperascens Malinv., fam. Lamiaceae (Labiatae)",0.7832610387227161,0.6215390116679969,0.6827735604530808,0.7161701384258263,0.5464262574898116,0.6024531185401933,0.5985543407503731,0.4798324573028384,0.7666198411836097,1.0,0.37060492009652835,0.6785575768959601,0.748112283564224,0.5274686679696452,0.5914546571243714,0.8063828302977172,0.3707718779268887,0.31206716052239114,0.6647982630805667,0.6632601072493901,0.6293852283188339,0.4118989381159561,0.6703146738746303
