,"Annual wormwood (Mongolia) - Artemisia annua L., fam. Asteraceae (Compositae)","Coleus aromaticus (Mauritius) - Coleus aromaticus Benth. (wild oregano), fam. Lamiaceae (Labiatae)","Coleus aromaticus (Pakistan) 1 - Coleus aromaticus Benth. (wild oregano), fam. Lamiaceae (Labiatae)","Majorana syriaca (Israel) 2 - Majorana syriaca L., fam. Lamiaceae (Labiatae)","Marjoram, sweet 4a historical solvent extract - Majorana hortensis Moench, Origanum majorana L., fam. Lamiaceae (Labiatae)","Oregano, greek (Chile) - Origanum vulgare L., fam. Lamiaceae (Labiatae)","Oregano, greek (Greece) 6 - Origanum vulgare L., fam. Lamiaceae (Labiatae)","Oregano, greek (Italy) 3 - Origanum vulgare L., fam. Lamiaceae (Labiatae)","Oregano, greek (Turkey) 2 - Origanum vulgare L. ssp. hirtum (Link) Ietsw., fam. Lamiaceae (Labiatae)","Oregano, mexican (Mexico) 1 - Lippia graveolens HBK., fam. Verbenaceae","Oregano, spanish (Israel) 2 - Coridothymus capitatus Rchb. (Thymus capitatus Hoffm. et Link.), Lamiaceae","Oregano, spanish (Israel) 4 - Coridothymus capitatus Rchb. (Thymus capitatus Hoffm. et Link.), Lamiaceae","Oregano, spanish (Italy) 1 - Coridothymus capitatus Rchb. (Thymus capitatus Hoffm. et Link.), Lamiaceae","Origanum glandulosum (Algeria) - Origanum glandulosum Desf., fam. Lamiaceae (Labiatae)","Origanum syriacum (Turkey) 2 - Origanum syriacum L. var. bevanii (Holmes) Ietswaart, fam. Lamiaceae","Satureja cuneifolia (Turkey) - Satureja cuneifolia Ten. (S. pisidica Wettst.), fam. Lamiaceae (Labiatae)","Savory, winter (Croatia) 2 - Satureja montana L., fam. Lamiaceae (Labiatae)","Savory, winter (France) - Satureja montana L., fam. Lamiaceae (Labiatae)","Savory, winter (Italy) 2 - Saturaja montana L., fam. Lamiaceae (Labiatae)","Savory, winter (Italy) 3 - Satureja montana L., fam. Lamiaceae (Labiatae)","Savory, winter (Italy) 4 - Satureja montana L., fam. Lamiaceae (Labiatae)","Savory, winter (Spain) - Satureja montana L., fam. Lamiaceae (Labiatae)","Thyme (Cuba) - Thymus vulgaris L., fam. Lamiaceae (Labiatae)","Thyme (Italy) 8 - Thymus vulgaris L., fam. Lamiaceae (Labiatae)","Thyme 8 - Thymus vulgaris L., fam. Lamiaceae (Labiatae)","Thyme red (Portugal) 3b - Thymus zygis L, ssp. zygis, fam. Lamiaceae (Labiatae)","Thymus mongolicus (China) 1 - Thymus mongolicus Ronn., fam. Lamiaceae (Labiatae)","Thymus persicus (Iran) 1a before flowering - Thymus persicus (Ronniger ex Rech.f.) Jalas, fam. Lamiaceae (Labiatae)","Thymus persicus (Iran) 1b flowering stage - Thymus persicus (Ronniger ex Rech.f.) Jalas, fam. Lamiaceae (Labiatae)","Thymus pubescens (Iran) 1 - Thymus pubescens Boiss. et Kotschy ex Celak, fam. Lamiaceae (Labiatae)","Thymus quinquecostatus 2 - Thymus quinquecostatus var. prazewalskii, fam. Lamiaceae (Labiatae)","Thymus riatarum - Thymus riatarum Humbert et Maire, fam. Lamiaceae (Labiatae)","Thymus serpyllum (Hungary) 1a - Thymus serpyllum L., fam. Lamiaceae (Labiatae)","Thymus serpyllum (Hungary) 1b - Thymus serpyllum L., fam. Lamiaceae (Labiatae)","Zataria multiflora (Iran) 3 - Zataria multiflora Boiss., fam. Lamiaceae (Labiatae)"
"Annual wormwood (Mongolia) - Artemisia annua L., fam. Asteraceae (Compositae)",1.0,0.0,0.28004493305972533,0.3396223620779124,0.022024355331012102,0.0029949284820264266,0.6506887026922421,0.47948181083540964,0.5498488668381589,0.20512781133939706,0.3495233380646964,0.7365999371781952,0.47422163108160753,0.5639813719469102,0.6061863397691604,0.17266109732171497,0.09697977542992087,0.29737143345798644,0.13770862137154327,0.22117958845137942,0.1672693467561096,0.31652412747745085,0.6735828793773828,0.1424031701765902,0.14941596709774518,0.14855694067487402,0.24498310516984567,0.28872978332911803,0.3551936539405087,0.4415971370561158,0.19793884011358065,0.13860798222324455,0.3974861680083023,0.40506912797204364,0.22805345449290526
"Coleus aromaticus (Mauritius) - Coleus aromaticus Benth. (wild oregano), fam. Lamiaceae (Labiatae)",0.0,1.0,0.17044244123596852,0.14084583434237807,0.029787103784205682,0.0076238205867481534,0.053909877796859074,0.11774841671450464,0.15835688482618204,0.01626092944539337,0.21856194860038813,0.11598969933644365,0.18932604674910747,0.12663617854840847,0.11678450873293578,0.1865073983338842,0.06351157084863635,0.36518190717877064,0.11466752958766202,0.23364419496391287,0.15142623066569072,0.2340798007738205,0.10901255067748539,0.034020234887212064,0.05278910986704066,0.1675134209352369,0.22681627840919527,0.19360159811615996,0.14051542622503876,0.1910019348558003,0.16775895523455242,0.10775276810256074,0.23151506746697814,0.2496547055732663,0.1871311320842204
"Coleus aromaticus (Pakistan) 1 - Coleus aromaticus Benth. (wild oregano), fam. Lamiaceae (Labiatae)",0.28004493305972533,0.17044244123596852,1.0,0.43145264099763514,0.20630836786641915,0.2065599761336252,0.3687428202344518,0.4272536693720148,0.4889335375812013,0.24691234899541936,0.5057054467519422,0.44931752273086556,0.49549625725056745,0.44960545587670186,0.45012923236442925,0.4423996202812315,0.26988766827602906,0.29193845707684396,0.3475246035189241,0.48845370965794743,0.37484872838800887,0.5015805800027887,0.4402044674178297,0.26484398333348125,0.2782633812627455,0.40438477915027016,0.4730138307620907,0.4669399706896368,0.4141902080442871,0.5011126915939355,0.36380554102664553,0.34037847668645893,0.5254937757624754,0.5590243234911393,0.45422644746954777
"Majorana syriaca (Israel) 2 - Majorana syriaca L., fam. Lamiaceae (Labiatae)",0.3396223620779124,0.14084583434237807,0.43145264099763514,1.0,0.4067463015190239,0.5876816791918404,0.6413683009205686,0.6452711338001871,0.7392001014980816,0.5241991456408295,0.8022195978262605,0.5515474253210113,0.5857309497355847,0.7622259189144244,0.6573584755972497,0.7177365649587204,0.4694790866609857,0.4082995999822313,0.7034550445773131,0.6662240527899546,0.6226177231031307,0.6450646367341961,0.6114655122297651,0.6540228133208623,0.6258205648665781,0.7520288591762148,0.5825803721358007,0.5741550199938447,0.5680671466180041,0.6647779764965187,0.5389172653524157,0.5668205336105001,0.6085328431753847,0.5530422939032857,0.6782598704037515
"Marjoram, sweet 4a historical solvent extract - Majorana hortensis Moench, Origanum majorana L., fam. Lamiaceae (Labiatae)",0.022024355331012102,0.029787103784205682,0.20630836786641915,0.4067463015190239,1.0,0.5199110995440395,0.2133047706509582,0.3733415417281043,0.31423153866570086,0.5058876315876223,0.41209111821452993,0.1858696394583329,0.18535670806222104,0.30498477445435634,0.1926621544586381,0.35283187695268237,0.5430431856404232,0.3639477647329401,0.5262228661091188,0.5372606142666466,0.3723480558883896,0.4687638755185749,0.18483222417511125,0.5329757166035721,0.6136049783882467,0.42068656064637755,0.29417680922289313,0.32876589454904726,0.43273474024302583,0.29824974224235057,0.4450293069250403,0.55416272455089,0.3538448095728377,0.37720842967474455,0.4416556252846312
"Oregano, greek (Chile) - Origanum vulgare L., fam. Lamiaceae (Labiatae)",0.0029949284820264266,0.0076238205867481534,0.2065599761336252,0.5876816791918404,0.5199110995440395,1.0,0.2956356963638954,0.407671090686603,0.3768022575197547,0.5545998563362127,0.499039997659774,0.19535925710427426,0.23418246991517566,0.39395456381326466,0.2691815432298683,0.5161412414778432,0.5630689937915945,0.30581039707248636,0.7387178908588761,0.5770851225575868,0.5266797680603725,0.46846925062554945,0.23208318958561547,0.7652779136819512,0.756221148725668,0.618200397496145,0.36083252067795324,0.36635808213040255,0.41730757889095393,0.35704601302035033,0.4753162346071952,0.6012594523108369,0.34834344369454695,0.32595776570138413,0.5407954950777971
"Oregano, greek (Greece) 6 - Origanum vulgare L., fam. Lamiaceae (Labiatae)",0.6506887026922421,0.053909877796859074,0.3687428202344518,0.6413683009205684,0.2133047706509582,0.2956356963638954,1.0,0.6338602690595598,0.7644726631166152,0.4086485852875573,0.5745022747855851,0.7755962034566951,0.6068469177312495,0.8475803054741261,0.775978498722165,0.4279268777110312,0.2910663846064644,0.36345385686276543,0.41945619391505173,0.4262736090352346,0.4184675598346076,0.49010442065172544,0.8060236319133974,0.41942270173292584,0.40097512577212,0.4227493338995598,0.4298062733652439,0.44506856973315656,0.4749898277808404,0.6353417279933247,0.3548364103384425,0.33857679489809367,0.5324274766057613,0.4896334020546611,0.45025055905095634
"Oregano, greek (Italy) 3 - Origanum vulgare L., fam. Lamiaceae (Labiatae)",0.47948181083540964,0.11774841671450464,0.4272536693720148,0.6452711338001871,0.3733415417281043,0.407671090686603,0.63386026905956,1.0,0.7251558980459948,0.498558948935954,0.6691499969905268,0.644019833831352,0.49066070195183364,0.7107271822799659,0.6730333705353448,0.4614861938892475,0.4637040624629356,0.5431384510286655,0.48940974909463586,0.5887175796145728,0.3835168430090211,0.5722459683186492,0.6647542960871013,0.5139638901635168,0.5609636585663603,0.4900620844015412,0.4003577567356098,0.5326799232836066,0.6620164966462805,0.5273128880686055,0.5972147342116028,0.5755767583412383,0.5677764381728767,0.6293793450620695,0.5598854277327556
"Oregano, greek (Turkey) 2 - Origanum vulgare L. ssp. hirtum (Link) Ietsw., fam. Lamiaceae (Labiatae)",0.5498488668381591,0.15835688482618204,0.4889335375812013,0.7392001014980816,0.31423153866570086,0.3768022575197547,0.7644726631166154,0.7251558980459948,1.0,0.4481614654418171,0.7404840740790464,0.7609696320448388,0.6841256834704248,0.8641759268755632,0.8269071202614661,0.5743124416872647,0.3817304199736329,0.4408194360162314,0.5149514953346388,0.5868809683067892,0.5019895148339084,0.6244025167614953,0.8062911236827898,0.48018341601885606,0.47713133758130355,0.5608939698672373,0.549885329138568,0.5834744923905075,0.5956837137725173,0.7029482052808727,0.49755973221421546,0.471686921143314,0.6626927683896364,0.6466279884408089,0.5897598924236084
"Oregano, mexican (Mexico) 1 - Lippia graveolens HBK., fam. Verbenaceae",0.20512781133939706,0.01626092944539337,0.24691234899541936,0.5241991456408295,0.5058876315876223,0.5545998563362127,0.4086485852875573,0.498558948935954,0.4481614654418171,1.0,0.45953992074830974,0.3366502232990346,0.2798143471701573,0.465373619295561,0.3316329528942924,0.3799007159615959,0.5741213561413895,0.4165020331322177,0.5949834908968632,0.5395400779798163,0.43023206473429665,0.5044631546276074,0.3297564991899091,0.6903198899163555,0.694036033266674,0.44042859643482424,0.35810906206375537,0.3878279839913573,0.5147298405920416,0.41188000949585946,0.48099092948254984,0.5375477485136018,0.3975713706211549,0.41304216119727544,0.4890365780167445
"Oregano, spanish (Israel) 2 - Coridothymus capitatus Rchb. (Thymus capitatus Hoffm. et Link.), Lamiaceae",0.3495233380646964,0.21856194860038813,0.5057054467519422,0.8022195978262605,0.41209111821452993,0.499039997659774,0.5745022747855851,0.6691499969905268,0.7404840740790464,0.45953992074830974,1.0,0.578935724978324,0.6481697725892522,0.714333210316549,0.6677182529549376,0.7299255965065925,0.4439444766292564,0.4406703913476373,0.6242226843316565,0.7362569380021442,0.5887747151681009,0.7061607551532365,0.6223571753371975,0.5488451181776997,0.5698419193416089,0.7433450595527458,0.6275255088982948,0.6403993857859593,0.6131781474385131,0.6724561487223577,0.5781311689095816,0.5805417208249579,0.7013683485453115,0.6673820869776846,0.6973952398600355
"Oregano, spanish (Israel) 4 - Coridothymus capitatus Rchb. (Thymus capitatus Hoffm. et Link.), Lamiaceae",0.7365999371781952,0.11598969933644365,0.44931752273086556,0.5515474253210113,0.1858696394583329,0.19535925710427426,0.7755962034566951,0.644019833831352,0.7609696320448388,0.3366502232990346,0.578935724978324,1.0,0.6729805650651146,0.7626418546807163,0.794451206558074,0.40220166280273795,0.26308620362682766,0.38295637625838685,0.3424887713074003,0.44416866744264083,0.3705453845692085,0.5217139157401418,0.8587291236954726,0.3171267975466844,0.32241219983444036,0.3746263836696153,0.45620448845212747,0.4873953173016171,0.4988827271995855,0.6503621080935607,0.3627046594120057,0.32336446781266803,0.5994498768640665,0.5994229089737617,0.44183337711958837
"Oregano, spanish (Italy) 1 - Coridothymus capitatus Rchb. (Thymus capitatus Hoffm. et Link.), Lamiaceae",0.47422163108160753,0.18932604674910747,0.49549625725056745,0.5857309497355849,0.18535670806222104,0.23418246991517566,0.6068469177312495,0.49066070195183364,0.684125683470425,0.2798143471701573,0.6481697725892522,0.6729805650651146,1.0,0.6747190218841109,0.6713062746383098,0.5707349054093931,0.24522532786825368,0.27639585244585574,0.4164276697489885,0.5140505253256767,0.5384695856530652,0.584244834354866,0.6743196741232277,0.3088032775689433,0.30146390407555923,0.5154915057802321,0.6706000135272099,0.5454446999640573,0.4280747976424091,0.777212821880976,0.3164446168830699,0.30350048521496853,0.7126581011910293,0.6117160770578591,0.5138251475538262
"Origanum glandulosum (Algeria) - Origanum glandulosum Desf., fam. Lamiaceae (Labiatae)",0.5639813719469102,0.12663617854840847,0.44960545587670186,0.7622259189144244,0.30498477445435634,0.39395456381326466,0.8475803054741261,0.7107271822799659,0.8641759268755632,0.465373619295561,0.714333210316549,0.7626418546807163,0.6747190218841109,1.0,0.8199170280040209,0.5576899355550796,0.3799509264551717,0.4228436342139591,0.5303762692819868,0.5567096504182876,0.5108798963314092,0.6006035869071646,0.8141038242964878,0.5066180959523222,0.49504790324392556,0.5583672816627092,0.5317784982195684,0.5490159495190986,0.5665237839285984,0.7080529219066349,0.4608638049784899,0.4514480515784295,0.6346766614810775,0.5914930416032251,0.5670612750974933
"Origanum syriacum (Turkey) 2 - Origanum syriacum L. var. bevanii (Holmes) Ietswaart, fam. Lamiaceae",0.6061863397691604,0.11678450873293578,0.45012923236442925,0.6573584755972497,0.1926621544586381,0.2691815432298683,0.775978498722165,0.6730333705353448,0.8269071202614664,0.3316329528942924,0.6677182529549376,0.794451206558074,0.6713062746383098,0.8199170280040209,1.0,0.49999527713203096,0.26391288457790296,0.37883569331607647,0.3967695252330452,0.4701366591196907,0.4020197274411659,0.518846407873117,0.8917506294903969,0.3676643307769645,0.36427761865288033,0.47446141457823987,0.46903970649527515,0.516084721632976,0.5127583899196514,0.6289533256104085,0.4236977101823264,0.37162756615388226,0.5843930213947821,0.5679903030486855,0.4921731617503917
"Satureja cuneifolia (Turkey) - Satureja cuneifolia Ten. (S. pisidica Wettst.), fam. Lamiaceae (Labiatae)",0.17266109732171497,0.1865073983338842,0.4423996202812315,0.7177365649587204,0.35283187695268237,0.5161412414778432,0.4279268777110312,0.4614861938892475,0.5743124416872647,0.3799007159615959,0.7299255965065925,0.40220166280273795,0.5707349054093931,0.5576899355550796,0.49999527713203096,1.0,0.4121186089395391,0.2946355036538104,0.6633532846343455,0.6793969677496544,0.6772731396429291,0.6488561972415792,0.4520748446704439,0.5252562272877928,0.4866031751172434,0.8304866735578837,0.7052831780648805,0.5840310674974964,0.4709569803402561,0.6248251096158102,0.48365595239487547,0.5126507463327671,0.6044715019932727,0.5322283670526892,0.6684537340729122
"Savory, winter (Croatia) 2 - Satureja montana L., fam. Lamiaceae (Labiatae)",0.09697977542992087,0.06351157084863635,0.26988766827602906,0.4694790866609857,0.5430431856404232,0.5630689937915945,0.2910663846064644,0.4637040624629356,0.3817304199736329,0.5741213561413895,0.4439444766292564,0.26308620362682766,0.24522532786825368,0.3799509264551717,0.26391288457790296,0.4121186089395391,1.0,0.4458195340632777,0.6040396704082783,0.5995578084102411,0.4300539347031067,0.5602975482983552,0.2543482965508327,0.6431373359527002,0.6474534721726906,0.4687818772639484,0.3818498364899853,0.471726770291485,0.5622563736331287,0.38344376880837694,0.5560788208727976,0.6698257639364895,0.41882316947096654,0.45323721586586274,0.5322818604643543
"Savory, winter (France) - Satureja montana L., fam. Lamiaceae (Labiatae)",0.29737143345798644,0.36518190717877064,0.29193845707684396,0.4082995999822313,0.3639477647329401,0.30581039707248636,0.36345385686276543,0.5431384510286655,0.4408194360162313,0.4165020331322177,0.4406703913476373,0.38295637625838685,0.27639585244585574,0.422843634213959,0.37883569331607636,0.2946355036538104,0.4458195340632777,1.0,0.36732614615278236,0.45790665010288145,0.2483899943203537,0.46251805778315935,0.3739664043535025,0.4068645425609,0.4570608864430018,0.3318010620599936,0.27072720322957566,0.37737136006704863,0.530979277083212,0.33561102235311624,0.5856355519573957,0.5064942802087343,0.39733539030233644,0.48207765663450064,0.4047818892555243
"Savory, winter (Italy) 2 - Saturaja montana L., fam. Lamiaceae (Labiatae)",0.13770862137154327,0.11466752958766202,0.3475246035189241,0.7034550445773131,0.5262228661091188,0.7387178908588761,0.41945619391505173,0.48940974909463586,0.5149514953346388,0.5949834908968632,0.6242226843316565,0.3424887713074003,0.4164276697489885,0.5303762692819868,0.3967695252330452,0.6633532846343455,0.6040396704082783,0.36732614615278236,1.0,0.711809901646644,0.6542180952648337,0.6340156406915283,0.3694722053550745,0.7782683619577099,0.7244495850281243,0.7490105863647454,0.552356281391592,0.5009188938457116,0.5064816899421227,0.5407687623090749,0.522876049921772,0.6271068621758074,0.5190352765785355,0.47926759947577136,0.6581681286210315
"Savory, winter (Italy) 3 - Satureja montana L., fam. Lamiaceae (Labiatae)",0.22117958845137942,0.23364419496391287,0.48845370965794743,0.6662240527899546,0.5372606142666466,0.5770851225575868,0.4262736090352346,0.5887175796145728,0.5868809683067892,0.5395400779798163,0.7362569380021442,0.44416866744264083,0.5140505253256767,0.5567096504182876,0.4701366591196907,0.6793969677496544,0.5995578084102411,0.45790665010288145,0.711809901646644,1.0,0.634463091445732,0.7769259915989926,0.4492930713214691,0.6096068241144352,0.6403673912555667,0.707585590896578,0.6365073014326161,0.6326042078019333,0.6233720319169869,0.6065389640331074,0.6172787985875032,0.689436707156253,0.6738820913506025,0.7010699735183006,0.736311236588902
"Savory, winter (Italy) 4 - Satureja montana L., fam. Lamiaceae (Labiatae)",0.1672693467561096,0.15142623066569072,0.37484872838800887,0.6226177231031305,0.3723480558883896,0.5266797680603725,0.4184675598346076,0.3835168430090211,0.5019895148339084,0.43023206473429665,0.5887747151681009,0.3705453845692085,0.5384695856530652,0.5108798963314092,0.4020197274411659,0.6772731396429291,0.4300539347031067,0.2483899943203537,0.6542180952648337,0.6344630914457319,1.0,0.6323293402503848,0.38584810939518,0.5141705098605986,0.4782900179280889,0.6545051899612554,0.7113378226500308,0.5078338736460264,0.4148472420163667,0.6564133427884906,0.34698992396807393,0.4273528059029973,0.5812668284781335,0.48099973895968107,0.6052638120599487
