,"Bergamot (Argentina) 1 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Argentina) 2 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (China) 1 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (China) 2 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (China) 3 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (China) 4 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (China) 5 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (China) 6 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (France, Corsica) - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy) 1 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy) 2 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy) 3 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy) 4 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy) 5a original oil - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy) 5b headspace of oil - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy) 6 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy) 7 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy, Calabria) 2 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy, Calabria) 3 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy, Calabria) 4 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy, Calabria) 5 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy, Calabria) 6 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy, Calabria) 8 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy, Sicily) 1a Castagnaro - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy, Sicily) 1b Fantastico - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy, Sicily) 1c Feminello - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy, Sicily) 1d PCF - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Italy, Tuscan) - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Ivory coast: Coci) - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Ivory coast: Diva) - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Japan) 1 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Japan) 2 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Turkey) 1 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Turkey) 2 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Turkey) 3a green fruit - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Turkey) 3b green/yellow fruit - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Turkey) 3c yellow fruit - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot (Uruguay) - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot 1a peel extract - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bergamot 1b peel hydrodistillate - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bitter orange flower headspace (China) - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae","Citrus lumia 1c Citron de Borneo - Citrus lumia Risso & Poit., cultivar Citron de Borneo, fam. Rutaceae","Lemon (France-Corsica) 1j Barum - Citrus limon (L.) Burm. f., cultivar Barum, fam. Rutaceae","Mentha citrata (Bergamot mint) (Japan) 1 - Mentha citrata Ehrh., fam. Lamiaceae (Labiatae)","Myrtle leaf (Greece) - Myrtus communis L., fam. Myrtaceae"
"Bergamot (Argentina) 1 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",1.0,0.7887706466093596,0.4761368203109554,0.6453472524630268,0.8997906542224453,0.7092486603187296,0.6139979769188078,0.4761132905900053,0.5773054830116211,0.8695798637248362,0.7284931047425618,0.7413966005318278,0.7911724562933722,0.374452941555931,0.640477220106584,0.8229195409271012,0.7011201257219658,0.6068469497819565,0.5508439271768465,0.8528943033539844,0.8609289448934713,0.8735196102420025,0.6895105611549508,0.6724412851498083,0.8490857527684473,0.7856570343122078,0.7671663910794123,0.6255861176014659,0.41268962673835996,0.5577922778969968,0.48618088411001814,0.39681562746727994,0.6229172845002234,0.46145301939373895,0.6974474414294674,0.7908852394169557,0.7756592930887317,0.860675743542049,0.8852072220592755,0.7826014480049382,0.46309780824010427,0.5329235253131339,0.586217013014148,0.29203274957153114,0.30859305693766526
"Bergamot (Argentina) 2 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.7887706466093596,1.0,0.558410162588914,0.6864789980804157,0.7790810529764379,0.7637917219042093,0.6550649691755903,0.5584065096333901,0.6055151820898663,0.7866093961254881,0.6892615761938944,0.715643707885806,0.7337951123715916,0.39880695166457136,0.6923466711632513,0.7233708873320793,0.649036946290076,0.6795289130680897,0.5590247028127189,0.7572414644816602,0.7595535026135407,0.7554326316441561,0.6527261398637512,0.5941256939159427,0.7195164967833991,0.7177947954322421,0.6360485742499533,0.5181770857998056,0.4871845962209459,0.6279055160784099,0.49214127503442906,0.3981549358675396,0.624843943332847,0.41712082510130544,0.7861453513473351,0.7901855987009021,0.6697975631081525,0.8941618593325446,0.7169652380873539,0.7746185466110351,0.4679400285525549,0.6723595274434762,0.7069774751461,0.3049316562638541,0.19258287563791077
"Bergamot (China) 1 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.4761368203109554,0.558410162588914,1.0,0.773431675147972,0.4171290754252802,0.44677857926104547,0.7537029357643875,0.989203224336229,0.38835121791446015,0.4987222500648568,0.3637638286702911,0.41665967147218874,0.45457634624407417,0.12675211304012735,0.3830284767313966,0.4290443679849616,0.576845405311175,0.6503275707905571,0.35203307884468105,0.45296986371289116,0.47333249058976923,0.45163754479819607,0.362468265503209,0.36952460654816843,0.37872637820377475,0.316409867738613,0.2600251501113491,0.3701981595942859,0.30782950159099076,0.36807031332396345,0.21383953154158464,0.16321772278071023,0.28333211180756734,0.1455411198858213,0.48727167158646345,0.42846877891037827,0.2946455690110753,0.5115773801600929,0.3890159852311945,0.6322518969167513,0.45414276399410003,0.4285702361287137,0.561116068430715,0.2670063924238948,0.04013176810029373
"Bergamot (China) 2 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.6453472524630268,0.6864789980804157,0.773431675147972,1.0,0.5832169567648781,0.5707069629852602,0.8881117183188698,0.7733705608235634,0.505204054256041,0.6840352529895725,0.5213354494910716,0.5521759528904324,0.6293180462849292,0.21948932825220402,0.48876339009213,0.601838944246611,0.7605602893579073,0.6934015890291936,0.47478108256826135,0.6383810431903094,0.6602391865473611,0.638151089829033,0.5179792188946563,0.5223305796802922,0.553186229000043,0.468421277287989,0.42790632429735787,0.5523613983769162,0.3770556199916436,0.4607785928816627,0.3126005057070542,0.2692480784732636,0.4080798807127888,0.27041593157523514,0.6033361188079691,0.5768276397816314,0.45813342730709583,0.6698657790201032,0.5692942999481023,0.8285486183570631,0.5205317040844186,0.48043146818931215,0.604310485537022,0.31307811270220953,0.16142943646788133
"Bergamot (China) 3 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.8997906542224453,0.7790810529764379,0.4171290754252802,0.5832169567648781,1.0,0.7067513344632913,0.560501443230272,0.4171051080350998,0.5514840652948615,0.833896022487802,0.7259867779654422,0.723771228031764,0.7598833476031288,0.3814248207666443,0.638641042166546,0.7941512126580668,0.652399472719284,0.5732175085734211,0.5258938532374856,0.8305332446354303,0.8417299171078144,0.8600608379915583,0.6749100370568744,0.6849925620154175,0.8911347389359119,0.8516031224442641,0.8325237608230037,0.5816490370929132,0.3949540875698906,0.5499920741642625,0.4869455266144621,0.3871486865235563,0.6407262826675852,0.4631666323697021,0.6867938844785606,0.7985645848227436,0.8237872413281745,0.8512499511506657,0.9049366851693672,0.7308594381583876,0.421232208547592,0.5330970867558853,0.5845655245439155,0.24562147188331773,0.28856042322768816
"Bergamot (China) 4 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.7092486603187296,0.7637917219042093,0.44677857926104547,0.5707069629852602,0.7067513344632913,1.0,0.49674229009519744,0.44675013662966645,0.7717375922182951,0.7433039252003477,0.8077362610772614,0.8467708953980947,0.7635416219362394,0.6140619292872374,0.8773754277834779,0.7260827639175296,0.5329799599217342,0.49685213051534083,0.7318197845875196,0.7109111407785198,0.6466184580360392,0.6674904847812028,0.7824242782799423,0.41901692732226525,0.6169026089812653,0.729712134519632,0.6157618524856101,0.5074447991495231,0.6759381530894031,0.8307636476838123,0.6895411468626829,0.6041938162889071,0.8206542485841625,0.6303414631374193,0.9346342267004328,0.8948105978595429,0.7260028843709183,0.7970321037782248,0.6647151133708569,0.6504826266601069,0.30223743705149597,0.7669753560735415,0.5193660611630933,0.4293621148457417,0.28696361601916553
"Bergamot (China) 5 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.6139979769188078,0.6550649691755903,0.7537029357643875,0.8881117183188698,0.560501443230272,0.49674229009519744,1.0,0.7536519046316326,0.4132624973500014,0.6376374410472878,0.45261494736019736,0.47718307295936857,0.5669125958931163,0.13066486841527958,0.41094831573908874,0.5483001277451616,0.7585007487895494,0.7314014414028642,0.38213282293732653,0.5994574148928908,0.6480217755417645,0.6174874711707083,0.44232342804748914,0.5734129572822037,0.5484157688662317,0.4332787594507478,0.4057288253485408,0.5109535677148591,0.2817324781900451,0.3748883626490571,0.22742655390944622,0.1747778529637215,0.3352069611296411,0.18261200352805396,0.5297077215383726,0.5155195170175334,0.4136744656776392,0.6290325829585699,0.5459732455650776,0.80037896009241,0.5483483753358114,0.41432125697593813,0.6358838665423565,0.2179610449585878,0.09722351171337862
"Bergamot (China) 6 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.4761132905900053,0.5584065096333899,0.989203224336229,0.7733705608235634,0.4171051080350998,0.44675013662966645,0.7536519046316326,1.0,0.3883484810771364,0.4984654218470981,0.363761484623345,0.41665794968021697,0.4545202673876373,0.12659636468635227,0.3828613149459681,0.42904708666582436,0.5757950681342859,0.6503240020939223,0.35202495278653334,0.45287812294544894,0.473239167973575,0.45154025550212207,0.36241503699293487,0.3695053451636262,0.3786912534453669,0.31638034900321776,0.2600021580725873,0.3701940518541127,0.3078269072473916,0.3680674716669443,0.2138107668946191,0.1632248155096011,0.2833066733631302,0.14555390768808296,0.4871849523272991,0.42839098061523817,0.29456872283791957,0.5115222343695737,0.389046223642605,0.6324541438038718,0.45353449995186945,0.4284524835242024,0.5609627647438418,0.2670046899810262,0.04010636980703908
"Bergamot (France, Corsica) - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.5773054830116211,0.6055151820898661,0.38835121791446015,0.505204054256041,0.5514840652948614,0.7717375922182951,0.4132624973500014,0.3883484810771364,1.0,0.6500694999689249,0.7907539967740758,0.7842413105160295,0.7360881128584519,0.6518824613588907,0.784243567577253,0.6862249496799671,0.4686122034255804,0.34749436099317466,0.9256298864386194,0.6399623661409743,0.5490246535480354,0.5715597233734937,0.827322255058208,0.2857263480878963,0.48789819544178026,0.5671933033220105,0.48861201671354637,0.552279066871334,0.7871828302846883,0.8206724080911516,0.7180791261751851,0.7497440262581567,0.7330755553785966,0.6776776314996928,0.7591865690794445,0.7221073847528472,0.5979724891802152,0.6480438264950807,0.5464562285203763,0.5535524460063503,0.27339318108951893,0.6297296382076063,0.3371814405931378,0.5422932036088264,0.3060676309676339
"Bergamot (Italy) 1 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",0.8695798637248362,0.7866093961254885,0.4987222500648568,0.6840352529895725,0.8338960224878026,0.7433039252003477,0.6376374410472878,0.4984654218470981,0.6500694999689249,1.0,0.7828967717882523,0.770889535805961,0.8789529949449281,0.40325150356049044,0.6646709986939172,0.8700624318544402,0.7504579810018703,0.5711248989345163,0.6298489292429565,0.9209092010688654,0.8779833011555354,0.8944449215095602,0.7570857972341121,0.6223479490807875,0.7948884156212934,0.7374487869008307,0.7114101915604462,0.6994380808398974,0.4714283995526207,0.5992623271636341,0.5065522762761274,0.44750146895340104,0.6365943143773534,0.4909057565632917,0.7380155740972665,0.8141602285290347,0.7502072189387015,0.8772873463690808,0.8454808512449729,0.8248247380627828,0.4597722219989657,0.5473252962258253,0.5489566966838294,0.3386597602003816,0.3099698062851278
