,Limonene,beta-Pinene,alpha-Pinene,Camphene,para-Cymene,Borneol,beta-Caryophyllene,Myrcene,Terpinolene,beta-Phellandrene,delta-3-Carene,alpha-Terpinene,Sabinene,alpha-Terpineol,Linalool,alpha-Phellandrene,Terpinen-4-ol,gamma-Terpinene,Camphor,Fenchyl acetate,beta-Bisabolene,alpha-Copaene,Carvacrol,Aromadendrene,"1,8-Cineole",Caryophyllene oxide,trans-Carveol,Eugenol,Germacrene D,Nerolidol (unknown isomer),Menthol,Isocaryophyllene,gamma-Elemene,beta-Elemene,Methyl chavicol,(E)-Anethole,(E)-beta-Ocimene,Anisaldehyde,(Z)-beta-Ocimene,Fenchone,alpha-Farnesene,Carvone,Elemol,Foeniculin,p-Methoxyphenylacetone,(Z)-Anethole,(E)-beta-Farnesene,Sesquiterpene hydrocarbons,2-(1-E-Propenyl)-5-methoxyphenyl 2-methylbutyrate,Anisalcohol,Isochavibetol,4-Methoxyacetophenone,Safrole,Anisic acid,Linalyl acetate,Isoborneol,gamma-Himachalene,Farnesol (unknown isomer),Sesquiterpene alcohols (unknown),ar-Curcumene,"cis-Limonene-1,2-epoxide","trans-Limonene-1,2-epoxide",Sesquiterpene hydrocarbons (unknown),Menthone,Myristicin,Methyl isoeugenol,alpha-Zingiberene,Monoterpene hydrocarbons (unknown),Geijerene,Pregeijerene,"2-(1,2-Epoxypropane)-5-methoxyphenyl 2-methylbutyrate",beta-Bergamotene,(E)-Cinnamyl aldehyde,o-Methoxy-3-phenylpropanol,Anisyl propionate,Anisyl butyrate,4-Isopropyltropolone,trans-Isoosmorhizol,Ionol
"Anise (Colombia) - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)",0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0222,0.9557,0.0,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0106,0.0019,0.0,0.0,0.0
"Anise (Egypt) - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)",0.0031,0.0,0.0,0.0,0.0003,0.0,0.0237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0495,0.8625,0.0,0.025,0.0,0.0,0.0,0.0148,0.0,0.0,0.0078,0.0,0.0,0.0,0.0,0.0022,0.0,0.0,0.0,0.0026,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Anise (Spain) 1 - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)",0.006,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0002,0.0,0.0001,0.0,0.0026,0.0,0.0002,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.961,0.0,0.0056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.004,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Anise (Spain) 2 - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)",0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0118,0.9175,0.0,0.0063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031,0.0,0.0217,0.0142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Anise (Turkey) 1 - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)",0.001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0205,0.9473,0.0,0.0055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0035,0.0046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Anise (Turkey) 2 - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.876,0.0,0.002,0.0,0.0,0.0,0.0125,0.0,0.0,0.0045,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Anise (USSR) - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.939,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.035,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Anise seed 1 - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)",0.0001,0.0001,0.0017,0.0007,0.0008,0.0,0.0,0.0002,0.0001,0.0003,0.0001,0.0002,0.0001,0.0012,0.0018,0.0009,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0102,0.85,0.0001,0.0091,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0229,0.0001,0.0,0.0,0.0,0.0,0.0094,0.0053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Anise seed 2 - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)",0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0118,0.9175,0.0,0.0063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031,0.0,0.0,0.0142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Anise seed 3 - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0199,0.9414,0.0,0.0053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022,0.0,0.0,0.0097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0099,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0001,0.0001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
