,"Acinos suaveolens (Turkey) - Acinos suaveolens (Sibt. et Smith) G. Don f., fam. Lamiaceae (Labiatae)","Agastache scrophulariaefolia leaf - Agastache scrophulariaefolia (Willd.) Kurtze, fam. Lamiaceae (Labiatae)","Buchu leaf (South Africa) 1c (hybrid) - Agathosma betulina x crenulata, fam. Rutaceae","Calamintha nepeta (Greece) 1 - Calamintha nepeta (L.) Savi (Melissa nepeta L.), fam. Lamiaceae (Labiatae)","Geranium (India) 15b cv. Kunti variant - Pelargonium graveolens L'Herit. ex Aiton, cv.Kunti variant, fam. Geraniace","Murraya glaba (Vietnam) - Murraya glaba Guill., fam. Rutaceae","Pennyroyal (Germany) 1c - Mentha pulegium L., fam. Lamiaceae (Labiatae)","Pennyroyal (Uruguay) - Mentha pulegium L., fam. Lamiaceae (Labiatae)","Satureja boliviana (Peru) 2 - Satureja boliviana Briq. (Micromeria boliviana Benth.), fam. Lamiaceae","Satureja grandiflora (France) - Satureja grandiflora (L.) Scheele (Calamintha g. (L.) Moench), Lamiaceae"
"Acinos suaveolens (Turkey) - Acinos suaveolens (Sibt. et Smith) G. Don f., fam. Lamiaceae (Labiatae)",1.0,0.7349389022152988,0.5008820914587493,0.46915726193427476,0.3903784706749297,0.24096404507474445,0.40032510293880363,0.7831735032870089,0.3940843281213716,0.42131748597770735
"Agastache scrophulariaefolia leaf - Agastache scrophulariaefolia (Willd.) Kurtze, fam. Lamiaceae (Labiatae)",0.7349389022152988,1.0,0.680350630375228,0.4275051005103383,0.5023347212097814,0.4490767145498067,0.49626236077399344,0.6575045132024195,0.5122726724242119,0.3973396972844817
"Buchu leaf (South Africa) 1c (hybrid) - Agathosma betulina x crenulata, fam. Rutaceae",0.5008820914587493,0.680350630375228,1.0,0.4433794355956271,0.2745252624664337,0.5010083258221127,0.49047608202144444,0.5414121971826267,0.5507543216091342,0.4161906536572185
"Calamintha nepeta (Greece) 1 - Calamintha nepeta (L.) Savi (Melissa nepeta L.), fam. Lamiaceae (Labiatae)",0.46915726193427476,0.4275051005103383,0.4433794355956271,1.0,0.0,0.3019834781524542,0.3631475242286699,0.6223211158855653,0.521936385371717,0.42155675471175247
"Geranium (India) 15b cv. Kunti variant - Pelargonium graveolens L'Herit. ex Aiton, cv.Kunti variant, fam. Geraniace",0.3903784706749297,0.5023347212097814,0.2745252624664337,0.0,1.0,0.26430047475997254,0.28309877599694144,0.2578951482656898,0.23483193151027604,0.07307183552797536
"Murraya glaba (Vietnam) - Murraya glaba Guill., fam. Rutaceae",0.24096404507474445,0.4490767145498067,0.5010083258221127,0.3019834781524542,0.26430047475997254,1.0,0.4230839718623661,0.26490350867024426,0.6124802910575986,0.15384653125485537
"Pennyroyal (Germany) 1c - Mentha pulegium L., fam. Lamiaceae (Labiatae)",0.40032510293880363,0.49626236077399344,0.49047608202144444,0.3631475242286699,0.28309877599694133,0.4230839718623661,1.0,0.4781418018131287,0.5584149898707518,0.4309913673811415
"Pennyroyal (Uruguay) - Mentha pulegium L., fam. Lamiaceae (Labiatae)",0.7831735032870089,0.6575045132024195,0.5414121971826267,0.6223211158855653,0.2578951482656898,0.26490350867024426,0.4781418018131287,1.0,0.48826052299504497,0.5378091217290815
"Satureja boliviana (Peru) 2 - Satureja boliviana Briq. (Micromeria boliviana Benth.), fam. Lamiaceae",0.3940843281213716,0.5122726724242119,0.5507543216091342,0.521936385371717,0.23483193151027604,0.6124802910575986,0.5584149898707518,0.48826052299504497,1.0,0.3734519145109175
"Satureja grandiflora (France) - Satureja grandiflora (L.) Scheele (Calamintha g. (L.) Moench), Lamiaceae",0.42131748597770735,0.3973396972844817,0.4161906536572185,0.42155675471175247,0.07307183552797536,0.15384653125485537,0.4309913673811415,0.5378091217290815,0.3734519145109175,1.0
