,"Turmeric (China) 1a rhizome - Curcuma longa L. (C. domestica Val.), fam. Zingiberaceae","Turmeric (China) 1b tuber - Curcuma longa L. (C. domestica Val.), fam. Zingiberaceae","Turmeric (China) 2 - Curcuma longa L. (C. domestica Val.), fam. Zingiberaceae","Turmeric (China) 3 - Curcuma longa L. (C. domestica Val.), fam. Zingiberaceae","Turmeric (India) 1 - Curcuma longa L. (C. domestica Val.), fam. Zingiberaceae","Turmeric (India) 2 - Curcuma longa L. (C. domestica Val.), fam. Zingiberaceae","Turmeric (India) 3 - Curcuma longa L. (C. domestica Val.), fam. Zingiberaceae","Turmeric (India) 4 - Curcuma longa L. (C. domestica Val.), fam. Zingiberaceae","Turmeric (Indonesia) - Curcuma longa L. (C. domestica Val.), fam. Zingiberaceae","Turmeric 1 - Curcuma longa L. (C. domestica Val.), fam. Zingiberaceae","Turmeric 2 - Curcuma longa L. (C. domestica Val.), fam. Zingiberaceae","Turmeric 4 - Curcuma longa L. (C. domestica Val.), fam. Zingiberaceae"
"Turmeric (China) 1a rhizome - Curcuma longa L. (C. domestica Val.), fam. Zingiberaceae",1.0,0.8193139349919525,0.6177164790775008,0.5498291382704525,0.6669699466392173,0.7481735870587518,0.4710247455395261,0.3128872650160677,0.6169083841576131,0.7004980830963983,0.7182086281966936,0.5751527808141184
"Turmeric (China) 1b tuber - Curcuma longa L. (C. domestica Val.), fam. Zingiberaceae",0.8193139349919525,1.0,0.6351931863152727,0.5733090574331714,0.6660820819190363,0.6940762931082807,0.5070742897821028,0.24689066563471385,0.6345462488492218,0.7758085198842173,0.6787178850480722,0.5237681772148446
"Turmeric (China) 2 - Curcuma longa L. (C. domestica Val.), fam. Zingiberaceae",0.6177164790775008,0.6351931863152727,1.0,0.47934132166759125,0.5606471083615112,0.6245140674545786,0.40713142691642434,0.32440293990722835,0.9793100660655146,0.6583697932303667,0.6491461003795611,0.5738045428710782
"Turmeric (China) 3 - Curcuma longa L. (C. domestica Val.), fam. Zingiberaceae",0.5498291382704525,0.5733090574331715,0.47934132166759125,1.0,0.4752340640694034,0.5556852178076117,0.4661015670341476,0.006887698966855038,0.478958985338648,0.67358003817407,0.5158086828900719,0.29387146597009783
"Turmeric (India) 1 - Curcuma longa L. (C. domestica Val.), fam. Zingiberaceae",0.6669699466392172,0.6660820819190363,0.5606471083615112,0.4752340640694034,1.0,0.5735098302260709,0.37708665929130203,0.3009890009446605,0.5597591144826755,0.6106150254116447,0.7302096788514809,0.5187802148639646
"Turmeric (India) 2 - Curcuma longa L. (C. domestica Val.), fam. Zingiberaceae",0.7481735870587518,0.6940762931082807,0.6245140674545786,0.5556852178076117,0.5735098302260709,1.0,0.47850891338370516,0.3123281119701097,0.6236631276152278,0.7114721901392282,0.6783614009285674,0.5847685908106033
"Turmeric (India) 3 - Curcuma longa L. (C. domestica Val.), fam. Zingiberaceae",0.4710247455395261,0.5070742897821028,0.40713142691642434,0.4661015670341476,0.37708665929130203,0.47850891338370516,1.0,0.0,0.4055689574005952,0.5522679551270231,0.4112175627647606,0.26431506458052634
"Turmeric (India) 4 - Curcuma longa L. (C. domestica Val.), fam. Zingiberaceae",0.3128872650160677,0.24689066563471385,0.32440293990722835,0.006887698966855038,0.3009890009446605,0.3123281119701097,0.0,1.0,0.3241532230124998,0.20174690351618818,0.38846092845107727,0.6437843599039229
"Turmeric (Indonesia) - Curcuma longa L. (C. domestica Val.), fam. Zingiberaceae",0.6169083841576131,0.6345462488492218,0.9793100660655146,0.478958985338648,0.5597591144826755,0.6236631276152278,0.4055689574005952,0.3241532230124998,1.0,0.6578568746949354,0.6484017627397822,0.5731568917497027
"Turmeric 1 - Curcuma longa L. (C. domestica Val.), fam. Zingiberaceae",0.7004980830963983,0.7758085198842173,0.6583697932303667,0.67358003817407,0.6106150254116447,0.7114721901392282,0.5522679551270231,0.20174690351618818,0.6578568746949354,1.0,0.6772070420452012,0.49863677680894947
"Turmeric 2 - Curcuma longa L. (C. domestica Val.), fam. Zingiberaceae",0.7182086281966935,0.6787178850480722,0.6491461003795611,0.5158086828900719,0.7302096788514809,0.6783614009285674,0.4112175627647606,0.38846092845107727,0.6484017627397822,0.6772070420452012,1.0,0.6463551505810843
"Turmeric 4 - Curcuma longa L. (C. domestica Val.), fam. Zingiberaceae",0.5751527808141184,0.5237681772148446,0.5738045428710782,0.29387146597009783,0.5187802148639646,0.5847685908106033,0.26431506458052634,0.6437843599039228,0.5731568917497027,0.49863677680894947,0.6463551505810843,1.0
