,"Anise (Colombia) - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)","Anise (Egypt) - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)","Anise (Spain) 1 - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)","Anise (Spain) 2 - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)","Anise (Turkey) 1 - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)","Anise (Turkey) 2 - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)","Anise (USSR) - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)","Anise seed 1 - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)","Anise seed 2 - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)","Anise seed 3 - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)","Anise seed 4 - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)","Backhousia anisata leaf 1 - Backhousia anisata Vickery (Chemotype 1), fam. Myrtaceae","Clausena heptaphylla fruit (India) 1a - Clausena heptaphylla W&A, fam. Rutaceae","Clausena heptaphylla leaf (India) 1b - Clausena heptaphylla W&A, fam. Rutaceae","Fennel, bitter (Italy) 1 - Foeniculum vulgare Miller, var. vulgare DC, fam. Apiaceae (Umbelliferae)","Fennel, bitter (Italy) 2 - Foeniculum vulgare Miller, var. vulgare DC, fam. Apiaceae (Umbelliferae)","Fennel, bitter (Uzbekistan) - Foeniculum vulgare Miller, fam. Apiaceae (Umbelliferae)","Fennel, bitter 2 - Foeniculum vulgare Miller, var. vulgare DC, fam. Apiaceae (Umbelliferae)","Fennel, bitter, fruit (Turkey) - Foeniculum vulgare Miller, var. vulgare DC, fam. Apiaceae (Umbelliferae)","Fennel, sweet (China) - Foeniculum vulgare Miller, var. dulce DC, fam. Apiaceae (Umbelliferae)","Fennel, sweet (Italy) 1 - Foeniculum vulgare Miller, var. dulce DC, fam. Apiaceae (Umbelliferae)","Fennel, sweet (Italy) 2 - Foeniculum vulgare Miller, var. dulce DC, fam. Apiaceae (Umbelliferae)","Fennel, sweet (Russia) - Foeniculum vulgare Miller, var. dulce DC, fam. Apiaceae (Umbelliferae)","Fennel, sweet (Spain) - Foeniculum vulgare Miller, var. dulce DC, fam. Apiaceae (Umbelliferae)","Fennel, sweet (Turkey) - Foeniculum vulgare Miller, var. dulce DC, fam. Apiaceae (Umbelliferae)","Fennel, sweet 1 - Foeniculum vulgare Miller, var. dulce DC, fam. Apiaceae (Umbelliferae)","Fennel, sweet 3 - Foeniculum vulgare Miller, var. dulce DC, fam. Apiaceae (Umbelliferae)","Heracleum persicum (Iran) 1a leaf a - Heracleum persicum L., fam. Apiaceae (Umbelliferae)","Scandix australis - Scandix australis L., fam. Apiaceae (Umbelliferae)","Star anise (China) 1 - Illicium verum Hooker fil., fam. Magnoliaceae (Illiciaceae)","Star anise (China) 2 - Illicium verum Hooker fil., fam. Magnoliaceae (Illiciaceae)","Star anise (China) 3 - Illicium verum Hooker fil., fam. Magnoliaceae (Illiciaceae)","Star anise (China, Shangyou) 4 - Illicium verum Hooker fil., fam. Magnoliaceae (Illiciaceae)","Star anise (China, Yunnan) 5 - Illicium verum Hooker fil., fam. Magnoliaceae (Illiciaceae)","Star anise (Vietnam) 1 - Illicium verum Hooker fil., fam. Magnoliaceae (Illiciaceae)","Star anise (Vietnam) 2 - Illicium verum Hooker fil., fam. Magnoliaceae (Illiciaceae)","Tagetes filifolia (Argentina) 1 - Tagetes filifolia Lag., fam. Asteraceae (Compositae)","Tagetes filifolia (Argentina) 2 - Tagetes filifolia Lag., fam. Asteraceae (Compositae)"
"Anise (Colombia) - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)",1.0,0.7949458586409925,0.952430171881625,0.9043713603104396,0.9689504729211073,0.8197789222566558,0.9029646706742342,0.7845685435487615,0.9043713603104396,0.9544754497057212,0.8538300454324129,0.9477852150368543,0.051453459138062874,0.9400606859660781,0.7437117775695656,0.6470636158367126,0.7720740546422835,0.36650544971954657,0.3265384223119777,0.40805417994516746,0.8382078709473179,0.7890256720633962,0.6304060489519772,0.48518717828544566,0.6652831022985772,0.4282271018882723,0.5559837162381456,0.25366395380204976,0.7723082823851855,0.7120078082468567,0.7867296996109718,0.4460578393497787,0.8339654078481955,0.7716104377277555,0.5435664119783227,0.6248921159948349,0.21458904142289648,0.40377883030108697
"Anise (Egypt) - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)",0.7949458586409925,1.0,0.77561647790525,0.8439123166341039,0.810997680128328,0.8980898118406939,0.8014075152384341,0.8846774614683977,0.8439123166341039,0.8187032651907844,0.8940689350412995,0.8199973841411399,0.2087032375684741,0.7432171438579628,0.8255174561840717,0.7323035056377831,0.8206535102706878,0.5231408427080539,0.4830837367357944,0.5768701521432466,0.8920652308601266,0.829106089265533,0.7712994480509634,0.6575083516291977,0.8159134504464116,0.5718330826392688,0.6553515269815646,0.40961140378135963,0.8976862412887183,0.8541072462846969,0.9152996062700653,0.5889782211830864,0.8742792414537058,0.8742964944824408,0.6394677016869388,0.7353409730055287,0.3715426054566947,0.5699336229277971
"Anise (Spain) 1 - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)",0.952430171881625,0.77561647790525,1.0,0.8981802559916854,0.954464488975247,0.8005239745513864,0.9191255296210009,0.7771957288949574,0.8981802559916854,0.9402666228134646,0.8416067074939144,0.9115046107393425,0.017264184011440142,0.9527979623819106,0.7357599815351485,0.6451510161419096,0.7593299250602852,0.35800371544667875,0.3142427792697924,0.3932309495128903,0.8247093612552048,0.7915398069671029,0.6138772260283873,0.4707513190656101,0.6532827321194776,0.4186233215045353,0.5574304071513655,0.24561196562221643,0.7423873644250223,0.6937097568016694,0.7627064681597819,0.43317993051296777,0.831437704431584,0.7714850839294547,0.5371869644786205,0.6242206618060068,0.18066781624153738,0.37250655787861575
"Anise (Spain) 2 - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)",0.9043713603104396,0.8439123166341039,0.8981802559916854,1.0,0.9197889776230707,0.8634990271709754,0.8984713529871037,0.8513344826523747,0.9398726897469047,0.9311608410182975,0.9120164376325923,0.9006552995324318,0.08555981599109719,0.8634477127316649,0.7922748472354895,0.698780795417794,0.8078138672167368,0.42913775283947664,0.3887942215391679,0.4716128755874275,0.8792194944476726,0.8395747248228145,0.6851998896534481,0.5520849379410777,0.7238458306697314,0.4893877289715002,0.607230473718393,0.3217746670465953,0.8074837754114392,0.7643773266381588,0.8291533803960681,0.5030733257133952,0.8905530732444931,0.8333200996382856,0.5931183119494889,0.6807506940357475,0.24912970635142284,0.4457302884817289
"Anise (Turkey) 1 - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)",0.9689504729211073,0.810997680128328,0.954464488975247,0.9197889776230707,1.0,0.835926619304344,0.9189330467154077,0.8030931876454535,0.9197889776230707,0.9674700106803337,0.8707569920127165,0.9500325356737948,0.06062214436343083,0.9281977117551516,0.7574659996387312,0.6609289232732452,0.7834938831533528,0.3818010601488375,0.34126112754928983,0.4235736470378413,0.8534522224984353,0.8053320036196902,0.6446037183887213,0.5010717000454066,0.6809604688361794,0.44289965034089684,0.5694498361431799,0.2695841073141533,0.7841710105537282,0.7268862188671489,0.8014939390292297,0.46000779192787555,0.8510262336073777,0.7903228153304837,0.5561736142455522,0.6397910532366999,0.2239623838304734,0.41489183320916756
"Anise (Turkey) 2 - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)",0.8197789222566558,0.8980898118406939,0.8005239745513864,0.8634990271709754,0.835926619304344,1.0,0.8160772206594528,0.9029886078633224,0.8634990271709754,0.8418329891119304,0.9043300223087414,0.8434393568005492,0.18531226982430005,0.7706339593803748,0.8186863267353184,0.7319697333829305,0.8220157166952675,0.4984351772371667,0.4610008682935517,0.5474704356866305,0.8889380618437023,0.8624128873550958,0.7496848182807034,0.6316601133312364,0.790823406689015,0.5521292916845169,0.640053260379333,0.39250540545945356,0.8830039303774251,0.827282391103231,0.8981188205914592,0.567371449601286,0.8780735849492749,0.8450580423498422,0.6284505624512717,0.7174591768394755,0.3482278313360866,0.5451565602208664
"Anise (USSR) - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)",0.9029646706742342,0.8014075152384341,0.9191255296210009,0.8984713529871037,0.9189330467154077,0.8160772206594528,1.0,0.8055426249835786,0.8984713529871037,0.9114863936898603,0.8589660924679585,0.8818967041185685,0.03895315247768516,0.8834080426501051,0.7528059454750515,0.6656890558473576,0.7721416021073373,0.3872554450478639,0.34621387360875155,0.4288640287007339,0.8359045108433134,0.8050366299310608,0.6416842022425298,0.504212300372962,0.6783633936153015,0.4488059335587885,0.5747241286594731,0.28080484899170866,0.7572715535174868,0.7200584416601854,0.7794325671550091,0.46240214023906345,0.8471395519411601,0.8037314309356125,0.5615326398276861,0.6445029013498809,0.2021312123803528,0.3965565003556316
"Anise seed 1 - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)",0.7845685435487615,0.8846774614683977,0.7771957288949574,0.8513344826523747,0.8030931876454535,0.9029886078633224,0.8055426249835786,1.0,0.8513344826523747,0.811908069984815,0.9159751043290576,0.7942385878593099,0.1621418972564358,0.7372081439682309,0.8394640921740895,0.7672272692456666,0.8215966022431783,0.5397753996149763,0.49979826442109754,0.5854469496445915,0.876507996438754,0.8833522481621116,0.7729668428502727,0.6754881132711226,0.8198050171807849,0.5942543678269087,0.6783300962138612,0.443129156507155,0.840896615026799,0.8387501034335973,0.8706949295425664,0.5997179274501354,0.9063335938806094,0.8958039306900939,0.6620681366832096,0.7605247057748155,0.324243630584477,0.5297338073460546
"Anise seed 2 - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)",0.9043713603104396,0.8439123166341039,0.8981802559916854,0.9398726897469047,0.9197889776230707,0.8634990271709754,0.8984713529871037,0.8513344826523747,1.0,0.9311608410182975,0.9120164376325923,0.9006552995324318,0.08555981599109719,0.8634477127316649,0.7922748472354895,0.698780795417794,0.8078138672167368,0.42913775283947664,0.3887942215391679,0.4716128755874275,0.8792194944476726,0.8395747248228145,0.6851998896534481,0.5520849379410777,0.7238458306697314,0.4893877289715002,0.607230473718393,0.3217746670465953,0.8074837754114392,0.7643773266381588,0.8291533803960681,0.5030733257133952,0.8905530732444931,0.8333200996382856,0.5931183119494889,0.6807506940357475,0.24912970635142284,0.4457302884817289
"Anise seed 3 - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)",0.9544754497057212,0.8187032651907844,0.9402666228134646,0.9311608410182975,0.9674700106803337,0.8418329891119304,0.9114863936898603,0.811908069984815,0.9311608410182975,1.0,0.8798362323687864,0.943071465060585,0.06734717177698979,0.9137114576738923,0.764549515568516,0.6678085890288876,0.7894370188995747,0.390801620062993,0.35079221641361236,0.43345452022097397,0.8595816301659115,0.810582577074488,0.6533724807539998,0.5113891750072028,0.6893994106189022,0.4520504903296588,0.5759589525093814,0.2796613731163986,0.7911397573628384,0.7351858186850802,0.8079812250300624,0.46880998567863985,0.8584429627804592,0.7980076731947005,0.5635079302459396,0.6469034925651151,0.23079335202201046,0.4226886286259688
