,"Croton zambesicus (Cameroon) 1a leaf - Croton zambesicus Muell. Arg., fam. Euphorbiaceae","Guava fruit (Cuba) - Psidium guajava L., fam. Myrtaceae","Hyptis suaveolens (Cameroon) - Hyptis suaveolens (L.) Poit., fam. Lamiaceae (Labiatae)","Hyptis suaveolens (Nigeria) - Hyptis suaveolens (L.) Poit., fam. Lamiaceae (Labiatae)","Pepper, black (China) 1 fruit - Piper nigrum L., fam. Piperaceae","Pepper, black (India) 1 - Piper nigrum L., fam. Piperaceae","Pepper, black (India) 2 - Piper nigrum L., fam. Piperaceae","Pepper, black (India) 5a - Piper nigrum L., cultivar 'Karimunda', fam. Piperaceae","Pepper, black (India) 5b - Piper nigrum L., cultivar 'Kalluvally', fam. Piperaceae","Pepper, black (India) 5c - Piper nigrum L., cultivar 'Thommankodi', fam. Piperaceae","Pepper, black (India) 5d - Piper nigrum L., cultivar 'Arakulam', fam. Piperaceae","Pepper, black (India) 7a cv. Kottanadan - Piper nigrum L., cultivar Kottanadan, fam. Piperaceae","Pepper, black (India) 7b cv. Ottaplackal - Piper nigrum L., cultivar Ottaplackal, fam. Piperaceae","Pepper, black (India) 7d cv. Cheriakaniakadan - Piper nigrum L., cultivar Cheriakaniakadan, fam. Piperceae","Pepper, black (Sao Tome) - Piper nigrum L., fam. Piperaceae","Pepper, black (variety Brazil) - Piper nigrum L., variety Brazil, fam. Piperaceae","Pepper, black (variety Lampong) - Piper nigrum L., variety Lampong, fam. Piperaceae","Pepper, black (variety Malabar) - Piper nigrum L., variety Malabar, fam. Piperaceae","Pepper, black (variety Sarawak) - Piper nigrum L., variety Sarawak, fam. Piperaceae","Pepper, black 2 - Piper nigrum L., fam. Piperaceae","Pepper, black 3 - Piper nigrum L., fam. Piperaceae","Pepper, black 4 - Piper nigrum L., fam. Piperaceae","Pepper, black 5 - Piper nigrum L., fam. Piperaceae","Pepper, black 6 - Piper nigrum L., fam. Piperaceae","Pepper, white (China) - Piper nigrum L., fam. Piperaceae","Pinus halepensis (Greece) - Pinus halepensis Miller, fam. Pinaceae","Tagetes lucida (Hungary) - Tagetes lucida L., fam. Asteraceae (Compositae)"
"Croton zambesicus (Cameroon) 1a leaf - Croton zambesicus Muell. Arg., fam. Euphorbiaceae",1.0,0.22434430370015201,0.24107616268201715,0.3091865461834006,0.3069734571796794,0.5876939103515417,0.43175183195500155,0.3937112495054125,0.3350898046053461,0.31691781318101686,0.43186301944371097,0.5760470195969594,0.5209181809125383,0.516883328352866,0.5928646072910746,0.18565135463582638,0.24478659195820984,0.4853520195594564,0.24455342635327038,0.47166233696483373,0.5182114898405683,0.2921266678592439,0.5812772447539652,0.3906982391788534,0.21855689556656832,0.2954239497214455,0.2392136533142758
"Guava fruit (Cuba) - Psidium guajava L., fam. Myrtaceae",0.22434430370015201,1.0,0.2085594886484382,0.19574100278426387,0.21970607287291688,0.360135840673957,0.21517866639999783,0.19097851772324326,0.27241093724471455,0.3076245621088628,0.3037004722223665,0.23271672270657884,0.3480915656856788,0.2702045153911632,0.26271979523604416,0.17517893503286963,0.24903997174342807,0.289918873450297,0.2260367770604268,0.32281056712822576,0.19347759970686018,0.2060603107267499,0.35045209537825195,0.08106806075481865,0.12187676655891677,0.21309591477629708,0.37653776671187655
"Hyptis suaveolens (Cameroon) - Hyptis suaveolens (L.) Poit., fam. Lamiaceae (Labiatae)",0.24107616268201715,0.2085594886484382,1.0,0.7065303560678631,0.13093272131397338,0.36487908526813617,0.18739681577004852,0.10497188410911729,0.2585195149126793,0.292825151389295,0.42443557024276435,0.3777664532285442,0.3606583052005393,0.46221608475673415,0.4146940445794749,0.09949310215813478,0.39768030882399086,0.33315665809895234,0.18904907742511123,0.30926733693714636,0.393190840856773,0.12237952653491213,0.31927862003615193,0.23243038610578426,0.0,0.19399114339220336,0.21993777682093407
"Hyptis suaveolens (Nigeria) - Hyptis suaveolens (L.) Poit., fam. Lamiaceae (Labiatae)",0.3091865461834006,0.19574100278426387,0.7065303560678631,1.0,0.14900462553937277,0.39258601658737646,0.22972082498012558,0.14047875176799351,0.26984908115775974,0.2972153100870075,0.44810595575641887,0.43934713348717935,0.37544026573063594,0.5107516246578174,0.4696814135902293,0.10072247765579667,0.3981018847994594,0.3665619366649432,0.19359356232948022,0.3285058178933402,0.44965181150293676,0.14392008658947408,0.344092190426183,0.2859734688989539,0.015251210811435545,0.2092862815251716,0.21093294089028403
"Pepper, black (China) 1 fruit - Piper nigrum L., fam. Piperaceae",0.3069734571796794,0.21970607287291688,0.13093272131397338,0.14900462553937277,1.0,0.43830651869001247,0.25800233593884525,0.7194011279212977,0.479364170100933,0.5744179066562907,0.3808432523790757,0.21440927636451412,0.3987587468946415,0.3989146340185481,0.2823894723812097,0.7768360876585082,0.5074111042754852,0.6231214158086911,0.7588533804864668,0.36882857217554976,0.2785888406719269,0.8471368732732687,0.3744363752514409,0.3002726438559191,0.7483583489405234,0.4895794269585473,0.32183497963489893
"Pepper, black (India) 1 - Piper nigrum L., fam. Piperaceae",0.5876939103515417,0.360135840673957,0.36487908526813617,0.39258601658737646,0.43830651869001247,1.0,0.37535184745229977,0.4384545090783115,0.5840461099494669,0.5664709396385925,0.7324773277909487,0.6208636819093094,0.7745616561436448,0.6971473680914051,0.6778073134818646,0.37403889389838685,0.5042348366633211,0.5963131509251381,0.4475685839064397,0.5633355181241964,0.6049497302209281,0.41496717949868756,0.6874708430946368,0.4072661157379722,0.3172671752055234,0.3362472635599695,0.45865055018636847
"Pepper, black (India) 2 - Piper nigrum L., fam. Piperaceae",0.43175183195500155,0.21517866639999783,0.18739681577004852,0.22972082498012558,0.25800233593884525,0.37535184745229977,1.0,0.2845014931284331,0.2905180239081898,0.26993521236397966,0.2607147538693928,0.31860490192668445,0.3615421767876894,0.33593862144871034,0.33776110850710706,0.1440095532951654,0.18836831532923226,0.37376441403447835,0.19231544836910264,0.6006509797925617,0.31249077099636036,0.18954211131163656,0.5035329957439918,0.1985147833669424,0.16598501084067874,0.29655348919686964,0.2091493849278695
"Pepper, black (India) 5a - Piper nigrum L., cultivar 'Karimunda', fam. Piperaceae",0.3937112495054125,0.19097851772324326,0.10497188410911729,0.14047875176799351,0.7194011279212977,0.4384545090783115,0.2845014931284331,1.0,0.3753447600455655,0.437818921152726,0.33347962341767023,0.2852018837042707,0.37327093164042247,0.4239893907609079,0.3295435011501202,0.5641440233475585,0.3672128694085156,0.6543740929974209,0.5601678576581426,0.3518359742303887,0.33159406377234013,0.7257732101884866,0.392530849638825,0.3970193158957982,0.715387102504819,0.4604778075660143,0.24839146373273424
"Pepper, black (India) 5b - Piper nigrum L., cultivar 'Kalluvally', fam. Piperaceae",0.3350898046053461,0.27241093724471455,0.2585195149126793,0.26984908115775974,0.479364170100933,0.5840461099494669,0.2905180239081898,0.3753447600455655,1.0,0.76973296525017,0.6759898379661857,0.27729048427432634,0.5531947220889148,0.43611281337480023,0.3314381647149106,0.5279231578052641,0.6032325576313364,0.4099067743691962,0.5952414262808112,0.47895691230489223,0.29671755351264817,0.4408566359538979,0.4521493885011799,0.13176934575996324,0.27406105128792446,0.2902857703139756,0.45208309322295326
"Pepper, black (India) 5c - Piper nigrum L., cultivar 'Thommankodi', fam. Piperaceae",0.31691781318101686,0.3076245621088628,0.292825151389295,0.2972153100870075,0.5744179066562907,0.5664709396385925,0.26993521236397966,0.437818921152726,0.76973296525017,1.0,0.6357951604617121,0.26607680010895696,0.5583732352639903,0.4665464262581971,0.33452647056850593,0.6206710183608062,0.689475447708729,0.48912309808783694,0.6975525740038978,0.4633348487242377,0.3162623011854544,0.5496207006621926,0.4397094492212784,0.18981161496780652,0.3676718288871694,0.41865360900840975,0.4746741774091219
