,"Mentha x spicata (Greece) - Mentha x spicata L., fam. Lamiaceae (Labiatae)","Peppermint (Argentina) - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (Brazil) - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (Bulgaria) 3 - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (Bulgaria) 5a hydrodistilled - Mentha piperita L. cultivar 'Zefir', fam. Lamiaceae (Labiatae)","Peppermint (Bulgaria) 5b extracted - Mentha piperita L. cultivar 'Zefir', fam. Lamiaceae (Labiatae)","Peppermint (Canada) 1 - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (Canada) 4c - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (Canada) 4d - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (France) 6 - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (Greece) 3 - Mentha piperita L., fam. Lamiaceae (Labiatae)",Peppermint (Italy)  1 - Mentha piperita L. rubescens Camus (Spicatae section). fam. Lamiaceae,"Peppermint (Italy)  4 - Mentha piperita L. nothomorph pallescens Camus, fam. Lamiaceae (Labiatae)","Peppermint (Italy)  9 - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (Lithuania) - Mentha piperita L. cultivar Lekartstvenaya-1, fam. Lamiaceae (Labiatae)","Peppermint (Mexico) - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (USA) 10b (headspace harvested plant) - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (Vietnam) 1c - Mentha piperita L., fam. Lamiaceae (Labiatae)"
"Mentha x spicata (Greece) - Mentha x spicata L., fam. Lamiaceae (Labiatae)",1.0,0.3627339295028803,0.4463928237349746,0.3738212201114053,0.20915007330433089,0.11623387241753125,0.5645083620379064,0.2613748083637909,0.2359561882570136,0.5664490925097997,0.7933219899473277,0.4245905852866513,0.6167647303553712,0.5783201631737416,0.2016109698861387,0.45132598665060975,0.47697585981956325,0.23669223211031332
"Peppermint (Argentina) - Mentha piperita L., fam. Lamiaceae (Labiatae)",0.3627339295028803,1.0,0.8457081865329359,0.7885474509482366,0.6711949498915961,0.5386755188204633,0.6869863701730601,0.7529269879291327,0.6548574664140085,0.7426127493268011,0.3373471396029306,0.6325299334239605,0.6343774510290506,0.7468540814438984,0.733343294259478,0.6766891312494462,0.29579274497831853,0.3197794532464019
"Peppermint (Brazil) - Mentha piperita L., fam. Lamiaceae (Labiatae)",0.4463928237349746,0.8457081865329359,1.0,0.8303574902463517,0.6516642187827988,0.5267813158614869,0.7700297524615225,0.7574679993969385,0.6774389575160322,0.8284246652782045,0.41940029240889243,0.661061725652617,0.7173242383567382,0.8088847311239515,0.6978011826917941,0.7502858666191108,0.3415521911509857,0.33439468117083815
"Peppermint (Bulgaria) 3 - Mentha piperita L., fam. Lamiaceae (Labiatae)",0.3738212201114053,0.7885474509482366,0.8303574902463517,1.0,0.6631159724825075,0.51666968254356,0.6938128829048109,0.7051832591400171,0.6256721163674412,0.7445043731805114,0.32974433249293655,0.6154032663623239,0.6055004067407803,0.7070118839289952,0.6674451288604805,0.6583769397842246,0.2834430096813334,0.3071534012932956
"Peppermint (Bulgaria) 5a hydrodistilled - Mentha piperita L. cultivar 'Zefir', fam. Lamiaceae (Labiatae)",0.20915007330433089,0.6711949498915961,0.6516642187827988,0.6631159724825075,1.0,0.8090321336573864,0.5884917250479803,0.7088078644675144,0.7194310504565313,0.5526189243974508,0.19142973078433856,0.5535731303919925,0.4853209451229432,0.5519538232626213,0.7055134318245319,0.4982336606097775,0.10673114583978094,0.25685408947822375
"Peppermint (Bulgaria) 5b extracted - Mentha piperita L. cultivar 'Zefir', fam. Lamiaceae (Labiatae)",0.11623387241753125,0.5386755188204634,0.5267813158614869,0.51666968254356,0.8090321336573864,1.0,0.5054238745206141,0.6409594194693535,0.730303050155525,0.426612650322849,0.11844828673018204,0.45522359022224546,0.41084700928434503,0.429704438187419,0.6510516881055912,0.39897079642264843,0.0,0.18430104545996484
"Peppermint (Canada) 1 - Mentha piperita L., fam. Lamiaceae (Labiatae)",0.5645083620379064,0.6869863701730601,0.7700297524615225,0.6938128829048109,0.5884917250479803,0.5054238745206143,1.0,0.6174581743414089,0.616756672467301,0.8138921749186393,0.5201800991339596,0.6234231227034612,0.795388831431154,0.7989159485350978,0.5680688959439438,0.6651906271310353,0.31585500964705704,0.3610825480040589
"Peppermint (Canada) 4c - Mentha piperita L., fam. Lamiaceae (Labiatae)",0.2613748083637909,0.7529269879291327,0.7574679993969385,0.7051832591400171,0.7088078644675144,0.6409594194693535,0.6174581743414089,1.0,0.8435357237740899,0.6120089859812171,0.2714895659253985,0.651604460662929,0.5642184191356892,0.606430174782666,0.8188738781339052,0.5923473408342179,0.21182563637706198,0.27752888895623495
"Peppermint (Canada) 4d - Mentha piperita L., fam. Lamiaceae (Labiatae)",0.2359561882570136,0.6548574664140085,0.6774389575160322,0.6256721163674412,0.7194310504565313,0.730303050155525,0.616756672467301,0.8435357237740899,1.0,0.5572882687859146,0.2504898936864366,0.5936528631463589,0.5591399930136349,0.5499295814875433,0.7658588042183707,0.541206656841386,0.13813075671669894,0.2506998494183851
"Peppermint (France) 6 - Mentha piperita L., fam. Lamiaceae (Labiatae)",0.5664490925097997,0.7426127493268011,0.8284246652782045,0.7445043731805114,0.5526189243974508,0.426612650322849,0.8138921749186393,0.6120089859812171,0.5572882687859146,1.0,0.49770895546809746,0.6320339810839806,0.775257645092269,0.8940070496901387,0.5583945963630457,0.729848305839222,0.36840707715699295,0.35704631783895846
"Peppermint (Greece) 3 - Mentha piperita L., fam. Lamiaceae (Labiatae)",0.7933219899473277,0.3373471396029306,0.41940029240889243,0.32974433249293655,0.19142973078433856,0.11844828673018204,0.5201800991339596,0.2714895659253985,0.2504898936864366,0.49770895546809746,1.0,0.40276688139123573,0.5888586043350188,0.5249617157028044,0.20958160157494288,0.42860494592164977,0.5705680078956809,0.18764501822753077
Peppermint (Italy)  1 - Mentha piperita L. rubescens Camus (Spicatae section). fam. Lamiaceae,0.4245905852866513,0.6325299334239605,0.661061725652617,0.6154032663623239,0.5535731303919925,0.45522359022224546,0.6234231227034612,0.651604460662929,0.5936528631463589,0.6320339810839806,0.40276688139123573,1.0,0.5920703265679217,0.6275401753580694,0.5633543945042196,0.5006983982181467,0.30608258788925136,0.40937913957532335
"Peppermint (Italy)  4 - Mentha piperita L. nothomorph pallescens Camus, fam. Lamiaceae (Labiatae)",0.6167647303553712,0.6343774510290506,0.7173242383567382,0.6055004067407803,0.4853209451229432,0.41084700928434503,0.795388831431154,0.5642184191356892,0.5591399930136349,0.775257645092269,0.5888586043350188,0.5920703265679217,1.0,0.7765167573778475,0.49654205662347706,0.7097833063613608,0.39562744833272956,0.30635189525857986
"Peppermint (Italy)  9 - Mentha piperita L., fam. Lamiaceae (Labiatae)",0.5783201631737416,0.7468540814438984,0.8088847311239515,0.7070118839289952,0.5519538232626213,0.429704438187419,0.7989159485350978,0.606430174782666,0.5499295814875433,0.8940070496901387,0.5249617157028044,0.6275401753580694,0.7765167573778475,1.0,0.5589309297534936,0.7315086624010328,0.39856208562305695,0.3466007000499445
"Peppermint (Lithuania) - Mentha piperita L. cultivar Lekartstvenaya-1, fam. Lamiaceae (Labiatae)",0.2016109698861387,0.7333432942594778,0.6978011826917941,0.6674451288604805,0.7055134318245319,0.6510516881055912,0.5680688959439438,0.8188738781339052,0.7658588042183707,0.5583945963630457,0.20958160157494288,0.5633543945042196,0.49654205662347706,0.5589309297534936,1.0,0.5506380116381463,0.16859218544321308,0.2495168428811968
"Peppermint (Mexico) - Mentha piperita L., fam. Lamiaceae (Labiatae)",0.45132598665060975,0.6766891312494462,0.7502858666191108,0.6583769397842246,0.4982336606097775,0.39897079642264843,0.6651906271310353,0.5923473408342179,0.541206656841386,0.729848305839222,0.42860494592164977,0.5006983982181467,0.7097833063613608,0.7315086624010328,0.5506380116381463,1.0,0.3987459154308133,0.24264211703954564
"Peppermint (USA) 10b (headspace harvested plant) - Mentha piperita L., fam. Lamiaceae (Labiatae)",0.47697585981956325,0.29579274497831853,0.3415521911509857,0.2834430096813334,0.10673114583978094,0.0,0.31585500964705704,0.21182563637706198,0.13813075671669894,0.36840707715699295,0.5705680078956809,0.30608258788925136,0.39562744833272956,0.39856208562305695,0.16859218544321308,0.3987459154308133,1.0,0.07851912853980425
"Peppermint (Vietnam) 1c - Mentha piperita L., fam. Lamiaceae (Labiatae)",0.23669223211031332,0.3197794532464019,0.33439468117083815,0.3071534012932956,0.25685408947822375,0.18430104545996484,0.3610825480040589,0.27752888895623495,0.2506998494183851,0.35704631783895846,0.18764501822753077,0.40937913957532335,0.30635189525857986,0.3466007000499445,0.2495168428811968,0.24264211703954564,0.07851912853980425,1.0
