,Limonene,beta-Pinene,alpha-Pinene,Bornyl acetate,Camphene,para-Cymene,beta-Caryophyllene,delta-Cadinene,Tricyclene,Myrcene,alpha-Humulene,Terpinolene,beta-Phellandrene,alpha-Terpinyl acetate,delta-3-Carene,alpha-Terpinene,Sabinene,alpha-Terpineol,Linalool,alpha-Phellandrene,Terpinen-4-ol,gamma-Terpinene,Camphor,beta-Bisabolene,Geraniol,Geranyl acetate,alpha-Copaene,Citronellol,Nerol,Thymol,Citronellal,"1,8-Cineole",cis-Sabinene hydrate,Caryophyllene oxide,Spathulenol,Hexanal,Germacrene D,Neryl acetate,Menthol,delta-Elemene,(Z)-beta-Farnesene,trans-beta-Bergamotene,beta-Elemene,(E)-Nerolidol,(E)-beta-Ocimene,(Z)-beta-Ocimene,alpha-Thujene,Carvone,Nonanal,cis-p-Menth-2-en-1-ol,Linalyl acetate,alpha-Cubebene,1-Octenol-3,cis-Linalool oxide (5) (furanoid),trans-Linalool oxide (5) (furanoid),cis-/trans-Anhydrolinalooloxides,Decanal,Geranial,Neral,6-Methyl-5-hepten-2-one,(Z)-3-Hexenol,beta-Bourbonene,Methyl geranate,Citronellyl acetate,alpha-Fenchene,cis-Linalool oxide (unknown isomer),trans-Linalool oxide (unknown isomer),(E)-2-Hexenol,Bicyclogermacrene,"alpha,p-Dimethylstyrene",Linalyl propionate,Pulegone,Citronellyl formate,Methyl heptenone (unknown structure),trans-p-Menth-2-en-1-ol,"(E,E)-alpha-Farnesene",Methyl N-methyl anthranilate,(E)-2-Hexenal,cis-Alloocimene,ortho-Cymene,"p-2,4(8)-Menthadiene",Citral,Sclareol,Citronellyl isobutyrate,Mintsulfide
"Bitter orange leaf (Petitgrain) (Italy) 1 - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae",0.013,0.009,0.0016,0.0,0.0001,0.0005,0.0055,0.0002,0.0001,0.009,0.0005,0.0015,0.0003,0.0012,0.0033,0.0001,0.0018,0.0436,0.265,0.0002,0.0007,0.0005,0.0,0.0001,0.0083,0.0253,0.0001,0.0,0.0087,0.0,0.0002,0.0003,0.0001,0.0005,0.0008,0.0,0.0,0.0138,0.0,0.0001,0.0005,0.0001,0.0001,0.0006,0.0116,0.0032,0.0001,0.0,0.0003,0.0001,0.555,0.0001,0.0,0.0006,0.0002,0.0,0.0,0.0051,0.0032,0.0005,0.0,0.0,0.0002,0.0001,0.0001,0.0,0.0,0.0,0.0017,0.0004,0.0003,0.0,0.0,0.0,0.0001,0.0003,0.0007,0.0,0.0,0.0001,0.0004,0.0,0.0,0.0,0.0
"Bitter orange leaf (Petitgrain) (Italy) 2b - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae",0.002,0.0008,0.004,0.0,0.0,0.0,0.0278,0.0,0.0,0.0002,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0124,0.0,0.0,0.0,0.0,0.0132,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.9205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bitter orange leaf (Petitgrain) (Italy) 2c - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae",0.0032,0.0005,0.0113,0.0,0.0,0.0,0.0217,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0404,0.0,0.0,0.0,0.0,0.0125,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,0.0,0.0,0.0,0.8787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bitter orange leaf 1 (Petitgrain) - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae",0.009,0.012,0.0001,0.0,0.0,0.0185,0.0,0.0,0.0,0.034,0.0,0.0005,0.0,0.012,0.0,0.0001,0.002,0.061,0.234,0.001,0.0065,0.008,0.0,0.0,0.0275,0.0,0.0,0.001,0.0125,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0235,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.006,0.0,0.0,0.0,0.0,0.5065,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bitter orange leaf 2 (Petitgrain) - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae",0.0105,0.0157,0.0022,0.0,0.0011,0.0007,0.0067,0.0,0.0,0.0196,0.0,0.0019,0.001,0.0,0.0039,0.0,0.003,0.051,0.2662,0.0,0.0,0.0,0.0,0.0,0.0224,0.0289,0.0,0.0,0.0095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0169,0.0,0.0,0.0,0.0,0.0,0.0,0.0129,0.0052,0.0,0.0,0.0,0.0,0.5081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Clary sage (France) 1 - Salvia sclarea L., fam. Lamiaceae (Labiatae)",0.0051,0.0029,0.0025,0.0,0.0006,0.0006,0.0056,0.0,0.0,0.002,0.0,0.0,0.0,0.0037,0.0,0.0,0.0006,0.007,0.1862,0.0008,0.0,0.0,0.0068,0.0,0.0016,0.0049,0.0,0.0,0.0006,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6993,0.0,0.0,0.004,0.0037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Clary sage (France) 2 - Salvia sclarea L., fam. Lamiaceae (Labiatae)",0.0015,0.002,0.0015,0.0001,0.0001,0.0001,0.015,0.0,0.0,0.0015,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0001,0.004,0.125,0.0,0.0005,0.0,0.0,0.0,0.002,0.004,0.0015,0.0,0.0005,0.0,0.0,0.0,0.0,0.004,0.0001,0.0001,0.018,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0001,0.0,0.0,0.0,0.0,0.613,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0005,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0015,0.0,0.0001
"Clary sage (Tasmania) - Salvia sclarea L., fam. Lamiaceae (Labiatae)",0.0,0.0,0.0,0.0,0.0,0.0,0.0324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0234,0.1348,0.0,0.0,0.0,0.0,0.0,0.0,0.0205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Clary sage (U.S.A.) - Salvia sclarea L., fam. Lamiaceae (Labiatae)",0.0059,0.002,0.001,0.0019,0.0003,0.0001,0.0109,0.0,0.0,0.0148,0.0,0.0025,0.0,0.0007,0.0,0.0001,0.0003,0.0305,0.2446,0.0,0.0005,0.0,0.0,0.0,0.0247,0.0259,0.0043,0.0,0.0089,0.0,0.0,0.0,0.0,0.0024,0.0003,0.0005,0.0309,0.0134,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0056,0.0,0.0,0.0,0.0,0.4915,0.0001,0.0003,0.0004,0.0003,0.001,0.0,0.0,0.0,0.0,0.0021,0.001,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0005,0.0,0.0,0.0,0.0031,0.0,0.0003
"Clary sage 2 - Salvia sclarea L., fam. Lamiaceae (Labiatae)",0.0051,0.0029,0.0025,0.0,0.0006,0.0006,0.0056,0.0,0.0,0.002,0.0,0.0,0.0005,0.0037,0.0,0.0,0.0006,0.007,0.1862,0.0,0.0,0.0,0.0068,0.0,0.0016,0.0049,0.0,0.0,0.0006,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
