,"Bergamot leaf (Taiwan) - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bitter orange leaf (Petitgrain) (China) 1 - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae","Bitter orange leaf (Petitgrain) (Italy) 1 - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae","Bitter orange leaf (Petitgrain) (Italy) 2b - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae","Bitter orange leaf (Petitgrain) (Italy) 2c - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae","Bitter orange leaf (Petitgrain) (Spain) 2 - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae","Bitter orange leaf 1 (Petitgrain) - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae","Bitter orange leaf 2 (Petitgrain) - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae","Bitter orange leaf 3 (Petitgrain) - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae","Clary sage (France) 1 - Salvia sclarea L., fam. Lamiaceae (Labiatae)","Clary sage (France) 2 - Salvia sclarea L., fam. Lamiaceae (Labiatae)","Clary sage (France) 3 - Salvia sclarea L., fam. Lamiaceae (Labiatae)","Clary sage (Russia) 1 - Salvia sclarea L., fam. Lamiaceae (Labiatae)","Clary sage (Tasmania) - Salvia sclarea L., fam. Lamiaceae (Labiatae)","Clary sage (U.S.A.) - Salvia sclarea L., fam. Lamiaceae (Labiatae)","Clary sage 1 - Salvia sclarea L., fam. Lamiaceae (Labiatae)","Clary sage 2 - Salvia sclarea L., fam. Lamiaceae (Labiatae)","Clary sage 3 - Salvia sclarea L., fam. Lamiaceae (Labiatae)",Lavender (USA) (var. Hidcote) - Lavandula angustigolia Mill. (L. officinalis Chaix) (Hidcote cultivar),Lavender (USA) (var. Mitcham Grey) - Lavandula angustifolia Mill. (L. officinalis Chaix) (Mitcham Grey cult.),"Mentha citrata (Bergamot mint) (Argentina) 1 - Mentha citrata Ehrh., fam. Lamiaceae (Labiatae)","Mentha citrata (Bergamot mint) (Argentina) 2a - Mentha citrata Ehrh., fam. Lamiaceae (Labiatae)","Mentha citrata (Bergamot mint) (Japan) 2 - Mentha citrata Ehrh., fam. Lamiaceae (Labiatae)","Mentha citrata (Bergamot mint) - Mentha citrata Ehrh., fam. Lamiaceae (Labiatae)","Skimmia laureola (India) 1 - Skimmia laureola Sieb. et Zucc., fam. Rutaceae","Skimmia laureola (India) 2 - Skimmia laureola Sieb. et Zucc., fam. Rutaceae","Skimmia laureola (India) 3 - Skimmia laureola Sieb. et Zucc., fam. Rutaceae","Skimmia laureola (India) 4 - Skimmia laureola Sieb. et Zucc., fam. Rutaceae"
"Bergamot leaf (Taiwan) - Citrus bergamia Risso et Poiteau, fam. Rutaceae",1.0,0.6758470439577259,0.8434965027267742,0.14945307753393577,0.23988151484942544,0.8014332596320229,0.8713528943431159,0.853903083958673,0.8104878691955786,0.6312688473090518,0.7077780403911412,0.3997020679790434,0.810511639768147,0.7026967553099823,0.853998143329728,0.6321263983854155,0.6312876280650787,0.6890263990932493,0.680659256745406,0.6156464913882753,0.6419602196395766,0.7764479157895524,0.7814592818942012,0.8278706646038599,0.5990261884150452,0.3578091214582714,0.7831368187090015,0.6068146226754758
"Bitter orange leaf (Petitgrain) (China) 1 - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae",0.6758470439577259,1.0,0.6074848435845112,0.07905973596000904,0.16246945714620953,0.7231937358400652,0.6705443306338077,0.6385140948230733,0.6737339665283075,0.4793577465946439,0.6318898487379014,0.2949069112973145,0.7398099272420453,0.6097959383707974,0.6809298537300932,0.531033536612038,0.47626857310866333,0.5755736320821084,0.6661795809267215,0.650038752142854,0.5428607322979943,0.5761280199461821,0.6038930823779785,0.6154514594098353,0.45305866999577094,0.4577463987411281,0.6216555406669863,0.6203055195753426
"Bitter orange leaf (Petitgrain) (Italy) 1 - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae",0.8434965027267742,0.6074848435845112,1.0,0.17733604391196722,0.2687970772337055,0.763065694859109,0.8575276024724563,0.9047743726713372,0.8039632890349486,0.6853442455213283,0.7040185914760091,0.43748446920606954,0.7737910735242299,0.7177294688026976,0.8565646549796537,0.6505423039678295,0.6853109151205519,0.7072518242794803,0.6491836972839793,0.5725758863704982,0.6601710313124605,0.8515548726785147,0.8048789741420611,0.885191496864624,0.6464765846779197,0.2952235975306813,0.8178164352621907,0.5725944476125617
"Bitter orange leaf (Petitgrain) (Italy) 2b - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae",0.14945307753393577,0.07905973596000926,0.17733604391196722,1.0,0.9060430809286002,0.06716382450606906,0.1228962329808978,0.10139680000632079,0.2763877006693961,0.48147864325869894,0.3975732729246275,0.7287256808263833,0.2470105523056515,0.4089513387617718,0.09776569489600229,0.4735072171491187,0.48147825427709745,0.4408376732834717,0.3175664206657681,0.28103911159548123,0.468883008899871,0.29023873965545055,0.14023453224230154,0.2513024412450644,0.5152882370129038,0.0,0.31455227830074384,0.2714235198157735
"Bitter orange leaf (Petitgrain) (Italy) 2c - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae",0.23988151484942544,0.16246945714620964,0.2687970772337055,0.9060430809286002,1.0,0.1555217961846328,0.2131666541239472,0.19249540801527532,0.3654970790056733,0.5734664761083144,0.48647706606623875,0.8175699955158149,0.3357742676964529,0.49742342562381303,0.18870131381056388,0.5612856634461398,0.5734660032375545,0.5318863099291797,0.40027092008256937,0.3586576289849924,0.5580698700021728,0.3824366853554394,0.2303687272228392,0.34261661598680593,0.6072527788020436,0.06569258075478757,0.4066611256807965,0.3488588813446094
"Bitter orange leaf (Petitgrain) (Spain) 2 - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae",0.8014332596320229,0.7231937358400652,0.763065694859109,0.06716382450606906,0.1555217961846327,1.0,0.8303320796074157,0.8235764878706933,0.7746167464983378,0.5282752354085116,0.640300078985168,0.306908071515562,0.7738845657037774,0.6378601505864185,0.8402253433013722,0.5536886923088153,0.5282413160770346,0.6021653355738464,0.6615748858927165,0.6161017324126905,0.5604040364864252,0.6818322907639285,0.7102756078329149,0.72177987630672,0.49443426775260557,0.3893085321211651,0.6839408538873888,0.5964588928918775
"Bitter orange leaf 1 (Petitgrain) - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae",0.8713528943431159,0.6705443306338077,0.8575276024724563,0.12289623298089769,0.21316665412394709,0.8303320796074157,1.0,0.9007088426592882,0.7909656811796315,0.6080257903724018,0.6804887704823521,0.37370152822444624,0.792391344934446,0.6827055095109472,0.879770348462739,0.6078330053751041,0.6080184150417776,0.6625022631974218,0.6611212005534586,0.5996688423952555,0.6144564607208007,0.7569913518756153,0.7709675070184137,0.8211365263158954,0.5738823719045181,0.3501897948418835,0.7579093976528146,0.5924864751606247
"Bitter orange leaf 2 (Petitgrain) - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae",0.853903083958673,0.6385140948230733,0.9047743726713372,0.1013968000063209,0.1924954080152751,0.8235764878706933,0.9007088426592882,1.0,0.7747622892220949,0.6025150539449287,0.6537179714571071,0.35831736315361606,0.7615450963732299,0.6621797026260443,0.9086353572266919,0.5874831809630983,0.6025187751075134,0.6413367781077302,0.6258047061875756,0.5600725494397538,0.5952553454539817,0.7711373869096233,0.7919820111616314,0.8223267740607805,0.5654012677457927,0.3124220793433742,0.75271413954443,0.5592097068004853
"Bitter orange leaf 3 (Petitgrain) - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae",0.8104878691955786,0.6737339665283075,0.8039632890349486,0.2763877006693962,0.3654970790056734,0.7746167464983378,0.7909656811796315,0.7747622892220949,1.0,0.7268183418768013,0.8187122515325229,0.5174976362609001,0.8619093872748544,0.8178239083374603,0.7743243785923161,0.7420117238410484,0.7267702322927192,0.8010311734465008,0.758319371917412,0.6873244995364713,0.7501842661804904,0.8187843047707359,0.7266295818799455,0.826795897416307,0.6961604925463565,0.3863878873123462,0.834287438809748,0.6817025733252051
"Clary sage (France) 1 - Salvia sclarea L., fam. Lamiaceae (Labiatae)",0.6312688473090518,0.4793577465946439,0.6853442455213283,0.48147864325869894,0.5734664761083144,0.5282752354085116,0.6080257903724018,0.6025150539449287,0.7268183418768015,1.0,0.8013152976904532,0.7447144272018912,0.6880875723965787,0.8178958869800428,0.5912513232837082,0.8327530351806495,0.9857555092914013,0.8718791901611695,0.6698282135433564,0.5882589185743292,0.849996449083454,0.8015600156415954,0.624763975870347,0.7498062290613183,0.9466988426338628,0.25157060459627123,0.8096660700716529,0.5833925093466248
