,"Artemisia alba (Belgium) - Artemisia alba Turra, fam. Asteraceae (Compositae)","Hyssop (Bulgaria) - Hyssopus officinalis L. ssp officinalis, fam. Lamiaceae (Labiatae)","Hyssop (Finland) 1 - Hyssopus officinalis L., fam. Lamiaceae (Labiatae)","Hyssop (Finland) 3 - Hyssopus officinalis L., fam. Lamiaceae (Labiatae)","Hyssop (Finland) 4 - Hyssopus officinalis L., fam. Lamiaceae (Labiatae)","Hyssop (France) 1 - Hyssopus officinalis L., fam. Lamiaceae (Labiatae)","Hyssop (Himalaya) - Hyssopus officinalis L., fam. Lamiaceae (Labiatae)","Hyssop (Italy) - Hyssopus officinalis L., fam. Lamiaceae (Labiatae)","Hyssop (USA) - Hyssopus officinalis L., fam. Lamiaceae (Labiatae)","Hyssop (Yugoslavia) 1a form albus - Hyssopus officinalis L., f. albus Alef., fam. Lamiaceae (Labiatae)","Hyssop (Yugoslavia) 1b form cyaneus - Hyssopus officinalis L., f. cyaneus Alef., fam. Lamiaceae (Labiatae)","Hyssop (Yugoslavia) 1c form ruber - Hyssopus officinalis L., f. ruber Mill., fam. Lamiaceae (Labiatae)","Hyssop flower - Hyssopus officinalis L., fam. Lamiaceae (Labiatae)","Hyssop leaf - Hyssopus officinalis L., fam. Lamiaceae (Labiatae)","Hyssop root - Hyssopus officinalis L., fam. Lamiaceae (Labiatae)","Hyssop stem - Hyssopus officinalis L., fam. Lamiaceae (Labiatae)","Sphaeranthus suaveolens (Egypt) - Sphaeranthus suaveolens DC., fam. Asteraceae (Compositae)"
"Artemisia alba (Belgium) - Artemisia alba Turra, fam. Asteraceae (Compositae)",1.0,0.5271504660170434,0.4942852758926398,0.0030739066330288667,0.38638820937235074,0.47706543573560956,0.13507743836901553,0.5328402134047989,0.2386636604469139,0.540835035591194,0.26604898203687466,0.24927545469857926,0.21269280529253376,0.11342235514352839,0.24525828512620773,0.1617490928969011,0.5094201847552852
"Hyssop (Bulgaria) - Hyssopus officinalis L. ssp officinalis, fam. Lamiaceae (Labiatae)",0.5271504660170434,1.0,0.6762778723532314,0.10831270137700266,0.4913335682337632,0.7335650626527103,0.2088228496709994,0.7165355354756426,0.42724934822486016,0.7860654203891112,0.43362077846261815,0.4177829680627708,0.1814192133457161,0.15962277979520045,0.28079919327801195,0.19002993756757303,0.5181343079571842
"Hyssop (Finland) 1 - Hyssopus officinalis L., fam. Lamiaceae (Labiatae)",0.4942852758926398,0.6762778723532314,1.0,0.34165974667053345,0.7188571351401187,0.6392089383712567,0.41656184094768467,0.5721903933555128,0.564836031028574,0.7898633418869492,0.6094076124312313,0.5998743096683914,0.33994170985244176,0.34148128691319757,0.4535529022961461,0.4200520036353824,0.49717875476422135
"Hyssop (Finland) 3 - Hyssopus officinalis L., fam. Lamiaceae (Labiatae)",0.0030739066330288667,0.10831270137700266,0.34165974667053345,1.0,0.377961824594236,0.18848134641880787,0.6459482212078593,0.0,0.48005207247266757,0.190893729142958,0.49526167907832064,0.5404558185672635,0.5637674287207768,0.7328644173884058,0.5734969004935431,0.6573128103132007,0.0060195644358505
"Hyssop (Finland) 4 - Hyssopus officinalis L., fam. Lamiaceae (Labiatae)",0.38638820937235074,0.4913335682337632,0.7188571351401187,0.377961824594236,1.0,0.5344062119365629,0.48917735852298805,0.4118299848861371,0.42548364928231286,0.5697846053588842,0.4601191851542552,0.48108151596087967,0.3778124923662275,0.36850083147365453,0.5096087624857466,0.4392721800112639,0.3923014322532261
"Hyssop (France) 1 - Hyssopus officinalis L., fam. Lamiaceae (Labiatae)",0.47706543573560956,0.7335650626527103,0.6392089383712567,0.18848134641880787,0.5344062119365629,1.0,0.28212497570412787,0.6511710514725105,0.454337531378731,0.679511432274742,0.4306285169451938,0.42700806007963543,0.2497276384140329,0.2503524397380771,0.3721104642491727,0.2573078223264095,0.4591487022048386
"Hyssop (Himalaya) - Hyssopus officinalis L., fam. Lamiaceae (Labiatae)",0.13507743836901553,0.2088228496709994,0.41656184094768467,0.6459482212078593,0.48917735852298805,0.28212497570412787,1.0,0.11581252415839682,0.5102048078795318,0.2954449400434972,0.5214053600564911,0.5715087978757738,0.5378780991736651,0.629954834923701,0.6178612284316247,0.6134313204403155,0.14266049766749744
"Hyssop (Italy) - Hyssopus officinalis L., fam. Lamiaceae (Labiatae)",0.5328402134047989,0.7165355354756426,0.5721903933555128,0.0,0.4118299848861371,0.6511710514725105,0.11581252415839682,1.0,0.32304804559389344,0.6906244889505591,0.3306385821894542,0.31244430608815243,0.07422806610106647,0.04825582279755947,0.2007492555503031,0.10939021864178444,0.5287961138988447
"Hyssop (USA) - Hyssopus officinalis L., fam. Lamiaceae (Labiatae)",0.2386636604469139,0.42724934822486016,0.564836031028574,0.48005207247266757,0.42548364928231286,0.454337531378731,0.5102048078795318,0.32304804559389344,1.0,0.5259464962629596,0.8704311870818209,0.8651195917961113,0.3822318253511706,0.47678661711667303,0.416873413024471,0.4244075904070217,0.2368870549440516
"Hyssop (Yugoslavia) 1a form albus - Hyssopus officinalis L., f. albus Alef., fam. Lamiaceae (Labiatae)",0.540835035591194,0.7860654203891112,0.7898633418869492,0.190893729142958,0.5697846053588842,0.679511432274742,0.2954449400434972,0.6906244889505591,0.5259464962629596,1.0,0.5592906013351955,0.5304302003555963,0.22120618195924502,0.2120479100018905,0.3307468393683787,0.2697069416624388,0.5389122058720246
