,"Citronella java 4a headspace of oil - Cymbopogon winterianus Jowitt, fam. Poaceae (Gramineae)","Eucalyptus citriodora (Australia) - Eucalyptus citriodora Hook. f., fam. Myrtaceae","Eucalyptus citriodora (Bangladesh) - Eucalyptus citriodora Hook. f., fam. Myrtaceae","Eucalyptus citriodora (Benin) 1 - Eucalyptus citriodora Hook. f., fam. Myrtaceae","Eucalyptus citriodora (Benin) 2 - Eucalyptus citriodora Hook. f., fam. Myrtaceae","Eucalyptus citriodora (China) 1 - Eucalyptus citriodora Hook. f., fam. Myrtaceae","Eucalyptus citriodora (China) 2 - Eucalyptus citriodora Hook. f., fam. Myrtaceae","Eucalyptus citriodora (Congo) - Eucalyptys citriodora Hook. f., fam. Myrtaceae","Eucalyptus citriodora (Ethiopia) - Eucalyptus citriodora Hook. f., fam. Myrtaceae","Eucalyptus citriodora (India) 1 - Eucalyptus citriodora Hook. f., fam. Myrtaceae","Eucalyptus citriodora (India) 2 - Eucalyptus citriodora Hook. f., fam. Myrtaceae","Eucalyptus citriodora (Madagascar) - Eucalyptus citriodora Hook. f., fam. Myrtaceae","Eucalyptus citriodora (Morocco) - Eucalyptus citriodora Hook. f., fam. Myrtaceae","Eucalyptus citriodora (Spain) - Eucalyptus citriodora Hook. f., fam. Myrtaceae","Eucalyptus citriodora 1a - Eucalyptus citriodora Hook. f., fam. Myrtaceae","Eucalyptus citriodora 1b - Eucalyptus citriodora Hook. f., fam. Myrtaceae","Litsea cubeba (India) 2c fruit - Litsea cubeba (Lour.) Pers. (L. citrata Blume), fam. Lauraceae","Litsea cubeba fruit 2 - Litsea cubeba (Lour.) Pers. (L. citrata Blume), fam. Lauraceae","Swangi (Citrus hystrix) leaf (China) - Citrus hystrix Dc (Swangi), fam. Rutaceae","Swangi (Citrus hystrix) leaf (Madagascar) - Citrus hystrix DC (Swangi), fam. Rutaceae","Swangi (Citrus hystrix) leaf (Malaysia) - Citrus hystrix DC (Swangi), fam. Rutaceae","Swangi (Citrus hystrix) leaf (Thailand) 1 - Citrus hystrix DC (Swangi), fam. Rutaceae"
"Citronella java 4a headspace of oil - Cymbopogon winterianus Jowitt, fam. Poaceae (Gramineae)",1.0,0.24265298643337352,0.30414058953560974,0.38098630014944834,0.28071583981597437,0.3645458931355313,0.17290466543073424,0.3650860406384079,0.34142348888983787,0.364782101158311,0.28643991956008164,0.34125422875642886,0.3650389670924299,0.2813724767435899,0.29521687000712993,0.24242712200337024,0.5596141788703954,0.3725968898388422,0.3027805456018021,0.39162527935221425,0.23332629057767051,0.3970128273943482
"Eucalyptus citriodora (Australia) - Eucalyptus citriodora Hook. f., fam. Myrtaceae",0.24265298643337385,1.0,0.7583075322685364,0.4993714309901982,0.7641579197050319,0.6053340591935621,0.7334872934314315,0.6727668083735602,0.643226180026359,0.6057143402739587,0.7828411949490762,0.5139431972483837,0.29614074989384875,0.1989850268004938,0.6533481312214197,0.9967564150518242,0.4361535771090611,0.6885575864716525,0.7295863035181875,0.40357613321430785,0.7369777540204461,0.5469524432564048
"Eucalyptus citriodora (Bangladesh) - Eucalyptus citriodora Hook. f., fam. Myrtaceae",0.30414058953560985,0.7583075322685364,1.0,0.5330933108949167,0.7431000023750641,0.6747888810920798,0.6802052309244604,0.7302755612524989,0.6522610337688204,0.6752506675306753,0.758679677691688,0.5635850716978401,0.3722492702115995,0.22950390747213423,0.6802840293640302,0.7583134682337097,0.514996718522664,0.7389092694126024,0.7517603766140413,0.46354688239086916,0.7323204846250022,0.5853978077317976
"Eucalyptus citriodora (Benin) 1 - Eucalyptus citriodora Hook. f., fam. Myrtaceae",0.38098630014944834,0.4993714309901982,0.5330933108949167,1.0,0.6011177964118528,0.67983813472386,0.40917283473889465,0.6255120463952735,0.7914542899965307,0.680297491537857,0.5698371770766524,0.5350179663084296,0.5490517415701761,0.33771982228446507,0.5034320242525046,0.49937572958610554,0.6639479634750419,0.6121987927781983,0.5500888210557296,0.5261358889345056,0.479177713096422,0.6817120286358032
"Eucalyptus citriodora (Benin) 2 - Eucalyptus citriodora Hook. f., fam. Myrtaceae",0.28071583981597426,0.7641579197050319,0.7431000023750641,0.6011177964118528,1.0,0.7237452209127253,0.7932031031918243,0.7477438428904079,0.7743354961554438,0.7242781513946119,0.9118137420550113,0.554110956886392,0.3545764216389211,0.1339710673128176,0.7024828447341447,0.7641624821043551,0.4936227899971355,0.8000528921648653,0.8265589984295976,0.4197688034879796,0.8313669007874184,0.6040454658851193
"Eucalyptus citriodora (China) 1 - Eucalyptus citriodora Hook. f., fam. Myrtaceae",0.3645458931355313,0.6053340591935621,0.6747888810920798,0.67983813472386,0.7237452209127253,1.0,0.5706167816050031,0.7553077470824925,0.752557760953661,0.9877679466300145,0.6885879140938623,0.5638155914133327,0.49842407310512216,0.2724664531207087,0.6331666224774223,0.6052890770718171,0.6582667708491918,0.8310532979431149,0.7339255901980521,0.4766996991371,0.6839740628832124,0.6180230338979129
"Eucalyptus citriodora (China) 2 - Eucalyptus citriodora Hook. f., fam. Myrtaceae",0.17290466543073446,0.7334872934314315,0.6802052309244604,0.40917283473889465,0.7932031031918243,0.5706167816050031,1.0,0.6374285494207601,0.591593174873944,0.5709586262383488,0.8175599780823248,0.45368807644488474,0.20682597755518495,0.0,0.6397505261921828,0.7334830318568457,0.34049839817084016,0.6803998787017386,0.7433499143838929,0.2987046467750879,0.840958685352698,0.4580210629136938
"Eucalyptus citriodora (Congo) - Eucalyptys citriodora Hook. f., fam. Myrtaceae",0.3650860406384079,0.6727668083735602,0.7302755612524989,0.6255120463952735,0.7477438428904079,0.7553077470824925,0.6374285494207601,1.0,0.7127424726841323,0.7558924369866933,0.7644418437557594,0.6802680437688172,0.5107178652047395,0.27173387244202074,0.7416508374941791,0.6727244303789781,0.612984802674628,0.7660923071507713,0.7804079433563397,0.5693564882518747,0.6924598453196702,0.702808515403853
"Eucalyptus citriodora (Ethiopia) - Eucalyptus citriodora Hook. f., fam. Myrtaceae",0.34142348888983787,0.643226180026359,0.6522610337688204,0.7914542899965307,0.7743354961554438,0.752557760953661,0.591593174873944,0.7127424726841323,1.0,0.753133516051504,0.7423446445207162,0.5243248215244647,0.42769502780430946,0.2393266366226665,0.6245036184417274,0.6432124411758864,0.5955692107990089,0.7473514862558713,0.6756996553579488,0.4630265290272271,0.6555234209282361,0.6414820570227133
"Eucalyptus citriodora (India) 1 - Eucalyptus citriodora Hook. f., fam. Myrtaceae",0.364782101158311,0.6057143402739587,0.6752506675306753,0.680297491537857,0.7242781513946119,0.9877679466300145,0.5709586262383488,0.7558924369866933,0.753133516051504,1.0,0.6890367434842237,0.5641488100566374,0.49869951274118995,0.27259468231358197,0.6335759506493159,0.6056694663651463,0.6586886868450798,0.8319037331375697,0.7344451852499749,0.476986556615289,0.6844492909079836,0.6184161170719005
