,"Backhousia citriodora - Backhousia citriodora F. Muell., fam. Myrtaceae","Bay, West Indian (Guadeloupe) 1b - Pimenta racemosa var. racemosa (P. Miller) J.W. Moore, fam. Myrtaceae","Bay, West Indian (Guadeloupe) 2a - Pimenta racemosa var. racemosa (P. Miller) J.W. Moore, fam. Myrtaceae","Bay, West Indian (Guadeloupe) 2b - Pimenta racemosa var. racemosa (P. Miller) J.W. Moore, fam. Myrtaceae","Cinnamomum parthenoxylum (China) 1e - Cinnamomum parthenoxylum (Jack) Nees, fam. Lauraceae","Cunila galioides (Brazil) 1a - Cunila galioides Benth., fam. Lamiaceae (Labiatae)","Elionurus muticus (Zimbabwe) - Elionurus muticus (Spreng.) Kunth, fam. Poaceae (Gramineae)","Elsholtzia eriostachya - Elsholtzia eriostachya var. pusilla Benth., fam. Lamiaceae (Labiatae)","Hexalobus monopetalus leaf - Hexalobus monopetalus (A. Rich) Engl., fam. Annonaceae","Jammu lemongrass (India) 2 - Cymbopogon pendulus L., fam. Poaceae (Gramineae)","Lemon balm (Italy) - Melissa officinalis L., fam. Lamiaceae (Labiatae)","Lemon balm (Spain) - Melissa officinalis L., fam. Lamiaceae (Labiatae)","Lemongrass (Argentine) - Cymbopogon citratus (DC) Stapf (C. flexuosus), fam. Poaceae (Gramineae)","Lemongrass (Bangladesh) - Cymbopogon citratus (DC) Stapf (C. flexuosus), fam. Poaceae (Gramineae)","Lemongrass (Burkina Faso) - Cymbopogon citratus (DC) Stapf (C. flexuosus), fam. Poaceae (Gramineae)","Lemongrass (Cameroon) - Cymbopogon citratus (DC) Stapf (C. flexuosus), fam. Poaceae (Gramineae)","Lemongrass (China) - Cymbopogon citratus (DC) Stapf (C. flexuosus), fam. Poaceae (Gramineae)","Lemongrass (Cuba) - Cymbopogon citratus (DC) Stapf (C. flexuosus), fam. Poaceae (Gramineae)","Lemongrass (Egypt) - Cymbopogon citratus (DC) Stapf (C. flexuosus), fam. Poaceae (Gramineae)","Lemongrass (Ghana) - Cymbopogon citratus (DC) Stapf (C. flexuosus), fam. Poaceae (Gramineae)","Lemongrass (India) 1 - Cymbopogon citratus (DC) Stapf (C. flexuosus), fam. Poaceae (Gramineae)","Lemongrass (India) 2 - Cymbopogon citratus (DC) Stapf (C. flexuosus), fam. Poaceae (Gramineae)","Lemongrass (India) 3 - Cymbopogon citratus (DC) Stapf (C. flexuosus), fam. Poaceae (Gramineae)","Lemongrass (India) 4 - Cymbopogon citratus (DC) Stapf (C. flexuosus), fam. Poaceae (Gramineae)","Lemongrass (India) 5 - Cymbopogon citratus (DC) Stapf (C. flexuosus), fam. Poaceae (Gramineae)","Lemongrass (Lagos) - Cymbopogon citratus (DC) Stapf (C. flexuosus), fam. Poaceae (Gramineae)","Lemongrass (Mali) - Cymbopogon citratus (DC) Stapf (C. flexuosus), fam. Poaceae (Gramineae)","Lemongrass (Peru) - Cymbopogon citratus (DC) Stapf (C. flexuosus), fam. Poaceae (Gramineae)","Lemongrass (Russia) - Cymbopogon citratus (DC) Stapf (C. flexuosus), fam. Poaceae (Gramineae)","Lemongrass (Rwanda) - Cymbopogon citratus (DC) Stapf (C. flexuosus), fam. Poaceae (Gramineae)","Lemongrass (Turkey) - Cymbopogon citratus (DC) Stapf (C. flexuosus), fam. Poaceae (Gramineae)","Lemongrass (Zambia) - Cymbopogon citratus (DC) Stapf (C. flexuosus), fam. Poaceae (Gramineae)","Lemongrass (Zimbabwe) - Cymbopogon citratus (DC) Stapf (C. flexuosus), fam. Poaceae (Gramineae)","Lemongrass 1 - Cymbopogon citratus (DC) Stapf (C. flexuosus), fam. Poaceae (Gramineae)","Lemongrass 2 - Cymbopogon citrstus (DC) Stapf (C. flexuosus), fam. Poaceae (Gramineae)","Lemongrass 3a - Cymbopogon citratus (DC) Stapf (C. flexuosus), fam. Poaceae (Gramineae)","Lemongrass 3c headspace heated oil - Cymbopogon citratus (DC) Stapf (C. flexuosus), fam. Poaceae (Gramineae)","Leptospermum petersonii - Leptospermum petersonii (syn. L. citratum), fam. Myrtaceae","Lippia alba (Brazil) 1 - Lippia alba (Mill.) N.E. Brown (Cidreira), fam. Verbenaceae","Lippia alba (S. America) - Lippia alba (Mill.) N.E. Brown (Cidreira), fam. Verbenaceae","Litsea cubeba fruit 1 - Litsea cubeba (Lour.) Pers. (L. citrata Blume), fam. Lauraceae","Litsea cubeba fruit 3 - Litsea cubeba (Lour.) Pers. (L. citrata Blume), fam. Lauraceae","Pelargonium citronellum - Pelargonium citronellum J.J.A. v.d. Walt, fam. Geraniaceae","Perilla frutescens (China) 1 - Perilla frutescens (L.) Brit., fam. Lamiaceae (Labiatae)"
"Backhousia citriodora - Backhousia citriodora F. Muell., fam. Myrtaceae",1.0,0.6305367516068178,0.6338808721528033,0.6008540581675359,0.6145909086920838,0.809863316678636,0.7566659035691993,0.7711453184451637,0.6074073929032585,0.7883991443271545,0.5469104780474755,0.7807168702519419,0.5996747936082826,0.8124827598976672,0.6346119837961317,0.5964432891574647,0.4481707294380892,0.8244366513051857,0.6613093225735158,0.713838623466398,0.6186982622628,0.6719702629095075,0.7393978074763292,0.7123127956510762,0.7336762300593207,0.11082087685032083,0.5597770666604737,0.6148630679349788,0.30958705017078814,0.7229249801375839,0.4590514819900783,0.3815482427463065,0.5318902458853816,0.7940255850693239,0.6485939242569394,0.7701235914343125,0.5987033851311492,0.3852818645321665,0.4468126837784909,0.5193455676696622,0.6201422117975293,0.7686858723812963,0.6875608039196812,0.4811623801735635
"Bay, West Indian (Guadeloupe) 1b - Pimenta racemosa var. racemosa (P. Miller) J.W. Moore, fam. Myrtaceae",0.6305367516068178,1.0,0.7844259074659317,0.5359215800761125,0.6806065916234505,0.6553918362459762,0.6772796621203165,0.5196872415906617,0.7277803260438049,0.6240578425204534,0.619675917626181,0.6714869671124366,0.6559815122717857,0.6023370983220089,0.7052472587694518,0.6582381134111176,0.5753524752656451,0.6036189702406927,0.7582644038030197,0.7393322414101784,0.5568077579870809,0.6315479567257918,0.5241154163594529,0.7713674456282513,0.5439183505544559,0.3114098388283335,0.6052395090406093,0.608454626185632,0.4699433714788509,0.6433791810561421,0.5283161137622361,0.5635761943967433,0.7082882920351371,0.6228672811725549,0.7064039978899782,0.6914802711305457,0.4594342299515245,0.5151077873788312,0.6465532663161572,0.6466002102485837,0.7956942761838024,0.5152532272412099,0.7431296353073761,0.6495582829432406
"Bay, West Indian (Guadeloupe) 2a - Pimenta racemosa var. racemosa (P. Miller) J.W. Moore, fam. Myrtaceae",0.6338808721528033,0.7844259074659317,1.0,0.5549682565097558,0.7137654355413389,0.6501659880596823,0.6796264538126034,0.5327181221737496,0.7190602237689574,0.6499556003519082,0.6171139215147987,0.6677423843577865,0.6768520849985725,0.6161211809132836,0.7177925019725855,0.6715328022908038,0.5499121754047475,0.6066377422266301,0.644451403951188,0.7656478145335633,0.5654761870670666,0.6449401882213583,0.5313083724284937,0.7581156871754384,0.55044320740752,0.29283039854560267,0.6477614756050645,0.7117899106438925,0.43950893714076034,0.695247724177704,0.5367185193835549,0.5580823944492481,0.7379877951985316,0.6202208386729301,0.6432469638797642,0.6605164336754955,0.46866222215161646,0.509993206779531,0.5081888881639652,0.6282879722410767,0.6628139610437999,0.5153125278947546,0.7169592032245782,0.6319010417703808
"Bay, West Indian (Guadeloupe) 2b - Pimenta racemosa var. racemosa (P. Miller) J.W. Moore, fam. Myrtaceae",0.6008540581675359,0.5359215800761125,0.5549682565097558,1.0,0.6098743759159502,0.6705401272609302,0.6166376781005305,0.6602417646718058,0.48088912531066486,0.7182638062337849,0.503511137510885,0.6318818865285384,0.6944226958238439,0.7152396137752166,0.6054402447913556,0.5888352574685378,0.3343349632823509,0.6734555600512158,0.5974767325310308,0.6710318664922006,0.6272248547138363,0.7990375198641945,0.7429006068585109,0.5753969199814857,0.7768190565466087,0.11395268585565821,0.7630908258267499,0.6585556285664551,0.35454653611043285,0.7854927434382836,0.6565958736189514,0.3784305115438008,0.46937088010208616,0.5652613698031014,0.6058272908986209,0.6698824732430201,0.8179692259994473,0.2965745778717829,0.3909539476087447,0.4359829344308994,0.49161744495405135,0.6189377604758808,0.5481822548888171,0.4735798261054637
"Cinnamomum parthenoxylum (China) 1e - Cinnamomum parthenoxylum (Jack) Nees, fam. Lauraceae",0.6145909086920838,0.6806065916234505,0.7137654355413389,0.6098743759159502,1.0,0.6718264001357442,0.6640797861532663,0.5445621397576494,0.6834138609457034,0.6495434884650284,0.6495619520704943,0.672879650870123,0.625807666223869,0.6285686042702487,0.6266411582228425,0.5679892569621863,0.43847784781519394,0.5978509569906466,0.6603702171414612,0.6862675315644516,0.6061858578633748,0.6733309771379223,0.566983753942908,0.7049388205302431,0.5923553501827254,0.20098087893240657,0.6318567608695724,0.6365984797172031,0.356710436312661,0.6951543718282379,0.5172335833035194,0.45503241831658703,0.5978290918829181,0.5731640278083958,0.6913856391947335,0.660234562026603,0.5384800628779146,0.491666481444998,0.5217338252539812,0.6359826596957279,0.6117881305143097,0.5126382907199123,0.7149923934125595,0.6020519300728611
"Cunila galioides (Brazil) 1a - Cunila galioides Benth., fam. Lamiaceae (Labiatae)",0.809863316678636,0.6553918362459762,0.6501659880596823,0.6705401272609302,0.6718264001357442,1.0,0.8331907939727685,0.7749282587131439,0.6450988637344344,0.8591683452126919,0.620745106321275,0.8605853395622161,0.63593856592935,0.8602807213793264,0.6514544236254027,0.6053656138193226,0.44841130667369156,0.8277278169799547,0.7336855747202177,0.7376746977912093,0.663859702611127,0.746124826072998,0.7743268138750504,0.7712006034185256,0.781099668350203,0.1267133196422845,0.609794326060507,0.6409010196791416,0.3249845723174831,0.7734025614909633,0.5057751930307,0.3972225782806169,0.5461425241932114,0.776107464537199,0.7171730905176701,0.8097505682522388,0.6620161923922376,0.40902932923566704,0.48690629771733396,0.5873092751042999,0.6382889051713407,0.7533854360756663,0.7312502346866883,0.5283183121514612
"Elionurus muticus (Zimbabwe) - Elionurus muticus (Spreng.) Kunth, fam. Poaceae (Gramineae)",0.7566659035691993,0.6772796621203165,0.6796264538126034,0.6166376781005305,0.6640797861532663,0.8331907939727685,1.0,0.6853653247395661,0.675752028563392,0.7928575101496037,0.6078147821763077,0.8379584794837561,0.6238865390751809,0.7730210492591032,0.650726295628528,0.6030469968263286,0.4740519230371394,0.766757328448035,0.7285892331282005,0.7267419346440797,0.6293591749068984,0.7072636416261922,0.6816241383058294,0.7974569688936195,0.6921672226705639,0.1562802585205505,0.5943596579000137,0.6261563282398328,0.33656122712570946,0.7278054680018353,0.4978594386097004,0.4247979799667788,0.5806095858473866,0.7493400484466552,0.6917796820345932,0.7780467990301532,0.58451942536654,0.44323647553736933,0.5021755094498046,0.6223644501467749,0.6662663569447034,0.6731419710772497,0.7404270648348916,0.5656797459048022
"Elsholtzia eriostachya - Elsholtzia eriostachya var. pusilla Benth., fam. Lamiaceae (Labiatae)",0.7711453184451637,0.5196872415906617,0.5327181221737496,0.6602417646718058,0.5445621397576494,0.7749282587131439,0.6853653247395661,1.0,0.48261635126366953,0.8187369131156988,0.4675869028451407,0.7202251492019958,0.5744648481817816,0.8813610237247255,0.5710751198341053,0.5492902845644558,0.3374710058479171,0.8733950787181852,0.586414339285358,0.6502612078518775,0.6090112776434786,0.7057173580113265,0.885260355243313,0.6220628531549379,0.853337402577833,0.012258587010452904,0.5663138529834391,0.6216509753554069,0.24755442520637783,0.7467660788653714,0.4567572214342922,0.29005264679681364,0.4296635429443446,0.7470435307402693,0.5756544001497209,0.7319889748563772,0.7117463077610338,0.2584132952670162,0.35405942629475107,0.405196842811845,0.5278046951286726,0.8898660449614517,0.5652693841781627,0.38588565146418763
"Hexalobus monopetalus leaf - Hexalobus monopetalus (A. Rich) Engl., fam. Annonaceae",0.6074073929032585,0.7277803260438049,0.7190602237689574,0.48088912531066486,0.6834138609457034,0.6450988637344344,0.675752028563392,0.48261635126366953,1.0,0.5995987510911196,0.6579080405254651,0.6924609634426387,0.5440561508833952,0.5731270058204632,0.5866887180816464,0.5273917635768173,0.4882556487908678,0.5631831910974616,0.6505756291363136,0.6414077507196622,0.544380851235595,0.5710408888566574,0.48983339969970885,0.7323668584603293,0.5092095772354254,0.21650395051031013,0.5166873762079685,0.5463008379854719,0.3287802583479248,0.586084823772987,0.4183737555377356,0.45078805857400706,0.5981329377563489,0.5777116426260298,0.680846800421959,0.6438581082206573,0.4180275611214589,0.5682475071754813,0.5607893025401435,0.7615239776381321,0.659547472471518,0.4752840979475593,0.7783126957667732,0.6829182242031504
"Jammu lemongrass (India) 2 - Cymbopogon pendulus L., fam. Poaceae (Gramineae)",0.7883991443271545,0.6240578425204534,0.6499556003519082,0.7182638062337849,0.6495434884650284,0.8591683452126919,0.7928575101496037,0.8187369131156988,0.5995987510911196,1.0,0.5697715333377091,0.8127390777668327,0.6487426779702326,0.9073211629083833,0.6381415832173092,0.6052198613403091,0.39910874772557425,0.8390946157286341,0.688479354668752,0.7324849790305359,0.6673906579894864,0.8136598889150132,0.8371982415235331,0.7447808393135467,0.8505643619520066,0.08900857972705345,0.6543682341414758,0.7231843792364081,0.30741790594240814,0.8464281929209646,0.5232183483397059,0.36868989786294015,0.5229512610243519,0.7409067244024428,0.6687413252494764,0.7951181120781721,0.7197934705589866,0.3665792997113788,0.4415533563987356,0.5297454704315328,0.5987863911478485,0.7823749977975599,0.6670826571686994,0.504708318160956
