,"Callistemon citrinus flower (Pakistan) - Callistemon citrinus (Curtis) Sheels (C. lanceolatus DC.), fam. Myrtaceae","Leptospermum scoparium var. rotundifolium - Leptospermum scoparium Forst var. rotundifolium, fam. Myrtaceae","Myrtle berry (Albania) - Myrtus communis L., fam. Myrtaceae","Myrtle berry (Croatia) - Myrtus communis L., fam. Myrtaceae","Myrtle berry (Italy) - Myrtus communis L., fam. Myrtaceae","Myrtle flower (Albania) - Myrtus communis L., fam. Myrtaceae","Myrtle flower (Croatia) - Myrtus communis L., fam. Myrtaceae","Myrtle flower (Morocco) - Myrtus communis L., fam. Myrtaceae","Myrtle flower (Spain) - Myrtus communis L., fam. Myrtaceae","Myrtle green fruits (Morocco) - Myrtus communis L., fam. Myrtaceae","Myrtle leaf (Albania) 1 - Myrtus communis L., fam. Myrtaceae","Myrtle leaf (Albania) 2 - Myrtus communis L., fam. Myrtaceae","Myrtle leaf (Croatia) - Myrtus communis L., fam. Myrtaceae","Myrtle leaf (France) 3 - Myrtus communis L., fam. Myrtaceae","Myrtle leaf (Iran) - Myrtus communis L., fam. Myrtaceae","Myrtle leaf (Lebanon) - Myrtus communis L., fam. Myrtaceae","Myrtle leaf (Morocco) 1 - Myrtus communis L., fam. Myrtaceae","Myrtle leaf (Morocco) 2 - Myrtus communis L., fam. Myrtaceae","Myrtle leaf (Morocco) 3 - Myrtus communis L., fam. Myrtaceae","Myrtle leaf (Morocco) 4 - Myrtus communis L., fam. Myrtaceae","Myrtle leaf (Morocco), var. baetica - Myrtus communis L. var. baetica, fam. Myrtaceae","Myrtle leaf (Morocco), var. italica - Myrtus communis L. var. italica, fam. Myrtaceae","Myrtle leaf (Spain) - Myrtus communis L., fam. Myrtaceae","Myrtle leaf (Turkey) 2 - Myrtus communis L., fam. Myrtaceae","Myrtle leaf (Yugoslavia) 1 - Myrtus communis L., fam. Myrtaceae","Myrtle leaf (Yugoslavia) 2 - Myrtus communis L., fam. Myrtaceae","Myrtle leaf, cultivated (Spain) - Myrtus communis L., fam. Myrtaceae","Myrtle leaf, wildgrowing (Spain) - Myrtus communis L., fam. Myrtaceae","Myrtle mature fruits (Morocco) - Myrtus communis L., fam. Myrtaceae","Myrtle unripe fruits (Spain) - Myrtus communis L., fam. Myrtaceae"
"Callistemon citrinus flower (Pakistan) - Callistemon citrinus (Curtis) Sheels (C. lanceolatus DC.), fam. Myrtaceae",1.0,0.6655030300675197,0.3190662456569423,0.2035319110559728,0.6673599488187807,0.24653068868695938,0.057117668929535625,0.4158611819491954,0.2673979479127685,0.29597824342226464,0.38628662819833626,0.40227380808674873,0.20823191119453188,0.44076045576639156,0.5940053741468685,0.4594212349432911,0.3824535424591149,0.4215954261807905,0.47375777220211357,0.4191611512604816,0.17609040544798105,0.3828678168550146,0.053619488179295405,0.19284305024782722,0.421742560398107,0.46554179272692187,0.021415210803124363,0.05109395993110721,0.22013262246047338,0.12278600303810139
"Leptospermum scoparium var. rotundifolium - Leptospermum scoparium Forst var. rotundifolium, fam. Myrtaceae",0.6655030300675197,1.0,0.3789496054496885,0.23683443311213281,0.6877964577630018,0.30671152230581555,0.10191989724375916,0.5203247968759057,0.326394619456858,0.35497868461802773,0.427164044353439,0.4530441797138717,0.22959112140913773,0.4051054128512851,0.6298173190491722,0.5250771372331658,0.4011235839910188,0.5003721728889041,0.46478997435062186,0.41939820111273574,0.1885498970165025,0.40091475750636807,0.03671345153758998,0.22099000791704648,0.4849015208357017,0.5028684994169792,0.052931115942235096,0.036864584612035456,0.22648303289098648,0.15508956667414253
"Myrtle berry (Albania) - Myrtus communis L., fam. Myrtaceae",0.3190662456569423,0.3789496054496885,1.0,0.5849269293162602,0.4235844371086067,0.8701806024103569,0.48442946730159553,0.567238596487345,0.692192263994601,0.6729038791694706,0.866808285217709,0.8833186849293948,0.673002897418688,0.5225060317795865,0.45302308091876886,0.5273795552307343,0.6113674733975134,0.7389035137244965,0.5759668536139086,0.5402294998655728,0.5518369785663914,0.6907318566912215,0.36130798370879746,0.619078297208908,0.8082993860313206,0.7019354704356147,0.49493007086850305,0.36182506833154704,0.5621910143309796,0.5364787953427191
"Myrtle berry (Croatia) - Myrtus communis L., fam. Myrtaceae",0.2035319110559728,0.23683443311213281,0.5849269293162602,1.0,0.20078882669854736,0.6272999648547009,0.7820004791297619,0.2768983973016117,0.6676846652727397,0.4684769690590551,0.6168464696685871,0.5620262729041179,0.7755280030534665,0.4977569394437942,0.1690403347465591,0.18492679588512406,0.43908435394550616,0.46418186837793085,0.4134224375815655,0.4342259750343894,0.8064263721951155,0.6388744922954506,0.5270652188454394,0.6166706499448605,0.5174775362181687,0.5977736644416403,0.7338675156623005,0.5278293051206902,0.732062914566945,0.612257576669618
"Myrtle berry (Italy) - Myrtus communis L., fam. Myrtaceae",0.6673599488187807,0.6877964577630018,0.4235844371086067,0.20078882669854736,1.0,0.33045973104133,0.057000902116753016,0.5729379626525037,0.32682725863165496,0.388434207330024,0.47296862636451376,0.49973601983845395,0.22981431755684034,0.44515227056958306,0.7820385109584551,0.6922297582903031,0.4836154833848215,0.5476368171919297,0.5614840803785948,0.4982207380425543,0.1734070430065039,0.42885732768873697,0.05139889584939117,0.21296820727367494,0.551603920140638,0.5022340767566167,0.03445000152174682,0.051731423458584724,0.22428631662675536,0.15990752264696217
"Myrtle flower (Albania) - Myrtus communis L., fam. Myrtaceae",0.24653068868695938,0.30671152230581555,0.8701806024103569,0.6272999648547009,0.33045973104133,1.0,0.544893310295403,0.5155119286458114,0.6723611435413324,0.6690500462984923,0.79965147008289,0.8120131967033026,0.7332001181734287,0.48535469503763273,0.3647598405449506,0.42620733447663683,0.5243750569459977,0.6763359492235994,0.4895709009376076,0.466872141220946,0.5938982440458112,0.6522894381967388,0.36096009013769015,0.687424397894951,0.7169064661601113,0.6835789730785485,0.5535108257748549,0.3615713246995732,0.5887931727599136,0.5357822508565447
"Myrtle flower (Croatia) - Myrtus communis L., fam. Myrtaceae",0.057117668929535625,0.10191989724375916,0.48442946730159553,0.7820004791297619,0.057000902116753016,0.544893310295403,1.0,0.17489069662615375,0.5925029140333102,0.3801309107014911,0.4833154644002795,0.4417856449303579,0.6536399600667187,0.32244189928521805,0.030208062067582087,0.056284906963187886,0.30254513398450766,0.34981812636125265,0.2561582010193213,0.2728770723957119,0.6705721847783609,0.49217718356997486,0.4445800386886405,0.5423699972357818,0.38783346920669315,0.4514242652182091,0.7344961381746196,0.445355332375884,0.5680263084405202,0.5580853067255191
"Myrtle flower (Morocco) - Myrtus communis L., fam. Myrtaceae",0.4158611819491954,0.5203247968759057,0.567238596487345,0.2768983973016117,0.5729379626525037,0.5155119286458114,0.17489069662615375,1.0,0.3909749771547689,0.6104028046609219,0.5387113950850329,0.6260147051919109,0.331840050033432,0.3306013291026353,0.6631708957334703,0.6565798068298707,0.3836761070261795,0.7355644408179074,0.4058466770915585,0.33698042133798056,0.22663376295016557,0.42096361841747243,0.0,0.38078000886040597,0.5966900136351599,0.5475027730493456,0.11875932920736154,0.0001227354232725686,0.2598978247334548,0.18813434773505577
"Myrtle flower (Spain) - Myrtus communis L., fam. Myrtaceae",0.2673979479127685,0.326394619456858,0.692192263994601,0.6676846652727397,0.32682725863165496,0.6723611435413324,0.5925029140333102,0.3909749771547689,1.0,0.4650455700242948,0.7111494895195662,0.6434935832033882,0.6276457228132445,0.4672213378968999,0.3035329075694121,0.36247041613609254,0.6474424044097522,0.5461283917916625,0.5734328735020028,0.5609081209187963,0.5963036754416077,0.7637171619728562,0.5273254904316874,0.4576124171332847,0.6813257660762092,0.6011599472230409,0.6099837391183495,0.5279343134055563,0.6023723247355837,0.7618850459135396
"Myrtle green fruits (Morocco) - Myrtus communis L., fam. Myrtaceae",0.29597824342226464,0.35497868461802773,0.6729038791694706,0.4684769690590551,0.3884342073300239,0.6690500462984923,0.3801309107014911,0.6104028046609219,0.4650455700242948,1.0,0.6242837517241193,0.705314118405898,0.5211663599102154,0.3896465638301685,0.40811141240990867,0.4602703800554947,0.3752956136745894,0.6790971859758679,0.39238551652958953,0.3535845164268291,0.44650586292443206,0.4695270416091579,0.15472972407793573,0.6656808608142651,0.5809971471051781,0.5702907818867754,0.3107565627233847,0.15504605525516857,0.45071740861717124,0.2855457198681023
