,"Achillea ligustica flower (Greece) - Achillea ligustica All., fam. Asteraceae (Compositae)","Basil (Bulgaria) - Ocimum basilicum L., fam. Lamiaceae (Labiatae)","Basil (Egypt) 1 (linalool-type) - Ocimum basilicum L., fam. Lamiaceae (Labiatae)","Basil (Egypt) 4 (linalool-type) - Ocimum basilicum L., fam. Lamiaceae (Labiatae)","Basil (Guinea) - Ocimum basilicum L., fam. Lamiaceae (Labiatae)","Basil (Poland) - Ocimum basilicum L., fam. Lamiaceae (Labiatae)","Basil (Yugoslavia) - Ocimum basilicum L., fam. Lamiaceae (Labiatae)","Bitter orange leaf (Petitgrain) (Mauritius) - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae","Bitter orange leaf (Petitgrain) (USA) 1 - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae","Coriander fruit (Albania) - Coriandrum sativum L., fam. Apiaceae (Umbelliferae)","Coriander fruit (Cuba) - Coriandrum sativum L., fam. Apiaceae (Umbelliferae)","Coriander fruit (Egypt) 1 - Coriandrum sativum L., fam. Apiaceae (Umbelliferae)","Coriander fruit (Egypt) 2 - Coriandrum sativum L., fam. Apiaceae (Umbelliferae)","Coriander fruit (Finland) 1 - Coriandrum sativum L., fam. Apiaceae (Umbelliferae)","Coriander fruit (Finland) 2 - Coriandrum sativum L., fam. Apiaceae (Umbelliferae)","Coriander fruit (Finland) 3 - Coriandrum sativum L., fam. Apiaceae (Umbelliferae)","Coriander fruit (Finland) 4 - Coriandrum sativum L., fam. Apiaceae (Umbelliferae)","Coriander fruit (Greece) 1a - Coriandrum sativum L., fam. Apiaceae (Umbelliferae)","Coriander fruit (Greece) 1b - Coriandrum sativum L., fam. Apiaceae (Umbelliferae)","Coriander fruit (Italy) 1 - Coriandrum sativum L., fam. Apiaceae (Umbelliferae)","Coriander fruit (Italy) 2 - Coriandrum sativum L., fam. Apiaceae (Umbelliferae)","Coriander fruit (Italy) 3 - Coriandrum sativum L., fam. Apiaceae (Umbelliferae)","Coriander fruit (Italy) 4 - Coriandrum sativum L., fam. Apiaceae (Umbelliferae)","Coriander fruit (Japan) - Coriandrum sativum L., fam. Apiaceae (Umbelliferae)","Coriander fruit (Pakistan) - Coriandrum sativum L., fam. Apiaceae (Umbelliferae)","Coriander fruit (Russia) - Coriandrum sativum L., fam. Apiaceae (Umbelliferae)","Coriander fruit (USA) - Coriandrum sativum L., fam. Apiaceae (Umbelliferae)","Coriander fruit 1 - Coriandrum sativum L., fam. Apiaceae (Umbelliferae)","Coriander fruit 10 - Coriandrum sativum L., fam. Apiaceae (Umbelliferae)","Coriander fruit 2 - Coriandrum sativum L., fam. Apiaceae (Umbelliferae)","Coriander fruit 3 - Coriandrum sativum L., fam. Apiaceae (Umbelliferae)","Coriander fruit 4 - Coriandrum sativum L., fam. Apiaceae (Umbelliferae)","Coriander fruit 5 - Coriandrum sativum L., fam. Apiaceae (Umbelliferae)","Coriander fruit 8 - Coriandrum sativum L., fam. Apiaceae (Umbelliferae)","Coriander fruit 9 - Coriandrum sativum L., fam. Apiaceae (Umbelliferae)","Coriander, ether extract (Finland) - Coriandrum sativum L., fam. Apiaceae (Umbelliferae)","Coriander, steamdistilled (Finland) - Coriandrum sativum L., fam. Apiaceae (Umbelliferae)","Ho leaf (China) 1 - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae","Ho leaf (Japan) 1a - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae","Homalomena aromatica rhizome (India) - Homalomena aromatica Schott. (Calla aromatica), fam. Araceae","Homalomena aromatica rhizome (Vietnam) - Homalomena aromatica Schott. (Calla aromatica), fam. Araceae","Lippia alba (India) - Lippia alba (Mill.) N.E. Br., fam. Verbenaceae","Lippia alba (Uruguay) cultivar - Lippia alba (Mill.) N.E. Brown, fam. Verbenaceae","Litsea zeylanica - Litsea zeylanica Nees, fam. Lauraceae","Mandarin leaf (Petitgrain mandarin.) (Israel) 4 - Citrus reticulata Blanco, cultivar Maya, fam. Rutaceae","Mandarin leaf (Petitgrain mandarin.) (Japan) - Citrus reticulata Blanco (C. deliciosa Tenore), fam. Rutaceae","Marjoram, spanish (Portugal) 2 linalool type - Thymus mastichina L., fam. Lamiaceae (Labiatae)","Mentha citrata (Bergamot mint) (France) - Mentha citrata Ehrh., fam. Lamiaceae (Labiatae)","Mentha spicata (Greece) Chemotype I - Mentha spicata L. (Chemotype I), fam. Lamiaceae (Labiatae)","Monarda didyma flower (France) - Monarda didyma L., fam. Lamiaceae (Labiatae)","Monarda didyma leaf (France) - Monarda didyma L., fam. Lamiaceae (Labiatae)","Neroli bigarade (bitter orange flower) China 2 - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae","Oenothera odorata flower headspace (China) - Oenothera odorata Jacq., fam. Onagraceae","Papaya (Cameroon) headspace of ripe fruit - Carica papaya L.,","Thymus quinquecostatus 3 - Thymus quinquecostatus ex Yanta (T. quinquecostatus Celak), fam. Lamiaceae","Wartara (India) 1 pericarp - Zanthoxylum armatum DC. (Z. alatum Roxb.), fam. Rutaceae","Wartara (India) 3 seed - Zanthoxylum armatum DC. (Z. alatum Roxb.), fam Rutaceae","Zataria multiflora (Iran) 1a bud - Zataria multiflora Boiss., fam. Lamiaceae (Labiatae)","Zataria multiflora (Iran) 1b flower - Zataria multiflora Boiss., fam. Lamiaceae (Labiatae)"
"Achillea ligustica flower (Greece) - Achillea ligustica All., fam. Asteraceae (Compositae)",1.0,0.6426502627079673,0.5808173948112723,0.4179778968208021,0.6124058430477868,0.36865366609311,0.436381454570142,0.2849875089742102,0.30177556881224543,0.4405954648896713,0.3445165095956826,0.4163078062871127,0.5273040216284133,0.5952462677723598,0.5047971819683158,0.40744009818987603,0.608588947378695,0.5733981600506278,0.5594525030982667,0.6002117655553101,0.27949707050257644,0.6609117623197454,0.554020377468295,0.6034822179046477,0.5953023465847824,0.4085004198735003,0.31404878698466265,0.6125511580261516,0.6437869800417664,0.6757762184438575,0.6476308171848786,0.6409134806955837,0.49392896240582473,0.5834139431639362,0.5540204786440914,0.588323199161723,0.6097174479962315,0.7224938501230995,0.3469354747389163,0.39444960125973605,0.7253641020359356,0.7819237976865641,0.3742646970160961,0.24447694402102804,0.33287335697127896,0.18161245209912957,0.7505810613421208,0.4373694392518801,0.7378350975394814,0.5089592156825723,0.6488733404332795,0.43827665857107856,0.677142269850199,0.4541141584240196,0.6830914253697327,0.5122001632430102,0.6081044897169655,0.42555861094180125,0.4922881870843451
"Basil (Bulgaria) - Ocimum basilicum L., fam. Lamiaceae (Labiatae)",0.6426502627079673,1.0,0.7249444749793615,0.5798420940219027,0.6500035820873964,0.5290583479689093,0.6495352628983095,0.2831681121716342,0.3524778842759001,0.5525575488147298,0.4996815828028087,0.46122659137781163,0.5375684116526871,0.5720288180589399,0.49603677423677717,0.42870964372883713,0.5575025814093524,0.6351810732450409,0.6211557469322772,0.5496004601316515,0.3894956439032563,0.5302759808354982,0.5221915728250812,0.5100730058863179,0.5365060508719145,0.48104855616326736,0.3866850363241895,0.5158803526235698,0.5049546604753865,0.5606998389346598,0.47776565754630995,0.552219240857801,0.49587330986995426,0.6026769012401358,0.5221916672611361,0.4915585232904942,0.49397639884724975,0.5871228975606545,0.40197916844644566,0.624113960383147,0.6380710222213611,0.773273707281078,0.4885165230172943,0.33204167170256826,0.44094007576337446,0.21756233669915082,0.6000086590704621,0.4627359565443464,0.5910240974800783,0.5265360223774985,0.5143792842017815,0.32422549299697156,0.6586295804684176,0.3941828977675057,0.5457407210109158,0.404306738443994,0.510248580188548,0.44905728055192984,0.5479256105406451
"Basil (Egypt) 1 (linalool-type) - Ocimum basilicum L., fam. Lamiaceae (Labiatae)",0.5808173948112723,0.7249444749793615,1.0,0.6531642013649952,0.49028403650072383,0.6418043749710758,0.7637501614216453,0.25060853359888846,0.35709520470606615,0.619005804215398,0.5515997396192438,0.5180556096059221,0.5616029054431904,0.5611575661793389,0.4951958470025962,0.4469528599911935,0.5237386734723108,0.6309176070956021,0.6413093981451842,0.5231804916789282,0.48820326660064395,0.4719293815137199,0.5018910887539171,0.46919734225663834,0.4874891909202569,0.5394194297622035,0.44249002096751033,0.47040949164849,0.42919504371549355,0.5301265330994684,0.38829630285727734,0.5173128881756899,0.50177659957183,0.6083442818457411,0.5018911793412193,0.4498810757059031,0.43846867627125063,0.6130475961778009,0.42503515696764826,0.44436724247943327,0.5024994822191668,0.724739491226298,0.5619003587714019,0.37833547477183027,0.5017946226268435,0.2322387793216939,0.5749140210473376,0.5512161024426354,0.5497814268298679,0.5615371408382275,0.4270563901367378,0.2601107978794849,0.6296642937307824,0.3503454918651956,0.44383071053550327,0.3364779933809371,0.42958173096445895,0.4499981348097748,0.5660970341695901
"Basil (Egypt) 4 (linalool-type) - Ocimum basilicum L., fam. Lamiaceae (Labiatae)",0.4179778968208021,0.5798420940219027,0.6531642013649952,1.0,0.46088968622577386,0.559214228463242,0.6099474731059272,0.16124650131347296,0.27954072226485305,0.48157721485314264,0.44545618429222744,0.3744944845485929,0.4145561517518662,0.39516916907380994,0.3516706728826775,0.3230474722568719,0.3783106518472231,0.5126353005500812,0.4970887442597075,0.36611522250516504,0.3392127088511504,0.3051813740874644,0.3583009222195186,0.3210372729002957,0.3303590285975223,0.40884631932976145,0.3346515998327092,0.3196074777053065,0.2793224272825515,0.36368709488696405,0.23553534602752169,0.35350124519477155,0.3887015546124899,0.4394206556699687,0.35830099253649805,0.2939400740634637,0.27707818699779063,0.47534155968493474,0.34727004077169854,0.3042727916848924,0.3526896905045632,0.5390726542273035,0.5723226556123058,0.4330491917022914,0.4428847211559406,0.17144142921645789,0.41553750618747265,0.4585743046435795,0.4388516222171104,0.3874022602206497,0.2741837928090225,0.14779035845666877,0.4869137210860828,0.2428542722304955,0.292268705206294,0.21840135036797392,0.3034787543222175,0.40227033618116104,0.4957877494422792
"Basil (Guinea) - Ocimum basilicum L., fam. Lamiaceae (Labiatae)",0.6124058430477868,0.6500035820873964,0.49028403650072383,0.46088968622577386,1.0,0.3618550213816768,0.4409094870953707,0.24957221934217333,0.277072631939671,0.4260543964823047,0.3367466646940279,0.3878132589024176,0.48234040113076593,0.5459780864155884,0.47143077413498846,0.37647367543219945,0.5485111861130203,0.5868177701050546,0.5514505307491749,0.5383999233933197,0.2757812718125533,0.5773535254033231,0.5098310265103954,0.5439856427032558,0.5308838663570816,0.393332391437481,0.31029665712680843,0.5464099148089847,0.5606231181712107,0.5753874957881641,0.5541525326239429,0.5727321076873737,0.4630427588432121,0.546151742798862,0.5098311185650642,0.5186578112714793,0.5299225118820439,0.47163731712165624,0.31746499620812363,0.44027162254897634,0.6530783478918306,0.6054519206376865,0.3502679837046986,0.22856308666600167,0.3458787196383294,0.16118727301737723,0.5515576784195926,0.2882815865488446,0.571444590158069,0.4709922553255751,0.5488995247836101,0.3771182140114262,0.6105520368081316,0.40238350571751536,0.5813848455496188,0.45012326055684604,0.5426492116996726,0.390712231086089,0.4557116478735126
"Basil (Poland) - Ocimum basilicum L., fam. Lamiaceae (Labiatae)",0.36865366609311,0.5290583479689093,0.6418043749710758,0.559214228463242,0.3618550213816768,1.0,0.7106730919244487,0.1800686210935819,0.3129992040499002,0.5310939833292947,0.4957389793357736,0.4161259359024164,0.4545501930952409,0.4245681645198076,0.3860403026299797,0.3526916423155634,0.40728348214904786,0.5050425348410045,0.5150257652465413,0.3899568683123057,0.37906209333302876,0.323005947403194,0.39312246045720145,0.34772043103106864,0.3516239048027777,0.4534213376491124,0.3832418562844828,0.3405024508478959,0.2997425367413148,0.3706929261241628,0.2505904100143116,0.3785884783586795,0.4291027993966334,0.47563035212373694,0.3931241705472567,0.3127618768592918,0.2935715532984342,0.3609205842884411,0.3778624129504905,0.34205074898719534,0.369610087707824,0.49065305156716277,0.592398028684572,0.40089257912862786,0.4778476599307713,0.1999894549790191,0.3720402796338874,0.36562438656571794,0.3994567443648299,0.41997943783481373,0.304049527040827,0.1585639050166766,0.516343802963029,0.25976399497452596,0.30383514886327667,0.23212541781944573,0.3187920547637504,0.4027724015103349,0.5173120468424914
"Basil (Yugoslavia) - Ocimum basilicum L., fam. Lamiaceae (Labiatae)",0.436381454570142,0.6495352628983095,0.7637501614216453,0.6099474731059272,0.4409094870953707,0.7106730919244487,1.0,0.18978037393096403,0.30728801235000935,0.5487761080443543,0.5037340543505557,0.45235149221009696,0.4771770699797234,0.4657347096911476,0.41408203202794613,0.3745029968191145,0.4282386241533003,0.5489807542211753,0.554882418877047,0.42705568133959726,0.4441265913430519,0.3705998642988454,0.4148392349119453,0.377480525660121,0.3919439416934064,0.47314113629752974,0.39433813769483617,0.3754178032924027,0.3316609860370857,0.42084344334930335,0.2906724533377222,0.416790853338036,0.42363398385628503,0.5162521966924671,0.41483931202296176,0.3540419632919587,0.33986365585323985,0.44465658400300445,0.3696646328532526,0.42956638500454514,0.41012912723533346,0.5653349238084276,0.527884759477276,0.3393816010296494,0.45475083813797557,0.1912534163047157,0.4366980940024515,0.4289513044387948,0.4333893722091583,0.49320085379875667,0.35448883008914156,0.18001705787405275,0.5231722587742728,0.27399544905576145,0.35049671495941215,0.25442297578747286,0.3420580185361438,0.38262966035495993,0.4935329702827739
"Bitter orange leaf (Petitgrain) (Mauritius) - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae",0.2849875089742102,0.2831681121716342,0.25060853359888846,0.16124650131347296,0.24957221934217333,0.1800686210935819,0.18978037393096403,1.0,0.6752629469423492,0.2540496002185991,0.21117012702429294,0.18014286241662636,0.24381651368530333,0.2787814209242664,0.23017638404962915,0.1948758504229554,0.28698283548138026,0.29473424857868824,0.28625576047313184,0.27950865643703815,0.1225885767238658,0.2851616425654945,0.25541471126094695,0.2544652804835066,0.4313791943066705,0.20361989680986392,0.12657419544459558,0.2633306295546881,0.27983439138633215,0.27556666340583147,0.2709315014937578,0.28485985478087306,0.22044607986396547,0.2836992659790737,0.2554430122935104,0.26505707502770637,0.2796007242686219,0.208763893182502,0.14990293332488525,0.15051701424769837,0.38979793647534966,0.31911617166056605,0.16812086575538965,0.07463546607927152,0.15048705655513872,0.0,0.2740510147050953,0.23777809406219386,0.2702087941931647,0.22071232581867628,0.24696583189188737,0.6478909912267903,0.3214573494038261,0.16972041120542825,0.2661561431826609,0.1848593259962118,0.24724469456720743,0.5175349579358743,0.48381744496193635
"Bitter orange leaf (Petitgrain) (USA) 1 - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae",0.30177556881224543,0.3524778842759001,0.35709520470606615,0.27954072226485305,0.277072631939671,0.3129992040499002,0.30728801235000935,0.6752629469423492,1.0,0.33843921117520537,0.30712049594270363,0.2722579052336721,0.31799758723370486,0.3164595437124418,0.2712304934169607,0.23614224335594258,0.3083976263845787,0.3548117869042988,0.3573291040128739,0.30026105820138005,0.21513087131492792,0.2715520930644676,0.286284778674894,0.27075816709831213,0.38712971492203896,0.28427286308898014,0.22026516093028037,0.272623443895851,0.25513024563746,0.2933869818457294,0.23021565634168806,0.29983043403018517,0.28353461971702565,0.3456200897338586,0.28628737077210353,0.25433589256053346,0.250710298742172,0.2584591478980176,0.23701700466595543,0.23175195452948794,0.38945654679857555,0.3636184555940395,0.287478328881853,0.18419057643409242,0.2744938894688911,0.09125340509770319,0.2967390712213054,0.38624795822516556,0.3027301421734365,0.28255023999336326,0.23148388024792987,0.5289795004601543,0.3777671185761067,0.19273132646698454,0.2576259787626909,0.18711685113498044,0.25830460644873254,0.5772903273668148,0.5826580516919676
"Coriander fruit (Albania) - Coriandrum sativum L., fam. Apiaceae (Umbelliferae)",0.4405954648896713,0.5525575488147298,0.619005804215398,0.48157721485314264,0.4260543964823047,0.5310939833292947,0.5487761080443543,0.2540496002185991,0.33843921117520537,1.0,0.7265463116518128,0.5778611605349149,0.6104284313448662,0.6878131310610729,0.693228025910335,0.6497095049761212,0.6641912866074942,0.7789494600266305,0.8087628298001306,0.6480228810180397,0.6446419042408426,0.49074501484683974,0.6615441665331557,0.590251633881383,0.5733182042507093,0.8376600997738586,0.6640233671275444,0.5857321511224141,0.5186959660811985,0.5937699421767563,0.4586620686229982,0.6117953702398077,0.6845925632395697,0.765967118811407,0.6615736311482692,0.5562654531844275,0.515975524213001,0.3957928753153661,0.4161979661845403,0.3879459455591635,0.44402683773435225,0.5719693579079494,0.5105246889212082,0.3722771599283554,0.49414121262856037,0.22625671341172848,0.48916807924035255,0.35718055545513505,0.44366474212742923,0.5693390262163958,0.3642057452434496,0.22451784844069167,0.569145760414375,0.31132842710836106,0.39677048385597136,0.3235555748025345,0.4336939803590918,0.4147607411669961,0.5347765959931517
