,"Aegle marmelos leaf (India) 2 - Aegle marmelos (L.) Correa, fam. Rutaceae","Canella winterana (French West Indies) leaf - Canella winterana (L.) Gaertn., fam. Canellaceae","Curcuma mangga (Malaysia) - Curcuma mangga Val., fam Zingiberaceae","Galangal root (USA) - Alipinia galanga (L.) Willd., fam. Zingiberaceae","Hop (Cascade cultivar) (USA) - Humulus lupulus L., cultivar Cascade, fam. Cannabaceae","Hop (Galena cultivar) (USA) - Humulus lupulus L., cultivar Galena, fam. Cannabaceae","Hop (Neomexicanus cultivar) (USA) - Humulus lupulus L., var. neomeaxicanus Nels. & Cockerell, fam. Cannabaceae","Hop (Nugget cultivar) (USA) - Humulus lupulus L., cultivar Nugget, fam. Cannabaceae","Hop (Styrian cultivar) (USA) - Humulus lupulus L., cultivar Styrian, fam. Cannabaceae","Hop (Willamette cultivar) (USA) - Humulus lupulus L., cultivar Willamette, fam. Cannabaceae","Pistacia lentiscus (Spain) 1c ripe fruit - Pistacia lentiscus L., fam. Anacardiaceae"
"Aegle marmelos leaf (India) 2 - Aegle marmelos (L.) Correa, fam. Rutaceae",1.0,0.7344121091586386,0.5831876672107486,0.43548634423947796,0.7378618110237662,0.7154125553042892,0.8253459256007498,0.7050877197553947,0.4306935024214914,0.6610868649638332,0.6833944625700765
"Canella winterana (French West Indies) leaf - Canella winterana (L.) Gaertn., fam. Canellaceae",0.7344121091586386,1.0,0.7369042701665025,0.6179196181086304,0.7328377991993524,0.6383718938479523,0.8314837758807753,0.658236764308598,0.26469369194193826,0.5461341535109135,0.7736035903122336
"Curcuma mangga (Malaysia) - Curcuma mangga Val., fam Zingiberaceae",0.5831876672107487,0.7369042701665025,1.0,0.7693919123324184,0.6528044153344715,0.5402458652027322,0.6939476037991905,0.5758368504504189,0.1313855583735214,0.4347992333285774,0.761364941794743
"Galangal root (USA) - Alipinia galanga (L.) Willd., fam. Zingiberaceae",0.43548634423947796,0.6179196181086304,0.7693919123324184,1.0,0.5448748378922775,0.42873026180721785,0.5547125952361606,0.4726000746629523,0.0,0.3162322546463988,0.657790374836502
"Hop (Cascade cultivar) (USA) - Humulus lupulus L., cultivar Cascade, fam. Cannabaceae",0.7378618110237662,0.7328377991993524,0.6528044153344715,0.5448748378922775,1.0,0.8231305550169699,0.7777153559318021,0.8450316956700237,0.44466513974548216,0.7162777260519815,0.6919241253607882
"Hop (Galena cultivar) (USA) - Humulus lupulus L., cultivar Galena, fam. Cannabaceae",0.7154125553042892,0.6383718938479523,0.5402458652027322,0.42873026180721785,0.8231305550169699,1.0,0.6973377521374133,0.9405489956328474,0.5553314467348229,0.8419287712869145,0.5899404317886736
"Hop (Neomexicanus cultivar) (USA) - Humulus lupulus L., var. neomeaxicanus Nels. & Cockerell, fam. Cannabaceae",0.8253459256007498,0.8314837758807753,0.6939476037991905,0.5547125952361606,0.7777153559318021,0.6973377521374133,1.0,0.7080259178219501,0.34311626399830786,0.6146848077958385,0.7702642459131004
"Hop (Nugget cultivar) (USA) - Humulus lupulus L., cultivar Nugget, fam. Cannabaceae",0.7050877197553947,0.658236764308598,0.5758368504504189,0.4726000746629523,0.8450316956700237,0.9405489956328474,0.7080259178219501,1.0,0.5142514642579329,0.8132096977668146,0.6153705705848853
"Hop (Styrian cultivar) (USA) - Humulus lupulus L., cultivar Styrian, fam. Cannabaceae",0.4306935024214914,0.26469369194193826,0.1313855583735214,0.0,0.44466513974548216,0.5553314467348229,0.34311626399830786,0.5142514642579329,1.0,0.6442631013877848,0.21162780722013663
"Hop (Willamette cultivar) (USA) - Humulus lupulus L., cultivar Willamette, fam. Cannabaceae",0.6610868649638332,0.5461341535109135,0.4347992333285774,0.3162322546463988,0.7162777260519815,0.8419287712869145,0.6146848077958385,0.8132096977668146,0.6442631013877848,1.0,0.4971561289786649
"Pistacia lentiscus (Spain) 1c ripe fruit - Pistacia lentiscus L., fam. Anacardiaceae",0.6833944625700765,0.7736035903122336,0.761364941794743,0.657790374836502,0.6919241253607882,0.5899404317886736,0.7702642459131004,0.6153705705848853,0.21162780722013663,0.4971561289786649,1.0
