,"Ajowan (India) 1b CO2-extract - Trachyspermum copticum (L.) Link., fam. Apiaceae (Umbelliferae)","Ajowan 2 seed - Trachyspermum copticum (L.) Link., fam. Apiaceae (Umbelliferae)","Coleus aromaticus (Pakistan) 2 - Coleus aromaticus Benth. (wild oregano), fam. Lamaiceae (Labiatae)","Ocimum gratissimum (Cuba) 2b - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)","Ocimum gratissimum (Cuba) 2c - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)","Oregano, greek (Crete) - Origanum vulgare L. ssp. hirtum (Link) Ietsw., fam. Lamiaceae (Labiatae)","Oregano, greek (Greece) 7a flowers - Origanum vulgare L. ssp viridulum (Martin Donos) Nyman, fam. Lamiaceae","Oregano, greek (Greece) 7b leaves - Origanum vulgare L. ssp viridulum (Martin Donos) Nyman, fam. Lamiaceae","Oregano, greek (Israel) 2 - Origanum vulgare L. ssp. viride (Boiss.) Hayak (Thymol chemo-type)","Plectranthus tenuiflorus (Saudi Arabia) - Plectranthus tenuiflorus (Vatke) Agnew, fam. Lamiaceae (Labiatae)","Satureja thymbra (Israel) 1 - Satureja thymbra L., fam. Lamiaceae (Labiatae)","Thyme (Finland) - Thymus vulgaris L., fam. Lamiaceae (Labiatae)","Thyme (Greek) - Thymus vulgaris L., fam. Lamiaceae (Labiatae)","Thyme (Hungary) 1b - Thymus vulgaris L., fam. Lamiaceae (Labiatae)","Thyme (India) - Thymus vulgaris L., fam. Lamiaceae (Labiatae)","Thyme red (Spain) 4 - Thymus zygis L., fam. Lamiaceae (Labiatae)","Thyme red (Spain) 5b - Thymus vulgaris L., ssp. gracilis, fam. Lamiaceae (Labiatae)"
"Ajowan (India) 1b CO2-extract - Trachyspermum copticum (L.) Link., fam. Apiaceae (Umbelliferae)",1.0,0.6700264811261888,0.46606852766456563,0.29620936756682037,0.4113002503872344,0.6161477806089874,0.45536163634431615,0.5999505885250285,0.41027310563826624,0.43876385784918126,0.6433559132802362,0.6085630680970229,0.6436230017275391,0.412384735796115,0.5486048481919836,0.7070620794374716,0.5162542319950694
"Ajowan 2 seed - Trachyspermum copticum (L.) Link., fam. Apiaceae (Umbelliferae)",0.670026481126188,1.0,0.22601243569526708,0.01728860462131654,0.2668045975921096,0.7056884452518024,0.5274305409298714,0.49561846087516914,0.1397186527771943,0.15926779072178254,0.6845595756210702,0.4864665886937952,0.6484871758657824,0.43220430683705413,0.7130305831150056,0.4656610774797286,0.35960593080003733
"Coleus aromaticus (Pakistan) 2 - Coleus aromaticus Benth. (wild oregano), fam. Lamaiceae (Labiatae)",0.46606852766456563,0.22601243569526674,1.0,0.6978632034317621,0.595448753255091,0.3011803407718806,0.2876670956290628,0.506541019754736,0.7564919204912326,0.8019832877795353,0.35245981610014687,0.4582228726213783,0.18283330718578672,0.26479069723642945,0.2508849301072227,0.6428668087231528,0.6430195964704963
"Ocimum gratissimum (Cuba) 2b - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)",0.29620936756682037,0.017288604621316428,0.6978632034317621,1.0,0.47160788178597635,0.11526517497454014,0.09514184943323456,0.33864809737648893,0.8338438949717449,0.796575654080313,0.17228524995982542,0.28937478977136843,0.0,0.10279334962624465,0.02947005847427686,0.4687517295772926,0.43984554405741316
"Ocimum gratissimum (Cuba) 2c - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)",0.4113002503872344,0.2668045975921096,0.595448753255091,0.47160788178597635,1.0,0.4190289757597132,0.4781802694573454,0.6484397444708703,0.5316709945943769,0.48669659455439973,0.41891447332717757,0.4720451231776541,0.21054653740879614,0.4950185791094197,0.307702373853472,0.5991418254955545,0.6274280873694023
"Oregano, greek (Crete) - Origanum vulgare L. ssp. hirtum (Link) Ietsw., fam. Lamiaceae (Labiatae)",0.6161477806089879,0.7056884452518024,0.3011803407718803,0.11526517497453981,0.4190289757597132,1.0,0.754065766985598,0.681046286979851,0.2506615499448954,0.2281503293212901,0.8579321248211073,0.47656947197330013,0.509368671723488,0.653551007522567,0.7209884900033869,0.525792305378854,0.45703525934311706
"Oregano, greek (Greece) 7a flowers - Origanum vulgare L. ssp viridulum (Martin Donos) Nyman, fam. Lamiaceae",0.45536163634431615,0.5274305409298714,0.2876670956290628,0.09514184943323456,0.4781802694573454,0.754065766985598,1.0,0.7156206962053655,0.22783691454571686,0.1842692944843657,0.6866632873579038,0.4442278289504491,0.372893581735232,0.748300344455042,0.5977159060582403,0.47547872145697323,0.46004942528969595
"Oregano, greek (Greece) 7b leaves - Origanum vulgare L. ssp viridulum (Martin Donos) Nyman, fam. Lamiaceae",0.5999505885250285,0.49561846087516914,0.506541019754736,0.33864809737648893,0.6484397444708703,0.681046286979851,0.7156206962053655,1.0,0.468507661998562,0.4209645474368806,0.6505763663433641,0.6055814046565142,0.4380637208543041,0.7231576892674232,0.4941957562529713,0.7253845961214792,0.6306539196923705
"Oregano, greek (Israel) 2 - Origanum vulgare L. ssp. viride (Boiss.) Hayak (Thymol chemo-type)",0.41027310563826624,0.13971865277719397,0.7564919204912326,0.8338438949717449,0.5316709945943769,0.25066154994489576,0.22783691454571686,0.468507661998562,1.0,0.842385277471821,0.3083077623148983,0.38541300431477177,0.10996833606994838,0.22634639446505012,0.15267005045988558,0.5751332966480469,0.5256596571083527
"Plectranthus tenuiflorus (Saudi Arabia) - Plectranthus tenuiflorus (Vatke) Agnew, fam. Lamiaceae (Labiatae)",0.43876385784918126,0.1592677907217822,0.8019832877795353,0.796575654080313,0.48669659455439973,0.22815032932129042,0.1842692944843657,0.4209645474368806,0.842385277471821,1.0,0.29094373041347577,0.3913224439724744,0.1364461495832444,0.17140328188846243,0.16213132498913563,0.5804182356053162,0.5261494916540023
