,"Artemisia scoparia (India) 2 - Artemisia scoparia Waldst. et Kit., fam. Asteraceae (Compositae)","Blumea lanceolaria - Blumea lanceolaria (Roxb.) Druce, fam. Asteraceae (Compositae)","Eugenia javanica - Eugenia javanica Lamk., fam. Myrtaceae","Hayashi mandarin leaf (Japan) - Citrus unshiu Marcovitch f. Hayashi, fam. Rutaceae","Mandarin leaf (Petitgrain mandarin.) (Israel) 1 - Citrus reticulata Blanco, cultivar Balady, fam. Rutaceae","Mandarin leaf (Petitgrain mandarin.) (Italy) - Citrus reticulata Blanco (C. deliciosa Tenore), fam. Rutaceae","Monizia edulis - Monizia edulis Lowe [Melanoselinum edulis (Lowe) Drude], fam. Apiaceae","Narcissus tazetta absolute 4 - Narcissus tazetta L., fam. Amarillidaceae","Origanum libanoticum (Lebanon) - Origanum libanoticum Boiss., fam. Lamiaceae (Labiatae)","Satsuma mandarin leaf - Citrus unshiu Marcovitch, fam. Rutaceae","Savory, summer (Italy) 1a headspace - Satureja hortensis L., fam. Lamiaceae (Labiatae)","Seafennel (Greece) - Crithmum maritimum L., fam. Apiaceae (Umbelliferae)","Seafennel (Portugal) 1 - Crithmum maritimum L., fam. Apiaceae (Umbelliferae)","Seafennel (Portugal) 1a hydrodistilled - Crithmum maritimum L., fam. Apiaceae (Umbelliferae)","Seafennel (Portugal) 1b vacuum extracted - Crithmum maritimum L., fam. Apiaceae (Umbelliferae)","Seafennel (Turkey) 1b Mersin - Crithmum maritimum L., fam. Apiaceae (Umbelliferae)","Seafennel - Crithmum maritimum L., fam. Apiaceae (Umbelliferae)","Tea Tree (Australia)  9 - Melaleuca alternifolia (Maiden et Betche) Cheel, fam. Myrtaceae"
"Artemisia scoparia (India) 2 - Artemisia scoparia Waldst. et Kit., fam. Asteraceae (Compositae)",1.0,0.13671847041233198,0.7287971145404862,0.7906133817565205,0.3934551775208077,0.5412958806901302,0.6263061294967434,0.7236945600715787,0.6124991055611075,0.7213812484472243,0.5999024674663093,0.6882721188048371,0.5977070725073131,0.5959324986900543,0.6131117856426527,0.6754626052055359,0.6652980697848392,0.6714011241004891
"Blumea lanceolaria - Blumea lanceolaria (Roxb.) Druce, fam. Asteraceae (Compositae)",0.13671847041233198,1.0,0.12441614831144077,0.1617461565908802,0.0,0.05695245190327869,0.08066074332120632,0.13153604196467972,0.4474297723883194,0.11225648188282389,0.028486299044091612,0.29450738945490096,0.33461722074260447,0.2335268960002278,0.3278503226843176,0.19264583179956396,0.3418138396431726,0.12386702056554999
"Eugenia javanica - Eugenia javanica Lamk., fam. Myrtaceae",0.7287971145404862,0.12441614831144077,1.0,0.798336878376949,0.3879843066197851,0.5479851838936318,0.6395918006200918,0.7356164739600008,0.6004762168705406,0.8056479102125818,0.7031313005510598,0.72833438496429,0.6089909020623311,0.6077482554640381,0.6308205578264798,0.6875221366066453,0.6629197479657123,0.676437501838967
"Hayashi mandarin leaf (Japan) - Citrus unshiu Marcovitch f. Hayashi, fam. Rutaceae",0.7906133817565205,0.1617461565908802,0.798336878376949,1.0,0.4242613930171256,0.5765357430361475,0.6689596776627973,0.7850708156334295,0.6627908702472396,0.8085569118360756,0.6380587288353783,0.7587386522176984,0.6369920218064975,0.633123214520148,0.6561338814465727,0.7344154864122483,0.7111154865052827,0.726645650101259
"Mandarin leaf (Petitgrain mandarin.) (Israel) 1 - Citrus reticulata Blanco, cultivar Balady, fam. Rutaceae",0.3934551775208077,0.0,0.3879843066197851,0.4242613930171256,1.0,0.797802306212085,0.33128279485477374,0.3940355898020579,0.3526796014180036,0.37890625405244205,0.29214831796464824,0.3819282746242265,0.3207542971158812,0.31892803816727955,0.32826405725304886,0.37080960070568236,0.3682176550144586,0.3712475255804084
"Mandarin leaf (Petitgrain mandarin.) (Italy) - Citrus reticulata Blanco (C. deliciosa Tenore), fam. Rutaceae",0.5412958806901302,0.05695245190327869,0.5479851838936318,0.5765357430361475,0.797802306212085,1.0,0.4840865495228234,0.5496934371236111,0.4566212330411358,0.5524657489270688,0.4791323536362815,0.5199982345505809,0.4620698504721511,0.46028542602490974,0.47405644220473797,0.5137202379125916,0.5219723391973587,0.5066178075729855
"Monizia edulis - Monizia edulis Lowe [Melanoselinum edulis (Lowe) Drude], fam. Apiaceae",0.6263061294967434,0.08066074332120632,0.6395918006200918,0.6689596776627973,0.33128279485477385,0.4840865495228234,1.0,0.6456637946832249,0.5082642804521232,0.6553999542395081,0.6034312944388169,0.6009307671407194,0.5462062156960754,0.5444308290723232,0.5617279831505593,0.6005522938392971,0.5699490862850425,0.587239866274008
"Narcissus tazetta absolute 4 - Narcissus tazetta L., fam. Amarillidaceae",0.7236945600715787,0.13153604196467972,0.7356164739600008,0.7850708156334295,0.3940355898020579,0.5496934371236111,0.6456637946832249,1.0,0.6005923586676196,0.7372231097153776,0.6356641021021756,0.6909541112683351,0.6102028702138718,0.6069463326843001,0.6262952358753022,0.6856174586095556,0.6641049122363798,0.6772773700207886
"Origanum libanoticum (Lebanon) - Origanum libanoticum Boiss., fam. Lamiaceae (Labiatae)",0.6124991055611075,0.4474297723883194,0.6004762168705406,0.6627908702472396,0.3526796014180036,0.4566212330411358,0.5082642804521232,0.6005923586676196,1.0,0.5763702099999404,0.4447397424227729,0.7418569644829854,0.6754813417980285,0.6061934493268819,0.6811267939279009,0.6324196528680532,0.7252035135414279,0.5848327909976506
"Satsuma mandarin leaf - Citrus unshiu Marcovitch, fam. Rutaceae",0.7213812484472243,0.11225648188282389,0.8056479102125818,0.8085569118360756,0.37890625405244205,0.5524657489270688,0.6553999542395081,0.7372231097153776,0.5763702099999404,1.0,0.7502531876700322,0.7117078651996154,0.6274341817499229,0.6265690962530301,0.652421550532778,0.6975153561912868,0.6664915970051482,0.6705522625856424
"Savory, summer (Italy) 1a headspace - Satureja hortensis L., fam. Lamiaceae (Labiatae)",0.5999024674663093,0.028486299044091612,0.7031313005510597,0.6380587288353783,0.29214831796464824,0.4791323536362815,0.6034312944388169,0.6356641021021756,0.44473974242277303,0.7502531876700322,1.0,0.5996606335686915,0.5554997770749985,0.5539372903927049,0.583751301340365,0.5938621360486256,0.5561149084453438,0.5717919388183288
"Seafennel (Greece) - Crithmum maritimum L., fam. Apiaceae (Umbelliferae)",0.6882721188048371,0.29450738945490096,0.72833438496429,0.7587386522176984,0.3819282746242265,0.5199982345505809,0.6009307671407194,0.6909541112683351,0.7418569644829854,0.7117078651996154,0.5996606335686915,1.0,0.7470035965454059,0.7137076133785576,0.764883629273245,0.7493478417300354,0.7333227955234023,0.6546715662598988
"Seafennel (Portugal) 1 - Crithmum maritimum L., fam. Apiaceae (Umbelliferae)",0.5977070725073131,0.33461722074260447,0.6089909020623311,0.6369920218064975,0.3207542971158812,0.4620698504721511,0.5462062156960754,0.6102028702138718,0.6754813417980285,0.6274341817499229,0.5554997770749985,0.7470035965454059,1.0,0.8868313461572751,0.9662948703470869,0.6901877394199885,0.692675623766942,0.5630206103382437
"Seafennel (Portugal) 1a hydrodistilled - Crithmum maritimum L., fam. Apiaceae (Umbelliferae)",0.5959324986900543,0.2335268960002278,0.6077482554640381,0.633123214520148,0.31892803816727955,0.46028542602490974,0.5444308290723232,0.6069463326843001,0.6061934493268819,0.6265690962530301,0.5539372903927049,0.7137076133785576,0.8868313461572751,1.0,0.8762091225071803,0.68780146341282,0.6337065813444055,0.5611829153396695
"Seafennel (Portugal) 1b vacuum extracted - Crithmum maritimum L., fam. Apiaceae (Umbelliferae)",0.6131117856426527,0.3278503226843176,0.6308205578264798,0.6561338814465727,0.32826405725304886,0.47405644220473797,0.5617279831505593,0.6262952358753022,0.6811267939279009,0.652421550532778,0.583751301340365,0.764883629273245,0.9662948703470869,0.8762091225071803,1.0,0.7029406251703251,0.705501614212597,0.5775787486507158
"Seafennel (Turkey) 1b Mersin - Crithmum maritimum L., fam. Apiaceae (Umbelliferae)",0.6754626052055359,0.19264583179956396,0.6875221366066453,0.7344154864122483,0.37080960070568236,0.5137202379125916,0.6005522938392971,0.6856174586095556,0.6324196528680532,0.6975153561912868,0.5938621360486256,0.7493478417300354,0.6901877394199885,0.68780146341282,0.7029406251703251,1.0,0.6601770837947984,0.6383785566943119
"Seafennel - Crithmum maritimum L., fam. Apiaceae (Umbelliferae)",0.6652980697848392,0.3418138396431726,0.6629197479657123,0.7111154865052827,0.3682176550144586,0.5219723391973587,0.5699490862850425,0.6641049122363798,0.7252035135414279,0.6664915970051482,0.5561149084453438,0.7333227955234023,0.692675623766942,0.6337065813444055,0.705501614212597,0.6601770837947984,1.0,0.6072082355172594
"Tea Tree (Australia)  9 - Melaleuca alternifolia (Maiden et Betche) Cheel, fam. Myrtaceae",0.6714011241004891,0.12386702056555021,0.676437501838967,0.726645650101259,0.3712475255804084,0.5066178075729855,0.587239866274008,0.6772773700207886,0.5848327909976506,0.6705522625856424,0.5717919388183288,0.6546715662598988,0.5630206103382437,0.5611829153396695,0.5775787486507158,0.6383785566943119,0.6072082355172594,1.0
