,"Hedychium coronarium flower headspace (China) - Hedychium coronarium Koenig, fam. Zingiberaceae","Hedychium flavescens rhizome (Mauritius) - Hedychium flavescens, fam. Zingiberaceae","Laurel leaf (Albania) - Laurus nobilis L., fam. Lauraceae","Laurel leaf (Italy - Sicily) 1 - Laurus nobilis L., fam. Lauraceae","Laurel leaf (Spain) 3 - Laurus nobilis L., fam. Lauraceae","Lavandin (USA) 1a (Dutch) - Lavandula x hybrida Rev. (L. x intermedia) (Dutch cultivar), fam.Lamiaceae","Lavandin (USA) 1b (Grappenhall) - Lavandula x hybrida Rev. (L. x intermedia) (Grappenhall cultivar),Lamiacea","Lavandin (USA) 1f (Seal) - Lavandula x hybrida Rev. (L. x intermedia) (Seal cultivar), fam. Lamiaceae","Marjoram, spanish (Spain) 3 - Thymus mastichina L., fam. Lamiaceae (Labiatae)","Spike lavender (Argentina) - Lavandula latifolia Medikus (L. spica D.C.), fam. Lamiaceae (Labiatae)","Spike lavender (France) - Lavandula latifolia Medikus (L. spica D.C.), fam. Lamiaceae (Labiatae)","Spike lavender (Iran) 1a fresh - Lavandula latifolia Medikus (L. spica D.C.), fam. Lamiaceae (Labiatae)","Spike lavender (Iran) 1b dry - Lavandula latifolia Medikus (L. spica D.C.), fam. Lamiaceae (Labiatae)","Spike lavender (Portugal) 1 - Lavandula latifolia Medikus (L. spica D.C.), fam. Lamiaceae (Labiatae)","Spike lavender (Portugal) 2 - Lavandula latifolia Medikus (L. spica D.C.), fam. Lamiaceae (Labiatae)","Spike lavender (Spain) 1 - Lavandula latifolia Medikus (L. spica D.C.), fam. Lamiaceae (Labiatae)","Spike lavender (Spain) 2 - Lavandula latifolia Medikus (L. spica D.C.), fam. Lamiaceae (Labiatae)","Spike lavender (Spain) 3 - Lavandula latifolia Medikus (L. spica D.C.), fam. Lamiaceae (Labiatae)","Spike lavender (Spain) 4 - Lavandula latifolia Medikus (L. spica D.C.), fam. Lamiaceae (Labiatae)","Spike lavender (Spain) 5 - Lavandula latifolia Medikus (L. spica D.C.), fam. Lamiaceae (Labiatae)","Spike lavender - Lavandula latifolia Medikus (L. spica D.C.), fam. Lamiaceae (Labiatae)"
"Hedychium coronarium flower headspace (China) - Hedychium coronarium Koenig, fam. Zingiberaceae",1.0,0.28435829194064766,0.23797997214930366,0.40649708104213644,0.3469224655144383,0.48893416725551697,0.5287454194952907,0.4656957494781001,0.3369561979455108,0.23192517119989453,0.3529685436104355,0.4453046024451225,0.46932029919674756,0.3233118179428258,0.29223457484112836,0.2847758215585795,0.3779806338158831,0.41011302894153223,0.262049846147838,0.38766834970740827,0.37633237870157243
"Hedychium flavescens rhizome (Mauritius) - Hedychium flavescens, fam. Zingiberaceae",0.28435829194064766,1.0,0.1114951759638223,0.2505924487997948,0.21965998235316075,0.3995990547802504,0.4282404246183623,0.39540727561897715,0.16459248704099894,0.1291952517259114,0.23529282399063156,0.4094383359663134,0.40774914012368113,0.246714174997259,0.20307553958049995,0.22983067668087487,0.32094705636626886,0.2131658805427017,0.04757853690887315,0.2550170874887473,0.3385042946710288
"Laurel leaf (Albania) - Laurus nobilis L., fam. Lauraceae",0.23797997214930366,0.1114951759638223,1.0,0.3895552834327608,0.42577924014777135,0.25314886270859627,0.2763448901452964,0.18612203648052827,0.22676826884926515,0.1172800615592704,0.22700523924642302,0.23683711933979468,0.27554818467673803,0.14168739010439813,0.11100710023381422,0.0,0.11884036197048509,0.2654767823807571,0.24062422206650658,0.1757243347888291,0.24869345449624336
"Laurel leaf (Italy - Sicily) 1 - Laurus nobilis L., fam. Lauraceae",0.40649708104213644,0.2505924487997948,0.3895552834327608,1.0,0.6629474493585676,0.44636381400125524,0.4874889312782291,0.47331638464339576,0.6359164229964609,0.20767116789825524,0.3941515950211243,0.3891107873277563,0.4456592857950933,0.3187440230842814,0.28613137210135675,0.2804952746560222,0.38367093200232205,0.5925745250475198,0.413452697067652,0.46907984038146344,0.40809097958521245
"Laurel leaf (Spain) 3 - Laurus nobilis L., fam. Lauraceae",0.3469224655144383,0.21965998235316075,0.42577924014777135,0.6629474493585676,1.0,0.381842359932249,0.412187706408775,0.3316733995879415,0.3649365574976433,0.2014648447079228,0.33367902034303565,0.3558107754044465,0.3996097278523477,0.2533913011924682,0.21902013845421675,0.12950701815451604,0.2482483168684504,0.4082969889073258,0.3367800279138985,0.3076075036896767,0.36072855784097313
"Lavandin (USA) 1a (Dutch) - Lavandula x hybrida Rev. (L. x intermedia) (Dutch cultivar), fam.Lamiaceae",0.48893416725551697,0.3995990547802504,0.25314886270859627,0.44636381400125524,0.381842359932249,1.0,0.8450776540416167,0.6755653620973986,0.38052351351827063,0.504804154085446,0.6443212485897664,0.6806662986321734,0.7159215786960419,0.6415156510456292,0.6038101605615263,0.5511908103299128,0.6908960624167774,0.5489148218445639,0.3843338802415266,0.6500867661047107,0.6667981839275541
"Lavandin (USA) 1b (Grappenhall) - Lavandula x hybrida Rev. (L. x intermedia) (Grappenhall cultivar),Lamiacea",0.5287454194952907,0.4282404246183623,0.2763448901452964,0.4874889312782291,0.412187706408775,0.8450776540416167,1.0,0.7533866807344316,0.4248985371971241,0.37105804349929716,0.5167383184195564,0.6845477925770851,0.7215140591251588,0.5052617944783995,0.4670656632299989,0.49977711471807196,0.6147885487970793,0.5325828160970432,0.3251520337210535,0.5748996864673726,0.5528881878027149
"Lavandin (USA) 1f (Seal) - Lavandula x hybrida Rev. (L. x intermedia) (Seal cultivar), fam. Lamiaceae",0.4656957494781001,0.39540727561897715,0.18612203648052827,0.47331638464339576,0.3316733995879415,0.6755653620973986,0.7533866807344316,1.0,0.49376144701586455,0.23637703160729906,0.4019125421961337,0.5698152856272773,0.5899989676575206,0.42045226961308513,0.3886067349150809,0.5988403423460044,0.6503549943885998,0.5266894412653288,0.22798019615573695,0.585110463859216,0.4194263499053854
"Marjoram, spanish (Spain) 3 - Thymus mastichina L., fam. Lamiaceae (Labiatae)",0.3369561979455108,0.16459248704099894,0.22676826884926515,0.6359164229964607,0.3649365574976433,0.38052351351827063,0.4248985371971241,0.49376144701586433,1.0,0.12425529125816559,0.32610850144320724,0.29739341375304973,0.3537035686014115,0.2727095644999874,0.25274240805271464,0.35794588219215073,0.4120063772949909,0.6831518263748281,0.3796920695350434,0.5194094027641287,0.3157465018125256
"Spike lavender (Argentina) - Lavandula latifolia Medikus (L. spica D.C.), fam. Lamiaceae (Labiatae)",0.23192517119989453,0.1291952517259114,0.1172800615592704,0.20767116789825524,0.2014648447079228,0.504804154085446,0.37105804349929716,0.23637703160729906,0.12425529125816559,1.0,0.7601637518170391,0.43711364052487545,0.4547404698653196,0.7496406179512735,0.7502432962608976,0.3117680776610716,0.4411549785213791,0.3979747995525308,0.46364189448553184,0.488843061328062,0.682211593894207
