,"Geranium (Australia) - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium (China) 1 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium (China) 2 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium (China) 3 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium (China) 4 - Pelargonium graveolens L'Herit. ex Aiton, gam. Geraniaceae","Geranium (China, Beijing) - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium (China, Chengdu) - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium (China, Yunnan) 1 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaciae","Geranium (China, Yunnan) 2 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium (China, Yunnan) 3 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium (China, Yunnan) 4 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium (China, Yunnan) 5 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium (Cuba) - Pelargonium species, fam. Geraniaceae","Geranium (India)  1 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium (India)  2 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium (India) 12a Genotype 1 'Algerian' - Pelargonium species, fam. Geraniaceae","Geranium 3 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Geranium, Bourbon  9 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae","Litsea cubeba (India) 1b stem - Litsea cubeba (Lour.) Pers. (L. citrata Blume), fam. Lauraceae","Rosa odorata (China) - Rosa odorata Sweet, fam. Rosaceae","Rosa rugosa (China) 1 - Rosa rugosa Thunb. (hybrids), fam. Rosaceae","Rosa rugosa (China) 2 - Rosa rugosa Thunb., fam. Rosaceae","Rosa rugosa - Rosa rugosa Thunb., var. plena Regel, fam. Rosaceae","Rose (Bulgaria) 1 - Rosa damascena Mill., fam. Rosaceae","Rose (Bulgaria) 2 - Rosa damascena Mill., fam. Rosaceae","Rose (Bulgaria) 4b - Rosa damascena Mill., fam. Rosaceae","Rose (China) 1a - Rosa damascena Mill., fam. Rosaceae","Rose (China) 1c - Rosa damascena Mill., fam. Rosaceae","Rose (China) 1d - Rosa species (Moroccan), fam. Rosaceae","Rose (China) 2 - Rosa damascena Mill., fam. Rosaceae","Rose (India) 1 - Rosa damascena Mill., fam. Rosaceae","Rose (Turkey) 1 - Rosa damascena Mill., fam. Rosaceae","Rose (Turkey) 3 - Rosa damascena Mill., fam. Rosaceae","Rose (Turkey) 4 - Rosa damascena Mill., fam. Rosaceae","Rose (Turkey) 5 - Rosa damascena Mill., fam. Rosaceae","Rose (Turkey) 6 - Rosa damascena Mill., fam. Rosaceae","Rose (Turkey) 7 - Rosa damascena Mill., fam. Rosaceae","Rose (Turkey) 8 - Rosa damascena Miller, fam. Rosaceae"
"Geranium (Australia) - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae",1.0,0.6135094006200716,0.7445695145261014,0.6419345680791755,0.8302663265938781,0.6472346784919916,0.7246375015800124,0.5102288695533503,0.6000105674035618,0.6347973647161671,0.6796180658258475,0.6034690981461371,0.3793061759414784,0.3841713274051357,0.3848486100800028,0.5655441559006532,0.759165255067049,0.443325688071736,0.18418835371507392,0.3244083952838809,0.33034638168569685,0.46460403768755487,0.20675415632034766,0.36764011618654513,0.34620152187342423,0.27152725175149495,0.5537216122163966,0.4362114517549026,0.5728937067641164,0.28960993864826734,0.40080948416682793,0.3505706174602825,0.1855888618682452,0.46415387426310806,0.4151677412124668,0.3686742232266246,0.39770023824487133,0.45039679385231335
"Geranium (China) 1 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae",0.6135094006200716,1.0,0.774929940680483,0.7758200478677281,0.6718987629153685,0.7909555782820512,0.6006368606074131,0.7736061540387696,0.7317695781560696,0.7448279056001677,0.7718096007986539,0.7914720082243173,0.24679415387194303,0.2976917584451282,0.36599627546886393,0.7858195954413084,0.5868807888566998,0.5476478436925927,0.19604610723809257,0.39505229340617176,0.48401892387758183,0.4981133239305636,0.40123707351505256,0.26044526420207303,0.2325556041357083,0.1578713350179093,0.4894006802535621,0.5146145966125096,0.42487326816654425,0.45609138369174984,0.3740549493234171,0.38840862093488837,0.2615986718949781,0.43624874886408394,0.30974709961120284,0.37467284782356935,0.37380579133563874,0.39284791441345346
"Geranium (China) 2 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae",0.7445695145261014,0.774929940680483,1.0,0.8592458745027068,0.8484488436929396,0.8174908818319506,0.7110876458967048,0.7197428140914544,0.774013783779319,0.7880235357676776,0.809891080696283,0.7998040949912913,0.3524612951324476,0.4069465521422633,0.4441446780239088,0.7002704247974569,0.7127753267784418,0.5779435598441822,0.25841694022656336,0.44350863266952223,0.523293727465804,0.5836554240190545,0.40851482209153156,0.3581791341641749,0.3335432258978084,0.2617148860818638,0.6091700184916244,0.5840086246983269,0.5600902136611319,0.4840544660879197,0.45859144428353793,0.4558596348885048,0.30044873263459837,0.537890898980101,0.42013152089447714,0.4464442756572885,0.45317583527430005,0.49905181216064787
"Geranium (China) 3 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae",0.6419345680791755,0.7758200478677281,0.8592458745027068,1.0,0.7519815813679069,0.8069222712665447,0.6229048743962151,0.792846432382891,0.783342436692841,0.769388310984592,0.7807808115501315,0.8304760388857452,0.28828108924140294,0.3641882369180258,0.41862055388775976,0.7164374679040917,0.61971346748444,0.601264421425373,0.24575192676447866,0.4702073188284527,0.5848505382233511,0.5953180741595774,0.4861081699787977,0.3142034676548139,0.28609858097962815,0.2181543628110374,0.5746638700482862,0.6110240649740653,0.4993592289693002,0.5515416405957578,0.44533910138774646,0.46591404172152107,0.32453792968470574,0.5184888200330723,0.37638380236186053,0.44085521478589573,0.43741669907205916,0.46753799476150704
"Geranium (China) 4 - Pelargonium graveolens L'Herit. ex Aiton, gam. Geraniaceae",0.8302663265938781,0.6718987629153685,0.8484488436929396,0.7519815813679069,1.0,0.7168957299368262,0.7097141673040706,0.6152687873819614,0.7037692359427495,0.7146052334979689,0.747324076562305,0.6890984270865737,0.38107776410474214,0.40532825910883974,0.42921487969111005,0.6045266306822008,0.7513530891409541,0.5329725193713136,0.23378019359458957,0.4185197027845192,0.456234435765867,0.5640796238111975,0.3331046792936523,0.3901478553728094,0.3629512106394127,0.2816988906445206,0.6263244673912325,0.5489867154032079,0.6067321088614004,0.41423813110877084,0.4644855953493826,0.43391617818175665,0.2675513845245342,0.535264683529803,0.44312105255354217,0.44210879106678846,0.4611580364659372,0.506394306038835
"Geranium (China, Beijing) - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae",0.6472346784919916,0.7909555782820512,0.8174908818319506,0.8069222712665447,0.7168957299368262,1.0,0.7254569049110973,0.753466308336664,0.7720358009285513,0.7937023124125633,0.7889271609192103,0.9015566542192324,0.3510456050387548,0.3706863287175861,0.4216566622590845,0.7292274121985953,0.6444246457616181,0.5543558183384607,0.23585952215193895,0.4383075313704462,0.5425556691846873,0.568353968227483,0.42931454627561794,0.31940168702897465,0.2950946163032194,0.24424969492623994,0.570003083927543,0.5805165795095972,0.5163708129777849,0.5006759099150448,0.4380470075412378,0.4472786386329365,0.2986718736347791,0.5176524348689162,0.3983434546290735,0.4208318473169236,0.41760879551487484,0.4689474197549821
"Geranium (China, Chengdu) - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae",0.7246375015800124,0.6006368606074131,0.7110876458967048,0.6229048743962151,0.7097141673040706,0.7254569049110973,1.0,0.5340244431537416,0.6268662859153602,0.6747797092062919,0.6944798510151329,0.6522432984718218,0.4409277482340913,0.47224118873097776,0.4662049187772348,0.5444812709895268,0.7495171780479188,0.4441778741219683,0.27998645877254036,0.3334248480453442,0.37192259394706695,0.48461792876975895,0.2429577754496478,0.35884180447859926,0.34593943626982526,0.3171230658838855,0.5724211359263845,0.4606481484661361,0.5803455251475953,0.32945594634842645,0.40678036897256864,0.37075859935598365,0.20928676068917706,0.48923077456871156,0.44476667058501707,0.35646569975859255,0.381118963553279,0.46671852773894273
"Geranium (China, Yunnan) 1 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaciae",0.5102288695533503,0.7736061540387696,0.7197428140914544,0.792846432382891,0.6152687873819614,0.753466308336664,0.5340244431537416,1.0,0.8358682794068228,0.7786397684540757,0.7793101876461046,0.8032063289593518,0.2437805624219771,0.30954795210718544,0.3796167966327959,0.6687114524732307,0.5377713716079602,0.6245083000484555,0.24794589195523464,0.5089788416769225,0.6587247517424648,0.6150121550171121,0.5813176723670319,0.2898409138073943,0.25725269914033067,0.1704515077041433,0.5628522141929639,0.6588901434968721,0.46113954965301807,0.6328742061920706,0.4416536516469969,0.4837893845508354,0.3567794136477346,0.5117985573241566,0.34189209005863097,0.4609842224527476,0.44785244356855236,0.45224640598030974
"Geranium (China, Yunnan) 2 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae",0.6000105674035618,0.7317695781560696,0.774013783779319,0.783342436692841,0.7037692359427495,0.7720358009285513,0.6268662859153602,0.8358682794068233,1.0,0.857320814008921,0.8641482594828807,0.793154453164122,0.3505627300896951,0.39309285933135907,0.44968075039546085,0.6136136846708302,0.6625451608250029,0.6396581335145342,0.2806047557515168,0.5494695676524437,0.6525578080487644,0.7028089558123908,0.5307633148721085,0.39619675277753463,0.3609588985005693,0.26275008384083265,0.7034544275317778,0.7294223005020015,0.6163367894265777,0.6079946838693224,0.5312532353631705,0.5390258674441218,0.37398166524588683,0.6113623794142835,0.4499736932255659,0.5355253268833757,0.5364782638464756,0.555123033631066
"Geranium (China, Yunnan) 3 - Pelargonium graveolens L'Herit. ex Aiton, fam. Geraniaceae",0.6347973647161671,0.7448279056001677,0.7880235357676776,0.769388310984592,0.7146052334979689,0.7937023124125633,0.6747797092062919,0.7786397684540757,0.857320814008921,1.0,0.8805360464826866,0.7989619344790475,0.3995650226070051,0.419433891594569,0.46423045987504097,0.670949184208195,0.6529534048508916,0.5175941187941338,0.2763837767199422,0.44635870028793,0.5545780101691486,0.5990861266183591,0.4235872114254964,0.35286712777431517,0.33158352695889315,0.3009201074776826,0.6223006242365696,0.6085741738394388,0.5862084943729522,0.5073509243033862,0.468527921862551,0.4697907738822743,0.3090683563504045,0.5520213083971773,0.43852639020855955,0.4300816689634812,0.4327545873233656,0.5117511996704869
