,"Artemisia desertorum (China) - Artemisia desertorum Spreng., fam. Asteraceae (Compositae)","Chaerophyllum coloratum fruit - Chaerophyllum coloratum L., fam. Apiaceae (Umbelliferae)","Chaerophyllum coloratum umbel - Chaerophyllum coloratum L., fam. Apiaceae (Umbelliferae)","Chamomile, german (Argentina) - Chamomilla recutita (L.) Rausch.(Matricaria chamomilla L.), fam.Asteraceae","Chamomile, german (Brazil) - Chamomilla recutita (L.) Rausch.(Matricaria chamomilla L.), fam.Asteraceae","Chamomile, german (Bulgaria) - Chamomilla recutita (L.) Rausch.(Matricaria chamomilla L.), fam.Asteraceae","Chamomile, german (Egypt) - Chamomilla recutita (L.) Rausch.(Matricaria chamomilla L.), fam.Asteraceae","Chamomile, german (Germany) 1 - Chamomilla recutita (L.) Rausch.(Matricaria chamomilla L.), fam.Asteraceae","Chamomile, german (Hungary) - Chamomilla recutita (L.) Rausch.(Matricaria chamomilla L.), fam.Asteraceae","Chamomile, german (India) 1 - Chamomilla recutita (L.) Rausch.(Matricaria chamomilla L.), fam.Asteraceae","Chamomile, german (India) 2a whole flower - Chamomilla recutita (L.) Rausch.(Matricaria chamomilla L.), fam.Asteraceae","Chamomile, german (India) 2d root - Chamomilla recutita (L.) Rausch.(Matricaria chamomilla L.), fam.Asteraceae","Chamomile, german (Italy) 1 - Chamomilla recutita (L.) Rausch.(Matricaria chamomilla L.), fam.Asteraceae","Chamomile, german (Italy) 2 - Chamomilla recutita (L.) Rausch.(Matricaria chamomilla L.), fam.Asteraceae","Parsnip (Germany) 4a seedling root - Pastinaca sativa L., fam. Apiaceae (Umbelliferae)"
"Artemisia desertorum (China) - Artemisia desertorum Spreng., fam. Asteraceae (Compositae)",1.0,0.008488990030493526,0.09575061964525577,0.23895910500912487,0.4896874947874591,0.41671195494616575,0.2982538060911065,0.15302402792707726,0.4818526904529644,0.4363358371066275,0.4639157272573512,0.2548243238198161,0.3263579903295294,0.23195632358023743,0.3017024038730429
"Chaerophyllum coloratum fruit - Chaerophyllum coloratum L., fam. Apiaceae (Umbelliferae)",0.008488990030493526,1.0,0.8772474227994563,0.05612004642493762,0.11195251126211991,0.11026937583158314,0.3227626744632959,0.0,0.13346732434400077,0.2126509077996035,0.22276905718042195,0.6116174745020991,0.12456094108983806,0.023268717107596815,0.5150298467947829
"Chaerophyllum coloratum umbel - Chaerophyllum coloratum L., fam. Apiaceae (Umbelliferae)",0.09575061964525577,0.8772474227994561,1.0,0.1482475560692238,0.210569064936746,0.20872130016257995,0.40877703003302834,0.08297937168744807,0.23485182025915186,0.3097894224368155,0.32555413334056105,0.7122434336614576,0.21493827881152638,0.11198149908809452,0.6177292205291713
"Chamomile, german (Argentina) - Chamomilla recutita (L.) Rausch.(Matricaria chamomilla L.), fam.Asteraceae",0.23895910500912487,0.05612004642493762,0.1482475560692238,1.0,0.5262725448179638,0.5382165137305353,0.6753015304687774,0.6904363012303139,0.6036794564449391,0.6939309212850575,0.6052546618751373,0.32181015094648446,0.6883636750773663,0.7263000646731793,0.37098507794405156
"Chamomile, german (Brazil) - Chamomilla recutita (L.) Rausch.(Matricaria chamomilla L.), fam.Asteraceae",0.4896874947874591,0.11195251126211991,0.210569064936746,0.5262725448179638,1.0,0.6173548429923463,0.562702542591607,0.4735640487182601,0.8014586350980946,0.7127171926267224,0.7290458315192206,0.4017243065418189,0.6823847455533942,0.5895334932976334,0.45856321502913056
"Chamomile, german (Bulgaria) - Chamomilla recutita (L.) Rausch.(Matricaria chamomilla L.), fam.Asteraceae",0.41671195494616575,0.11026937583158314,0.20872130016257995,0.5382165137305353,0.6173548429923463,1.0,0.48243109059171096,0.4131006658243519,0.6567519845882732,0.610322803854624,0.6312818451024342,0.39783030942299724,0.5389376860975844,0.4454108194686419,0.45518111849551846
"Chamomile, german (Egypt) - Chamomilla recutita (L.) Rausch.(Matricaria chamomilla L.), fam.Asteraceae",0.2982538060911065,0.3227626744632959,0.40877703003302834,0.6753015304687774,0.562702542591607,0.48243109059171096,1.0,0.6347588250446785,0.6286336853531268,0.7878421982066178,0.6756441116052738,0.5412851977879111,0.7292160891414894,0.661621945117429,0.5579809082229906
"Chamomile, german (Germany) 1 - Chamomilla recutita (L.) Rausch.(Matricaria chamomilla L.), fam.Asteraceae",0.15302402792707726,0.0,0.08297937168744807,0.6904363012303139,0.4735640487182601,0.4131006658243519,0.6347588250446785,1.0,0.5406050907928093,0.645113952126291,0.510126549333314,0.2328645496564331,0.7094374305599536,0.7265537659659647,0.27112705095514
"Chamomile, german (Hungary) - Chamomilla recutita (L.) Rausch.(Matricaria chamomilla L.), fam.Asteraceae",0.4818526904529644,0.13346732434400077,0.23485182025915186,0.6036794564449391,0.8014586350980946,0.6567519845882732,0.6286336853531268,0.5406050907928093,1.0,0.7988736769550695,0.8023675648557272,0.4340526791756265,0.7646231950392024,0.641196074403099,0.4946245674298352
"Chamomile, german (India) 1 - Chamomilla recutita (L.) Rausch.(Matricaria chamomilla L.), fam.Asteraceae",0.4363358371066275,0.2126509077996035,0.3097894224368155,0.6939309212850575,0.7127171926267224,0.610322803854624,0.7878421982066178,0.645113952126291,0.7988736769550695,1.0,0.8215767338615589,0.5008365211257534,0.8015805433141404,0.6978099116211374,0.5362668459793993
"Chamomile, german (India) 2a whole flower - Chamomilla recutita (L.) Rausch.(Matricaria chamomilla L.), fam.Asteraceae",0.4639157272573512,0.22276905718042195,0.32555413334056105,0.6052546618751373,0.7290458315192206,0.6312818451024342,0.6756441116052738,0.510126549333314,0.8023675648557272,0.8215767338615589,1.0,0.5333437610522429,0.6964632842292545,0.6012118123776036,0.5803620967766672
