,"Abies borisii-regis needle (Greece) - Abies borisii-regis Mattf., fam. Pinaceae","Achillea filipendulina (Iran) flower - Achillea filipendulina Lam., fam. Asteraceae (Compositae)","Aegopodium podagraria - Aegodopodium podagraria L., fam. Apiaceae (Umbelliferae)","Aframomum sulcatum - Aframomum sulcatum (Oliv. and Hanb.) K. Schum., fam. Zingiberaceae","Buchu leaf (South Africa) 1a - Agathosma betulina (Berg.) Pillans (Barosma betulina Bertl.), fam. Rutacea","Buchu leaf (South Africa) 2 - Agathosma betulina (Berg.) Pillans (Barosma betulina Bertl.), fam. Rutacea","Buchu leaf - Agathosma betulina (Berg.) Pillans (Barosma betulina Bertl.), fam. Rutacea","Calamus (Germany) 2 root - Acorus calamus L., fam. Araceae","Celery seed (China) 3b - Apium graveolens L., fam. Apiaceae (Umbelliferae)","Celery seed (India) 4 - Apium graveolens L., fam. Apiaceae (Umbelliferae)","Chamomile, german (India) 2c stem - Chamomilla recutita (L.) Rausch.(Matricaria chamomilla L.), fam.Asteraceae","Citrus australasica leaf - Citrus australasica, fam. Rutaceae","Conyza bonariensis (Brazil) - Conyza bonariensis (L.) Cronquist, fam. Asteraceae (Compositae)","Conyza sumatrensis - Conyza sumatrensis (Retz) Walk, fam. Asteraceae (Compositaceae)","Cymbopogon distans 4 (Himalaya) - Cymbopogon distans (Steud.) Wats. (Chemotype 4), fam. Poaceae (Gramineae)","Dill herb (Lithuania) - Anethum graveolens L., fam. Apiaceae (Umbelliferae)",Elemi 2 - Canarium luzonicum (Miq.) A. Gray (C. luziconum (Blume) A. Gray),"Elsholtzia strobilifera - Elsholtzia strobilifera Benth., fam. Lamiaceae (Labiatae)","Eupatorium ballotaefolium - Eupatorium ballotaefolium H.B.K., fam. Asteraceae (Compositae)","False acacia flower (Black locust flower) 1 - Robinia pseudoacacia L. (False acacia) (Black locust), fam. Leguminosae","Gingergrass (India) 1 - Cymbopogon martini Stapf., var. sofia, fam. Poaceae (Gramineae)","Gingergrass (India) 2 - Cymbopogon martini Stapf., var. sofia, fam. Poaceae (Gramineae)","Gingergrass (India) 5 - Cymbopogon martini Stapf., var. sofia, fam. Poaceae (Gramineae)","Gingergrass (India) 6 - Cymbopogon martini Stapf., var. sofia, fam. Poaceae (Gramineae)","Lemon flower headspace (clone SG) - Citrus limon (L.) Burm. f., fam. Rutaceae","Libanothamus humbertii leaf (Venezuela) - Libanothamus humbertii Cuatr., fam. Asteraceae (Compositae)","Lippia wilmsii (Kenya) - Lippia wilmsii H.H.W. Pearson, fam. Verbenaceae","Mentha spicata (Nepal) crispa - Mentha spicata L., variety crispa Benth., fam. Lamiaceae (Labiatae)","Michelia balansae flower headspace (China) - Michelia balansae (A. DC.) Dandy, fam. Magnoliaceae","Myrtle leaf (Turkey) 1 - Myrtus communis L., fam. Myrtaceae","Neroli bigarade (bitter orange flower) Italy 3 - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae","Olibanum, Frankincense (Somalia) 2 - Boswellia carterii Birdwood, fam. Burseraceae","Olibanum, Frankincense (Somalia) 3 - Boswellia carterii Birdwood, fam. Burseraceae","Olibanum, Indian (India) - Boswellia serrata Roxb. ex Colebr., fam. Burseraceae","Olive flower (headspace) - Olea europaea L., fam. Oleaceae","Orange leaf, sweet (North Africa) 1 - Citrus sinensis (L.) Osbeck, cultivar Portuguese, fam. Rutaceae","Orange leaf, sweet (North Africa) 4 - Citrus sinensis (L.) Osbeck, cultivar Washington navel, fam. Rutaceae","Parsley leaf (Germany), 1b (smooth leaf) - Petroselinum crispum (Miller) A.W. Hill (P. sativum Hoffm.), fam. Apiaceae","Pelargonium exstipulatum leaf - Pelargonium exstipulatum (Cav.) L'Herit., fam- Geraniaceae","Pelargonium x fragrans leaf - Pelargonium x fragrans, fam. Geraniaceae","Pepper, green (India) - Piper nigrum L., fam. Piperaceae","Peucedanum zenkeri (Cameroon) 1a - Peucedanum zenkeri Engl., fam. Apiaceae (Umbelliferae)","Prostanthera staurophylla - Prostanthera staurophylla F. Muell., fam. Lamiaceae (Labiatae)","Pummelo (Shaddock) (Vietnam) flower - Citrus maxima (J. Burman) Merrill. (C. grandis (L.) Osbeck), fam. Rutaceae","Rosa chinensis (headspace), China - Rosa chinensis Jacq., fam. Rosaceae","Rosemary 1c - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)","Savory, winter (Bulgaria) - Satureja montana L. ssp. kitaibelii Wierzb., fam. Lamiaceae (Labiatae)","Schinus lentiscifolius leaf (Uruguay) - Schinus lentiscifolius (L.) March, fam. Anacardiaceae","Tagetes erecta (Hungary) - Tagetes erecta L. (T. major Gaertn), fam. Asteraceae (Compositae)","Tagetes erecta (Portugal) - Tagetes erecta L. (T. major Gaertn), fam. Asteraceae (Compositae)","Tagetes patula (Hungary) - Tagetes patula L., fam. Asteraceae (Compositae)","Tagetes patula (India) - Tagetes patula L., fam. Asteraceae (Compositae)","Torreya grandis 1 - Torreya grandis Fort., fam. Taxaceae","Tuberose living flower headspace - Polianthes tuberosa L., fam. Amaryllidaceae (Agavaceae)"
"Abies borisii-regis needle (Greece) - Abies borisii-regis Mattf., fam. Pinaceae",1.0,0.7322619160188729,0.7185698705032182,0.565020759850076,0.5394149179903105,0.5968123544178674,0.499776795719299,0.6859206190092316,0.5082987749238627,0.5140156958084625,0.7319363618572402,0.6076780730447914,0.6674117371929965,0.4875058567412307,0.7321253116341764,0.5788296319394797,0.6902324301059797,0.5159235353283138,0.743374306583636,0.7209636703109562,0.5307396371230471,0.625492383047441,0.6526489543245713,0.7084059828052043,0.646470631497481,0.67865452295398,0.5992738593241015,0.21815309776101832,0.3143660605108167,0.6555180996964121,0.7179158291724388,0.6589766869561962,0.7401997127094428,0.29709912856015563,0.46179204091424475,0.692785738807187,0.7089720489626847,0.669815704443613,0.6461560794191789,0.6872627335786143,0.7390244588715269,0.7616779791813275,0.7601327671733403,0.5548008279979244,0.6882820808199073,0.6949474055145783,0.7260079888043576,0.6807620140400131,0.6580641633118587,0.6182720597378801,0.6465769612940027,0.6928081070159571,0.7029374950033335,0.7221999283398688
"Achillea filipendulina (Iran) flower - Achillea filipendulina Lam., fam. Asteraceae (Compositae)",0.7322619160188729,1.0,0.6991833207653653,0.5631985906606003,0.5523352423485125,0.6117398544645487,0.50197789517833,0.6862774322175365,0.5150269504821269,0.5246005034823151,0.7463434212623803,0.5998877774827549,0.6606080147144398,0.4894512836694658,0.7450634354017343,0.5958874966858961,0.7086379145696494,0.4995615098863495,0.7071217674305643,0.7228686776207134,0.537988695861019,0.6431150475019171,0.6854314886003936,0.7388470290402089,0.7258023531514644,0.6492179226805069,0.6337916674815142,0.22262832382485687,0.3201330122718745,0.6572580144912925,0.6675808317493375,0.6391140052649696,0.740861256563544,0.27310414579749365,0.47283104456290903,0.7064618632784323,0.7195246689467758,0.6808616369568445,0.6347836509905512,0.6654596962647301,0.6687330645480506,0.7408489108850611,0.7702425218284243,0.5568031126765629,0.6783771036838606,0.7089990647376154,0.7283380035337991,0.6659461499208156,0.6562198064965155,0.6198236124973926,0.643018788806484,0.7350586642553847,0.7055205665409168,0.7265899028456204
"Aegopodium podagraria - Aegodopodium podagraria L., fam. Apiaceae (Umbelliferae)",0.7185698705032182,0.6991833207653653,1.0,0.6078007692847672,0.573989547946802,0.60760482820776,0.5369517469055728,0.7171002465366118,0.5306416489961001,0.5185171091871109,0.7107327068393561,0.6800718352688608,0.7157856130601071,0.48172304990878156,0.7751776699705626,0.5692929932620501,0.6619632357427538,0.5274160362128184,0.7720269785337692,0.7795138356097209,0.5577135956561469,0.6061511269465627,0.6196552694626228,0.6959403432613149,0.6372183047543953,0.6716211682777921,0.5844326352792951,0.23548427502254854,0.3279089092346361,0.6038462860406122,0.6671596355667315,0.7041662638266009,0.8213436715285223,0.31944894449363237,0.4542744868564178,0.7281582357892913,0.7596539397614773,0.6943261956656223,0.6312781656587734,0.7308452394529905,0.7393519284374932,0.767443139873072,0.698913855997358,0.5677536904575841,0.726525114503298,0.7732260527772918,0.8018759218650107,0.7388253407864878,0.6659519462940411,0.6662784044829604,0.6739324083043585,0.6890805155885618,0.7244829117061224,0.7865293451967471
"Aframomum sulcatum - Aframomum sulcatum (Oliv. and Hanb.) K. Schum., fam. Zingiberaceae",0.565020759850076,0.5631985906606003,0.6078007692847673,1.0,0.4647960782860062,0.49215217701612324,0.4341966775200701,0.5679598391336392,0.45657857525502443,0.44719390589934993,0.5639472791587175,0.5091691710535566,0.5456137628948805,0.38548559101127144,0.6076692091959539,0.46043507000350337,0.5281486184493354,0.4226683758624391,0.5948400365468145,0.6051813351537734,0.45349838394893927,0.494358599540772,0.5063673821057746,0.5609132971731885,0.5169384844380968,0.5149789388829291,0.47147203953692984,0.1705969610856498,0.25523683306477407,0.48169299099003693,0.5197234529158259,0.5581781608257141,0.6205475834203873,0.24085581845672943,0.36762400598562983,0.5681413097246133,0.5866675531702714,0.5505820570105087,0.5075886501409046,0.5805140858608737,0.5759824014997406,0.5780242076391479,0.557047662926497,0.45410135114794414,0.5827299888701847,0.5781982944217525,0.5809035632004254,0.577133164051123,0.5533200950798881,0.5339608059120228,0.5545724757729233,0.5507527303289754,0.5777076856183534,0.6126604026067235
"Buchu leaf (South Africa) 1a - Agathosma betulina (Berg.) Pillans (Barosma betulina Bertl.), fam. Rutacea",0.5394149179903105,0.5523352423485125,0.573989547946802,0.4647960782860062,1.0,0.8667856006864365,0.4736259692602828,0.5502252183365797,0.4166702744905041,0.4093328103545001,0.549615149795302,0.48927284681199656,0.5093020917467241,0.37330011927019413,0.585737299778389,0.4485270623828871,0.5150746111407052,0.41133871122442833,0.5573705293184369,0.586008174238619,0.43893008526703736,0.4809549365814435,0.4943837551138217,0.545922127313657,0.5207559113866449,0.4988280493546611,0.46209496974644737,0.16097759785676802,0.2448322474568556,0.4738010457861703,0.502160550502164,0.5314096701348703,0.5963912431295548,0.22861048616173085,0.35693423771379684,0.5542762896076004,0.5708026189497069,0.5330204016480569,0.49124362199716753,0.5624928822171333,0.5430398822129392,0.5507273908461623,0.5430029289621638,0.44107894263395697,0.5529243305005432,0.5636030735429292,0.5545981964056049,0.5473323646837214,0.5164145604322357,0.5107287550894755,0.520836433654614,0.527638469111962,0.5560946362003469,0.592073152184982
"Buchu leaf (South Africa) 2 - Agathosma betulina (Berg.) Pillans (Barosma betulina Bertl.), fam. Rutacea",0.5968123544178674,0.6117398544645487,0.60760482820776,0.49215217701612324,0.8667856006864365,1.0,0.48356571637228984,0.5887732050268517,0.44854550612580224,0.44858630046817705,0.6106383124690524,0.5232166572424747,0.5568744143814973,0.4144070335243649,0.6318831697970047,0.49842649376213366,0.577102809892958,0.4319769649826044,0.6037639900668607,0.6224037052613531,0.46996199633955016,0.5324900946819251,0.5589189204870508,0.6071148719675823,0.5608186487631637,0.5465257183231864,0.5165002861961201,0.1798130562650636,0.26998478136507487,0.5271268345418241,0.5554144706343789,0.5592043158453537,0.634819988034123,0.23814899674517365,0.39763763027583343,0.5965289996965757,0.6111041497272824,0.5797794958002527,0.5355575748241324,0.5935913027226594,0.5806805149573466,0.6122346500873923,0.6100816805486526,0.47865002271344836,0.589377602545665,0.6063121408272445,0.5973440092382417,0.5805890868617993,0.5619587644076144,0.542351107037303,0.5591852812152183,0.5856463941348231,0.6008715980323716,0.6295117292977042
"Buchu leaf - Agathosma betulina (Berg.) Pillans (Barosma betulina Bertl.), fam. Rutacea",0.499776795719299,0.50197789517833,0.5369517469055728,0.4341966775200701,0.4736259692602828,0.48356571637228984,1.0,0.5130214740911965,0.38764659188287687,0.3790528625708436,0.5087012193267912,0.45670468186905,0.47275532105938467,0.3434181959402418,0.5454203304594307,0.41500964615099467,0.47691059766268695,0.3784362430940075,0.5191788582007565,0.5461420692921178,0.40913828347120595,0.4450158369645639,0.4559579407322022,0.5055155887770776,0.4627359077924188,0.4645370804923489,0.42294887602601006,0.13991696143897225,0.2219818556283193,0.43356422167658926,0.461914147436291,0.4983898765821423,0.5573803469184768,0.2095767840762115,0.3281177965124692,0.5133950982787053,0.5300452340584836,0.49615478959198844,0.4542375288225744,0.513501335439809,0.5077098529009514,0.5103688472344138,0.5020753827238413,0.40810419583581503,0.5161527824254719,0.5261599743372105,0.5158199728632449,0.5122361955643614,0.4794900164608661,0.4765779820893308,0.48543963462085327,0.4883794862080647,0.5180023433152489,0.5525671160614277
"Calamus (Germany) 2 root - Acorus calamus L., fam. Araceae",0.6859206190092316,0.6862774322175365,0.7171002465366118,0.5679598391336392,0.5502252183365797,0.5887732050268517,0.5130214740911965,1.0,0.5112960962100452,0.5047008921861313,0.7015842499829288,0.6023990777385919,0.6299028872881574,0.46406035283496117,0.7356385485949828,0.5556232090084652,0.6468017207170459,0.49642587227744717,0.6999271865677934,0.7432057447809957,0.537616738812983,0.5956707968450385,0.6150544459684408,0.6822395877239371,0.6197736651495793,0.6252356244103331,0.5717840256222365,0.2221485045553171,0.31567450022922205,0.6138704683458501,0.6256065908463351,0.6631603075030057,0.7545137913846777,0.29938497532601194,0.4456670993624895,0.6948158717045312,0.7231200784943254,0.6611812275152509,0.6133376747525157,0.6950471376598387,0.6769261666726847,0.6891664612695695,0.6922726589681002,0.5399466037491585,0.6851837973010639,0.700714040088833,0.6960565101823027,0.6776151511590007,0.6365921235225054,0.6258833690431955,0.640833754451068,0.6562994776116431,0.7043747673177211,0.7799812598250747
"Celery seed (China) 3b - Apium graveolens L., fam. Apiaceae (Umbelliferae)",0.5082987749238627,0.5150269504821269,0.5306416489961001,0.45657857525502443,0.4166702744905041,0.44854550612580235,0.38764659188287687,0.5112960962100452,1.0,0.44475773846451394,0.518718110639017,0.4543887922310039,0.4790253873351925,0.3504952726016084,0.5510895492940033,0.4241271585348174,0.48848134367629104,0.37488324783331584,0.5195106824233182,0.5416913739007496,0.4082702671171391,0.454462986277108,0.47169839590106666,0.5165856933758386,0.47232904501330064,0.467621984335164,0.43619346675830084,0.13875578299713165,0.22273603012477716,0.44388780302576447,0.4725593031100672,0.49034474348556945,0.5519339772517085,0.19982191952844297,0.3352842388566387,0.5146073854203512,0.5287870404689754,0.5017756623980028,0.4569518087313791,0.506295643519491,0.505981649238757,0.5210658366503481,0.5144071803202073,0.4115752575815087,0.5135240725196979,0.5241291864524786,0.5152033206185905,0.5079387108261579,0.4840904585970054,0.4729514435818649,0.48559131184202864,0.4993031757268803,0.5189870220960515,0.5482569161176809
"Celery seed (India) 4 - Apium graveolens L., fam. Apiaceae (Umbelliferae)",0.5140156958084625,0.5246005034823151,0.5185171091871109,0.44719390589934993,0.4093328103545001,0.44858630046817705,0.3790528625708436,0.5047008921861313,0.44475773846451394,1.0,0.5248571810728688,0.4474506249056548,0.48480529188936905,0.3539054401079169,0.5455758044687467,0.43051017001778613,0.497722959857544,0.36644653618616563,0.5166754211178326,0.531793416346598,0.4030440745774809,0.46004206524025726,0.4844532824732588,0.5235451042210303,0.47788525804418425,0.4673991573109191,0.4471269671423126,0.13476416654937506,0.2203465847255035,0.45260469749754784,0.47815185085726586,0.47934064028844336,0.5419643584877388,0.18713516158195098,0.33949233290586656,0.5116836342756224,0.5230448132893276,0.4985602063327782,0.4558016402212227,0.49556496720514454,0.5001089306225311,0.527023830564477,0.5244872816042171,0.4103966833454231,0.5069425806199581,0.5167755859313911,0.5126391855929826,0.49917014245707847,0.48908904881710125,0.4652335795223197,0.4846195676485565,0.5088144839251658,0.5160717172549681,0.5381154665647115
