,"Artemisia afra Willd. (Kenia) - Artemisia afra Willd., fam. Asteraceae (Compositae)","Cajuput (China) - Melaleuca cajuputi Powell, var. cajuputi, fam. Myrtaceae","Callistemon citrinus leaf - Callistemon citrinus (Curtis) Sheels (C. lanceolatus DC.), fam. Myrtaceae","Camphor (Madagascar) 1 - Cinnamomum camphora (L.) Nees et Ebermaier, fam. Lauraceae","Camphor (Madagascar) 2 - Cinnamomum camphora (L.) Nees et Ebermaier, fam. Lauraceae","Cardamom, large (Nepalese) (India) 1 - Amomum subulatum Roxb., fam. Zingiberaceae","Cardamom, large (Nepalese) (India) 2 - Amomum subulatum Roxb., fam. Zingiberaceae","Cardamom, large (Nepalese) (India) 3 - Amomum subulatum Roxb., fam. Zingiberaceae","Cardamom, large (Nepalese) (Pakistan) - Amomum subulatum Roxb., fam. Zingiberaceae","Cinnamomum burmannii (China) 2a branch & leaf - Cinnamomum burmannii Blume (1,8-cineole-type), fam. Lauraceae","Cinnamomum parthenoxylum (China) 1f - Cinnamomum parthenoxylum (Jack) Nees, fam. Lauraceae","Eucalyptus brassiana - Eucalyptus brassiana S.T. Blake, fam. Myrtaceae","Eucalyptus camaldulensis (Congo) - Eucalyptus camaldulensis Dehn., fam. Myrtaceae","Eucalyptus camaldulensis (Nigeria) 2 - Eucalyptus camaldulensis Dehn., var. mysore, fam. Myrtaceae","Eucalyptus cinerea - Eucalyptus cinerea F., fam. Myrtaceae","Eucalyptus globulus (Algeria) 1 - Eucalyptus globulus Labill., fam. Myrtaceae","Eucalyptus globulus (Algeria) 2 - Eucalyptus globulus Labill., fam. Myrtaceae","Eucalyptus globulus (Burundi) - Eucalyptus globulus Labill., fam. Myrtaceae","Eucalyptus globulus (China) 1 - Eucalyptus globulus Labill., fam. Myrtaceae","Eucalyptus globulus (China) 3 - Eucalyptus globulus Labill., fam. Myrtaceae","Eucalyptus globulus (Ethiopia) - Eucalyptus globulus Labill., fam. Myrtaceae","Eucalyptus globulus (France) - Eucalyptus globulus Labill., fam. Myrtaceae","Eucalyptus globulus (Hungary) fruit - Eucalyptus globulus Labill., fam. Myrtaceae","Eucalyptus globulus (Italy) 1b CO2-extract - Eucalyptus globulus Labill., fam. Myrtaceae","Eucalyptus globulus (Japan) - Eucalyptus globulus Labill., fam. Myrtaceae","Eucalyptus globulus (Morocco) 1 - Eucalyptus globulus Labill., fam. Myrtaceae","Eucalyptus globulus (Morocco) 2 - Eucalyptus globulus Labill., fam. Myrtaceae","Eucalyptus globulus (Portugal) 1 - Eucalyptus globulus Labill., fam. Myrtaceae","Eucalyptus globulus (Portugal) 2 - Eucalyptus globulus Labill., fam. Myrtaceae","Eucalyptus globulus (Rwanda) - Eucalyptus globulus Labill., fam. Myrtaceae","Eucalyptus globulus (Spain) 1 - Eucalyptus globulus Labill., fam. Myrtaceae","Eucalyptus globulus (Uruguay) - Eucalyptus globulus Labill., fam. Myrtaceae","Eucalyptus globulus (Yugoslavia) 1c branches - Eucalyptus globulus Labill., fam. Myrtaceae","Eucalyptus globulus (Yunnan) - Eucalyptus globulus Labill., fam. Myrtaceae","Eucalyptus globulus (Zambia) - Eucalyptus globulus Labill., fam. Myrtaceae","Eucalyptus globulus 1 - Eucalyptus globulus Labill., fam. Myrtaceae","Eucalyptus globulus 2a hydrodistilled - Eucalyptus globulus Labill., fam. Myrtaceae","Eucalyptus globulus 2b hydrodiffused - Eucalyptus globulus Labill., fam. Myrtaceae","Eucalyptus globulus 3 - Eucalyptus globulus Labill., fam. Myrtaceae","Eucalyptus globulus 4 - Eucalyptus globulus Labill., fam. Myrtaceae","Eucalyptus longifolia (Uruguay) - Eucalyptus longifolia Link & Otto, fam. Myrtaceae","Eucalyptus maidenii (Burundi) - Eucalyptus maidenii F. Muell., fam. Myrtaceae","Eucalyptus pellita (Uruguay) - Eucalyptus pellita F. v. Muell., fam. Myrtaceae","Eucalyptus radiata (Zambia) - Eucalyptus radiata Sieb. ex DC ssp radiata, fam. Myrtaceae","Eucalyptus resinifera (Cuba) - Eucalyptus resinifera Smith, fam. Myrtaceae","Eucalyptus smithii (Rwanda) - Eucalyptus smithii R. Baker, fam. Myrtaceae","Eucalyptus smithii (Zambia) - Eucalyptus smithii R. Baker, fam. Myrtaceae","Eucalyptus tereticornis (China) - Eucalyptus tereticornis Smith, fam. Myrtaceae","Laurel stem bark (France) - Laurus nobilis L., fam. Lauraceae","Marjoram, spanish (Portugal) 1 - Thymus mastichina L., fam. Lamiaceae (Labiatae)","Marjoram, spanish (Spain) 1 - Thymus mastichina L., fam. Lamiaceae (Labiatae)","Melaleuca viridiflora (Madagascar) - Melaleuca viridiflora Soland. ex Gaertn., fam. Myrtaceae","Myrtle ripe fruits (Spain) - Myrtus communis L., fam. Myrtaceae","Nepeta italica (Turkey) - Nepeta italica L., fam. Lamiaceae (Labiatae)","Nepeta sulfuriflora (Turkey) - Nepeta sulfurifloral P.H. David, fam. Lamiaceae (Labiatae)","Niaouli (Egypt) - Melaleuca quinquenervia (Cav.) S.T. Blake, fam. Myrtaceae","Ocimum canum (Cameroon) - Ocimum canum Sims., fam. Lamiaceae (Labiatae)","Rosemary (China) - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)","Rosemary (Greek) - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)","Sage, spanish (Italy) - Salvia lavandulaefolia Vahl., fam. Lamiaceae (Labiatae)","Tea Tree (Australia)  5 - Melaleuca alternifolia (Maiden et Betche) Cheel, fam. Myrtaceae"
"Artemisia afra Willd. (Kenia) - Artemisia afra Willd., fam. Asteraceae (Compositae)",1.0,0.6666722187429357,0.5297574388326085,0.6723183153508406,0.5776152831775156,0.7072991510552255,0.6285700577853046,0.622301094216867,0.6344864066671876,0.7241431278026575,0.6818813422786024,0.6137657030679313,0.6451635539666439,0.6517607895156451,0.6270737094914514,0.6492341264772692,0.6791135712821361,0.6609622057577117,0.5669678038817685,0.3386820339918778,0.5034605673230764,0.6495221714742692,0.7477203700254752,0.605732285994238,0.7099167694818396,0.5897604226076367,0.6368903035888857,0.5352586910063655,0.617763353876047,0.7126895753485343,0.6003843784420405,0.4118413803281189,0.5786495150665296,0.3556581227565464,0.6034744869109808,0.5207495105990672,0.5430775587757231,0.6563748070328355,0.49227872931452366,0.4331049386959863,0.7372121391086329,0.6397677550185716,0.5898943475394476,0.6025224764092906,0.7813939261603591,0.5648521643401676,0.5132669943992894,0.5687533335681385,0.7403666245504619,0.7460253648121439,0.5633652083285262,0.6797416184267937,0.6719549394113571,0.6226438331304238,0.7072710013086565,0.495863869930419,0.6485973576741617,0.6707748240345849,0.47413079766471533,0.4223331020705099,0.6214184804438038
"Cajuput (China) - Melaleuca cajuputi Powell, var. cajuputi, fam. Myrtaceae",0.6666722187429357,1.0,0.672124664552171,0.8432259926047285,0.671790522704556,0.6528974543646664,0.7647147504761876,0.7723831930927465,0.5917440353783894,0.774507348849428,0.806692083143652,0.789911981176505,0.7379266163442879,0.7142541803273326,0.6315209397165925,0.6024626988659323,0.7050887258508494,0.7890590079616073,0.4868559572493435,0.21197069140746583,0.6844551628201956,0.5466597258373772,0.6702995583546139,0.7196293092479147,0.6531132773262875,0.7328604114685713,0.6637774335324641,0.6892577893132097,0.7318379831334834,0.646513967498618,0.7188214183092048,0.566503867507388,0.7456548652540298,0.5028121790835703,0.6753789540211277,0.39115875619294005,0.6788777621417996,0.7465627906356119,0.375080418055194,0.602737191860466,0.7555636080534218,0.7854394642685159,0.5997302622885595,0.5058071624117575,0.7104844719984742,0.4316054107501627,0.39667485107739386,0.7053441423375582,0.6268582936162954,0.7193295565502995,0.647066931552845,0.7400752394267238,0.8135433752848842,0.5083073511058447,0.7846652770327988,0.6539372097246483,0.5772661937508503,0.7216114994517147,0.34387569766273307,0.4820863360490941,0.6806071800089202
"Callistemon citrinus leaf - Callistemon citrinus (Curtis) Sheels (C. lanceolatus DC.), fam. Myrtaceae",0.5297574388326085,0.672124664552171,1.0,0.6379340606109971,0.5233390096313456,0.5398818277794941,0.5673675819633675,0.5649313310864703,0.4955295434107738,0.6250145481127776,0.6115452140869603,0.6875135569906938,0.6027491168515033,0.6933873672084501,0.5913434101344883,0.6445995836495826,0.7199738321186091,0.7228887896193716,0.44819277126914614,0.2601949169484056,0.6980249290742515,0.5586962468438927,0.5696911244833636,0.6843612654924924,0.6057491590447617,0.6685168814586155,0.7472769816987671,0.8110996501425609,0.7980040073172427,0.655517539005016,0.853951801681858,0.8232455428457628,0.6137080343083803,0.776236685102278,0.8098265517548194,0.41358328892039975,0.8487842062861213,0.6959956883220237,0.412799781881509,0.7375171454974572,0.5797305980874947,0.6587925235661547,0.5118435284995699,0.4797123281611866,0.5747078105909718,0.42589934029594034,0.4160586864358877,0.7486465827082536,0.5234354966344301,0.6116110607813462,0.4916669586918825,0.6794871071227803,0.6805360251410306,0.45241789728712245,0.543108001440036,0.5128563184338104,0.5284666674259233,0.6890467006806731,0.3697400615424399,0.38039412803752237,0.5465637429824273
"Camphor (Madagascar) 1 - Cinnamomum camphora (L.) Nees et Ebermaier, fam. Lauraceae",0.6723183153508406,0.8432259926047285,0.6379340606109971,1.0,0.707595447153359,0.6401323101227425,0.8261666661215022,0.8373246282563643,0.6627050269107517,0.8166108124828779,0.8883008657470279,0.7850631592225108,0.7509530026440748,0.6938232464960757,0.6230448355164228,0.5845905566549574,0.6932048111112447,0.808006865548062,0.4819065438602007,0.20454257474256865,0.6493377321826778,0.5508126729942989,0.6750849705416415,0.684770274377798,0.6609570775064659,0.7043239706647643,0.6251841273371898,0.6385804880330944,0.6817811568397432,0.6449913870202892,0.6743362004967708,0.5157668796035726,0.7641935516530842,0.4477616786530342,0.6402334347567313,0.38721995763333295,0.6363074295532756,0.7267807370533086,0.37290843069841073,0.5502058266392919,0.7911832517731638,0.8446092313924753,0.6416820624291778,0.5288408896812951,0.7243856657367935,0.42877840096482356,0.39979249075354795,0.6858727662991886,0.6253791408117128,0.7308084859692295,0.6601318450353745,0.7838106257478535,0.8157031724100485,0.5162666983468437,0.7892192603068684,0.7194277021927471,0.5797995549194319,0.6881493095817307,0.34182398005809866,0.48440358370577796,0.7705647102077557
"Camphor (Madagascar) 2 - Cinnamomum camphora (L.) Nees et Ebermaier, fam. Lauraceae",0.5776152831775156,0.671790522704556,0.5233390096313456,0.707595447153359,1.0,0.5346757567492981,0.6679685689056483,0.6761319243415617,0.5646910376142379,0.6983118659890828,0.7236340715535559,0.6406589037488194,0.6212251069693991,0.5717479363479865,0.5252997062999544,0.48311647971597815,0.5713584754322834,0.6514784858700493,0.5577118037004494,0.14318884213894933,0.5459417641254898,0.4576706713526948,0.5754514486127109,0.5660311947119256,0.56158277068201,0.5832528744637284,0.5144780626956774,0.5295203278891195,0.5697404922846973,0.53766132163318,0.5551702078994403,0.4251241197279575,0.6264612249227239,0.363421022823295,0.530160469542257,0.3134482620186908,0.5263791471523782,0.6012422988387385,0.2991938688057221,0.45979004674448987,0.6459337544793474,0.6722705646893696,0.5435948081202568,0.45513737769825846,0.6022931139567517,0.35397855147794477,0.3275397657447091,0.5663267291496488,0.5368537098200383,0.6513266876300037,0.560120327622868,0.6298060132122015,0.6568597927427713,0.4330155573762188,0.6496783666653241,0.6005730246493831,0.5002355589948394,0.567852153701712,0.2715235780595978,0.4246157545148306,0.6401452642539294
"Cardamom, large (Nepalese) (India) 1 - Amomum subulatum Roxb., fam. Zingiberaceae",0.7072991510552255,0.6528974543646664,0.5398818277794941,0.6401323101227425,0.5346757567492981,1.0,0.619307828081769,0.6064975404410201,0.6208716869697886,0.7070729965546776,0.6511787840674201,0.57670178464081,0.6003655250243917,0.7100768204958593,0.7552564973347509,0.720326707997697,0.7080344136391348,0.6370571696519503,0.6199238347536339,0.4227342041721973,0.5167602552240887,0.6923497555416009,0.7687508293667626,0.5892320913771063,0.8292311013781412,0.5633937181430192,0.710475420378951,0.5385846331673022,0.5968437459370979,0.7281662788232035,0.6133176918296752,0.43131196139414185,0.5360393027487742,0.387873888729413,0.6285180949209241,0.5931487729537528,0.5678967044490788,0.6758570029150506,0.5682560773873988,0.4500936577629112,0.6751581117916351,0.5878377068557151,0.5089085002308023,0.6693160222512015,0.731890421723074,0.6339100443710425,0.5859954897948864,0.5247007286764763,0.798209944246397,0.7524906107441443,0.5219435860033516,0.7044019597557035,0.6791638326425806,0.690168963494111,0.6604711374274789,0.4597594948574728,0.727682364834999,0.6878745404656749,0.5446145795758451,0.378854873877813,0.5865875194039647
"Cardamom, large (Nepalese) (India) 2 - Amomum subulatum Roxb., fam. Zingiberaceae",0.6285700577853046,0.7647147504761876,0.5673675819633675,0.8261666661215022,0.6679685689056483,0.619307828081769,1.0,0.923701129283002,0.6516636969651799,0.752959879301673,0.857970550313767,0.7171320193032463,0.671372671408169,0.7102186985078451,0.5688523860661392,0.5388451462198938,0.6332881343021921,0.7212844799847509,0.4651842335759304,0.19014027070321782,0.5853955536367363,0.513230238863662,0.6233665737252179,0.6249032845174898,0.6078293093519256,0.6365046672159544,0.574885536774173,0.5684785600792402,0.6125422837888463,0.5842079139447388,0.5999002724383378,0.45534904558150635,0.6873299173018537,0.3902517659637821,0.5800553936899138,0.3613883065163678,0.5711886749610147,0.6577635660642759,0.3520932852664763,0.4886073068782021,0.7252729205381477,0.748466897679732,0.5634973849008108,0.5023215689395681,0.6707406132115463,0.40361982784859474,0.37754855333810555,0.5996629078710858,0.5880967641355653,0.6969467413289334,0.6234212383429086,0.7213373741206752,0.7160239660652181,0.5154737885641663,0.7585932581867707,0.6678141658642223,0.5842575509084881,0.650738046471649,0.32057593440014664,0.44689644673514717,0.7108269007000738
"Cardamom, large (Nepalese) (India) 3 - Amomum subulatum Roxb., fam. Zingiberaceae",0.622301094216867,0.7723831930927465,0.5649313310864703,0.8373246282563643,0.6761319243415617,0.6064975404410201,0.923701129283002,1.0,0.6396921467771353,0.7479705999110553,0.8635724084967565,0.7336012408068344,0.6908708164365469,0.6952544952715427,0.5709743604040456,0.5198565063437477,0.6223327186244532,0.7231480675709688,0.44769205252921485,0.16473873902919056,0.6081296807659615,0.4931811138948904,0.6094647571556842,0.615871749230256,0.5907986251855519,0.636914176560121,0.5582026103510545,0.5748925904628153,0.617316917953716,0.5768053174172574,0.5999162697035574,0.46014583524517016,0.6925647513257263,0.3871801534936343,0.5784882553280211,0.3383421266248938,0.5753436175175677,0.6664140820029995,0.3277053367075431,0.5021817943560258,0.7274779440117227,0.7622848459715815,0.5715804518218064,0.4844633578467875,0.6670800074159081,0.38400939176198234,0.35783819728660815,0.6068097757482027,0.5734372085533661,0.6905612187052534,0.6405516305269361,0.7062198631746729,0.7268891258278043,0.49261463853542664,0.7636709433017349,0.6845528424949858,0.5616639913170483,0.6401337805682277,0.2962588700241793,0.48069627304411044,0.7277369646771041
"Cardamom, large (Nepalese) (Pakistan) - Amomum subulatum Roxb., fam. Zingiberaceae",0.6344864066671871,0.5917440353783889,0.4955295434107738,0.6627050269107513,0.5646910376142376,0.6208716869697886,0.6516636969651802,0.6396921467771357,1.0,0.6893167478862495,0.7091161028330852,0.5443280393319765,0.5395437787691246,0.6336219625150372,0.5986703351227379,0.6308832573228282,0.6694513060066662,0.6534797285876167,0.548893188271985,0.3961600156429804,0.4359161970054115,0.6467460056823411,0.6968911203140526,0.5011263232339878,0.7066062660654717,0.49514133120170467,0.5841608279432903,0.45653513954355995,0.5235042390179908,0.6104159452048202,0.529441924356776,0.37011599354144875,0.5183718104728725,0.31257499887519224,0.5738662348224031,0.543278230963594,0.5031812280997408,0.5893008642338669,0.5435488753648388,0.36653077441151405,0.6533415915933989,0.625722342015783,0.4706831289816996,0.7343466971233883,0.6750989304843499,0.5842416712839751,0.5917747740259756,0.4441646981627183,0.6658819654521844,0.7210670413569353,0.4719724242183624,0.7805483405478679,0.6087123749647421,0.6828599082191935,0.6082716868649248,0.5571287882496576,0.7038513621759357,0.6084562173355677,0.5201159366086393,0.3699110827923934,0.7521497901562315
"Cinnamomum burmannii (China) 2a branch & leaf - Cinnamomum burmannii Blume (1,8-cineole-type), fam. Lauraceae",0.7241431278026575,0.774507348849428,0.6250145481127776,0.8166108124828779,0.6983118659890828,0.7070729965546776,0.752959879301673,0.7479705999110553,0.68931674788625,1.0,0.8163145350033366,0.7086548347152697,0.6991788421479178,0.7281008422265974,0.6507757094137667,0.6667429843182531,0.7396320953055382,0.7692201868247585,0.5936606778954876,0.3099597587684636,0.5824978756089082,0.6496527608404319,0.7689830437572217,0.6664783708006454,0.7400373368231707,0.6635747674179411,0.6764882305054297,0.6077442470058116,0.6642465440118306,0.7076240590602716,0.6720342206230318,0.49026367121295256,0.6791343816716331,0.4294131874088255,0.6633680314561488,0.49436390722965695,0.6208369279785309,0.719000709043264,0.4740654422990749,0.5061458443807145,0.7745444521909931,0.7473130783064155,0.6298629904147421,0.6203886032843194,0.7783026206302802,0.5348529222474432,0.49971105874673016,0.6450353970155551,0.7101754844299283,0.8286370331938193,0.7115515871901459,0.8071996935177295,0.7721520476913891,0.6128790514141929,0.7708959696472373,0.6178079206599378,0.6688159148107451,0.7234294540867598,0.4460539455121224,0.4530936199914255,0.7259833950848533
