,"Coleus aromaticus (Vietnam) - Coleus aromaticus Benth. (wild oregano), fam. Lamiaceae (Labiatae)","Satureja thymbra (Israel) 2 - Satureja thymbra L., fam. Lamiaceae (Labiatae)","Savory, summer (Finland) - Satureja hortensis L., fam. Lamiaceae (Labiatae)","Savory, summer (Iran) 2 - Satureja hortensis L., fam. Lamiaceae (Labiatae)","Savory, summer (Italy) 1b oil - Satureja hortensis L., fam. Lamiaceae (Labiatae)","Savory, summer (Italy) 2 - Satureja hortensis L., fam. Lamiaceae (Labiatae)","Savory, summer (Italy) 3 - Satureja hortensis L., fam. Lamiaceae (Labiatae)","Savory, summer (Italy) 4 - Satureja hortensis L., fam. Lamiaceae (Labiatae)","Savory, summer (Poland) - Satureja hortensis L., cv. Saturn, fam. Lamiaceae (Labiatae)","Savory, summer (Scotland) - Satureja hortensis L., fam. Lamiaceae (Labiatae)","Savory, summer (Spain) - Satureja hortensis L., fam. Lamiaceae (Labiatae)","Thyme (Hungary) 1a - Thymus vulgaris L., fam. Lamiaceae (Labiatae)","Thymus capitatus (Tunisia) - Thymus capitatus (L.) Hoffmanns et Link, fam. Lamiaceae (Labiatae)"
"Coleus aromaticus (Vietnam) - Coleus aromaticus Benth. (wild oregano), fam. Lamiaceae (Labiatae)",1.0,0.4767017085171641,0.40879836129376645,0.45640398656238645,0.6011880840352434,0.5255895919740048,0.17018100276749626,0.38483503512644457,0.4009338242180204,0.40757413457311586,0.46080036548064585,0.39058586004851403,0.4930635536123712
"Satureja thymbra (Israel) 2 - Satureja thymbra L., fam. Lamiaceae (Labiatae)",0.476701708517164,1.0,0.6370134834619878,0.5307816869920418,0.6712594135769473,0.7607093943937229,0.17373529384319542,0.5093832307247903,0.4967733687572057,0.6554535410311051,0.7447909288049641,0.4696959103870807,0.662649423442178
"Savory, summer (Finland) - Satureja hortensis L., fam. Lamiaceae (Labiatae)",0.40879836129376657,0.6370134834619878,1.0,0.6166540284861165,0.5405354205966307,0.751228746060635,0.16601349486085548,0.4896614071452774,0.5294336111144722,0.7156998392164469,0.7485734442061128,0.3082864931619864,0.592466202688575
"Savory, summer (Iran) 2 - Satureja hortensis L., fam. Lamiaceae (Labiatae)",0.45640398656238657,0.5307816869920418,0.6166540284861165,1.0,0.6238656753460299,0.6961051327607586,0.536732626152149,0.7774521453253733,0.8759905308808741,0.7704591921900242,0.559246335141077,0.4359545380630715,0.3887661835657441
"Savory, summer (Italy) 1b oil - Satureja hortensis L., fam. Lamiaceae (Labiatae)",0.6011880840352434,0.6712594135769473,0.5405354205966307,0.6238656753460299,1.0,0.7563098360086769,0.3304039378659278,0.6579509409680677,0.6071749896279192,0.6740023484219507,0.6858851033500011,0.6369399554891395,0.5995639785138328
"Savory, summer (Italy) 2 - Satureja hortensis L., fam. Lamiaceae (Labiatae)",0.525589591974005,0.7607093943937229,0.751228746060635,0.6961051327607586,0.7563098360086769,1.0,0.2891373277827838,0.6471503396976017,0.6506664183174615,0.8295260443071613,0.8437823194578716,0.5129079373046219,0.6617358179473884
"Savory, summer (Italy) 3 - Satureja hortensis L., fam. Lamiaceae (Labiatae)",0.17018100276749626,0.17373529384319542,0.16601349486085548,0.536732626152149,0.3304039378659278,0.2891373277827838,1.0,0.6056131523605075,0.6221231367011977,0.3906133125183189,0.15433310071403428,0.29909332070069083,0.0
"Savory, summer (Italy) 4 - Satureja hortensis L., fam. Lamiaceae (Labiatae)",0.38483503512644457,0.5093832307247903,0.4896614071452774,0.7774521453253733,0.6579509409680677,0.6471503396976017,0.6056131523605075,1.0,0.851767122987082,0.7411167045510008,0.526164162016737,0.548075060566545,0.35692391770172727
"Savory, summer (Poland) - Satureja hortensis L., cv. Saturn, fam. Lamiaceae (Labiatae)",0.40093382421802026,0.4967733687572057,0.5294336111144722,0.8759905308808741,0.6071749896279192,0.6506664183174615,0.6221231367011977,0.851767122987082,1.0,0.7505404491316263,0.5115757083883793,0.46855987845268154,0.3351568675539651
"Savory, summer (Scotland) - Satureja hortensis L., fam. Lamiaceae (Labiatae)",0.407574134573116,0.6554535410311051,0.7156998392164469,0.7704591921900242,0.6740023484219507,0.8295260443071613,0.3906133125183189,0.7411167045510008,0.7505404491316263,1.0,0.7284745637772252,0.4850301718463209,0.5180410193591145
"Savory, summer (Spain) - Satureja hortensis L., fam. Lamiaceae (Labiatae)",0.46080036548064607,0.7447909288049641,0.7485734442061128,0.559246335141077,0.6858851033500011,0.8437823194578716,0.15433310071403428,0.526164162016737,0.5115757083883793,0.7284745637772252,1.0,0.45980717776841373,0.7527337477473983
"Thyme (Hungary) 1a - Thymus vulgaris L., fam. Lamiaceae (Labiatae)",0.39058586004851403,0.4696959103870807,0.3082864931619864,0.4359545380630715,0.6369399554891395,0.5129079373046219,0.29909332070069083,0.548075060566545,0.46855987845268154,0.4850301718463209,0.45980717776841373,1.0,0.3862380412529426
"Thymus capitatus (Tunisia) - Thymus capitatus (L.) Hoffmanns et Link, fam. Lamiaceae (Labiatae)",0.4930635536123713,0.662649423442178,0.592466202688575,0.3887661835657441,0.5995639785138328,0.6617358179473884,0.0,0.35692391770172727,0.3351568675539651,0.5180410193591145,0.7527337477473983,0.3862380412529426,1.0
