,"Annual wormwood (Italy) - Artemisia annua L., fam. Asteraceae (Compositae)","Aristolochia brevipes - Aristolochia brevipes Benth., fam. Aristolochiaceae","Rosemary (Egypt) 2 - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)","Rosemary (France) 1 - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)","Rosemary (France) 2 Corsica - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)","Rosemary (Hungary) 2b - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)","Rosemary (Italy)  1 - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)","Rosemary (Italy)  2 - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)","Rosemary (Italy)  3 - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)","Rosemary (Italy)  4 - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)","Rosemary (Italy)  5 - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)","Rosemary (Italy)  6 - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)","Rosemary (Italy)  8 - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)","Rosemary (Italy)  9 - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)","Rosemary (Italy) 11 Sardinia - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)","Rosemary (Italy) 13a Cevoli leaf - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)","Rosemary (Italy) 13b Cevoli flower - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)","Rosemary (Italy) 15 - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)","Rosemary (South Africa) 1 - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)","Rosemary (Spain) 1 - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)","Rosemary (Spain) 2 - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)","Rosemary (Spain) 3 - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)","Rosemary (Spain) 4 - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)","Rosemary (Spain) 5 - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)","Rosemary (Spain) 6 - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)","Rosemary (Turkey) 3 - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)","Rosemary (Yugoslavia, Dalmatia) - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)","Rosemary 2 - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)","Rosmarinus lavandulaceus - Rosmarinus x lavandulaceus De Noe, fam. Lamiaceae (Labiatae)","Rosmarinus mendizablii (Spain) - Rosmarinus x mendizabalii Sagredo ex Rosua, fam. Lamiaceae (Labiatae)","Sage, spanish (Spain)  2 - Salvia lavandulaefolia Vahl., fam. Lamiaceae (Labiatae)"
"Annual wormwood (Italy) - Artemisia annua L., fam. Asteraceae (Compositae)",1.0,0.3051657005214169,0.3777558100269265,0.4193228565704322,0.2756675164279654,0.5704540381177104,0.5481450450380423,0.4801060145645787,0.38019583995163775,0.4920114365637068,0.4553552889928303,0.43672087683138194,0.37919020527316616,0.5658046538838928,0.2081624490893631,0.3692955490752773,0.15210870133240184,0.44755633357923685,0.45513795366609267,0.5896523894319696,0.6269565510361628,0.5831821244948925,0.6095391133340514,0.5228984500336812,0.5951014171044455,0.3616709397399531,0.5677077272073576,0.4461055989112348,0.575561919179286,0.4063650551754393,0.4015183737050172
"Aristolochia brevipes - Aristolochia brevipes Benth., fam. Aristolochiaceae",0.3051657005214169,1.0,0.370026611622464,0.29184190693086043,0.37655292120369865,0.3939327106864098,0.21815484823055442,0.29765186645866537,0.19215977250548189,0.2611935820348734,0.3754297597106697,0.3405413072542848,0.3306868894597459,0.24517808981039113,0.23274600136997647,0.3896582677252085,0.17978049461718537,0.34562764447234773,0.12983309246531038,0.33529848014884533,0.3200539103279715,0.39261689605914474,0.3466197022750561,0.39394379123008183,0.2529269342573375,0.22862386190779593,0.1858938276698654,0.34660330894626556,0.34749906970473876,0.43508657606508616,0.40841122265133634
"Rosemary (Egypt) 2 - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)",0.3777558100269265,0.370026611622464,1.0,0.30152216844207924,0.5024128900147333,0.43621179297766,0.2748533524440142,0.3013229369795998,0.4505478752961426,0.31860242756513524,0.43623734345951404,0.3629259979410845,0.33321557076397046,0.432009634764553,0.4349116763542059,0.4001612875432454,0.37863946973615836,0.4536257255354226,0.19689993621469404,0.34336682236687455,0.4542911360205094,0.49569852632505873,0.42186455174479653,0.4900132977594125,0.3945752737550622,0.45282052000484696,0.2347564897927933,0.4539601434504942,0.530808140318416,0.4259903882954561,0.3511048268990815
"Rosemary (France) 1 - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)",0.4193228565704322,0.29184190693086043,0.30152216844207924,1.0,0.5251446445092777,0.5107991247770478,0.6151277276419649,0.7107128209497916,0.2766433740176498,0.6334931560111681,0.7752366196701144,0.8123706664229057,0.8168266210552837,0.32022064624342295,0.3568483931570374,0.7091422510142245,0.31596699713570986,0.4760884489972058,0.1596327608721959,0.452708418302213,0.4480341486330962,0.5906063724725585,0.5549849845188761,0.49474470711409546,0.4522970232752128,0.21582324086463478,0.5714200508309369,0.4769338366827962,0.4444771744862632,0.4092073937657219,0.31234079598609754
"Rosemary (France) 2 Corsica - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)",0.2756675164279654,0.37655292120369865,0.5024128900147333,0.5251446445092777,1.0,0.4501287538315558,0.2865157757796932,0.4003351228535459,0.29956313132948875,0.3852486887076467,0.6217303913694827,0.5762328310068268,0.6012569394676204,0.2472941775564762,0.6171281772892447,0.6658641574570971,0.5257600162860203,0.42562238871421587,0.07180335205228705,0.30714179008733833,0.335842245115913,0.5114135406558435,0.38862504017349087,0.4840521640708825,0.2916534565249683,0.32343504599483397,0.2358933834561765,0.4260200467122107,0.39704756022459176,0.48244071660136445,0.34507062801226374
"Rosemary (Hungary) 2b - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)",0.5704540381177104,0.3939327106864098,0.4362117929776601,0.5107991247770478,0.4501287538315558,1.0,0.5031066691904578,0.5113671543614918,0.4448155770506509,0.5676748727468096,0.5814004737706853,0.5482143075277911,0.4904237112549812,0.5101517534866116,0.3552878143445193,0.5109252279047349,0.32269869923015293,0.4923511661424915,0.5008523518344381,0.6956609821821211,0.6778308031246383,0.7551936682551597,0.7141754743421708,0.7276411500092056,0.6215629270549848,0.5050388078120857,0.551720061894285,0.49288058701855986,0.635204301562262,0.6423361367510638,0.5948142560111003
"Rosemary (Italy)  1 - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)",0.5481450450380423,0.21815484823055442,0.2748533524440142,0.6151277276419649,0.2865157757796932,0.5031066691904578,1.0,0.7821206253890066,0.34917762971708965,0.6824910763196259,0.6081397394537646,0.6167899839879476,0.5405338616622835,0.48412525318064403,0.20673495887436488,0.4890798182004461,0.18109218800010962,0.5596494532632226,0.2827550914080432,0.5075555733521799,0.5456165043968756,0.5612366711597894,0.5843249377804635,0.46257547224013196,0.5700513403747476,0.2587961220951688,0.7547814401147368,0.5606173883583969,0.5172357279081405,0.32205591243491916,0.28087626433932333
"Rosemary (Italy)  2 - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)",0.4801060145645787,0.29765186645866537,0.3013229369795998,0.7107128209497916,0.4003351228535459,0.5113671543614918,0.7821206253890066,1.0,0.33318757268893995,0.7257648210698935,0.7344309497199221,0.7384087012806513,0.6579580476473026,0.4019274586820666,0.27363518122975605,0.6513460617674909,0.27157730881800035,0.6391159986630839,0.18998244132164477,0.4818370030111404,0.48374950444009734,0.5735344942181859,0.5664583747344463,0.4942459318903023,0.47748767077941845,0.25802296105497147,0.6288358232514433,0.6402977094560558,0.4923966746362042,0.39689966991950043,0.33527680952120076
"Rosemary (Italy)  3 - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)",0.38019583995163775,0.19215977250548189,0.4505478752961426,0.2766433740176498,0.29956313132948875,0.4448155770506509,0.34917762971708965,0.33318757268893995,1.0,0.5157783681445736,0.39809440889081604,0.3088822200442848,0.21860557223084787,0.4455018426518399,0.4127798494960899,0.31321831838607805,0.5016156382910995,0.46570494665375883,0.2916770160093317,0.3331145113066736,0.45331362292851973,0.4165791391715885,0.4020451455745191,0.4323514887619584,0.4270959225421429,0.6431090406383675,0.33281484701142083,0.4666774065280672,0.5032798260036455,0.2698942552013992,0.2439347195487669
"Rosemary (Italy)  4 - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)",0.4920114365637068,0.2611935820348734,0.31860242756513524,0.6334931560111681,0.3852486887076467,0.5676748727468096,0.6824910763196259,0.7257648210698935,0.5157783681445736,1.0,0.6942893716622816,0.6574906960561957,0.5408423599179057,0.41115326214117565,0.35812148503804675,0.5955342843631335,0.4015365518152584,0.581342563396083,0.2838852413781343,0.5061118885658364,0.5175234828617499,0.5787574301666962,0.5855712746500704,0.5361091676667268,0.5096631907898135,0.423565338461651,0.6371528428960493,0.5824443947315194,0.522848273135065,0.3790678735193571,0.336537102766017
