,"Athamanta macedonia (Greece) - Athamanta macedonia (L.) Sprengel, ssp. macedonia, fam. Apiaceae (Umbell.)","Cedarleaf (Egypt) 1a fruit - Thuja occidentalis L., fam. Taxodiaceae","Cedarleaf (Egypt) 1b twig - Thuja occidentalis L., fam. Taxodiaceae","Cypress fruit/cone - Cupressus sempervirens L. (C. fastigiata DC), fam. Cupressaceae","Dracocephalum aucheri - Dracocephalum aucheri Boiss., fam. Lamiaceae (Labiatae)","Grapefruit leaf (Taiwan) - Citrus paradisi Macfayden, fam. Rutaceae","Grapefruit leaf (USA) - Citrus paradisi Macfayden, fam. Rutaceae","Hyptis suaveolens (India) 1 - Hyptis suaveolens (L.) Poit., fam. Lamiaceae (Labiatae)","Hyptis suaveolens (Mali) - Hyptis suaveolens (L.) Poit., fam. Lamiaceae (Labiatae)","Juniper leaf (Italy) - Juniperus communis L., fam. Cupressaceae","Litsea cubeba (China) 2a flower - Litsea cubeba (Lour.) Pers. (L. citrata Blume), fam. Lauraceae","Litsea cubeba (India) 2b flower - Litsea cubeba (Lour.) Pers. (L. citrata Blume), fam. Lauraceae","Mandarin leaf (Petitgrain mandarin.) (China) - Citrus reticulata Blanco, fam. Rutaceae","Mullilam - Zanthoxylum rhetsa D.C. syn. Z. limonella (Dennst.) Alston, fam. Rutaceae","Mullilam seed (India) - Zanthoxylum rhetsa D.C. syn. Z. limonella (Dennst.) Alston, fam. Rutaceae","Nutmeg (Sri Lanka) 1 - Myristica fragrans Houtt., fam. Myristicaceae","Nutmeg (West Indies) 1 - Myristica fragrans Houtt., fam. Myristicaceae","Nutmeg (West Indies) 2 - Myristica fragrans Houtt., fam. Myristicaceae","Nutmeg (West Indies) 3 - Myristica fragrans Houtt., fam. Myristicaceae","Orange leaf, sweet (China) - Citrus sinensis (L.) Osbeck, fam. Rutaceae","Orange leaf, sweet (Israel) 1 - Citrus sinensis (L.) Osbeck, cultivar Jaffa (Shamouti), fam. Rutaceae","Orange leaf, sweet (Italy) 1 - Citrus sinensis (L.) Osbeck, fam. Rutaceae","Orange leaf, sweet (Italy) 2a Valencia Late - Citrus sinensis (L.) Osbeck, cultivar Valencia late, fam. Rutaceae","Orange leaf, sweet (Italy) 2b Biondo Comune - Citrus sinensis (L.) Osbeck, cultivar Biondo Comune, fam. Rutaceae","Orange leaf, sweet (Italy) 2c Moro - Citrus sinensis (L.) Osbeck, cultivar Moro, fam. Rutaceae","Orange leaf, sweet (Italy) 3 Valencia late - Citrus sinensis (L.) Osbeck, cultivar Valencia late, fam. Rutaceae","Orange leaf, sweet (Japan) - Citrus sinensis (L.) Osbeck, fam. Rutaceae","Orange leaf, sweet (North Africa) 2 - Citrus sinensis (L.) Osbeck, cultivar Sanguine, fam. Rutaceae","Orange leaf, sweet (Taiwan) - Citrus sinensis (L.) Osbeck, fam. Rutaceae","Orange leaf, sweet (USA) - Citrus sinensis (L.) Osbeck, fam. Rutaceae","Peucedanum petiolare (Iran) - Peucedanum petiolare (DC) Boiss., fam. Apiaceae (Umbelliferae)","Savin (var. Blue Danube) - Juniperus sabina L. var. Blue Danube, fam. Cupressaceae","Savin 2 - Juniperus sabina L., fam. Cupressaceae","Tangerine leaf 1b - Citrus reticulata Blanco, cultivar Tangerine, fam. Rutaceae","Tansy (Finland) 1c - Tanacetum vulgare L. sabinene chemotype, fam. Asteraceae (Compositae)","Tarragon (Japan) 2 - Artemisia dracunculus L. (Russian type), fam. Asteraceae (Compositae)","Tarragon (Lithuania) 1b - Artemisia dracunculus L. (Russian type), fam. Asteraceae (Compositae)","Tarragon (Lithuania) 1c - Artemisia dracunculus L. (Russian type), fam. Asteraceae (Compositae)","Tarragon (USA) 3 - Artemisia dracunculus L. (Russian type), fam. Asteraceae (Compositae)","Tarragon 1 - Artemisia dracunculus L., fam. Asteraceae (Compositae)","Trichostema dichotomum - Trichostema dichotomum L., fam. Lamiaceae (Labiatae)","Xylopia aethiopica fruit (Benin) 1 - Xylopia aethiopica (Dunal) A. Richard, fam. Annonaceae"
"Athamanta macedonia (Greece) - Athamanta macedonia (L.) Sprengel, ssp. macedonia, fam. Apiaceae (Umbell.)",1.0,0.6722626197262986,0.49624569203814717,0.6232899770940921,0.6710955342607247,0.6779754528368298,0.62472182739339,0.686089137992514,0.5567543597689404,0.6664676443550854,0.6660476762683882,0.5897016280725313,0.41957219490504527,0.7880838098583283,0.6565930164126074,0.6670482605719248,0.7380500884908199,0.7769240058788183,0.7683603236878015,0.6365560396429066,0.5886039679204469,0.6431581804035144,0.6178561631004977,0.6017202279401891,0.7617710523286485,0.5954721535733771,0.6834236481618852,0.6621964149441645,0.6964596836542427,0.6785322966868694,0.2992169926207473,0.5461182608379826,0.3685021777891554,0.5029645351599403,0.4599886774659132,0.5115261124529294,0.4773304828186896,0.5707295407101667,0.575111889573984,0.3194382462773564,0.6974682774478795,0.6241317416833609
"Cedarleaf (Egypt) 1a fruit - Thuja occidentalis L., fam. Taxodiaceae",0.6722626197262986,1.0,0.5505242383670077,0.647883751764132,0.6387904409142297,0.7019028656096615,0.5302851312888086,0.5765164741056293,0.441128874020002,0.56390819936918,0.6588449385225958,0.5159304530491916,0.3501085391476575,0.6098196682768808,0.6809414356183133,0.6168015985596251,0.6434751751159529,0.7006549052081903,0.7150173655279,0.5715876084283886,0.46224977878738793,0.5640318164190359,0.508138779958561,0.5289811257860044,0.6415071836340087,0.5009674444158352,0.6340902386615586,0.5304149266967843,0.6916218694100835,0.6669118280871092,0.3814824691300611,0.46802142810458347,0.45364310381515294,0.40585726557238777,0.35477204402031504,0.42730487591160393,0.40228616631392167,0.5241951544665605,0.5119195886079838,0.26585761959224485,0.6772263902551219,0.48596193433008394
"Cedarleaf (Egypt) 1b twig - Thuja occidentalis L., fam. Taxodiaceae",0.49624569203814717,0.5505242383670077,1.0,0.4247157296122037,0.4258854522461777,0.3880976058467688,0.4349263062499634,0.5518863232458369,0.515618062062884,0.4976100495668365,0.3363296320398703,0.46110568792470874,0.3505139244187979,0.4449598007984473,0.3142437558984419,0.4734824499172231,0.4997601048287089,0.4950118011159649,0.41862034922497604,0.5494102072638162,0.541455931529731,0.5507587613843259,0.4792407917154705,0.5123520078493305,0.5077203019285091,0.47761973167383354,0.5082387118273415,0.5479367967820785,0.4669669330831224,0.4358737495274633,0.1425875093292296,0.44743636174921575,0.07342198454139925,0.3928478781159287,0.3764239282678007,0.4044386548601664,0.4014486155553545,0.4082424075253669,0.4202599545377034,0.26892107835959655,0.45287084374479225,0.5118511294875635
"Cypress fruit/cone - Cupressus sempervirens L. (C. fastigiata DC), fam. Cupressaceae",0.6232899770940921,0.647883751764132,0.4247157296122037,1.0,0.5579238562912501,0.6009797544130179,0.49093641074409056,0.591272841846513,0.46433504193073105,0.6315225716776947,0.6042936975118752,0.5565815184160496,0.3452254610626202,0.6638262437125775,0.6241251847021964,0.752985459437179,0.73918665737622,0.7433784752297362,0.7348944864999345,0.5376534952462215,0.4663521559674503,0.5289464366011187,0.48781972481177227,0.5072546280655683,0.586096145879258,0.4730686557173077,0.605058294265677,0.5175367710539446,0.6054909402932126,0.5632111970375011,0.29125021206980894,0.45777121088351336,0.34222442432098277,0.3971826318915449,0.35073952444800227,0.4079152325819675,0.3893055503185844,0.4752455770541374,0.47351135686528745,0.2544208512222673,0.6776649937353644,0.5207414823500978
"Dracocephalum aucheri - Dracocephalum aucheri Boiss., fam. Lamiaceae (Labiatae)",0.6710955342607247,0.6387904409142297,0.4258854522461777,0.5579238562912501,1.0,0.6782375642072407,0.5462883507627886,0.559174029893597,0.467960422242959,0.5424851042091816,0.659109476045934,0.5058330674771256,0.36484687679843386,0.5801523277467203,0.6398711323662846,0.5429365664723366,0.5860853970208653,0.6429849730884094,0.6517209840214926,0.559123787904472,0.4872962091791897,0.5576825672896996,0.5115984908890174,0.5134164829058623,0.6504441395207416,0.5012104950936707,0.6138859739895899,0.5188678018415286,0.6790860673263877,0.6570122329330592,0.3056810850159788,0.4920439077480442,0.4381511125546742,0.4220348084868961,0.38193535968330505,0.45877738955792713,0.426643723095009,0.5413187550471313,0.5353270050155308,0.28803542958598627,0.6860790437317603,0.5042556643691138
"Grapefruit leaf (Taiwan) - Citrus paradisi Macfayden, fam. Rutaceae",0.6779754528368298,0.7019028656096615,0.3880976058467689,0.6009797544130179,0.6782375642072407,1.0,0.6210829489544537,0.5419432031371707,0.4135346094576329,0.5262088487312604,0.7251537728958413,0.4951293265031823,0.3685913392741732,0.6015343881428609,0.7844013827000922,0.5695386739380714,0.6138057383519395,0.6882968739410056,0.7426731170887957,0.5339445006958108,0.4217838819440468,0.5313565660010338,0.5039080087126471,0.47999515442176954,0.6674854709752612,0.49593588047034987,0.6393638180409502,0.4746864258432374,0.8035969900687502,0.7870341974346475,0.3169947114088565,0.4431479451899991,0.5816622695401882,0.42692327869016655,0.3213905324951869,0.4613890463290805,0.3701789654882881,0.5174177682175443,0.5066825860566373,0.24165214945893554,0.7285047333949508,0.44767970274314506
"Grapefruit leaf (USA) - Citrus paradisi Macfayden, fam. Rutaceae",0.62472182739339,0.5302851312888086,0.4349263062499634,0.49093641074409056,0.5462883507627886,0.6210829489544537,1.0,0.539068962278377,0.48498514724064934,0.5936368196619923,0.5352213177348542,0.5804382725289517,0.6084346654755638,0.5954505139377819,0.5034780763169191,0.5341028981234881,0.5837518090175589,0.5999447139510439,0.5723234442430176,0.6573838939512168,0.5970489092071218,0.6586343749828716,0.7241451906391401,0.6039929519404155,0.7162252802795984,0.7099999312002969,0.7303877173828413,0.6230594497451445,0.732173854853876,0.7680777832927486,0.23364836589173432,0.4903352055684215,0.26809228704364285,0.6789424257521546,0.4089600896796741,0.5332337489113139,0.4265274794908991,0.48818953432189616,0.4989123575851234,0.2830252153199724,0.5826342506692994,0.5692478526582345
"Hyptis suaveolens (India) 1 - Hyptis suaveolens (L.) Poit., fam. Lamiaceae (Labiatae)",0.686089137992514,0.5765164741056295,0.5518863232458369,0.591272841846513,0.5591740298935969,0.5419432031371707,0.539068962278377,1.0,0.7324269744741331,0.6384847253523542,0.48556998897339143,0.5881853321277317,0.42153275992339845,0.6368020070662875,0.47468133817949487,0.662458695555777,0.6959403771730537,0.6848157956964225,0.6046862759494069,0.6498224529957103,0.6110620634982,0.6603274851045067,0.5819565590238993,0.6071775613723773,0.6485137563301955,0.57293458011004,0.6397008377696181,0.6609073101009806,0.6178267233319099,0.5495211773217147,0.222917029940917,0.5285175006875691,0.18928809291994442,0.476843372772343,0.4504887816228833,0.477774590337116,0.47339321618576713,0.5068422547834162,0.5149738549094136,0.3203636008116928,0.6490207537455002,0.6502341493104933
"Hyptis suaveolens (Mali) - Hyptis suaveolens (L.) Poit., fam. Lamiaceae (Labiatae)",0.5567543597689404,0.441128874020002,0.515618062062884,0.46433504193073105,0.467960422242959,0.4135346094576329,0.48498514724064934,0.7324269744741331,1.0,0.5961889729516059,0.37563639635758694,0.5270212338722379,0.40328621884415894,0.5356167782643659,0.33370957908402765,0.5415110788962656,0.571184577095998,0.5453519364145127,0.45988134649010526,0.6073259663108571,0.6330591490952675,0.6166191346321344,0.5523624965794315,0.5893555635798455,0.5607521615157804,0.5350250903384552,0.5513705575600945,0.6439704572159198,0.531648700732819,0.45616150098965047,0.1584080410576858,0.5013727123810967,0.06001518408294537,0.44979971078782166,0.45406149249178285,0.45626079828847355,0.45719403118187363,0.4668865649027404,0.46088374524271314,0.30745415860522585,0.5758305973621604,0.6161377548713998
"Juniper leaf (Italy) - Juniperus communis L., fam. Cupressaceae",0.6664676443550854,0.5639081993691801,0.4976100495668365,0.6315225716776949,0.5424851042091816,0.5262088487312604,0.5936368196619923,0.6384847253523542,0.5961889729516059,1.0,0.5781145257744256,0.6189887826344507,0.42639192427663575,0.7681243663182703,0.5029698801352136,0.7360718543764492,0.7802177933854758,0.7259238123517755,0.6697210485723246,0.6433918273387381,0.6467568880217461,0.6412652171739013,0.6194404613654345,0.623622426045441,0.6839569225616828,0.5916263701848696,0.634011389406185,0.6991997669403345,0.6047466418337111,0.5811904226271599,0.22213482539275942,0.561992979159089,0.22212235766041233,0.5009609343260026,0.49584835470180766,0.50045494646943,0.4801608799935465,0.5190803978235304,0.5298364906079337,0.3200194225437858,0.661720526589662,0.6690701592638852
