,"Ajowan 1 - Trachyspermum copticum (L.) Link., fam. Apiaceae (Umbelliferae)","Elsholztia splendens (China) - Elsholtzia splendens Nakai ex F. Maekawa, fam. Lamiaceae (Labiatae)","Ocimum gratissimum (Benin) 2 - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)","Ocimum gratissimum (Cuba) 1a - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)","Ocimum gratissimum (Cuba) 1b - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)","Ocimum gratissimum (Cuba) 2a - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)","Oliveria decumbens (Iran) - Oliveria decumbens Vent., fam. Apiaceae (Umbelliferae)","Oregano, greek (France) 1 - Origanum vulgare L., fam. Lamiaceae (Labiatae)","Oregano, greek (Greece) 2 - Origanum vulgare L. ssp. hirtum (Link) Ietsw., fam. Lamiaceae (Labiatae)","Oregano, greek (Italy) 2 - Origanum vulgare L. ssp hirtum (Link) Ietsw., fam. Lamiaceae (Labiatae)","Oregano, greek (Italy) 4 - Origanum vulgare L., fam. Lamiaceae (Labiatae)","Oregano, greek (Portugal) 1b - Origanum vulgare L. ssp. hirtum (Link) Ietsw., fam. Lamiaceae (Labiatae)","Oregano, greek (United Kingdom) - Origanum vulgare L., fam. Lamiaceae (Labiatae)","Oregano, greek 2 - Origanum vulgare L. ssp. hirtum (Link) Ietsw., fam. Lamiaceae (Labiatae)","Oregano, greek 3 - Origanum vulgare L. ssp. hirtum (Link) Ietsw., fam. Lamiaceae (Labiatae)","Oregano, mexican (Guatemala) - Lippia graveolens HBK., fam. Verbenaceae","Oregano, mexican (Mexico) 2 - Lippia graveolens HBK., fam. Verbenaceae","Oregano, mexican (U.S.A.) 1 - Lippia graveolens HBK., fam. Verbenaceae","Oregano, spanish (Spain) - Coridothymus capitatus Rchb. (Thymus capitatus Hoffm. et Link.), Lamiaceae","Satureja spicigera (Turkey) - Satureja spicigera (C. Koch) Boiss., fam. Lamiaceae (Labiatae)","Thyme (Cameroon) - Thymus vulgaris L., fam. Lamiaceae (Labiatae)","Thyme (Denmark) - Thymus vulgaris L., fam. Lamiaceae (Labiatae)","Thyme (Egypt) - Thymus vulgaris L., fam. Lamiaceae (Labiatae)","Thyme (Italy) 1 - Thymus vulgaris L., fam. Lamiaceae (Labiatae)","Thyme (Italy) 2 - Thymus vulgaris L., fam. Lamiaceae (Labiatae)","Thyme (Italy) 4 - Thymus vulgaris L., fam. Lamiaceae (Labiatae)","Thyme (Italy) 6 - Thymus vulgaris L., fam. Lamiaceae (Labiatae)","Thyme (Italy) 7 - Thymus vulgaris L., fam. Lamiaceae (Labiatae)","Thyme (Italy) 9 - Thymus vulgaris L., fam. Lamiaceae (Labiatae)","Thyme (New Zealand) - Thymus vulgaris L., fam. Lamiaceae (Labiatae)","Thyme (Poland) - Thymus vulgaris L., fam. Lamiaceae (Labiatae)","Thyme (Spain) 2 - Thymus vulgaris L., fam. Lamiaceae (Labiatae)","Thyme 1 - Thymus vulgaris L., fam. Lamiaceae (Labiatae)","Thyme 6 - Thymus vulgaris L., fam. Lamiaceae (Labiatae)","Thyme 7 - Thymus vulgaris L., fam. Lamiaceae (Labiatae)","Thyme 9 - Thymus vulgaris L., fam. Lamiaceae (Labiatae)","Thyme red (Portugal) 3a - Thymus zygis L, ssp. zygis, fam. Lamiaceae (Labiatae)","Thyme red (Spain) 1 - Thymus zygis L., fam. Lamiaceae (Labiatae)","Thyme red (Spain) 5a - Thymus zygis L. ssp. sylvestris (Hoffm. et Link) Morales, fam. Lamiaceae","Thymus carnosus - Thymus carnosus Boiss., fam. Lamiaceae (Labiatae)","Thymus fedtschenkoi (Iran) - Thymus fedtschenkoi Ronniger, fam. Lamiaceae (Labiatae)","Thymus migricus (Turkey) - Thymus migricus Klokov et Des.-Shost., fam. Lamiaceae (Labiatae)","Thymus pulegioides (Italy) - Thymus pulegioides L., fam. Lamiaceae (Labiatae)","Thymus serpyllum (Canada) ssp. chamaedrys - Thymus serpyllum L., ssp. chamaedrys (Fries) Vollm., fam. Lamiaceae","Zataria multiflora (Iran) 2 flowering tops - Zataria multiflora Boiss., fam. Lamiaceae (Labiatae)"
"Ajowan 1 - Trachyspermum copticum (L.) Link., fam. Apiaceae (Umbelliferae)",1.0,0.19919964485321284,0.35921416195997435,0.3820617377253851,0.46347953243601414,0.5018825437194891,0.6868485881611422,0.6464349725883132,0.5245977890635884,0.5975873070460358,0.7383363917619703,0.6231017298516255,0.7285431394187536,0.6042497567434517,0.7285489868206217,0.3875229237070681,0.3643515121269325,0.5515102661481892,0.40057434260544866,0.6613277546025986,0.5863657569748625,0.7183743891217889,0.45143250997609075,0.5975033317076659,0.47635242684861456,0.637406613501092,0.7100190511100204,0.797589458263504,0.3156298966781872,0.4750038312392487,0.45206684261982555,0.4271449498298021,0.5619184463026538,0.383520628360178,0.519500892695482,0.3618607481838714,0.23756305505149644,0.6364565138074647,0.6135888933479867,0.6489037288463133,0.5548475265205239,0.5754906049838768,0.5718126823077463,0.45694876197016476,0.5347116496520673
"Elsholztia splendens (China) - Elsholtzia splendens Nakai ex F. Maekawa, fam. Lamiaceae (Labiatae)",0.19919964485321284,1.0,0.0892208493064951,0.18234666294086388,0.24779945842325457,0.29910124256836423,0.13594995085302097,0.21265428090465732,0.028726379423195558,0.08348267113710028,0.21164476490975237,0.22682559441213512,0.22564048748095777,0.11174055001877659,0.2241614150799386,0.29083007870472366,0.05685088598071486,0.16460744528677063,0.24817082962657933,0.24763370805472673,0.15045553011372037,0.2755701010314211,0.30163264426749703,0.26825521302531397,0.15637499351226325,0.2887919092208794,0.15729236914351286,0.2624924994979484,0.04472023956572235,0.12092921439967841,0.2123236679666023,0.2153234722849663,0.21771007315161306,0.09808039459412043,0.17587970862257252,0.0056871769401085626,0.004067107670147063,0.27492489560526134,0.25355535786389305,0.21067812680230558,0.16100096314609158,0.14574960057154662,0.2709849393524433,0.09357643632403112,0.10398088561451768
"Ocimum gratissimum (Benin) 2 - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)",0.35921416195997435,0.0892208493064951,1.0,0.5604291851491643,0.45090919017190745,0.36455218168423664,0.18222348134613897,0.37254374999952566,0.008815636081365152,0.23148328869871104,0.31383320532085013,0.3734614513232791,0.3191709265880427,0.5098443793892506,0.3191777913668399,0.25896098235156984,0.18487913881354845,0.3827130332637546,0.46660422842793803,0.5066257624987347,0.6081349099718474,0.43319567125276404,0.48201338166201435,0.6375610186901591,0.6902377471310445,0.5267641716369779,0.49730009378969653,0.44101968057982943,0.06707214346146506,0.6565938743002737,0.43327895149998674,0.3427094592186751,0.4400406665344735,0.5565611443620544,0.20400190875920887,0.6026171376186571,0.2407313446819631,0.3606145396814424,0.513109581777381,0.5770095960232622,0.17978738674510675,0.1918577766084394,0.37399915921756355,0.26808742059737034,0.12397705501719858
"Ocimum gratissimum (Cuba) 1a - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)",0.382061737725385,0.18234666294086388,0.5604291851491643,1.0,0.7105603229630658,0.6327497766950206,0.30826156079462996,0.39202794024542664,0.1687411304217974,0.37163531796169536,0.44855036230202816,0.4833806588928108,0.4665899693871294,0.5266806515495095,0.46660162457464693,0.5094793452707006,0.4168326185263549,0.4221493995951662,0.6396464886809072,0.53183433137371,0.5007142993080698,0.4399037529346359,0.5724115278592439,0.6108196034602057,0.44636274935554543,0.5108022957204099,0.4828790647342154,0.5223683471198919,0.29575904944433273,0.4098277169065091,0.334919625479719,0.2856416433364578,0.3368656860200683,0.42293276012834,0.4607442553380965,0.43126742698474596,0.3334155951004012,0.5107031170684803,0.44008310946107587,0.5028987774735788,0.35068520753821786,0.36580101772393914,0.5293266863269508,0.44153160150020676,0.31742275835278455
"Ocimum gratissimum (Cuba) 1b - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)",0.46347953243601414,0.24779945842325457,0.45090919017190745,0.7105603229630658,1.0,0.7685433575320593,0.3929496024953818,0.44503951916449724,0.2551920616174458,0.41590210657139637,0.5181725434059876,0.538302440727982,0.536709638003914,0.49016303305885356,0.536713064162231,0.6309588421239185,0.4149269519031038,0.43714552690835184,0.6154052735669227,0.5733182180199692,0.5075265165319032,0.5287072274951441,0.5980081598105946,0.6364618503021642,0.4308341817944942,0.5865945748554591,0.48530445264464106,0.5884365004230223,0.3059458605567469,0.3923869602660428,0.39425585329272095,0.3559702305918405,0.402375653502677,0.37545675988536453,0.49865466599042874,0.38914919287123406,0.29726273355214683,0.5811104445029057,0.5005999957359288,0.5409561065290669,0.4198859958980793,0.4333874558971803,0.6375385136428576,0.4788285292671006,0.39482402163351815
"Ocimum gratissimum (Cuba) 2a - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)",0.5018825437194891,0.29910124256836423,0.36455218168423664,0.6327497766950206,0.7685433575320593,1.0,0.4511839632396044,0.45426560566692487,0.3066948753184471,0.4505796599326337,0.5781988513805099,0.5839742118370627,0.5989062603598728,0.47479101501586507,0.598875041852003,0.7438134297542763,0.431010679408115,0.40901666391607094,0.5979517318639138,0.5689441989729456,0.47753531407227967,0.5817291370269992,0.6093451603771266,0.6235717201111803,0.3800741532458489,0.6023436163599607,0.4606472102746527,0.6294291910240504,0.33235549454829383,0.33079380874406616,0.38210679871118913,0.3753961895047677,0.41041593909136564,0.3108906210052259,0.5847963927512565,0.3097942071099763,0.274968375917659,0.6502553415738066,0.5217269706982589,0.5404515392168544,0.45419289655505013,0.4723842474765556,0.7141395421116541,0.441586080391032,0.43349854951120426
"Oliveria decumbens (Iran) - Oliveria decumbens Vent., fam. Apiaceae (Umbelliferae)",0.6868485881611422,0.13594995085302097,0.18222348134613897,0.30826156079462996,0.3929496024953818,0.4511839632396044,1.0,0.5076199958322196,0.6572785176339124,0.6567808685199353,0.7096115386977149,0.5632311412731656,0.7142205306068632,0.5056789275868404,0.714226084944571,0.3709656668129654,0.4517534649563706,0.48068234821907874,0.3474803309963258,0.5200423655907522,0.3925817569831568,0.497201123100238,0.3350943695836772,0.4163284228107207,0.2467834049857437,0.42821257125232304,0.5737324872809876,0.6541783977420927,0.3862541341998442,0.256049100934315,0.24213590634971438,0.22819976466057146,0.3278506396535247,0.23534630232262588,0.604305745675494,0.20957038646657777,0.2148755901274817,0.5624066558772709,0.3909270658331512,0.4337938025242234,0.6067648168623424,0.6594870558671271,0.4989200274756461,0.5038607020631835,0.6489435408701035
"Oregano, greek (France) 1 - Origanum vulgare L., fam. Lamiaceae (Labiatae)",0.6464349725883132,0.21265428090465732,0.37254374999952566,0.39202794024542664,0.44503951916449724,0.45426560566692487,0.5076199958322196,1.0,0.42484785714990636,0.39796109532356383,0.5864956110443924,0.4213493453184738,0.5913106601873266,0.4385796855658679,0.591305913250736,0.3874613401276247,0.31403458716898647,0.6841425610930592,0.48310480717175164,0.6020216991054664,0.44751067586924687,0.6131517168097835,0.5329451323951256,0.5511333509823342,0.49428882820339604,0.5952387705390771,0.6634252936354719,0.6746173065518254,0.3335485942434223,0.5433160491937902,0.5701889955357913,0.5201489417074746,0.6073366800603208,0.5253890612130231,0.4263504568162143,0.2369504484969267,0.26049033687182166,0.6182660908506943,0.58245807867554,0.5060386538749431,0.5895652926467332,0.5250999030647182,0.43623451341672215,0.4366516403285373,0.46106224729080947
"Oregano, greek (Greece) 2 - Origanum vulgare L. ssp. hirtum (Link) Ietsw., fam. Lamiaceae (Labiatae)",0.5245977890635884,0.028726379423195558,0.008815636081365152,0.1687411304217974,0.2551920616174458,0.3066948753184471,0.6572785176339124,0.42484785714990636,1.0,0.5910406579043094,0.5983966253525592,0.395350063613749,0.6071616609023192,0.35094628656685734,0.6071769256653259,0.25736228121497895,0.4519058878773058,0.4540946334634801,0.2379506719313641,0.3704160527787944,0.18492252190571845,0.3143817376886531,0.18753205305333132,0.22571083947744874,0.05917647470981424,0.23791066324560506,0.4602774217872724,0.4957037676642715,0.3642020137330101,0.0990382226696288,0.09402618469786006,0.07511887061276534,0.16746747920099958,0.12754942990667062,0.5317512722997304,0.01639160385128491,0.1419534559516189,0.43309435891243,0.20162088561680835,0.22263861717375089,0.6614464434079272,0.7095451935663148,0.32445507236254023,0.5156902972697659,0.7376381952617516
"Oregano, greek (Italy) 2 - Origanum vulgare L. ssp hirtum (Link) Ietsw., fam. Lamiaceae (Labiatae)",0.5975873070460358,0.08348267113710028,0.23148328869871104,0.37163531796169536,0.41590210657139637,0.4505796599326337,0.6567808685199353,0.39796109532356383,0.5910406579043094,1.0,0.7272184571579808,0.6820154075955533,0.7339329115713931,0.6593275016999405,0.7339678800247541,0.36399895890436773,0.6001648839334708,0.4230520811756463,0.37569147264727676,0.5516632648538182,0.44599119412720933,0.4153286507434425,0.2957402357542239,0.4250256995741464,0.21771700574747632,0.3694884832297253,0.5853228060669948,0.6290932159933202,0.3367726400602433,0.22024456510000867,0.1244576527090473,0.1054171260944059,0.21133115124315405,0.21578007184058767,0.680492410631362,0.33722183458489485,0.27226351330049137,0.530192551059298,0.33135609000887856,0.4470194122530987,0.5165149135056084,0.6611482704206495,0.5505375951904466,0.6044949967685223,0.6757496773948235
