,Limonene,beta-Pinene,alpha-Pinene,Camphene,para-Cymene,alpha-Muurolene,beta-Caryophyllene,delta-Cadinene,gamma-Cadinene,Myrcene,alpha-Humulene,Terpinolene,beta-Phellandrene,alpha-Terpinene,Sabinene,alpha-Terpineol,Linalool,Terpinen-4-ol,Piperitone,gamma-Terpinene,"1,8-Cineole",cis-Sabinene hydrate,trans-Sabinene hydrate,Germacrene D,Menthol,alpha-Gurjunene,(E)-beta-Ocimene,(Z)-beta-Ocimene,alpha-Thujene,"trans-p-Mentha-2,8-dien-1-ol",(E)-beta-Farnesene,1-Octenol-3,(Z)-3-Hexenol,beta-Bourbonene,Pentadecane,3-Octanol,Pulegone,Menthone,Isomenthone,Isomenthol,Neomenthol,beta-Copaene,2-Methylbutanal,3-Methylbutanal,Isoisopulegol,beta-Ylangene,Viridiflorol,Menthofuran,(E)-2-Hexenal,Hexadecane,Menthyl acetate,Hexyl (iso/n)-pentanoate,Neoisomenthol,Neoisomenthyl acetate,alpha-Amorphene,Patchouli alcohol
"Peppermint (Australia) - Mentha piperita L., fam. Lamiaceae (Labiatae)",0.0185,0.0083,0.0059,0.0,0.0008,0.0,0.0,0.0,0.0,0.0025,0.0,0.0024,0.0,0.0041,0.005,0.0013,0.0029,0.009,0.0085,0.0062,0.05,0.0,0.013,0.0216,0.458,0.0,0.0057,0.0,0.0,0.0,0.0,0.001,0.0,0.0072,0.0,0.0023,0.0001,0.2,0.0265,0.0,0.0255,0.0,0.0,0.0,0.0,0.0,0.004,0.017,0.0,0.0,0.033,0.0,0.0061,0.01,0.0,0.0
"Peppermint (Bulgaria) 1 - Mentha piperita L., fam. Lamiaceae (Labiatae)",0.0219,0.014,0.0113,0.0,0.0008,0.0,0.0126,0.0,0.0,0.0041,0.0,0.0004,0.0097,0.0006,0.0061,0.0,0.0036,0.0,0.0104,0.0011,0.04,0.0,0.0015,0.0084,0.2678,0.0,0.0007,0.0037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0378,0.3164,0.0686,0.0,0.0257,0.0,0.0,0.0,0.0061,0.0,0.0007,0.0268,0.0,0.0,0.0666,0.0,0.0,0.0,0.0,0.0
"Peppermint (Canada) 4b - Mentha piperita L., fam. Lamiaceae (Labiatae)",0.012,0.011,0.008,0.0,0.0,0.0,0.0235,0.0,0.0,0.003,0.0,0.0015,0.0,0.0034,0.005,0.0035,0.0038,0.01,0.006,0.0057,0.06,0.0,0.0,0.0265,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073,0.019,0.185,0.03,0.0,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.055,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0
"Peppermint (France) 5 - Mentha piperita L., fam. Lamiaceae (Labiatae)",0.0205,0.013,0.01,0.0,0.0015,0.0,0.024,0.0,0.0,0.003,0.0,0.0,0.0,0.003,0.0065,0.002,0.0037,0.008,0.005,0.006,0.062,0.0,0.015,0.024,0.4,0.0,0.0,0.003,0.0,0.0,0.0,0.0017,0.0,0.004,0.0,0.0035,0.0185,0.184,0.028,0.009,0.032,0.0,0.0,0.0,0.0,0.0,0.003,0.0425,0.0,0.0,0.044,0.0,0.0,0.0,0.0,0.0
"Peppermint (Greece) 1 - Mentha piperita L., fam. Lamiaceae (Labiatae)",0.012,0.008,0.0035,0.0005,0.001,0.005,0.004,0.0,0.0,0.001,0.0,0.001,0.025,0.0005,0.004,0.0005,0.002,0.006,0.0005,0.005,0.025,0.002,0.008,0.009,0.458,0.007,0.0,0.001,0.0035,0.0,0.001,0.0,0.001,0.0,0.005,0.001,0.01,0.242,0.03,0.0,0.012,0.009,0.0005,0.0005,0.0,0.004,0.0,0.012,0.006,0.006,0.012,0.04,0.0,0.0,0.001,0.002
"Peppermint (Italy)  6a - Mentha piperita L., fam. Lamiaceae (Labiatae)",0.019,0.013,0.006,0.0001,0.002,0.0,0.01,0.003,0.0,0.006,0.016,0.0,0.0,0.005,0.002,0.013,0.01,0.0,0.011,0.036,0.054,0.0,0.0,0.0,0.311,0.0,0.0,0.009,0.001,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.197,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.029,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0
"Peppermint (Italy)  7 - Mentha piperita L., fam. Lamiaceae (Labiatae)",0.018,0.011,0.008,0.0,0.0015,0.0,0.02,0.0,0.0,0.0025,0.0,0.0,0.0,0.003,0.0055,0.002,0.004,0.011,0.005,0.006,0.053,0.0,0.008,0.025,0.39,0.0,0.0,0.0025,0.0,0.0,0.0,0.001,0.0,0.0025,0.0,0.0025,0.03,0.18,0.03,0.0075,0.032,0.0,0.0,0.0,0.0,0.0,0.004,0.06,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0
"Peppermint (USA)  3 - Mentha piperita L., fam. Lamiaceae (Labiatae)",0.012,0.008,0.0035,0.0005,0.001,0.0,0.004,0.0005,0.0005,0.001,0.0,0.001,0.018,0.002,0.004,0.001,0.002,0.006,0.0025,0.0025,0.019,0.002,0.008,0.009,0.458,0.002,0.0025,0.001,0.0035,0.004,0.001,0.0,0.001,0.002,0.0,0.001,0.01,0.242,0.035,0.0,0.025,0.0,0.0001,0.0005,0.0,0.006,0.001,0.012,0.0,0.0,0.035,0.024,0.0,0.0,0.001,0.0
"Peppermint (USA)  8 - Mentha piperita L., fam. Lamiaceae (Labiatae)",0.0135,0.009,0.0067,0.0,0.005,0.0,0.017,0.0,0.0,0.0015,0.0,0.0,0.0,0.002,0.0043,0.002,0.0035,0.011,0.0058,0.003,0.046,0.0,0.011,0.012,0.43,0.0,0.0,0.002,0.0,0.0,0.0,0.002,0.0,0.004,0.0,0.0028,0.015,0.2,0.03,0.009,0.035,0.0,0.0,0.0,0.0,0.0,0.003,0.025,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0
"Peppermint (USA)  9b - Mentha piperita L., fam. Lamiaceae (Labiatae)",0.0137,0.0092,0.007,0.0,0.0003,0.0,0.0,0.0,0.0,0.0022,0.0,0.0024,0.0,0.004,0.0051,0.0016,0.003,0.0104,0.0065,0.0055,0.052,0.0,0.0085,0.022,0.433,0.0,0.0039,0.0,0.0,0.0,0.0,0.0019,0.0,0.005,0.0,0.0028,0.008,0.2055,0.03,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0024,0.017,0.0,0.0,0.05,0.0,0.009,0.0173,0.0,0.0
