,"Cornmint (Mentha arvensis) (Brazil) 1 - Mentha arvensis (L.) var. piperascens Malinv., fam. Lamiaceae (Labiatae)","Cornmint (Mentha arvensis) (China) 1 - Mentha arvensis (L.) var. piperascens Malinv., fam. Lamiaceae (Labiatae)","Cornmint (Mentha arvensis) (Cuba) - Mentha arvensis (L.) var. piperascens Malinv., fam. Lamiaceae (Labiatae)","Cornmint (Mentha arvensis) (Japan) 1 - Mentha arvensis (L.) var. piperascens Malinv., fam. Lamiaceae (Labiatae)","Peppermint (Australia) - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (Belorussia) - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (Bulgaria) 1 - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (Bulgaria) 2 - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (Bulgaria) 4a hydrodistilled - Mentha piperita L. cultivar 'Kliment-63', fam. Lamiaceae (Labiatae)","Peppermint (Bulgaria) 4b extracted - Mentha piperita L. cultivar 'Kliment-63', fam. Lamiaceae (Labiatae)","Peppermint (Canada) 2 - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (Canada) 3 - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (Canada) 4a - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (Canada) 4b - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (Chile) - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (China) - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (France) 5 - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (Greece) 1 - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (Greece) 2 - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (Hungary) - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (India) 3 - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (Italy)  2 - Mentha piperita L. rubescens Camus (Spicatae section), fam. Lamiaceae","Peppermint (Italy)  3 - Mentha piperita L. rubescens Camus (Spicatae section), fam. Lamiaceae","Peppermint (Italy)  5 - Mentha piperita L. nothomorph rubescens Camus, fam. Lamiaceae (Labiatae)","Peppermint (Italy)  6a - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (Italy)  7 - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (Italy)  8 - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (Italy) 10a - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (Italy) 10b - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (Italy) 11 - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (Japan) 2 - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (Mongolia) - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (Morocco) 1 - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (Morocco) 2 - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (New Zealand) - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (Poland) - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (Russia) 1 - Mentha piperita L. cultivar Prilukskaya, fam. Lamiaceae (Labiatae)","Peppermint (Russia) 2 - Mentha piperita L. cultivar Krasnodar, fam. Lamiaceae (Labiatae)","Peppermint (Russia) 3 - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (Russia) 4 - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (South Africa) - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (Spain) - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (USA)  1 - Mentha piperita L. cultivar Mitcham, fam. Lamiaceae (Labiatae)","Peppermint (USA)  3 - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (USA)  7 - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (USA)  8 - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (USA)  9a - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (USA)  9b - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (USA)  9c - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (USA)  9d - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (USA)  9e - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (USA) 10c - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (United Kingdom) - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint (Yugoslavia) - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint 1 - Mentha piperita L. cultivar Mitcham, fam. Lamiaceae (Labiatae)","Peppermint 2 - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint 3 - Mentha piperita L., fam. Lamiaceae (Labiatae)","Peppermint 5c - Mentha piperita L. cultivar Mitcham, fam. Lamiaceae (Labiatae)"
"Cornmint (Mentha arvensis) (Brazil) 1 - Mentha arvensis (L.) var. piperascens Malinv., fam. Lamiaceae (Labiatae)",1.0,0.5289979339966184,0.25981811929205767,0.7748252144220766,0.3724693710084469,0.6395778451112911,0.710521490353484,0.2543178446558958,0.46195611553707217,0.31810935451225264,0.5841635631541428,0.612601969926435,0.5539937838847098,0.38724760580485085,0.3767778093290348,0.6231781106548888,0.43404095515500496,0.4081977397134172,0.3899644197465597,0.5789040417684624,0.6110793187290047,0.5255276430785547,0.5936622075356823,0.3288981527062478,0.5403278716086237,0.4326382142169364,0.49015636969632326,0.5297749978474431,0.5398771304920773,0.2621966326208476,0.45926303144808633,0.6181223000065995,0.23562645536694637,0.46963956473251056,0.3054073881694699,0.5467516077149513,0.5624301699355594,0.660491497524281,0.2215846912964624,0.2738072343397062,0.5028842015357159,0.5323725700022017,0.387613916737385,0.4251259401257984,0.3837661426928983,0.4215000789795136,0.6194400645675682,0.41932450322887926,0.37425534597699994,0.4288811335994882,0.3322169298806076,0.3276587187570814,0.5032675377095654,0.4937735034609425,0.4304560364836446,0.5796341647164128,0.5506800411433184,0.7061285872853916
"Cornmint (Mentha arvensis) (China) 1 - Mentha arvensis (L.) var. piperascens Malinv., fam. Lamiaceae (Labiatae)",0.5289979339966184,1.0,0.2656761522432718,0.6577052638887755,0.5012917160466056,0.3826807089786066,0.4538407373109825,0.4066187849376752,0.4801087647763168,0.34454957461065927,0.5250890380511073,0.4935344337856995,0.5567873871071711,0.5315159592303036,0.5207952741455188,0.2541710984441753,0.57433919486586,0.46368328052274854,0.44342314870868715,0.5495210064434519,0.48973714238050026,0.5085289959857622,0.451822172858947,0.48806621866781297,0.5935447578553505,0.576338343587381,0.5171423729811979,0.20517096541991153,0.25768003713479826,0.2930513400997752,0.5360998546840745,0.43063878176987214,0.510324730281029,0.623759785887559,0.49206493204425805,0.3418079571306677,0.4371603911963695,0.4213419227715437,0.510188061850319,0.46650602505597494,0.5314666854888713,0.45328800789473067,0.5291722086259435,0.48364123744985077,0.5143142596187971,0.5465212677409019,0.5381698038534426,0.5355212092894567,0.5274434918829818,0.5501518687312266,0.5233049969763596,0.4832980306680206,0.6644722801971747,0.5266460236995052,0.514265609943162,0.5756338195969491,0.6050798551791439,0.45155929720476473
"Cornmint (Mentha arvensis) (Cuba) - Mentha arvensis (L.) var. piperascens Malinv., fam. Lamiaceae (Labiatae)",0.2598181192920578,0.2656761522432718,1.0,0.42720808431109947,0.6303509400996935,0.2285521679660354,0.2581407927430375,0.6772527982991378,0.4762353433261902,0.41163967831241666,0.5146063348484688,0.469807335755683,0.524262631598986,0.5499640657536247,0.6461948882227775,0.16926674283616672,0.5118479331303945,0.6354563635631616,0.5952257804240032,0.5689526324415359,0.25577894830062897,0.5420123335733693,0.39405008029330313,0.5608608710636437,0.32627344505214995,0.4802469517429667,0.590928046314338,0.1372854253689434,0.195369115968956,0.2556101174073637,0.5655410747967488,0.478669586337895,0.4612788199019928,0.509461409853921,0.5380830433586709,0.2947260026307549,0.4962382364849006,0.3160474441763589,0.2595375738793374,0.6196823090792836,0.563261395425609,0.5919838905095554,0.49631418586147613,0.68794611730861,0.6250798417065433,0.6149935271969225,0.4522973370398635,0.6125619640207296,0.6034743113453466,0.5790886312100688,0.5197013233258796,0.5208241339260977,0.5113513333151424,0.44481528451303676,0.48046034436292995,0.5099105436587679,0.33329098160907233,0.2564156516872882
"Cornmint (Mentha arvensis) (Japan) 1 - Mentha arvensis (L.) var. piperascens Malinv., fam. Lamiaceae (Labiatae)",0.7748252144220766,0.6577052638887755,0.42720808431109947,1.0,0.5606659290339363,0.5834835362481975,0.6529105634549155,0.4557024489443706,0.5708374448110978,0.41888304494053263,0.7079132358333085,0.6988104301993698,0.6969597243556027,0.5633721122851358,0.5769455329464858,0.5049001742605217,0.6029050746084093,0.5780963693867328,0.5503883473769515,0.723986853933768,0.6173541187689915,0.6667229445573922,0.6505639530052363,0.5151541038950007,0.6299168813772995,0.5968452020538029,0.6477595876911109,0.426241060676401,0.46501428548467705,0.34694511307959786,0.6303403352630371,0.6745404297325144,0.4408637809589211,0.6503754718743568,0.49094523209727137,0.5245139447723047,0.6400515854313154,0.6546270410041523,0.38747582817450343,0.48419757069983205,0.6590001468709934,0.6648588142302301,0.5607508698206296,0.6063346855237342,0.5712934746158775,0.6095064581198913,0.7167059128307656,0.6031548784114159,0.563457662778085,0.6092818559339739,0.5122664441208875,0.5051567642954773,0.6904272708365312,0.6052303419103373,0.5710472480030159,0.7358120567864831,0.6428540679581977,0.6492384333697664
"Peppermint (Australia) - Mentha piperita L., fam. Lamiaceae (Labiatae)",0.3724693710084469,0.5012917160466056,0.6303509400996935,0.5606659290339363,1.0,0.33445233056901,0.3664381049406873,0.8215162383158229,0.5396636344855892,0.44731853815058187,0.708248458488459,0.6388019184278556,0.733080389925201,0.7988820705469063,0.8699122876631267,0.24086215897823338,0.7940241480733043,0.7870326075380594,0.7840688841340586,0.6910086739888903,0.43142633468378955,0.6783403582590704,0.5242947538192633,0.8368346167851255,0.5709633990169514,0.7500199099417562,0.7596921625399483,0.16214676481327073,0.2207842805181549,0.457427836271992,0.81426802534861,0.5082960396042272,0.689277657290005,0.7457878306095628,0.8085798060906597,0.32143008678039153,0.5279649408930298,0.3887667785161436,0.40710210665143187,0.7337982757842725,0.7698241689360431,0.6801200964828036,0.7522389979152416,0.8211747076131355,0.8816428354767767,0.8734039638347066,0.6459195368240475,0.9035688327916602,0.8901219595138231,0.8793998902296626,0.7764301671887602,0.808248633625928,0.8059477471467447,0.537530798745934,0.6909163557632279,0.6929860428765648,0.5782103779208714,0.367280844316615
"Peppermint (Belorussia) - Mentha piperita L., fam. Lamiaceae (Labiatae)",0.6395778451112911,0.3826807089786066,0.22855216796603528,0.5834835362481975,0.33445233056901,1.0,0.7937047293082349,0.20685750115075952,0.4955026820788826,0.4056935678803385,0.5758447116175929,0.6205948539949296,0.56020994224346,0.4008206802696783,0.33234837355783975,0.703167296760945,0.4286576544737911,0.35789550352980093,0.33608347987761855,0.5944653476324009,0.6773909336686383,0.5604056729049236,0.6708697063675161,0.3274800467245236,0.5136355473700989,0.4394525784127663,0.47452867465017057,0.6305669325586017,0.6608016832758932,0.3017922386053419,0.4516577863375446,0.6886149639963222,0.2157447040617685,0.46742627370453727,0.2863276481813477,0.657219620228364,0.6324328275092784,0.7006974385374837,0.13864977064367845,0.19701074424534626,0.5269904484923711,0.5545555194492456,0.3568426684227921,0.3865106110176234,0.3538678470662544,0.40965977935796605,0.6358718053078318,0.40586887985840725,0.35779472045265925,0.41614468799034077,0.3405077124585715,0.3254846826017266,0.45080770869619013,0.5283175622897387,0.4307661708650552,0.5588063875287734,0.5229106582204395,0.7917957180430424
"Peppermint (Bulgaria) 1 - Mentha piperita L., fam. Lamiaceae (Labiatae)",0.710521490353484,0.4538407373109825,0.2581407927430375,0.6529105634549155,0.3664381049406873,0.7937047293082349,1.0,0.23847435174815235,0.5652340669863052,0.41176579139049363,0.617865656406396,0.6646410837242893,0.6035264002863681,0.4311638235140778,0.37496035174281883,0.7290624508077824,0.46629351911179584,0.3960068146064678,0.38169802748217896,0.6254274675982876,0.7559812280497512,0.6103582765990037,0.7222147103657607,0.35453601883083663,0.5723943783716086,0.47535450521980227,0.5281392955463537,0.6812112898525617,0.7032985348977607,0.297312059306562,0.48788722084909586,0.7131952214853601,0.22743133174832952,0.4985638488407016,0.31685835873349544,0.6997875730229899,0.6381944538513775,0.7397951400795231,0.2098694632721806,0.23766111188318928,0.5629355586536964,0.565401992431146,0.38122328591790555,0.41903921971506797,0.39897484620774526,0.441720952885177,0.6887539437413626,0.4357902307062982,0.3876577797063573,0.44918041278674714,0.367100392244711,0.34902487544786054,0.4971013037196401,0.5725284333259075,0.4820657989734939,0.6165797137931412,0.5828489919113472,0.980948111468505
"Peppermint (Bulgaria) 2 - Mentha piperita L., fam. Lamiaceae (Labiatae)",0.2543178446558958,0.4066187849376752,0.6772527982991378,0.4557024489443706,0.8215162383158229,0.20685750115075952,0.23847435174815235,1.0,0.4413122776325983,0.3612244695860721,0.5711565047233571,0.504562754400808,0.5912399666747079,0.689850819601403,0.8093912109834921,0.11949945644492999,0.6598486044359364,0.7300634465975469,0.708788783284524,0.5715934713360915,0.30310139675779335,0.5765257574692884,0.4127494633893857,0.7717119431252988,0.42239763916329587,0.6306069231856236,0.6515320527139091,0.043822706882833073,0.10066444577650002,0.37224862802004555,0.6718690633147915,0.4033215560667148,0.6796272129740835,0.633510293525374,0.7648384101563678,0.21361632051669055,0.41887723604863014,0.2834659948520313,0.40498527213377533,0.8081489014520621,0.6452782907440384,0.5857674270452876,0.6556800303311627,0.7649091135803929,0.7733369669787504,0.7518405402805992,0.5046308941022021,0.7568634142966664,0.7732578724305855,0.7337534193746842,0.6889197045841968,0.7153388994123869,0.6659990387867725,0.4500760903191092,0.5672191687442623,0.5658989675615618,0.42995641560441333,0.2378644952803114
"Peppermint (Bulgaria) 4a hydrodistilled - Mentha piperita L. cultivar 'Kliment-63', fam. Lamiaceae (Labiatae)",0.46195611553707217,0.4801087647763168,0.4762353433261902,0.5708374448110978,0.5396636344855892,0.4955026820788826,0.5652340669863052,0.4413122776325983,1.0,0.6928211600028629,0.6005737150714763,0.5901804592131634,0.64690255491779,0.6008824423294958,0.5482472209711831,0.3699353518393188,0.601773781808866,0.49261132935420193,0.4742265540991589,0.7387242039047917,0.5415596987524629,0.6275339712529252,0.5386689146637326,0.5131401063445948,0.5526657954867698,0.583710785997731,0.6129221660232678,0.4233364383790569,0.5082914628032678,0.2854519168502557,0.6110893983547988,0.670246866417838,0.4221785521199668,0.6417928789756195,0.49047741012674717,0.6656974940122755,0.7410313577051355,0.5218392709375548,0.36262534058697704,0.42525469664133864,0.6487284317954254,0.5935365421137258,0.4720529522426573,0.5448292102796439,0.5789047313495366,0.6112592046559614,0.6208745029113945,0.6086975845354535,0.5875945104842798,0.6050865647280925,0.5735615317593372,0.46809392750770407,0.6019747222671192,0.7659035294776478,0.6183911007399345,0.6283001448827779,0.5579530750620154,0.5667980932157344
"Peppermint (Bulgaria) 4b extracted - Mentha piperita L. cultivar 'Kliment-63', fam. Lamiaceae (Labiatae)",0.31810935451225264,0.34454957461065927,0.41163967831241643,0.41888304494053263,0.44731853815058187,0.4056935678803385,0.41176579139049363,0.3612244695860721,0.6928211600028629,1.0,0.4577045335088338,0.4347376912381624,0.5206849261311233,0.5309567431877521,0.4291382077787169,0.22758610862301176,0.5187591008043613,0.37244340061733194,0.3410552422795159,0.6073539351763595,0.4168719536092983,0.5021709081016252,0.39192895877408196,0.43540918489799796,0.4335786066910229,0.5012569998015999,0.44480632765632766,0.273177319226242,0.39269583784739903,0.21380618892686742,0.4986709930092881,0.5218027593552461,0.3991426401525,0.558567126026765,0.4097595789857593,0.5245832643304672,0.6784278244559582,0.3470163718132412,0.16726485758506937,0.30761494695638014,0.51878157788691,0.4653702640794465,0.3852347897627295,0.4311215828516797,0.4706623482410628,0.5216571203031176,0.4749349293670183,0.5182195133769747,0.520057175632916,0.5128588945950915,0.5262921945989929,0.3764296219392467,0.4691825193477023,0.6736049495384279,0.496597331521504,0.4612608979039269,0.44100804514283554,0.4126117687871814
