,"Calyptranthes sintenisii leaf - Calyptranthes sintenisii Kiaersk, fam. Myrtaceae","Citron (China) leaves - Citrus medica L., fam Rutaceae","Citron (China) peel 1b - Citrus medica L., cultivar sarcodactylis (Noot.) Swingle, fam. Rutaceae","Clary sage (Israel) - Salvia sclarea L., fam. Lamiaceae (Labiatae)","Cymbopogon distans 2 (Himalaya) - Cymbopogon distans (Steud.) Wats. (Chemotype 2), fam. Poaceae (Gramineae)","Dracocephalum kotschyi - Dracocephalum kotschyi Boiss., fam. Lamiaceae (Labiatae)","Dragonhead - Dracocephalum moldavica L., fam. Lamiaceae (Labiatae)","Elsholtzia ciliata (Vietnam) - Elsholtzia ciliata (Thunb.) Hyland., fam. Lamiaceae (Labiatae)","Ginger (Japan) 1 - Zingiber officinale Roscoe, fam. Zingiberaceae","Ginger (Mauritius) - Zingiber officinale Roscoe, fam. Zingiberaceae","Ginger (Taiwan) - Zingiber officinale Roscoe, fam. Zingiberaceae","Lemon balm (Slovak Republic) - Melissa officinalis L., fam. Lamiaceae (Labiatae)","Lemon balm 1 - Melissa officinalis L., fam. Lamiaceae (Labiatae)","Lemon balm 3 - Melissa officinalis L., fam. Lamiaceae (Labiatae)","Lemon leaf (petitgrain) (Italy) 1 - Citrus limon (L.) Burm. f., fam. Rutaceae","Lemon leaf (petitgrain) (Italy) 3 - Citrus limon (L.) Burm. f., fam. Rutaceae","Lemon leaf (petitgrain) 1 - Citrus limon (L.) Burm. f., fam. Rutaceae",Lemon verbena (Morocco) 2 - Aloysia triphylla (L'Herit.) Britton (Lippia citriodora (Lam.) O. Kuntze),"Lemongrass (Bhuta) - Cymbopogon citratus (DC) Stapf (C. flexuosus), fam. Poaceae (Gramineae)","Lemongrass (Guatemala) - Cymbopogon citratus (DC) Stapf (C. flexuosus), fam. Poaceae (Gramineae)","Lemongrass (Ivory Coast) 1 - Cymbopogon citratus (DC) Stapf (C. flexuosus), fam. Poaceae (Gramineae)","Lemongrass (Nigeria) - Cymbopogon citratus (DC) Stapf (C. flexuosus), fam. Poaceae (Gramineae)","Lime (Japan) leaf - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae","Lime (Mexican, West Indian, Key) (France) 2 leaf - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae","Lime (Mexican, West Indian, Key) (India) leaf - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae","Lime (hybrid Mexican x Persian) (India) leaf - Citrus latifolia Tanaka x Citrus aurantifolia Swingle, fam. Rutaceae","Litsea cubeba (China) 2b fruit - Litsea cubeba (Lour.) Pers. (L. citrata Blume), fam. Lauraceae","Litsea cubeba (China: Fujian) 1a - Litsea cubeba (Lour.) Pers. (L. citrata Blume), fam. Lauraceae","Litsea cubeba (China: Hunan) 1b - Litsea cubeba (Lour.) Pers. (L. citrata Blume), fam. Lauraceae","Litsea cubeba (China: Yunnan) 1c - Litsea cubeba (Lour.) Pers. (L. citrata Blume), fam. Lauraceae","Pectis elongata - Pectis elongata Kunth, fam. Asteraceae (Compositae)","Verbena 1 (France) - Lippia citriodora Kunth., fam. Verbenaceae","Verbena 2 - Lippia citriodora Kunth., fam. Verbenaceae"
"Calyptranthes sintenisii leaf - Calyptranthes sintenisii Kiaersk, fam. Myrtaceae",1.0,0.411313586382158,0.4445833053745821,0.0693669445585442,0.42959362358502906,0.28658270576749634,0.20714345952664992,0.4388014506035087,0.33126999959059633,0.38812599082027754,0.3416100193523164,0.5098516980664878,0.5489329571925299,0.3974527643803951,0.5965752688151591,0.49740664457614703,0.48546919328227456,0.4170216289764004,0.49463943510081076,0.49452080435617995,0.4446432221018437,0.5659693096584102,0.4123277028079011,0.4075352423341052,0.4004473824206598,0.3816856156504337,0.4552736432677219,0.46012523385523485,0.41319459249939094,0.47934886309309466,0.5484723326127963,0.5265938970065691,0.4412508156262839
"Citron (China) leaves - Citrus medica L., fam Rutaceae",0.411313586382158,1.0,0.5799815133542152,0.10262996266839075,0.4332144083977748,0.3050430643976678,0.19393920433598666,0.44506838005236904,0.35476770279898373,0.4594428039229095,0.32452669992980476,0.45792087338558407,0.5048372156629034,0.4038376082858188,0.4917217976789868,0.42158811425527887,0.4666169230335947,0.4641177656326868,0.4571494596930723,0.43858472744158716,0.40125205921423446,0.46847866399053284,0.35115429914258156,0.412812295633312,0.36576846851052736,0.34115182570326164,0.3850800200853387,0.4545277893578443,0.4054252718823055,0.4620179371066143,0.5175528946536962,0.5180205483657336,0.4922394722229133
"Citron (China) peel 1b - Citrus medica L., cultivar sarcodactylis (Noot.) Swingle, fam. Rutaceae",0.4445833053745821,0.5799815133542152,1.0,0.23676024399874207,0.6120279909944515,0.32657019577200563,0.257263993570796,0.6653470418799412,0.4811328375069861,0.5434057245851809,0.4028225157127413,0.5045239606624616,0.5592368106761,0.5125358200913864,0.657210999519223,0.6952947011107593,0.6681367020157525,0.6440046073513612,0.6051612661749471,0.5741055234580448,0.4792051517569328,0.5129561211284681,0.5050452613770865,0.6341292332732154,0.5500519807988252,0.5100598168569179,0.5401614028256141,0.6314070344472678,0.5437947372897483,0.5846231097014952,0.5955285764237599,0.6599693698207864,0.7396804481290773
"Clary sage (Israel) - Salvia sclarea L., fam. Lamiaceae (Labiatae)",0.0693669445585442,0.10262996266839075,0.23676024399874207,1.0,0.5071747845205767,0.0644992387947606,0.5890573332014242,0.1878208601175939,0.5154707367537532,0.2470503571923538,0.28529595870376767,0.18028654703949742,0.13440901672062433,0.09194962460511591,0.13461526516369082,0.24300221877666062,0.227954912250376,0.17690260784058787,0.2164718552783046,0.08179843326891778,0.14299093724497536,0.24107071043281425,0.0,0.2093222328540868,0.04825634551602709,0.008786870611978803,0.01737956231844362,0.10549598111115233,0.03616947360702305,0.0830971178711446,0.18022834381308017,0.2657746036814176,0.25224754595603494
"Cymbopogon distans 2 (Himalaya) - Cymbopogon distans (Steud.) Wats. (Chemotype 2), fam. Poaceae (Gramineae)",0.42959362358502906,0.4332144083977748,0.6120279909944515,0.5071747845205767,1.0,0.3167627100263837,0.526372796216451,0.5677256738160528,0.6648560017060199,0.5783885189185591,0.5262655242326155,0.5213864689313696,0.5215606490688497,0.47194031051629437,0.5297235852991995,0.6218439857042739,0.6080934438003592,0.5760326741838564,0.6400602371337902,0.47283744611664125,0.5091195999547353,0.5657094941914527,0.3719969703631737,0.5823631752426758,0.43244467998940006,0.3845710189586087,0.4067396348490244,0.539856154061005,0.4587702795504609,0.4985862562535286,0.5651326259377332,0.6243404368810377,0.6498765685995302
"Dracocephalum kotschyi - Dracocephalum kotschyi Boiss., fam. Lamiaceae (Labiatae)",0.28658270576749634,0.3050430643976678,0.32657019577200563,0.0644992387947606,0.3167627100263837,1.0,0.09850871578408349,0.3697774797920492,0.30883190645045855,0.3708325028898579,0.3162718522780127,0.3562525305477553,0.4488549788549955,0.16242273218828107,0.3786286814430788,0.26900850130307463,0.352104350942661,0.39435551782093026,0.3617756865920131,0.24390706143582508,0.30140010432151565,0.3506917219995985,0.2143635945991893,0.3901050708626618,0.21428996473536843,0.1837288279828836,0.21771505806740055,0.22276437765474078,0.12244233309087971,0.20630079517983335,0.36774207322429275,0.4475527098152715,0.3891509601252232
"Dragonhead - Dracocephalum moldavica L., fam. Lamiaceae (Labiatae)",0.20714345952664992,0.19393920433598666,0.257263993570796,0.5890573332014242,0.526372796216451,0.09850871578408349,1.0,0.24200691001043673,0.4625150560866764,0.2509423201145562,0.30691932708761827,0.358515919507015,0.2859524677151266,0.22052011975380315,0.26250662656308477,0.30492916360190436,0.35275313417007736,0.22172029572844376,0.299148204302054,0.26272441254913315,0.27039823201940205,0.44340253014804654,0.16987159137873786,0.2659349437577241,0.19884891890942624,0.1738647217715863,0.1866447717151667,0.20460832858789113,0.18877075889829864,0.25095913206897724,0.3037264965472597,0.3033586739983908,0.2668439565510937
"Elsholtzia ciliata (Vietnam) - Elsholtzia ciliata (Thunb.) Hyland., fam. Lamiaceae (Labiatae)",0.4388014506035087,0.44506838005236904,0.6653470418799412,0.1878208601175939,0.5677256738160528,0.3697774797920492,0.24200691001043673,1.0,0.44003740164171734,0.5170659408526888,0.41307957690867636,0.5213498317376721,0.5889829895954375,0.48753029682249927,0.6537503169604935,0.6324276323615433,0.6592484175482834,0.6744780158704959,0.5988247031037033,0.5739556384729607,0.45094993645954373,0.5222700642304163,0.5286798391313512,0.6743528923101262,0.5744639683598272,0.5327646010768532,0.5584725599720157,0.6169111016901658,0.5256762274688168,0.5702859404928635,0.5870639024517346,0.6333613291263571,0.7159185254633147
"Ginger (Japan) 1 - Zingiber officinale Roscoe, fam. Zingiberaceae",0.33126999959059633,0.35476770279898373,0.4811328375069861,0.5154707367537532,0.6648560017060199,0.30883190645045855,0.4625150560866764,0.44003740164171734,1.0,0.6052290467194941,0.548557264811788,0.41968874421004887,0.4116795778337725,0.29693445819724484,0.39580986781375416,0.46784296413998616,0.4407896006898603,0.4761577967173407,0.47018773374930756,0.3256553232361282,0.3748502948474117,0.46217997281785994,0.2389099230517866,0.4357898555608384,0.2739190664990383,0.23335512878748232,0.2615179415539356,0.3395171770347192,0.25371443512219694,0.32300758928762574,0.4598643692411135,0.562566427824188,0.5421559125140154
"Ginger (Mauritius) - Zingiber officinale Roscoe, fam. Zingiberaceae",0.38812599082027754,0.4594428039229095,0.5434057245851809,0.2470503571923538,0.5783885189185591,0.3708325028898579,0.2509423201145562,0.5170659408526888,0.6052290467194941,1.0,0.5261093785776503,0.4545165637179437,0.5000466198195819,0.38147215926322375,0.4635898442933877,0.448986374907999,0.4792061794212338,0.591415577378072,0.5319467474407199,0.36331599315460894,0.3944178991247833,0.45416649163215184,0.2831856606082541,0.5123554376663433,0.32745885755160387,0.2812015774010246,0.31587059329480804,0.4493037684872512,0.348508425071932,0.39548978194866424,0.5403141717060609,0.6344235067785388,0.6054200112062933
