,"Cassia, bark (China) 1 - Cinnamomum cassia Blume, fam. Lauraceae","Cassia, bark (China) 2 - Cinnamomum cassia Blume, fam. Lauraceae","Cassia, bark (China) 3b - Cinnamomum cassia Blume, fam. Lauraceae","Cassia, bark (China) 4a - Cinnamomum cassia Blume, fam. Lauraceae","Cassia, bark (China) 5 - Cinnamomum cassia Blume, fam. Lauraceae","Cassia, bark - Cinnamomum cassia Blume, fam. Lauraceae","Cassia, branch & leaf - Cinnamomum cassia Blume, fam. Lauraceae","Cassia, leaf (China) 4b - Cinnamomum cassia Blume, fam. Lauraceae","Cinnamomum aureofulvum bark - Cinnamomum aureofulvum Gamb., fam. Lauraceae","Cinnamomum loureirii bark - Cinnamomum loureirii, fam. Lauraceae","Cinnamon bark (Brazil) - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae","Cinnamon bark (Madagascar) 1 - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae","Cinnamon bark (Madagascar) 2 - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae","Cinnamon bark (Sri Lanka) 1 - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae","Cinnamon bark (Sri Lanka) 2 - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae","Cinnamon bark 12 - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae","Cinnamon bark 2 - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae","Cinnamon bark 4 - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae","Cinnamon bark 5 - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae","Cinnamon bark 6 - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae","Cinnamon bark 7 - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae","Cinnamon bark 9 - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae","Cinnamon leaf (Madagscar) 2 - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae"
"Cassia, bark (China) 1 - Cinnamomum cassia Blume, fam. Lauraceae",1.0,0.5243701595694198,0.5651205129302928,0.8540614649341098,0.5218695725868991,0.8288399664601491,0.6555093166764111,0.495588682299273,0.14316562126476617,0.9205235157401994,0.31103937806385684,0.038031084014717,0.2329680420831215,0.5472999684063828,0.5456755262279639,0.38237808963321396,0.4209505446396741,0.5823983525526941,0.07428061985145029,0.8887139284810716,0.15869257755915123,0.5121591094010975,0.2327011985042482
"Cassia, bark (China) 2 - Cinnamomum cassia Blume, fam. Lauraceae",0.5243701595694197,1.0,0.7160867675775899,0.6095908863720485,0.715148991788851,0.6595401886537502,0.7816280701227628,0.7310736423599087,0.504461775035291,0.4743562588416307,0.6122892492623759,0.41128638481610214,0.5629865497694035,0.7063687762603759,0.7512825871651023,0.6341502603853496,0.6007494574129293,0.758209779294257,0.45978535047157687,0.524934208207886,0.5360450660613483,0.6689334380436631,0.5745188793501229
"Cassia, bark (China) 3b - Cinnamomum cassia Blume, fam. Lauraceae",0.5651205129302928,0.7160867675775899,1.0,0.6644762449971591,0.7974880409824785,0.6888878662584698,0.7288757267143737,0.6646436631553272,0.42572558218113954,0.5283969896787881,0.5471759324923288,0.3306903158490596,0.49129107895782453,0.6803334773184109,0.7136602831239782,0.5833393953318404,0.5676584408650716,0.7036731996478673,0.373361911582205,0.5834348708007544,0.45069664151095945,0.6436719408558291,0.490705648170375
"Cassia, bark (China) 4a - Cinnamomum cassia Blume, fam. Lauraceae",0.8540614649341098,0.6095908863720487,0.6644762449971591,1.0,0.6345118050488849,0.9055754562717705,0.7368484592592444,0.6094543602385809,0.25423767099474004,0.8272530708754854,0.4158121845276219,0.14716719340294382,0.34055584188187715,0.6464708034456955,0.6623702548874674,0.4867213128960971,0.5031570143600006,0.6795719830443367,0.17631186725021197,0.8640942791325963,0.270026462068489,0.6095846266211793,0.33436844173950575
"Cassia, bark (China) 5 - Cinnamomum cassia Blume, fam. Lauraceae",0.5218695725868989,0.715148991788851,0.7974880409824785,0.6345118050488847,1.0,0.660537684907875,0.7238833019672926,0.7095419920221102,0.47866310443844173,0.4869530608298871,0.6034782317793899,0.38977644124762445,0.5505390165174744,0.7531356837537813,0.7817414026127945,0.6193913776280631,0.5841497711504007,0.7302613760866785,0.4253624446746527,0.5530510868538936,0.5295931004707817,0.6652806863442191,0.5398033749965372
"Cassia, bark - Cinnamomum cassia Blume, fam. Lauraceae",0.8288399664601491,0.6595401886537504,0.6888878662584698,0.9055754562717705,0.6605376849078753,1.0,0.7997614001998662,0.6304684247690754,0.29212362609990195,0.7889349516784335,0.45292708038786056,0.18848861585815668,0.3775393595614288,0.6793067281268023,0.6917320302033871,0.5165689977222838,0.5371665102222068,0.7169962637804929,0.22552038070232017,0.8302648704852819,0.3124624445138259,0.6358776914705008,0.37734768389722373
"Cassia, branch & leaf - Cinnamomum cassia Blume, fam. Lauraceae",0.6555093166764111,0.7816280701227633,0.7288757267143737,0.7368484592592444,0.723883301967293,0.7997614001998662,1.0,0.7021642103862287,0.41710625537280865,0.6048928739750862,0.5556941022655881,0.31676543697654613,0.49023805212452487,0.7248490071611469,0.7586280319613441,0.5988738594679338,0.5965555136813316,0.8044448422249605,0.36875213214374947,0.6537041951312278,0.4420506042909659,0.6806458664945594,0.5039529409763517
"Cassia, leaf (China) 4b - Cinnamomum cassia Blume, fam. Lauraceae",0.4955886822992732,0.7310736423599087,0.6646436631553272,0.6094543602385811,0.7095419920221102,0.6304684247690757,0.7021642103862289,1.0,0.49652393669323114,0.45800386991356823,0.5796290771537604,0.39868189126937836,0.5604590321991372,0.6768862494494632,0.7601884102828661,0.6012360709467668,0.5710188938838103,0.694208945009439,0.43392124437364055,0.5083115762061778,0.5254921430337041,0.6604982649465228,0.5348373648499423
"Cinnamomum aureofulvum bark - Cinnamomum aureofulvum Gamb., fam. Lauraceae",0.14316562126476629,0.504461775035291,0.42572558218113954,0.2542376709947398,0.47866310443844173,0.29212362609990183,0.41710625537280865,0.49652393669323114,1.0,0.10411351410661229,0.6919975888279088,0.6336548002278524,0.6144127350939277,0.4960138199152597,0.5328757368645245,0.5597383845981367,0.4331683167435092,0.4825232361612142,0.5978038371719254,0.1731563165401263,0.6801679641510257,0.4776782871140821,0.6019341219642171
"Cinnamomum loureirii bark - Cinnamomum loureirii, fam. Lauraceae",0.9205235157401994,0.4743562588416309,0.5283969896787881,0.8272530708754854,0.4869530608298872,0.7889349516784335,0.6048928739750862,0.458003869913568,0.10411351410661218,1.0,0.2762905353774795,0.0,0.19609443223545497,0.5160484089462491,0.5107300142648477,0.34848403843044884,0.3881685903004459,0.5472971761076748,0.027644158198954938,0.9020234447539028,0.11912243913384768,0.4811107989304513,0.19579321289647866
