,"Basil (Argentina) 1a Castelar - Ocimum basilicum L. cultivar Castelar, fam. Lamiaceae (Labiatae)","Basil (Argentina) 1c Bella Vista - Ocimum basilicum L. cultivar Bella Vista, fam. Lamiaceae (Labiatae)","Basil (Argentina) 1d La Consulta - Ocimum basilicum L. cultivar La Consulta, fam. Lamiaceae (Labiatae)","Basil (Argentina) 1e Merlo - Ocimum basilicum L. cultivar Merlo, fam. Lamiaceae (Labiatae)","Basil (Australia) 1b - Ocimum basilicum L. cultivar Large Lettuce, fam. Lamiaceae (Labiatae)","Basil (Australia) 1c - Ocimum basilicum L. cultivar Anise, fam. Lamiaceae (Labiatae)","Basil (Australia) 2c cultivar Anise - Ocimum basilicum L. cultivar Anise, fam. Lamiaceae (Labiatae)","Basil (Australia) 2d cultivar Dark opal - Ocimum basilicum L. cultivar Dark opal, fam. Lamiaceae (Labiatae)","Basil (Benin) 1b - Ocimum basilicum L., fam. Lamiaceae (Labiatae)","Basil (European) 1 - Ocimum basilicum L., fam. Lamiaceae (Labiatae)","Basil (Haiti) - Ocimum basilicum L., fam. Lamiaceae (Labiatae)","Basil (India), flower - Ocimum basilicum L., fam. Lamiaceae (Labiatae)","Basil (India), herb - Ocimum basilicum L., fam. Lamiaceae (Labiatae)","Basil (India), whole plant - Ocimum basilicum L., fam. Lamiaceae (Labiatae)","Basil (Italy) 1a CO2-extract - Ocimum basilicum L., fam. Lamiaceae (Labiatae)","Basil (Italy) 1b dry leaves - Ocimum basilicum L., fam. Lamiaceae (Labiatae)","Basil (Italy) 1d oleoresin dry leaves - Ocimum basilicum L., fam. Lamiaceae (Labiatae)","Basil (Philippines) 1a - Ocimum basilicum L., fam. Lamiaceae (Labiatae)","Basil (Portugal) 2 - Ocimum basilicum L., fam. Lamiaceae (Labiatae)"
"Basil (Argentina) 1a Castelar - Ocimum basilicum L. cultivar Castelar, fam. Lamiaceae (Labiatae)",1.0,0.7210137276192436,0.8537397036166305,0.9123568372559274,0.7119490338567305,0.6507420137023008,0.5625442481546981,0.8483237019502659,0.2984008714510349,0.7829734217931206,0.34796702158218384,0.7489590314214505,0.7929806682512139,0.7881723676676797,0.8501293331938677,0.6490619006957117,0.6174546205031077,0.2446862570139411,0.701652703564372
"Basil (Argentina) 1c Bella Vista - Ocimum basilicum L. cultivar Bella Vista, fam. Lamiaceae (Labiatae)",0.7210137276192436,1.0,0.6478490169290144,0.7140960940023944,0.4589576588873674,0.8391915323401009,0.7388074081910967,0.6640035690413454,0.5554545295414768,0.5126680145716247,0.39780450583916727,0.6813065919007073,0.7122357646509643,0.6906821626135605,0.6624873710558014,0.7598396970391128,0.6821197313906198,0.4993293609815258,0.5434875473416585
"Basil (Argentina) 1d La Consulta - Ocimum basilicum L. cultivar La Consulta, fam. Lamiaceae (Labiatae)",0.8537397036166305,0.6478490169290144,1.0,0.8935601420970397,0.7723032380695368,0.5876513483572169,0.4584534456728422,0.891508361346368,0.23604733757151075,0.8072413493815696,0.25223350369685005,0.7638719916681487,0.8073328561970299,0.8054659005050655,0.779306593995826,0.5220749113459839,0.48653730974758413,0.16048421254083878,0.6263339387769347
"Basil (Argentina) 1e Merlo - Ocimum basilicum L. cultivar Merlo, fam. Lamiaceae (Labiatae)",0.9123568372559274,0.7140960940023944,0.8935601420970397,1.0,0.70768145307033,0.6433476160617477,0.5352430261618453,0.8596617494394281,0.2939131316293425,0.7741879623155716,0.30822671278044056,0.7817462994145362,0.8187692815902338,0.8212318803621909,0.8261295654964058,0.6046987480950663,0.5696709543414455,0.22861787143732681,0.6715728238841057
"Basil (Australia) 1b - Ocimum basilicum L. cultivar Large Lettuce, fam. Lamiaceae (Labiatae)",0.7119490338567305,0.4589576588873674,0.7723032380695368,0.70768145307033,1.0,0.42210654969945394,0.28512231743791383,0.7690720507614502,0.07353656110655737,0.8336725427952658,0.15320776108344591,0.6539113107365789,0.6714843910553252,0.6861485360204483,0.7006667639126299,0.3777147295616865,0.3563877274057493,0.0,0.5567376999663873
"Basil (Australia) 1c - Ocimum basilicum L. cultivar Anise, fam. Lamiaceae (Labiatae)",0.6507420137023008,0.8391915323401009,0.5876513483572169,0.6433476160617477,0.42210654969945394,1.0,0.6704902130620612,0.6173791440187889,0.587927703724108,0.4534985628849184,0.38766015895713946,0.6601677394249188,0.6767392038954829,0.660203851039322,0.6113366288576476,0.6921678103551063,0.616648643917151,0.5223592731649096,0.4727057616296353
"Basil (Australia) 2c cultivar Anise - Ocimum basilicum L. cultivar Anise, fam. Lamiaceae (Labiatae)",0.5625442481546981,0.7388074081910967,0.4584534456728422,0.5352430261618453,0.28512231743791383,0.6704902130620612,1.0,0.47456588693552426,0.505330111166318,0.37141710969273134,0.4663963720781127,0.45146959826559385,0.4902831429676764,0.4659123295712919,0.5081586414048043,0.807001878412826,0.7573785274596921,0.5242948979596458,0.49568835517827836
"Basil (Australia) 2d cultivar Dark opal - Ocimum basilicum L. cultivar Dark opal, fam. Lamiaceae (Labiatae)",0.8483237019502659,0.6640035690413454,0.891508361346368,0.8596617494394281,0.7690720507614502,0.6173791440187889,0.47456588693552426,1.0,0.27574198941968264,0.7667483279122274,0.2636208634753546,0.801009148004828,0.8368242795578207,0.8383151586009714,0.7885711658351351,0.5386682622896901,0.49756196148937726,0.20337240876897444,0.6188048907933785
"Basil (Benin) 1b - Ocimum basilicum L., fam. Lamiaceae (Labiatae)",0.2984008714510349,0.5554545295414768,0.23604733757151075,0.2939131316293425,0.07353656110655737,0.587927703724108,0.505330111166318,0.27574198941968264,1.0,0.09412032212966415,0.2220284329033484,0.3708755713791957,0.36369617745628846,0.3514958387391788,0.27746834209537385,0.47192424391994614,0.39904942586310865,0.8010807467665204,0.14931947864885586
"Basil (European) 1 - Ocimum basilicum L., fam. Lamiaceae (Labiatae)",0.7829734217931206,0.5126680145716247,0.8072413493815696,0.7741879623155716,0.8336725427952658,0.4534985628849184,0.37141710969273134,0.7667483279122274,0.09412032212966415,1.0,0.22566389407524157,0.6322524757250942,0.6662380709677473,0.6729893614406626,0.7450188499318329,0.4634738361822299,0.4545680276963181,0.03530849693689231,0.6666077398909629
