,"Acinos suaveolens (Greece) 1 - Acinos suaveolens (Sibt. et Smith) G. Don f., fam. Lamiaceae (Labiatae)","Acinos suaveolens (Greece) 2 - Acinos suaveolens (Sibt. et Smith) G. Don f., fam. Lamiaceae (Labiatae)","Acinos suaveolens (Yugoslavia) - Acinos suaveolens (Sibt. et Smith) G. Don f., fam. Lamiaceae (Labiatae)","Buchu leaf (South Africa) 1b (species) - Agathosma crenulata Pillans, fam. Rutaceae","Calamintha arkansana - Calamintha arkansana (Nutt.) Shinners, fam. Lamiaceae (Labiatae)","Calamintha nepeta (Belgium) - Calamintha nepeta (L.) Savi (Melissa nepeta L.), fam. Lamiaceae (Labiatae)","Calamintha nepeta (Greece) 3 - Calamintha nepeta (L.) Savi ssp. glandulosa (Req.) P.W.Ball,fam. Lamiaceae","Calamintha nepeta (Montenegro) - Calamintha nepeta (L.) Savi ssp. glandulosa (Req.) P.W.Ball, fam.Lamiaceae","Calamintha nepeta (Turkey) 1 - Calamintha nepeta (L.) Savi ssp. glandulosa (Req.) P.W.Ball, fam.Lamiaceae","Calamintha nepeta (Turkey) 3 - Calamintha nepeta (L.) Savi ssp. glandulosa (Req.) P.W.Ball, fam.Lamiaceae","Hedeoma mandoniana - Hedeoma mandoniana Wedd, fam. Lamiaceae (Labiatae)",Mentha arvensis ssp. agrestis - Mentha arvensis L. ssp agrestis (Sole) Briq.,"Mentha arvensis, Glabrata Ray variety - Mentha arvensis (L.) var. glabrata Ray, fam. Lamiaceae (Labiatae)","Mentha cervina - Mentha cervina L., fam. Lamiaceae (Labiatae)","Mentha requienii 1 - Mentha requienii Bentham, fam. Lamiaceae (Labiatae)","Mentha requienii 2 - Mentha requienii Bentham, fam. Lamiaceae (Labiatae)","Micromeria brownei - Micromeria brownei (Swartz) Benth. var. pilosiuscula Gray, fam. Lamiaceae","Minthostachys andina - Minthostachys andina (Brett) Epling, fam. Lamiaceae (Labiatae)","Minthostachys glabrescens - Minthostachys glabrescens Epling, fam. Lamiaceae (Labiatae)","Minthostachys mollis (Argentina) - Minthostachys mollis (Kunth.) Grisebach, fam. Lamiaceae (Labiatae)","Minthostachys mollis (Venezuela) - Minthostachys mollis (Kunth.) Grisebach, fam. Lamiaceae (Labiatae)","Pennyroyal (Argentina) - Mentha pulegium L., fam. Lamiaceae (Labiatae)","Pennyroyal (Germany) 1a - Mentha pulegium L., fam. Lamiaceae (Labiatae)","Pennyroyal (Greece) - Mentha pulegium L., fam. Lamiaceae (Labiatae)","Pennyroyal (USA) - Mentha pulegium L., fam. Lamiaceae (Labiatae)","Pennyroyal 1 - Mentha pulegium L., fam. Lamiaceae (Labiatae)","Pennyroyal 3 - Mentha pulegium L., fam. Lamiaceae (Labiatae)","Pennyroyal 4 - Mentha pulegium L., fam. Lamiaceae (Labiatae)","Ziziphora clinopodioides (Turkey) 1 - Ziziphora clinopodioides Lam., fam. Lamiaceae (Labiatae)","Ziziphora hispanica - Ziziphora hispanica L., fam. Lamiaceae (Labiatae)","Ziziphora tenuior (Turkey) - Ziziphora tenuior L.(Z.acutifolia Montbret & Aucher ex Bentham), Lamiaceae"
"Acinos suaveolens (Greece) 1 - Acinos suaveolens (Sibt. et Smith) G. Don f., fam. Lamiaceae (Labiatae)",1.0,0.8090780927330012,0.5228654813235941,0.6282655478713701,0.6770524226235388,0.7713499917012521,0.3329304320506262,0.3597815758167817,0.27045776332583016,0.39607264724162883,0.6979626732395586,0.452580915479907,0.7308845014838545,0.2688456671767686,0.708473211866627,0.7318494237980818,0.49063619302602757,0.6724472136377575,0.5312420753769698,0.4467425115294398,0.7080311868253231,0.5372707855105332,0.7341727560461746,0.42545939498129093,0.7247918817604995,0.7309025319787454,0.7041586482257882,0.7258420426474537,0.6323530487951337,0.6671372317462434,0.6324738500704812
"Acinos suaveolens (Greece) 2 - Acinos suaveolens (Sibt. et Smith) G. Don f., fam. Lamiaceae (Labiatae)",0.8090780927330012,1.0,0.62687775765879,0.658849562249108,0.7058335257544721,0.629700034564466,0.3275269499332223,0.36730005705283786,0.2756473439026277,0.39853696013024886,0.7693346939633516,0.461397200493893,0.8466486704896508,0.28788546383957836,0.8465021507803704,0.8449623554881289,0.5172849541195785,0.725662706913574,0.5105012415968052,0.4072988717051993,0.8365592838553184,0.45565284608646817,0.8742915766568078,0.38037709427869326,0.8340391713825884,0.7947614331545182,0.6556225209889335,0.8682145630428709,0.673704717157624,0.7695949855645282,0.7669292814549526
"Acinos suaveolens (Yugoslavia) - Acinos suaveolens (Sibt. et Smith) G. Don f., fam. Lamiaceae (Labiatae)",0.5228654813235941,0.62687775765879,1.0,0.3291653536847512,0.4436466353374613,0.31583546313289634,0.044084900192141285,0.05168797894587773,0.0,0.09692713384535045,0.48280379512529137,0.12552541873584466,0.7626760986550668,0.002002487332111169,0.7216124955047217,0.5872826068281681,0.24397080712452224,0.4266827489021907,0.19217599224919912,0.09396300294340865,0.6914557215445182,0.16721202468766783,0.66405119684675,0.056374751122735045,0.6690862853875825,0.6006281692182422,0.35468286987804076,0.6604732025686002,0.40223120408898505,0.5234707932359828,0.8292203918537919
"Buchu leaf (South Africa) 1b (species) - Agathosma crenulata Pillans, fam. Rutaceae",0.6282655478713701,0.658849562249108,0.3291653536847513,1.0,0.6772245071524414,0.6126245989025734,0.4794447123316723,0.5519894939620191,0.3486361323621131,0.5821796779698017,0.7206712527228677,0.6768365713549738,0.5480680641928604,0.40706205149301455,0.5789510187544495,0.6742099810420514,0.6378877114740955,0.7499506198615347,0.6612655254955074,0.5830874178370682,0.5961743920768948,0.5343882420513838,0.6373544506903155,0.5298677455080224,0.5994540480487792,0.6117007305839594,0.6500307066786668,0.6322675777334539,0.6914589358572218,0.6333543107456159,0.48549863121578307
"Calamintha arkansana - Calamintha arkansana (Nutt.) Shinners, fam. Lamiaceae (Labiatae)",0.6770524226235388,0.7058335257544721,0.4436466353374613,0.6772245071524414,1.0,0.594243973388225,0.5722989155146413,0.5253327411143582,0.28551819179717064,0.6212029328534172,0.7504803951828727,0.5155551346598929,0.6463311214883292,0.3593227780327649,0.6817136039330681,0.7544619360743705,0.7524228402439801,0.7291160912529255,0.71954952825695,0.6238974854548192,0.7362229025924157,0.6644365551012876,0.7127552013377063,0.4968469334424561,0.7635409992701019,0.8265020851335984,0.6251622719762921,0.6834116150600917,0.8055052240645777,0.6518958254262913,0.5666403068093402
"Calamintha nepeta (Belgium) - Calamintha nepeta (L.) Savi (Melissa nepeta L.), fam. Lamiaceae (Labiatae)",0.7713499917012521,0.629700034564466,0.31583546313289634,0.6126245989025734,0.594243973388225,1.0,0.37772336222163005,0.4214987251092962,0.3291871483115467,0.4321809436918871,0.5925246587670979,0.4983258450771515,0.5262893531408533,0.3214935249933758,0.5150384166972786,0.5766129176820067,0.47803118360930463,0.5950811771649265,0.5670483723803313,0.5176156479265668,0.5246313229588657,0.5986478424503541,0.5563047232203319,0.5204515851027878,0.543526240072739,0.574400146194866,0.6858171106785722,0.5473243013853126,0.5661427530587468,0.5569313372615483,0.43227746561788294
"Calamintha nepeta (Greece) 3 - Calamintha nepeta (L.) Savi ssp. glandulosa (Req.) P.W.Ball,fam. Lamiaceae",0.3329304320506262,0.3275269499332223,0.044084900192141285,0.4794447123316723,0.5722989155146413,0.37772336222163005,1.0,0.7417063186359522,0.3179533853387251,0.8094722237906008,0.4357921124630818,0.47172356643344426,0.24437453763546857,0.4561516516250529,0.28566437228949026,0.38471082339219254,0.6655831127319968,0.45275798305492054,0.7240121962532137,0.7534657348386299,0.3413072320436302,0.666494192541111,0.3213412926273608,0.6217557969487091,0.3647294501799606,0.43232733889202657,0.3906071207048849,0.30175916774748457,0.5558087114909045,0.3639584245969816,0.16856936673534362
"Calamintha nepeta (Montenegro) - Calamintha nepeta (L.) Savi ssp. glandulosa (Req.) P.W.Ball, fam.Lamiaceae",0.3597815758167817,0.36730005705283786,0.05168797894587773,0.5519894939620191,0.5253327411143582,0.4214987251092962,0.7417063186359522,1.0,0.5153807583211705,0.7337521083618364,0.475336755107165,0.5941612992058909,0.262239378981842,0.6429630216700377,0.30423237611812837,0.41272620735812815,0.6128223341792031,0.503215105540331,0.690561610957225,0.6485685200141431,0.34532765476501304,0.5465569701093282,0.348412188099795,0.7344860484217266,0.36042693666727044,0.4065403734006309,0.44159109472908353,0.33939950238646255,0.546307843370099,0.45744619115531127,0.19005077570814488
"Calamintha nepeta (Turkey) 1 - Calamintha nepeta (L.) Savi ssp. glandulosa (Req.) P.W.Ball, fam.Lamiaceae",0.27045776332583016,0.2756473439026277,0.0,0.3486361323621131,0.28551819179717064,0.3291871483115467,0.3179533853387251,0.5153807583211705,1.0,0.30405501974475446,0.3135962655395059,0.3651630774946888,0.1756310948410046,0.772870018640295,0.19845455699744863,0.2742894705175185,0.28648993627393515,0.33407458107779753,0.3572064126866755,0.287771227746328,0.2136432270916685,0.26128166313524925,0.23004765278266914,0.4276565325994094,0.21975266724449094,0.24506465923914866,0.3215870311723129,0.23480817404830945,0.3128360257185029,0.4565858180840905,0.11348042853398199
"Calamintha nepeta (Turkey) 3 - Calamintha nepeta (L.) Savi ssp. glandulosa (Req.) P.W.Ball, fam.Lamiaceae",0.39607264724162883,0.39853696013024886,0.09692713384535045,0.5821796779698017,0.6212029328534172,0.4321809436918871,0.8094722237906007,0.7337521083618364,0.30405501974475446,1.0,0.5270604418261953,0.5994443837699812,0.30665852732378995,0.4356667192797753,0.3544568609879549,0.46524856732593034,0.7243347146840067,0.5519236834224126,0.7991023285431881,0.7597237150566455,0.3995342191510012,0.6517171188323747,0.3953757971443298,0.6435922094077748,0.42189092765204406,0.4741221514408389,0.4676935204682653,0.38149163183269885,0.6249423921284192,0.414554344446187,0.2323266716531147
