,Limonene,beta-Pinene,alpha-Pinene,Bornyl acetate,Camphene,para-Cymene,Borneol,beta-Caryophyllene,beta-Selinene,gamma-Cadinene,Tricyclene,Myrcene,alpha-Humulene,Terpinolene,beta-Phellandrene,alpha-Terpinyl acetate,delta-3-Carene,alpha-Terpinene,Sabinene,alpha-Terpineol,Linalool,alpha-Phellandrene,Terpinen-4-ol,gamma-Terpinene,Camphor,Geraniol,Geranyl acetate,Nerol,Citronellal,"1,8-Cineole",trans-Sabinene hydrate,Caryophyllene oxide,Terpinen-4-yl acetate,Cumin alcohol,Hexanal,Germacrene D,beta-Farnesene,Neryl acetate,4-Thujanol,(Z)-beta-Farnesene,beta-Elemene,(E)-Nerolidol,(E)-beta-Ocimene,(Z)-beta-Ocimene,T-Cadinol,delta-Cadinol,alpha-Thujene,Sabinol,alpha-Farnesene,Carvone,Nonanal,Cryptone,(E)-beta-Farnesene,Linalyl acetate,alpha-Cubebene,Hexyl tiglate,1-Octenol-3,Bornyl formate,cis-Linalool oxide (5) (furanoid),Acetaldehyde,Geranial,beta-Bisabolol,(Z)-3-Hexenol,beta-Bourbonene,3-Octanone,cis-Linalool oxide (unknown isomer),trans-Linalool oxide (unknown isomer),1-Hexanol,(E)-2-Hexenol,3-Octanol,1-Octenyl-3 acetate,Hexyl acetate,cis-alpha-Bergamotene,"alpha,p-Dimethylstyrene",Alloocimene (unknown isomer),alpha-Santalene,Lavandulol,Butyl acetate,Eucarvone,Octyl acetate,Sesquiphellandrene,Acetone,trans-Alloocimene,Isobutyl isobutyrate,(Z)-3-Hexenyl acetate,Isopulegol,(E)-2-Hexenal,beta-Terpineol,Hexyl butyrate,Geranyl butyrate,beta-Zingiberene,alpha-Zingiberene,cis-Calamenene,Lavandulyl acetate,Terpinen-1-ol,cis-Alloocimene,3-Octyl acetate,ortho-Cymene,Ocimenol,Hexyl isobutyrate,Prenol,(Z)-2-Pentenol,Cadin-4-en-10-ol,Sesquithujene,Sesquisabinene,cis-alpha-Bisabolene,Nerolidyl acetate,cis-Verbenyl acetate,Thujyl acetate,7-epi-alpha-Santalene,"1,3,5-Undecatriene (unknown isomer)",Hexyl methyl ether,Butanoic acid,Linalyl formate,Bicyclosesquiphellandrene,"(E)-6,7-Ocimene oxide",Pinocarvyl formate,Benzyl isoamyl ether
"Bitter orange leaf (Petitgrain) (Japan) - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae",0.004,0.03,0.005,0.0,0.0001,0.002,0.0,0.006,0.0001,0.0,0.0,0.01,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.005,0.01,0.384,0.0,0.0001,0.01,0.0,0.002,0.005,0.001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.003,0.0,0.0,0.0001,0.0,0.015,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0001,0.0,0.0,0.498,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bitter orange leaf (Petitgrain) (Spain) 3 - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae",0.008,0.059,0.004,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.0001,0.006,0.001,0.0,0.0,0.001,0.007,0.102,0.327,0.0,0.002,0.001,0.0,0.058,0.05,0.02,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0001,0.034,0.011,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.244,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bitter orange leaf (Petitgrain) (USA) 2 - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae",0.007,0.042,0.003,0.0,0.0001,0.0,0.0,0.002,0.0,0.0,0.0,0.028,0.0,0.006,0.001,0.001,0.0,0.0001,0.005,0.118,0.332,0.0,0.002,0.001,0.0,0.067,0.055,0.023,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.0,0.0,0.0,0.001,0.032,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lavandin (Argentina) Grosso - Lavandula x hybrida Rev. (L. x intermedia Emeric ex Loiseleur), Lamiaceae",0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.279,0.0,0.008,0.0,0.097,0.0,0.0,0.0,0.0,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lavandin (France) (Super) - Lavandula x hybrida Rev. (L. x intermedia Emeric ex Loiseleur), Lamiaceae",0.0073,0.0015,0.0028,0.0,0.0026,0.0069,0.0227,0.0175,0.0,0.0,0.0,0.0047,0.0,0.0012,0.0,0.0,0.0002,0.0,0.0006,0.0052,0.3098,0.0,0.0046,0.0002,0.0542,0.0,0.0037,0.0,0.0,0.0315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.395,0.0,0.0,0.0026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043,0.0008,0.0028,0.0,0.0,0.0,0.0049,0.0,0.0,0.0,0.0,0.0,0.0087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066,0.0,0.0,0.0,0.0,0.0155,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lavandin (USA) 2 Grosso - Lavandula x hybrida Rev. (L. x intermedia Emeric ex Loiseleur), Lamiaceae",0.011,0.0089,0.0,0.0,0.0049,0.0,0.025,0.0176,0.0,0.0,0.0,0.0094,0.0,0.0038,0.0,0.0,0.0,0.0,0.0,0.01,0.2958,0.0,0.019,0.0161,0.0808,0.0071,0.0153,0.0,0.0,0.0743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0133,0.0,0.2915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lavender (Algeria) - Lavandula angustifolia Mill. (L. officinalis Chaix), fam. Lamiaceae",0.0017,0.0,0.0,0.0,0.0,0.0,0.015,0.0033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011,0.477,0.0,0.003,0.0,0.005,0.0,0.0,0.0,0.0,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3599,0.0,0.0,0.0116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lavender (Bulgaria) 2 - Lavandula angustifolia Mill. (L. officinalis Chaix), fam. Lamiaceae",0.0011,0.0,0.0009,0.0015,0.0006,0.0007,0.0035,0.0411,0.0,0.0005,0.0001,0.0033,0.0005,0.0006,0.0,0.0,0.0003,0.0001,0.0,0.0083,0.2711,0.0,0.0463,0.0006,0.0011,0.0,0.005,0.0,0.0,0.0031,0.0002,0.0008,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0009,0.0001,0.0,0.0,0.0224,0.0549,0.0001,0.0,0.0003,0.0001,0.0002,0.0,0.0,0.0005,0.0243,0.4262,0.0001,0.0001,0.0006,0.0002,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0023,0.0001,0.0003,0.0001,0.0,0.0002,0.0,0.0024,0.0002,0.0003,0.0004,0.0037,0.0029,0.0001,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0465,0.0,0.0,0.0105,0.0001,0.0,0.0003,0.0001,0.0,0.0,0.0001,0.0003,0.0,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0027,0.0016,0.0001,0.0001,0.0
"Lavender (France) 7 - Lavandula angustifolia Mill. (L. officinalis Chaix), fam. Lamiaceae",0.0,0.004,0.008,0.0,0.003,0.0,0.016,0.024,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.295,0.002,0.029,0.0,0.035,0.0,0.003,0.0,0.0,0.052,0.0,0.0,0.0,0.0,0.0,0.004,0.012,0.002,0.0,0.0,0.0,0.0,0.014,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.415,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lavender (USA) (var. Maillette) - Lavandula angustifolia Mill. (L. officinalis Chaix) (Maillette cultivar),0.0016,0.0007,0.0014,0.0,0.0028,0.0013,0.0037,0.0314,0.0,0.0,0.0,0.0019,0.0,0.0003,0.0,0.0,0.0029,0.0,0.0002,0.002,0.451,0.0,0.0,0.0007,0.0031,0.0,0.0037,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.0,0.0,0.0,0.0,0.009,0.0086,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.3489,0.0,0.0009,0.0026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0029,0.0,0.0,0.0,0.0,0.0019,0.0,0.0007,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
