Plant 1,Plant 2,Similarity Score,First Most Present Chemical,First Most Present Amount,Second Most Present Chemical,Second Most Present Amount,Third Most Present Chemical,Third Most Present Amount,Fourth Most Present Chemical,Fourth Most Present Amount,Fifth Most Present Chemical,Fifth Most Present Amount
"Bitter orange leaf (Petitgrain) (Japan) - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae","Mentha citrata (Bergamot mint) (Argentina) 2b - Mentha citrata Ehrh., fam. Lamiaceae (Labiatae)",0.9126021275674208,Linalyl acetate,0.5,Linalool,0.38,beta-Pinene,0.03,(E)-beta-Ocimene,0.02,alpha-Terpineol,0.01
"Bitter orange leaf (Petitgrain) (Spain) 3 - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae","Bitter orange leaf (Petitgrain) (USA) 2 - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae",0.9421292042161176,Linalool,0.33,Linalyl acetate,0.24,alpha-Terpineol,0.1,beta-Pinene,0.06,Geraniol,0.06
"Bitter orange leaf (Petitgrain) (USA) 2 - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae","Bitter orange leaf (Petitgrain) (Spain) 3 - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae",0.9421292042161176,Linalool,0.33,Linalyl acetate,0.22,alpha-Terpineol,0.12,Geraniol,0.07,Geranyl acetate,0.06
"Lavandin (Argentina) Grosso - Lavandula x hybrida Rev. (L. x intermedia Emeric ex Loiseleur), Lamiaceae","Lavandin (USA) 2 Grosso - Lavandula x hybrida Rev. (L. x intermedia Emeric ex Loiseleur), Lamiaceae",0.9023936273704318,Linalyl acetate,0.3,Linalool,0.28,Camphor,0.1,"1,8-Cineole",0.06,Borneol,0.03
"Lavandin (France) (Super) - Lavandula x hybrida Rev. (L. x intermedia Emeric ex Loiseleur), Lamiaceae","Lavender (France) 7 - Lavandula angustifolia Mill. (L. officinalis Chaix), fam. Lamiaceae",0.9059426887636944,Linalyl acetate,0.4,Linalool,0.31,Camphor,0.05,"1,8-Cineole",0.03,Borneol,0.02
"Lavandin (USA) 2 Grosso - Lavandula x hybrida Rev. (L. x intermedia Emeric ex Loiseleur), Lamiaceae","Lavandin (Argentina) Grosso - Lavandula x hybrida Rev. (L. x intermedia Emeric ex Loiseleur), Lamiaceae",0.9023936273704318,Linalool,0.3,Linalyl acetate,0.29,Camphor,0.08,"1,8-Cineole",0.07,Borneol,0.02
"Lavender (Algeria) - Lavandula angustifolia Mill. (L. officinalis Chaix), fam. Lamiaceae",Lavender (USA) (var. Maillette) - Lavandula angustifolia Mill. (L. officinalis Chaix) (Maillette cultivar),0.9147950414427132,Linalool,0.48,Linalyl acetate,0.36,Lavandulyl acetate,0.02,Borneol,0.02,1-Octenol-3,0.01
"Lavender (Bulgaria) 2 - Lavandula angustifolia Mill. (L. officinalis Chaix), fam. Lamiaceae","Lavender (Ukraine) - Lavandula angustifolia Mill., (L. officinalis Chaix), fam. Lamiaceae",0.9184472298935064,Linalyl acetate,0.43,Linalool,0.27,(Z)-beta-Ocimene,0.05,Lavandulyl acetate,0.05,Terpinen-4-ol,0.05
"Lavender (France) 7 - Lavandula angustifolia Mill. (L. officinalis Chaix), fam. Lamiaceae","Lavandin (France) (Super) - Lavandula x hybrida Rev. (L. x intermedia Emeric ex Loiseleur), Lamiaceae",0.9059426887636944,Linalyl acetate,0.42,Linalool,0.3,"1,8-Cineole",0.05,Camphor,0.04,Terpinen-4-ol,0.03
Lavender (USA) (var. Maillette) - Lavandula angustifolia Mill. (L. officinalis Chaix) (Maillette cultivar),"Lavender (Algeria) - Lavandula angustifolia Mill. (L. officinalis Chaix), fam. Lamiaceae",0.9147950414427132,Linalool,0.45,Linalyl acetate,0.35,beta-Caryophyllene,0.03,(E)-beta-Ocimene,0.01,(Z)-beta-Ocimene,0.01
"Lavender (Ukraine) - Lavandula angustifolia Mill., (L. officinalis Chaix), fam. Lamiaceae","Lavender (Bulgaria) 2 - Lavandula angustifolia Mill. (L. officinalis Chaix), fam. Lamiaceae",0.9184472298935064,Linalyl acetate,0.43,Linalool,0.27,beta-Caryophyllene,0.06,(Z)-beta-Ocimene,0.04,(E)-beta-Ocimene,0.02
"Lavender 1a calyx - Lavandula angustifolia Mill., fam. Lamiaceae (Labiatae)","Lavender 1c flower spike - Lavandula angustifolia Mill., fam. Lamiaceae (Labiatae)",0.933176016257047,Linalyl acetate,0.47,Linalool,0.34,Lavandulyl acetate,0.02,(Z)-beta-Ocimene,0.01,3-Octanone,0.01
"Lavender 1c flower spike - Lavandula angustifolia Mill., fam. Lamiaceae (Labiatae)","Lavender 1a calyx - Lavandula angustifolia Mill., fam. Lamiaceae (Labiatae)",0.933176016257047,Linalyl acetate,0.45,Linalool,0.31,Lavandulyl acetate,0.02,(Z)-beta-Ocimene,0.02,3-Octanone,0.01
"Mentha citrata (Bergamot mint) (Argentina) 2b - Mentha citrata Ehrh., fam. Lamiaceae (Labiatae)","Bitter orange leaf (Petitgrain) (Japan) - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae",0.9126021275674208,Linalyl acetate,0.49,Linalool,0.35,Limonene,0.02,beta-Pinene,0.01,Myrcene,0.01
