,"Bergamot (Italy, Calabria) 7 - Citrus bergamia Risso et Poiteau, fam. Rutaceae","Bitter orange leaf (Petitgrain) (Italy) 2a - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae","Bitter orange leaf (Petitgrain) (Japan) - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae","Bitter orange leaf (Petitgrain) (Spain) 1 - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae","Bitter orange leaf (Petitgrain) (Spain) 3 - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae","Bitter orange leaf (Petitgrain) (USA) 2 - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae","Clary sage (Italy) 2a inflorescense - Salvia sclarea L., fam. Lamiaceae (Labiatae)","Clary sage (Russia) 2 - Salvia sclarea L., fam. Lamiaceae (Labiatae)","Clary sage (Uzbekistan) - Salvia sclarea L., fam. Lamiaceae (Labiatae)","Clary sage flower - Salvia sclarea L., fam. Lamiaceae (Labiatae)","Lavandin (Argentina) Abrialis - Lavandula x hybrida Rev. (L. x intermedia Emeric ex Loiseleur), Lamiaceae","Lavandin (Argentina) Grosso - Lavandula x hybrida Rev. (L. x intermedia Emeric ex Loiseleur), Lamiaceae","Lavandin (France) (Abrialis) 1 - Lavandula x hybrida Rev. (L. x intermedia Emeric ex Loiseleur), Lamiaceae","Lavandin (France) (Abrialis) 2 - Lavandula x hybrida Rev. (L. x intermedia Emeric ex Loiseleur), Lamiaceae","Lavandin (France) (Grosso) 1 - Lavandula x hybrida Rev. (L. x intermedia Emeric ex Loiseleur), Lamiaceae","Lavandin (France) (Grosso) 2 - Lavandula x hybrida Rev. (L. x intermedia Emeric ex Loiesleur), Lamiaceae","Lavandin (France) (Super) - Lavandula x hybrida Rev. (L. x intermedia Emeric ex Loiseleur), Lamiaceae",Lavandin (France) 2 - Lavandula x hybrida Rev. (L. x intermedia); fam. Lamiaceae (Labiatae),"Lavandin (Hungary) 1a - Lavandula x hybrida Rev. (L. x intermedia Emeric ex Loiseleur), Lamiaceae","Lavandin (Hungary) 1b - Lavandula x hybrida Rev. (L. x intermedia Emeric ex Loiseleur), Lamiaceae","Lavandin (Italy) 1 (Grosso) - Lavandula x hybrida Rev. (L. x intermedia Emeric ex Loiseleur), Lamiaceae","Lavandin (USA) 1c (Grosso) - Lavandula x hybrida Rev. (L. x intermedia) (Grosso cultivar),fam.Lamiaceae",Lavandin (USA) 1d (Hidcote Giant) - Lavandula x hydriba Rev. (L. x intermedia) (Hidcote Giant cultivar)Lamiace,"Lavandin (USA) 2 Grosso - Lavandula x hybrida Rev. (L. x intermedia Emeric ex Loiseleur), Lamiaceae","Lavender (Algeria) - Lavandula angustifolia Mill. (L. officinalis Chaix), fam. Lamiaceae","Lavender (Australia) - Lavandula angustifolia Mill. (L. officinalis Chaix), fam. Lamiaceae","Lavender (Bulgaria) 1 - Lavandula angustifolia Mill. (L. officinalis Chaix), fam. Lamiaceae","Lavender (Bulgaria) 2 - Lavandula angustifolia Mill. (L. officinalis Chaix), fam. Lamiaceae","Lavender (China) - Lavandula angustifolia Mill., fam. Lamiaceae (Labiatae)","Lavender (France) 1 - Lavandula angustifolia Mill. (L. officinalis Chaix), fam. Lamiaceae","Lavender (France) 2a - Lavandula angustifolia Mill. (L. officinalis Chaix), fam. Lamiaceae","Lavender (France) 3 - Lavandula angustifolia Mill. (L. officinalis Chaix), fam. Lamiaceae","Lavender (France) 4 - Lavandula angustifolia Mill. (L. officinalis Chaix), fam. Lamiaceae","Lavender (France) 5 - Lavandula angustifolia Mill. (L. officinalis Chaix), fam. Lamiaceae","Lavender (France) 6 - Lavandula angustifolia Mill., fam. Lamiaceae (Labiatae)","Lavender (France) 7 - Lavandula angustifolia Mill. (L. officinalis Chaix), fam. Lamiaceae","Lavender (France) 8 - Lavandula angustifolia Mill. (L. officinalis Chaix), fam. Lamiaceae","Lavender (Greece) - Lavandula angustifolia Mill. (L. officinalis Chaix), fam. Lamiaceae","Lavender (Italy) 1a - Lavandula angustifolia Mill. (L. officnalis Chaix), fam. Lamiaceae","Lavender (Italy) 2 - Lavandula angustifolia Mill., fam. Lamiaceae (Labiatae)","Lavender (Lithuania) - Lavandula angustifolia Mill., fam. Lamiaceae (Labiatae)","Lavender (Moldova) - Lavandula angustifolia Mill., (L. officinalis Chaix), fam. Lamiaceae","Lavender (Russia) - Lavandula angustifolia Mill., fam. Lamiaceae (Labiatae)",Lavender (USA) (var. Compacta) - Lavandula angustifolia Mill. (L. officinalis Chaix) (Compacta cultivar),Lavender (USA) (var. Irene Doyle) - Lavandula angustifolia Mill. (L. officinalis Chaix) (Irene Doyle cultivar),Lavender (USA) (var. Maillette) - Lavandula angustifolia Mill. (L. officinalis Chaix) (Maillette cultivar),Lavender (USA) (var. Nana Alba) - Lavandula angustifolia Mill. (L. officinalis Chaix) (Nana Alba cultivar),Lavender (USA) (var. Twickel Purple) - Lavandula angustifolia Mill. (L. officinalis Chaix) (Twickel Purple cult.),"Lavender (Ukraine) - Lavandula angustifolia Mill., (L. officinalis Chaix), fam. Lamiaceae","Lavender 1a calyx - Lavandula angustifolia Mill., fam. Lamiaceae (Labiatae)","Lavender 1b corolla - Lavandula angustifolia Mill., fam. Lamiaceae (Labiatae)","Lavender 1c flower spike - Lavandula angustifolia Mill., fam. Lamiaceae (Labiatae)","Lavender 2a hydrodiffusion - Lavandula angustifolia Mill., fam. Lamiaceae (Labiatae)","Lavender 2b microwave - Lavandula angustifolia Mill., fam. Lamiaceae (Labiatae)","Linaloe wood - Bursera delpechiana Poiss., fam. Burseraceae","Mentha citrata (Bergamot mint) (Argentina) 2b - Mentha citrata Ehrh., fam. Lamiaceae (Labiatae)","Mentha citrata (Bergamot mint) (India) - Mentha citrata Ehrh., fam. Lamiaceae (Labiatae)","Mentha citrata (Bergamot mint) (USA) - Mentha citrata Ehrh., fam. Lamiaceae (Labiatae)","Neroli bigarade (bitter orange flower) Morocco - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae"
"Bergamot (Italy, Calabria) 7 - Citrus bergamia Risso et Poiteau, fam. Rutaceae",1.0,0.0759636767917733,0.017747287278982893,0.13302891954820784,0.1477086908406806,0.13146307528167633,0.1492550383216128,0.1436769182186708,0.1380311775043297,0.19008105918601914,0.10293721365990705,0.1690855579265278,0.12957189829602256,0.1745214589183851,0.14677730946802425,0.1779241588741739,0.13064844502783446,0.14024824232807842,0.14657841487567747,0.12769172412601526,0.18135384482253347,0.19292468899459791,0.12934989722863788,0.16477978660047565,0.0,0.08090394667214829,0.14678498831372577,0.1272927949777345,0.1199966905570774,0.06952035500580334,0.2268783524297825,0.10844431218129313,0.0838685307498882,0.152075133684077,0.19306568172664562,0.1272983897738018,0.00821752155278277,0.1432398292348902,0.17235158600071832,0.22567364735708584,0.2192872148578332,0.11142225429383501,0.10943831707947238,0.19397106548693366,0.15979255795889158,0.032239097946517026,0.1122536122908041,0.17555586861140215,0.12532063864017418,0.06480446114272054,0.21905015707668585,0.10157620504867682,0.17884892290402976,0.1262658368799746,0.08003558478010264,0.046547074062311955,0.01325328854457919,0.08208111643253357,0.1384776648438658
"Bitter orange leaf (Petitgrain) (Italy) 2a - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae",0.0759636767917733,1.0,0.7836280940812685,0.7304283775960982,0.6534745716048609,0.6227173431542321,0.7321486470606229,0.7640524330311022,0.8022506239407978,0.6180476508175031,0.6037560963922555,0.6486224036381605,0.6339779059367328,0.401331626714712,0.7261663515015166,0.5189856518155258,0.7843919932554229,0.5105757646090967,0.7045796585830324,0.6169833024176855,0.6356403141329874,0.605576209192606,0.7506536492011848,0.6649062826408839,0.7510199003664126,0.8038466674425946,0.7692315675999686,0.7206143310008253,0.7532948264270442,0.6193596387986617,0.5636735052990627,0.7528852410017844,0.8158031585943144,0.6979335270877569,0.4323923892552891,0.7622896167563873,0.8057052570840484,0.36364011377676975,0.6605680877392535,0.49358604106644743,0.5843551590285725,0.8125140029084662,0.7563078371657505,0.6443827416974064,0.6964529593050155,0.7843645017755946,0.33137743105435324,0.6807878888896519,0.7396046766306775,0.7951215149648085,0.5961315317555396,0.7893460313851383,0.5869775078529076,0.6896902989261,0.7332411658169831,0.7951580652455276,0.7152628651641506,0.7471988134373637,0.5955791102779352
"Bitter orange leaf (Petitgrain) (Japan) - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae",0.017747287278982893,0.7836280940812685,1.0,0.7044632487321676,0.48778957234112164,0.4475257372209901,0.6216204401066139,0.6770212985694106,0.671362240547948,0.44893940413401334,0.4709017348790251,0.5476761211865707,0.5229125635521273,0.2801243368924392,0.619489040702272,0.4126530994241745,0.7356722147460184,0.3994289094579363,0.6733624060694132,0.44922643612433233,0.5066418210410801,0.5059638116894398,0.6345586623468538,0.5501573466475074,0.6936150406063126,0.7210550456439835,0.7223444167878444,0.7023939498677199,0.7198198184711374,0.4801049766531923,0.44270397153872243,0.7209093489860022,0.7514106610274425,0.6126742414662936,0.31755351531903386,0.7352211329490993,0.7948291190314322,0.25083332117794155,0.5850626110947614,0.37064722651565385,0.45605513221217253,0.7410988982063177,0.6290088861950542,0.571855428291345,0.6623883273096038,0.7007934275924199,0.2872040679241572,0.5965285975886265,0.7272813500796558,0.8797741601550466,0.5007618765689739,0.8235697291217716,0.47877563112120336,0.5844514735279128,0.7599097526623252,0.9126021275674208,0.6339393806954879,0.7747120852305125,0.47800739851192775
"Bitter orange leaf (Petitgrain) (Spain) 1 - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae",0.13302891954820784,0.7304283775960982,0.7044632487321676,1.0,0.5712934256711468,0.5321660550266012,0.7036007632080634,0.8097701649852774,0.789930818037254,0.5855268623510117,0.46035747618357625,0.6142605617057544,0.5430480986806179,0.41412179160478657,0.6415787203621857,0.5293919380933375,0.7498361900725307,0.4660133733139583,0.8202726232652194,0.48007068224290395,0.5796343558973888,0.6122415317434263,0.6189980222183424,0.6122813611010011,0.518322069626346,0.6314942488827355,0.7547897059483155,0.7691551274772618,0.7641348912476691,0.4403489554112294,0.5842449839943038,0.721182634634732,0.6744325883884734,0.6713222285010417,0.4693547858757007,0.7640132308522475,0.5971476400914555,0.36817606830117966,0.6811219812019098,0.5074226633534574,0.6124084400800994,0.7147753658000663,0.6068503063684973,0.713493160980338,0.7841153572834487,0.5551606136920553,0.44800863364396115,0.681003666744428,0.7905641560761862,0.7504185929813133,0.6398754254935509,0.7866010319314164,0.5728631261242576,0.5809673112482348,0.7658207919789215,0.7487795437421636,0.4870876998939373,0.7254153084249444,0.523223516129148
"Bitter orange leaf (Petitgrain) (Spain) 3 - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae",0.1477086908406806,0.6534745716048609,0.48778957234112164,0.5712934256711468,1.0,0.9421292042161175,0.6653874664583908,0.660806873900903,0.7125917427216412,0.8093942257992272,0.6644070556207107,0.6394366357814742,0.655413682012838,0.5341095016900631,0.6712365725820724,0.5780408704174884,0.6115892343193698,0.5721893379024854,0.5378657907824826,0.7454477968711015,0.7104051929050716,0.6239706569779366,0.6939592108249151,0.6731547750088261,0.5694002390881667,0.6309505642291613,0.6264106825108966,0.5517560411458731,0.5662484256108062,0.6688553985520618,0.6467130172360409,0.5776380645357477,0.614067710269165,0.6349486825801376,0.5540362301292212,0.581014033861751,0.5448397877747904,0.48413733334125364,0.6043944920467677,0.611172896709921,0.6723875557003729,0.6262560525120406,0.6876112959834644,0.6020311972958233,0.5621504282183691,0.6099744620815712,0.32111634519701815,0.6275397426630853,0.5497952869640894,0.5154267008604511,0.6205930617880514,0.5447223518739808,0.6246876110131087,0.6607152289204343,0.5068336260723889,0.49913278744422906,0.599665020532329,0.5206975403513965,0.710781207613934
"Bitter orange leaf (Petitgrain) (USA) 2 - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae",0.13146307528167633,0.6227173431542323,0.4475257372209902,0.5321660550266012,0.9421292042161175,1.0,0.6361189365536659,0.6293145316311433,0.6850526290065306,0.8081950170786727,0.653971234737202,0.6128008450728526,0.6334013034464342,0.52445466374671,0.6408867720564737,0.5591279491139176,0.5740640471624592,0.5573309005006761,0.5009787108629036,0.743275501463051,0.687488078797923,0.5966793723758719,0.6643609941158575,0.6468716132814504,0.545181747798045,0.6000633712256747,0.5873412684479402,0.5146490838198655,0.5283027197878378,0.660468834501741,0.625391237426881,0.541678286809218,0.5805666042151467,0.6030263325948526,0.5407654013268145,0.5430322248400634,0.514724169595671,0.4758295229906655,0.5724343317670322,0.5961265491767274,0.651571098783585,0.5912596892114306,0.6624114768436915,0.5681847248619964,0.5248223648744796,0.5844596947003405,0.2976185784986465,0.5951045658904899,0.5119730273438152,0.47655945152140355,0.5923528466470991,0.5050894427219874,0.6018256596291414,0.6347308571237409,0.46956351614862335,0.4598147914929901,0.5765183168643799,0.48247635719221604,0.6785115076865201
"Clary sage (Italy) 2a inflorescense - Salvia sclarea L., fam. Lamiaceae (Labiatae)",0.1492550383216128,0.7321486470606229,0.6216204401066139,0.7036007632080634,0.6653874664583908,0.6361189365536659,1.0,0.7938114573426553,0.7595346320146157,0.7075967606001435,0.6018707160029677,0.6853984893990883,0.6469115937267853,0.5089071938622274,0.7193164010127906,0.6014135716121837,0.7402775170707528,0.5595743900363077,0.7000487083109521,0.629487783688508,0.6918331815351706,0.6702754821104533,0.7183194643898331,0.6909019676008751,0.5994282564361465,0.6997979864814343,0.7556401401797532,0.7051788522190316,0.6991534548890705,0.58545746621895,0.6672585851796151,0.7084434587567634,0.7110627839281919,0.7202149527935218,0.5508983192810045,0.7289665058528472,0.6279235793349066,0.459100797212753,0.6987453485828778,0.6031713996511412,0.6802721091370563,0.7389767151492582,0.6992613255316886,0.7150814744713653,0.7207013347661105,0.642616710454212,0.4111148486472851,0.7179691843390478,0.7145291960785036,0.6754943302113852,0.6881981431061986,0.7097880590445673,0.6578076283490466,0.6822654714768946,0.6554652482312746,0.6531672000316598,0.58778867215697,0.6637703774565871,0.602602165291271
"Clary sage (Russia) 2 - Salvia sclarea L., fam. Lamiaceae (Labiatae)",0.1436769182186708,0.7640524330311023,0.6770212985694106,0.8097701649852777,0.660806873900903,0.6293145316311433,0.7938114573426553,1.0,0.8574913063018482,0.6899958919277803,0.5539259549444793,0.6741058801939004,0.6142582161826123,0.4690514662479043,0.7052656924574551,0.5794002629500941,0.7712433182269095,0.5310064270386581,0.7779390202453622,0.5792981338963854,0.6565878093233868,0.6600016312576887,0.695292062703009,0.6774661438661169,0.5862510969067045,0.6943633251673726,0.7869081980616531,0.7531323766961913,0.7370473059968303,0.5346561631057335,0.6447695397551888,0.7344298534831182,0.7159637726909902,0.7147140631844335,0.518366634109012,0.7686808318918298,0.6391331808102696,0.42555458170657845,0.7116893553638776,0.5715725324912815,0.6655049674924216,0.7547767921798113,0.6767589030726106,0.7298039030286783,0.764269385773894,0.6252313671510898,0.4320685159714064,0.7245481544417854,0.7649511756646316,0.7353474172962573,0.6861936899692795,0.7724211619647163,0.6307314219691247,0.6564731312838665,0.7383282621835502,0.7162320205459046,0.5611754698554448,0.7129419277207422,0.564562086627087
"Clary sage (Uzbekistan) - Salvia sclarea L., fam. Lamiaceae (Labiatae)",0.1380311775043297,0.8022506239407978,0.671362240547948,0.789930818037254,0.7125917427216412,0.6850526290065306,0.7595346320146157,0.8574913063018482,1.0,0.7215467604631709,0.5808597387411742,0.681472339859815,0.6277174064922,0.47031411244466026,0.7172458712669624,0.5788011556549489,0.7643901853094657,0.5392364225355504,0.7458866451447532,0.6113441223665026,0.6692870897816863,0.6591346275247536,0.711626220431024,0.6879695408874209,0.6087732790290334,0.7087824951930295,0.7729991125312413,0.7337338252804813,0.721708429454494,0.5642276852997216,0.6461639355014377,0.7255346938326217,0.7242919008655269,0.7126137253432157,0.5144319275959912,0.753990080533461,0.6542206684242222,0.4287275890297615,0.7041610084095622,0.5754051226205268,0.6755688010179126,0.7587568469406417,0.70439912411838,0.7117226866623589,0.7387762893321543,0.6479116499073212,0.4136478076479335,0.7189027730945605,0.7440553038960829,0.7215961758205466,0.6792134216303909,0.7538629139011767,0.6318616994697539,0.6690076376540279,0.7161308895820018,0.703400627804114,0.5867328761303303,0.7011765059331325,0.5800140788021917
"Clary sage flower - Salvia sclarea L., fam. Lamiaceae (Labiatae)",0.19008105918601914,0.618047650817503,0.44893940413401334,0.5855268623510117,0.8093942257992272,0.8081950170786727,0.7075967606001435,0.6899958919277803,0.7215467604631709,1.0,0.6518767474232288,0.682203126165992,0.6574399423934514,0.6101418803057357,0.6821141948121522,0.6454648861121661,0.6218781540247187,0.6136199954460857,0.5885723917606839,0.7406625576685557,0.7478526327021665,0.6856645237699093,0.6830097489541122,0.7035260912216199,0.5088798452949703,0.60349202440819,0.6412478848378964,0.5775621357601624,0.5773169007526009,0.6259443152587887,0.751739320002125,0.5834928887726027,0.5935111075967814,0.6617706684654105,0.6397466682671011,0.5965451069812278,0.49779895312419,0.5506645467375496,0.6528673804623777,0.7178115370944262,0.7653836859688388,0.622652806564681,0.6660762282139608,0.6670862938931575,0.6099549446347792,0.5573508111810473,0.40067785423724944,0.6742621056314018,0.5762475483205292,0.5077858492538605,0.7077794840920693,0.5517569807758576,0.6844898756070512,0.6598932323875906,0.5158119021692635,0.4826933069110627,0.5276589083505868,0.519693571778379,0.6479750121520782
