,"Balsamite/Costmary (Iran) - Chrysanthemum balsamita L., fam. Asteraceae (Compositae)","Balsamite/Costmary (Lithuania) 1a - Chrysanthemum balsamita L., fam. Asteraceae (Compositae)","Balsamite/Costmary (Lithuania) 1b - Chrysanthemum balsamita L., fam. Asteraceae (Compositae)","Balsamite/Costmary (USA) - Chrysanthemum balsamita L., fam. Asteraceae (Compositae)","Balsamite/Costmary - Chrysanthemum balsamita L., fam. Asteraceae (Compositae)","Caraway seed (Egypt) - Carum carvi L., fam. Apiaceae (Umbelliferae)","Cornmint (Mentha arvensis) (Italy) 3 - Mentha arvensis (L.) var. piperascens Malinv., fam. Lamiaceae (Labiatae)","Dill seed (China) - Anethum graveolens L., fam. Apiaceae (Umbelliferae)","Dill seed 3 - Anethum graveolens L., fam. Apiaceae (Umbelliferae)","Gingergrass (India) 4 - Cymbopogon martini Stapf., var. sofia, fam. Poaceae (Gramineae)","Lippia alba (Cuba) 1c leaf - Lippia alba (Mill.) N.E. Brown, fam. Verbenaceae","Lippia alba (Peru) leaf - Lippia alba (Mill.) N.E. Brown, fam. Verbenaceae","Lippia carviodora (Kenya) - Lippia carviodora Meikle, fam. Verbenaceae","Mentha aquatica x viridis (Italy) - Mentha aquatica x viridis F. Schultz, fam. Lamiaceae (Labiatae)","Mentha longifolia (France) - Mentha longifolia (L.) Hudson, fam. Lamiaceae (Labiatae)","Mentha longifolia (Iran) 2 - Mentha longifolia (L.) Hudson, fam. Lamiaceae (Labiatae)","Mentha longifolia ssp. petiolata (Greece) 2 - Mentha longifolia (L.) ssp. petiolata (Chemotype II), fam. Lamiaceae","Mentha longifolia var. candicans (Italy) - Mentha longifolia (L.) var. candicans Crantz, fam. Lamiaceae (Labiatae)","Mentha longifolia var. crispa (Italy) - Mentha longifolia (L.) var. crispa Ten., fam. Lamiaceae (Labiatae)","Mentha spicata (Greece) Chemotype II - Mentha spicata L. (Chemotype II), fam. Lamiaceae (Labiatae)","Mentha x gentilis nm. hirtella - Mentha x gentilis (L.) nm hirtella Markl., fam Lamiaceae (Labiatae)",Mentha x villosa (Belgium) - Mentha x villosa H. nm. alopecuroides (M. x alopecuroides; M. x velutina),Mentha x villoso-nervata (Greece) 2 - Mentha x villoso-nervata Opiz (M.longifolia L. x M.spicata L.) (Chemot.II),"Nepeta cataria 3 (China) - Nepeta cataria L., fam. Lamiaceae (Labiatae)","Spearmint (China) - Mentha spicata L., fam. Lamiaceae (Labiatae)","Spearmint (Italy) - Mentha spicata L., fam. Lamiaceae (Labiatae)","Spearmint (Mexico) - Mentha spicata L., fam. Lamiaceae (Labiatae)","Spearmint, scotch (Italy) - Mentha gracilis Sole, fam. Lamiaceae (Labiatae)","Spearmint, scotch (USA) 1 - Mentha gracilis Sole, fam. Lamiaceae (Labiatae)","Spearmint, scotch (USA) 2 - Mentha gracilis Sole, fam. Lamiaceae (Labiatae)","Spearmint, scotch (USA) 3 - Mentha gracilis Sole, fam. Lamiaceae (Labiatae)","Tanacetum balsamita - Tanacetum balsamita L., fam. Asteraceae (Compositae)","Tanacetum parthenium (Belgium) - Tanacetum parthenium (L.) Schultz-Bip. (Feverfew), Asteraceae (Compositae)"
"Balsamite/Costmary (Iran) - Chrysanthemum balsamita L., fam. Asteraceae (Compositae)",1.0,0.6917619666286747,0.7371474014679902,0.8063494194092742,0.6806272168392068,0.7690673585582019,0.8096835826374146,0.6308766214818091,0.7333016243239195,0.1913635335672793,0.36081031760588367,0.8261830003821142,0.7101391637075167,0.8104344537975683,0.7419735596938011,0.7330996905566234,0.46316455953422764,0.7999120341833149,0.7740392913337346,0.4519302126320409,0.3691246524071119,0.8968364666898687,0.4400982232929467,0.6293631595767308,0.8158337482448703,0.4518470999954516,0.3943827905655033,0.7832716813901621,0.9000526609947962,0.8010063546914058,0.8364439240127444,0.6207551235741378,0.38717237289438666
"Balsamite/Costmary (Lithuania) 1a - Chrysanthemum balsamita L., fam. Asteraceae (Compositae)",0.6917619666286747,1.0,0.9159546210124985,0.8434356048593418,0.7052325808368145,0.5392995907850224,0.6034910703776398,0.45074194969818404,0.5455798568784178,0.2753813868983247,0.3887653839254446,0.6974750762785417,0.5717841816335072,0.7090180706502096,0.6841710998069455,0.5704191720524829,0.520449650784343,0.6506758928302072,0.7356509697395123,0.508374084086788,0.4330455591459875,0.6654384561146478,0.4930197802820617,0.5651561206222344,0.596629032352405,0.5012567282833184,0.420771629085394,0.6631965902620163,0.6785212863616432,0.5944516588027928,0.6064001142355877,0.8196503796271026,0.4287590347943936
"Balsamite/Costmary (Lithuania) 1b - Chrysanthemum balsamita L., fam. Asteraceae (Compositae)",0.7371474014679902,0.9159546210124985,1.0,0.8907760683643161,0.7457119365785094,0.578722377950116,0.6427245609590642,0.4784167408982999,0.5803342404547371,0.28158325715235366,0.40662759551154626,0.7495596351902727,0.6055795019461938,0.7486521403925945,0.7088258849441496,0.604329363967715,0.53670419981332,0.6985016104211843,0.7813212486477059,0.5249824398671497,0.4459817526018911,0.7125487322096444,0.5081983501656246,0.5944136885387747,0.6406832496599456,0.5204878813206707,0.4301082648492006,0.7038623212805397,0.7243496765123998,0.6312734704208378,0.6454060632004162,0.8215796221266434,0.448056291094569
"Balsamite/Costmary (USA) - Chrysanthemum balsamita L., fam. Asteraceae (Compositae)",0.8063494194092742,0.8434356048593418,0.8907760683643161,1.0,0.7862371007569194,0.6186126648523489,0.7077754758219257,0.5393708342144543,0.6379298713901276,0.2929090817179041,0.42874452116245665,0.8031303749226816,0.6666057077862684,0.7876930824754561,0.7655512581765674,0.6688441703950737,0.5580938053778496,0.7366704915091098,0.8274875629360894,0.5457985199164583,0.4673929356129518,0.7678319876068533,0.5292310693191409,0.6500493865309909,0.6800655897287982,0.5466334249579705,0.46665585806925924,0.7677056807956419,0.7881085336482494,0.6961636357726764,0.7087062571186193,0.7842988454423703,0.46513648273878017
"Balsamite/Costmary - Chrysanthemum balsamita L., fam. Asteraceae (Compositae)",0.6806272168392068,0.7052325808368145,0.7457119365785094,0.7862371007569194,1.0,0.48156485056601384,0.630787274747713,0.48684200841659575,0.5629337209973537,0.4022159538830796,0.5026874459587165,0.7368023175296765,0.6352923378020514,0.6814249102702833,0.7396276889820634,0.6300254626543523,0.6511803706830721,0.6322899520598702,0.7879647129471814,0.6377575531593156,0.5865495349077557,0.6479658113969761,0.6158060569274024,0.6927030740768629,0.5477351753487356,0.6746685407895633,0.5722644685765563,0.7428200061113027,0.6833326010618129,0.6196579893413126,0.6129012131934486,0.7669708549226442,0.5397599599507573
"Caraway seed (Egypt) - Carum carvi L., fam. Apiaceae (Umbelliferae)",0.7690673585582019,0.5392995907850225,0.5787223779501158,0.6186126648523489,0.4815648505660137,1.0,0.7249127125805414,0.5965192651885771,0.69040177996834,0.0,0.20619319168113293,0.6705640688552832,0.6000358305059077,0.6592916238420974,0.5380868289947196,0.623366747014005,0.26987846954028005,0.7350866344850562,0.5842088476498244,0.2628436305202495,0.1660099495057179,0.798490526304494,0.25276152314462363,0.47128170084420873,0.8941174978734471,0.2529981082513524,0.19507446370743886,0.611681766027996,0.7543969298230325,0.7153068681052591,0.7680010627138691,0.44379797811581345,0.2250731463505804
"Cornmint (Mentha arvensis) (Italy) 3 - Mentha arvensis (L.) var. piperascens Malinv., fam. Lamiaceae (Labiatae)",0.8096835826374146,0.6034910703776398,0.6427245609590642,0.7077754758219257,0.630787274747713,0.724912712580541,1.0,0.771870384760472,0.8012836064219608,0.16499293941989435,0.3544344759197937,0.7585538453726848,0.7808959902228996,0.6732972038909018,0.6727636593700212,0.8426590712075553,0.4267267857455005,0.7027691815869853,0.6651640056497466,0.41959066299313974,0.3628302082109528,0.8126216475475362,0.40813000108565023,0.6898131421528446,0.7480397927938336,0.45229634223541926,0.43459174542059553,0.7859570349726442,0.8437845033066766,0.8956957383132357,0.8940495348447888,0.5621089876791239,0.35848306424735643
"Dill seed (China) - Anethum graveolens L., fam. Apiaceae (Umbelliferae)",0.6308766214818091,0.45074194969818404,0.4784167408982999,0.5393708342144543,0.48684200841659575,0.5965192651885771,0.771870384760472,1.0,0.7428022585422399,0.0857108856928579,0.27885183107850764,0.5785440848085759,0.7257579606839841,0.48508249775372525,0.5448283175137152,0.7903825311823044,0.31252368220463,0.5325894633199345,0.49065504557454764,0.30581700885672647,0.2578507793503285,0.6233071493221884,0.2993865702280122,0.6311563955486672,0.5819826044228396,0.3590545355172241,0.3789976826350985,0.6526800171046558,0.6600871936808119,0.7954975146683206,0.7618578186219193,0.4188318861275011,0.25519826600020845
"Dill seed 3 - Anethum graveolens L., fam. Apiaceae (Umbelliferae)",0.7333016243239195,0.5455798568784178,0.5803342404547371,0.6379298713901276,0.5629337209973537,0.69040177996834,0.8012836064219608,0.7428022585422399,1.0,0.11840426442589314,0.3096705822003881,0.675707609577938,0.7252419917581212,0.6022778985810734,0.6084396957184105,0.764724868174874,0.43856984533000243,0.6463987546195772,0.5944158286534844,0.4372080409963124,0.29937627451113824,0.7637299086879769,0.4274178715954753,0.6246718772031539,0.6913604138224252,0.38849298611276983,0.3663446521076029,0.7055090545056671,0.7510189034156802,0.806390228045704,0.8061638794747954,0.4994396988625409,0.309012468021272
"Gingergrass (India) 4 - Cymbopogon martini Stapf., var. sofia, fam. Poaceae (Gramineae)",0.1913635335672793,0.2753813868983247,0.28158325715235366,0.2929090817179041,0.4022159538830796,0.0,0.16499293941989435,0.0857108856928579,0.11840426442589314,1.0,0.30014064086038783,0.24160022426802497,0.21258307611793026,0.24023265835134944,0.3502123520056962,0.19945421783289308,0.483638884152933,0.14888039066665015,0.34007889040875483,0.47216491103913893,0.464568090574638,0.1581460977099789,0.5105065531510762,0.3125658277933805,0.06422483216028274,0.46615486220377655,0.4535294178704834,0.3024507367571163,0.20751551771388843,0.1651419612284596,0.144992475336024,0.36049391920113794,0.3220705208214457
