,"Annona squamosa root - Annona squamosa L., fam. Annonaceae (sweetsop or custard apple)","Basil (Italy) 4a steamdistillate - Ocimum basilicum L., fam. Lamiaceae (Labiatae)","Cangerana (Brazil) - Cabralea cangerana Sald. (C. glaberrima A. Juss.), fam. Meliaceae",Clove bud 3 - Eugenia caryophyllus (Spreng.) Bullock & Harrison (E.caryophyllata Thunb.),"Copaiba balsam 1 - Copaifera reticulata Ducke, fam. Legumiosae (Papilionaceae)","Copaiba balsam 2 - Copaifera officinalis L., fam. Legumiosae (Papilionaceae)","Guarea cedrata bark - Guarea cedrata (A. Chev.) Pellegr., fam. Meliaceae","Helichrysum hypnoides (Madagascar) 3 - Helichrysum hypnoides (DC.) R.Vig. et Humbert, fam.Asteraceae (Compositae)",Hemizygia welwitschii - Hemizygia welwitschii (Rolfe) M.Ashby (Orthosiphon welwitschii),"Hyptis pectinata - Hyptis pectinata (L.) Poit., fam. Lamiaceae (Labiatae)","Magnolia grandiflora flower (India) - Magnolia grandiflora L., fam. Magnoliaceae","Marihuana (India) - Cannabis sativa L., fam. Cannabinaceae","Melissa romana - Melissa romana Mill., fam. Lamiaceae (Labiatae)","Micromeria myrtifolia (Turkey) - Micromeria myrtifolia Boiss. et Hohen, fam. Lamiaceae (Labiatae)","Ocimum gratissimum (Aruba) - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)","Orthodon dianthera (Vietnam) - Orthodon dianthera Maxim. (Mosla dianthera Maxim.), fam. Lamiaceae","Pepper, black (China) 2 root - Piper nigrum L., fam. Lamiaceae","Pepper, black (India) 7c cv. Kuthiravally - Piper nigrum L., cultivar Kuthiravally, fam. Piperaceae","Pepper, black (Malaysia) - Piper nigrum L., fam. Piperaceae","Pistacia lentiscus (Italy) 1a CO2-extract - Pistacia lentiscus L., fam. Anacardiaceae","Pistacia lentiscus (Italy) 3a CO2 extract leaf - Pistacia lentiscus L., fam. Anacardiaceae","Polygonum odoratum - Polygonum odoratum L., fam. Polygonaceae","Psidium cattleianum leaf - Psidium cattleianum Sabine, fam. Myrtaceae","Psidium friedrichsthalianum leaf - Psidium friedrichsthalianum (Berg) Niedenzu, fam. Myrtaceae","Pterodon polygalaeflorus - Pterodon polygalaeflorus Benth., fam. Leguminosae","Salvia canariensis (Spain) - Salvia canariensis L., fam. Lamiaceae (Labiatae)","Salvia nemorosa (Canada) - Salvia nemorosa L., fam. Lamiaceae (Labiatae)","Sindora glabra (China) - Sindora glabra Merr. ex De Wit, fam. Caesalpiniaceae","Spilanthes acmella - Spilanthes acmella Murr., fam. Asteraceae (Compositae)",Synedrella nodiflora leaf (Fiji) - Synedrella nodiflora (L.),"Vitex limonifolia leaf - Vitex limonifolia Wall., fam. Verbenaceae","Vitex trifolia var. bicolor (Fiji) - Vitex trifolia L. var. bicolor Moldenke (Willd.), fam. Verbenaceae","Vitex trifolia var. bicolor (Thailand) - Vitex trifolia L. var. bicolor Moldenke (Willd.), fam. Verbenaceae","Ylang Ylang (China) 1 - Cananga odorata (Lamk.) Hook. f. et Thomson forma genuina, fam. Annonaceae"
"Annona squamosa root - Annona squamosa L., fam. Annonaceae (sweetsop or custard apple)",1.0,0.578549201414367,0.6129136110048325,0.37465304771568886,0.5585908963770168,0.6539432614500599,0.6547433527124604,0.684874873658524,0.6402059410039656,0.36062231027229286,0.6782922667582185,0.678468531929602,0.3708922225477118,0.6898665424928601,0.5581305226709241,0.5767157629444608,0.6805626808710019,0.6992102837404433,0.6643516996692193,0.6229719242737157,0.6229748028181508,0.6515538271475465,0.6134153760971014,0.6412832782438651,0.5252393194876246,0.5216130193954864,0.6636927312875155,0.27887789604255964,0.5184062484138248,0.6270651345954217,0.6604444810072446,0.5461477082133561,0.548534093453855,0.5570824788570179
"Basil (Italy) 4a steamdistillate - Ocimum basilicum L., fam. Lamiaceae (Labiatae)",0.578549201414367,1.0,0.4765827766176116,0.44304242099508584,0.5467491901835906,0.5793347706536709,0.6174027270160516,0.518138576440996,0.5253985571698145,0.3095797385427861,0.5389613040514406,0.5862197395449635,0.2768107241743636,0.5996419003656839,0.5201805826810717,0.5433744473368601,0.6360195243777751,0.5224173012214784,0.5399399476388984,0.48853200230374483,0.4885341242159317,0.5404735329114299,0.6107741051938498,0.48622497491042926,0.4021336692141768,0.37355927300115266,0.5359414498524522,0.2037379511661508,0.4068754817393706,0.5621653780889997,0.5461438821814197,0.5623897489804534,0.563848777648448,0.4722369762775338
"Cangerana (Brazil) - Cabralea cangerana Sald. (C. glaberrima A. Juss.), fam. Meliaceae",0.6129136110048325,0.4765827766176117,1.0,0.18766308130708365,0.4637563515209516,0.5971158203035085,0.5870062343216271,0.6207237869420341,0.6208747680101917,0.46741777165117404,0.6780625524307559,0.5213796199123795,0.46111202903615,0.6890599247892146,0.5150001329691793,0.40280898880746907,0.5313789504478081,0.5990966687324204,0.6015421152180946,0.7755685194396418,0.7755733552123056,0.617902267108399,0.4288908679340756,0.557645342594576,0.5932489720792209,0.4941034221357433,0.6014139607426399,0.30590680558164396,0.5532389848463786,0.6068873970538067,0.5549316822554515,0.3828841258295079,0.3855864180212356,0.605108590358943
Clove bud 3 - Eugenia caryophyllus (Spreng.) Bullock & Harrison (E.caryophyllata Thunb.),0.37465304771568886,0.44304242099508584,0.18766308130708365,1.0,0.4684638709258835,0.38694291602214304,0.43717067135462906,0.26024679273368123,0.2726551925778492,0.15258519043066665,0.2758923334802218,0.47982758801882264,0.03585555162239962,0.40499334159196754,0.28566297660318074,0.5792484579999675,0.5455091792302473,0.29039566886219703,0.3335413111971274,0.22621085161123133,0.22579496322868942,0.29937197024476736,0.6714061910318471,0.2660322500059933,0.16903672520512825,0.1247330642191522,0.3130755034722563,0.0,0.14876536714159794,0.3831856519860234,0.3609359492812019,0.6270973870477063,0.6251222930537924,0.2247967268477279
"Copaiba balsam 1 - Copaifera reticulata Ducke, fam. Legumiosae (Papilionaceae)",0.5585908963770168,0.5467491901835906,0.4637563515209515,0.4684638709258835,1.0,0.6470082385920213,0.5831236648347186,0.4915136608081164,0.5385447777300449,0.32363995844203874,0.5415265251389854,0.5507396900766823,0.26486436022594373,0.5974233156566913,0.4825181482252018,0.4995534119378482,0.661295059154679,0.5233973095343103,0.5409837880990667,0.4714973384187544,0.4714993919373336,0.5277065078832576,0.6503275668690103,0.48929528535436106,0.3821872681481385,0.36374577056168955,0.534270754916525,0.4297108729587271,0.3877295120682539,0.585197838947042,0.5456842334652383,0.6032633791184989,0.604446993474157,0.43564000352233634
"Copaiba balsam 2 - Copaifera officinalis L., fam. Legumiosae (Papilionaceae)",0.6539432614500599,0.5793347706536709,0.5971158203035085,0.38694291602214304,0.6470082385920213,1.0,0.6514444651246746,0.6098609996001046,0.6555710282464431,0.35966608384482834,0.6378271468266703,0.6363424651598588,0.36066221070476834,0.6773547619204514,0.54154496164218,0.5574118661630878,0.6672509316824378,0.6054950962890318,0.6354272403022165,0.5920730595423287,0.5920757200468401,0.6269617538139536,0.5936483289476011,0.566469308211989,0.5061338459490295,0.4568358912573389,0.6084367006926875,0.2703180172415558,0.4931498495651584,0.630667052403718,0.5945360387804344,0.5394106951381685,0.5415870453206317,0.5415788009602166
"Guarea cedrata bark - Guarea cedrata (A. Chev.) Pellegr., fam. Meliaceae",0.6547433527124604,0.6174027270160516,0.5870062343216269,0.43717067135462906,0.5831236648347186,0.6514444651246746,1.0,0.5866415871306079,0.5976068341311574,0.35004957327581476,0.6185954378672307,0.6404951361753044,0.3684382020376562,0.6917853034520067,0.5322486626852599,0.5757169931258574,0.6841523020101277,0.5903790241870142,0.6159898228154144,0.5829381003843368,0.582940702615116,0.6121808802390669,0.6347629864345994,0.546499953859147,0.48733183643586786,0.5252903934588954,0.5977628509882311,0.2568170989656612,0.46924835506533213,0.6229058931121576,0.6038010996450367,0.5778265142371515,0.579776383389847,0.5340135884342198
"Helichrysum hypnoides (Madagascar) 3 - Helichrysum hypnoides (DC.) R.Vig. et Humbert, fam.Asteraceae (Compositae)",0.684874873658524,0.518138576440996,0.6207237869420341,0.26024679273368123,0.4915136608081164,0.6098609996001046,0.5866415871306079,1.0,0.6258649777439547,0.3370933617570452,0.642750358281264,0.590371231634536,0.38534239431174455,0.6573322940442456,0.57601914758062,0.47420185173978247,0.5918675019552171,0.6813893828134749,0.6535240084272416,0.6265044151116839,0.6265073208813687,0.6361976643624712,0.5114608570436344,0.5874368396997414,0.4977712850170902,0.5005014693560899,0.6279977125331087,0.2797875244563419,0.5171741074989495,0.5854637195084407,0.6223078726235973,0.46720923921716573,0.46982113964180383,0.5449580442366253
Hemizygia welwitschii - Hemizygia welwitschii (Rolfe) M.Ashby (Orthosiphon welwitschii),0.6402059410039656,0.5253985571698145,0.6208747680101917,0.2726551925778493,0.5385447777300449,0.6555710282464431,0.5976068341311574,0.6258649777439547,1.0,0.3560092877572335,0.6983791852672919,0.6055350365395442,0.38667337074795505,0.6457002920545354,0.5385993446033746,0.4662146559721354,0.6042926326795726,0.6389299537117892,0.6246724345241477,0.6147598704348849,0.6147408135623705,0.6359199485447534,0.5134119338068933,0.5789479282855137,0.49748368221537453,0.48441336134347335,0.66334340178489,0.2844979668000982,0.5151454214480311,0.6019126173344727,0.6092351388540003,0.49834512728158253,0.5012546539803039,0.546991376377597
"Hyptis pectinata - Hyptis pectinata (L.) Poit., fam. Lamiaceae (Labiatae)",0.36062231027229286,0.3095797385427861,0.46741777165117404,0.15258519043066665,0.32363995844203874,0.35966608384482834,0.35004957327581476,0.3370933617570452,0.3560092877572335,1.0,0.4186749018929057,0.3272623705151785,0.21506929014686227,0.46708114010800883,0.3498420992274651,0.26299974887287203,0.3689549095724409,0.3444026737077933,0.35162502464985346,0.5207429996663202,0.5207452641934727,0.35854595155648206,0.3198537117128123,0.4304662790623449,0.3048859149292741,0.2500704608403972,0.4213959928951172,0.10157953871968806,0.26957669923566374,0.46753748697790276,0.34574975707845423,0.2884688319403773,0.28999077415046604,0.294709801266522
