,"Rue (China) 1 - Ruta graveolens L., fam. Rutaceae","Rue (China) 2 - Ruta graveolens L., fam. Rutaceae","Rue (Cuba) - Ruta graveolens L., fam. Rutaceae","Rue (Egypt) - Ruta graveolens L., fam. Rutaceae","Rue (France) - Ruta graveolens L., fam. Rutaceae","Rue (Malaysia) 1 - Ruta graveolens L., fam. Rutaceae","Rue (Malaysia) 2 - Ruta angustifolia Pers., fam. Rutaceae","Rue (Russia) - Ruta graveolens L., fam. Rutaceae","Rue (Spain) - Ruta graveolens L., fam. Rutaceae","Ruta chalepensis (Iran) - Ruta chalepensis L., fam. Rutaceae","Ruta chalepensis (Turkey) - Ruta chalepensis L., fam. Rutaceae"
"Rue (China) 1 - Ruta graveolens L., fam. Rutaceae",1.0,0.9067411501724008,0.4315980985041612,0.654156347954644,0.2911997359065388,0.7463599653592227,0.8239104545698199,0.2867816422553888,0.02386100044454198,0.5431017118425433,0.41584941650061835
"Rue (China) 2 - Ruta graveolens L., fam. Rutaceae",0.9067411501724008,1.0,0.4698895876992598,0.7125505069831133,0.3240386222573275,0.7882178641200468,0.8705307445995581,0.3273914585636608,0.05043085283188797,0.6089322613015813,0.4571091087232738
"Rue (Cuba) - Ruta graveolens L., fam. Rutaceae",0.4315980985041612,0.4698895876992598,1.0,0.5520327271257508,0.655131783752473,0.5123463920606565,0.5572257063509307,0.4513255381724469,0.3086998969640278,0.5545805869340914,0.5835664200905011
"Rue (Egypt) - Ruta graveolens L., fam. Rutaceae",0.654156347954644,0.7125505069831133,0.5520327271257508,1.0,0.4863238927455332,0.6337395698384709,0.7113104592486363,0.5608693475383111,0.25318242713062433,0.7794339860665271,0.6671896734798541
"Rue (France) - Ruta graveolens L., fam. Rutaceae",0.2911997359065389,0.3240386222573275,0.655131783752473,0.4863238927455332,1.0,0.3150689021053321,0.3909003816111628,0.6532841309814489,0.611461126018477,0.5212875990472203,0.7241573733069759
"Rue (Malaysia) 1 - Ruta graveolens L., fam. Rutaceae",0.7463599653592227,0.7882178641200468,0.5123463920606565,0.6337395698384708,0.315068902105332,1.0,0.8230754414960029,0.25882016265761343,0.0,0.552925249370275,0.3981130011509403
"Rue (Malaysia) 2 - Ruta angustifolia Pers., fam. Rutaceae",0.8239104545698199,0.8705307445995581,0.5572257063509307,0.7113104592486361,0.3909003816111628,0.8230754414960029,1.0,0.3466360172670533,0.08916987408943211,0.6193808950828061,0.4872829588117713
"Rue (Russia) - Ruta graveolens L., fam. Rutaceae",0.2867816422553888,0.3273914585636607,0.4513255381724469,0.5608693475383111,0.6532841309814489,0.25882016265761343,0.3466360172670534,1.0,0.6521431636498611,0.5992189506696952,0.8345369795738666
"Rue (Spain) - Ruta graveolens L., fam. Rutaceae",0.02386100044454198,0.05043085283188797,0.30869989696402766,0.25318242713062433,0.611461126018477,0.0,0.08916987408943211,0.6521431636498611,1.0,0.30218513172152317,0.5703060813608114
"Ruta chalepensis (Iran) - Ruta chalepensis L., fam. Rutaceae",0.5431017118425433,0.6089322613015812,0.5545805869340914,0.7794339860665271,0.5212875990472203,0.5529252493702751,0.6193808950828061,0.5992189506696952,0.30218513172152317,1.0,0.698229127024417
"Ruta chalepensis (Turkey) - Ruta chalepensis L., fam. Rutaceae",0.41584941650061835,0.4571091087232737,0.5835664200905011,0.6671896734798541,0.7241573733069759,0.3981130011509403,0.4872829588117714,0.8345369795738671,0.5703060813608115,0.698229127024417,1.0
