,"Achillea tenuifolia (Iran) flower - Achillea tenuifolia Lam., fam. Asteraceae (Compositae)","Alpinia japonica - Alpinia japonica Miq., fam. Zingiberaceae","Amomum tsao-ko (China) 1 - Amomum tsao-ko Crevost et Lemarie, fam. Zingiberaceae","Armoise (Spain) ssp. valentina - Artemisia herba-alba Asso ssp. valentina (Lam.) Marcl., fam. Asteraceae","Artemisia molinieri - Artemisia molinieri Quezel, Barbero et R. Loisel, fam. Asteraceae (Compos)","Blackcurrant bud, absolute - Ribes nigrum L., fam. Grossulariaceae",Boldo leaf - Boldea fragrans Juss. (Peumus boldus Mol.),"Cachrys sicula (Spain) - Cachrys sicula L., fam. Apiaceae (Umbelliferae)","Cascarilla 1 - Croton eluteria Bennett, fam. Euphorbiaceae","Celery root - Apium graveolens L., fam. Apiaceae (Umbelliferae)","Chamomile, german (Germany) 2, Living Flower - Chamomilla recutita (L.) Rausch.(Matricaria chamomilla L.), fam.Asteraceae","Cinnamomum angustifolium leaf (Madagascar) - Cinnamomum angustifolium Rafin, fam. Lauraceae","Cinnamomum burmannii (China) 2c branch & leaf - Cinnamomum burmannii Blume (p-cymene type), fam. Lauraceae","Cinnamomum propinquum leaf (Australia) - Cinnamomum propinquum F.M. Bailey, fam. Lauraceae","Espeletia weddellii leaf - Espeletia weddellii Sch. Bip. ex Wedd., fam. Asteraceae (Compositae)","Eucalyptus camaldulensis (Burkina Faso) - Eucalyptus camaldulensis Dehn., fam. Myrtaceae","Eucalyptus camaldulensis (Ethiopia) - Eucalyptus camaldulensis Dehn., fam. Myrtaceae","Eucalyptus camaldulensis (Israel) - Eucalyptus camaldulensis Dehn., fam. Myrtaceae","Eupatorium arnottianum leaf - Eupatorium arnottianum Griseb., fam. Asteraceae (Compositae)","Eupatorium capillifolium (Cuba) - Eupatorium capillifolium (Lam.) Small, fam. Asteraceae (Compositae)","Eupatorium subhastatum leaf - Eupatorium subhastatum (DC.) Baker, fam. Asteraceae (Compositae)","Grapefruit leaf - Citrus paradisi Macfayden, fam. Rutaceae","Ledum palustre (China) - Ledum palustre L. var. angustum N. Busch, fam. Ericaceae","Licaria salicifolia - Licaria salicifolia (Sw.) Kosterm., fam. Lauraceae","Linden blossom flower - Tilia cordata Mill. (Tilia glabra Vent.), fam. Tiliaceae","Mandarin leaf (Petitgrain mandarin.) (Nigeria) - Citrus reticulata Blanco, cultivar Satsuma, fam. Rutaceae","Nigella sativa seed - Nigella sativa L., fam. Ranunculaceae","Ocimum gratissimum (Brazil) 1 - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)","Prangos uechtritzii (Turkey) fruit - Prangos uechtritzii Boiss. et Hausskn., fam. Apiaceae (Umbelliferae)","Rosemary 1b - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)","Semenovia tragioides (Iran) - Semenovia tragioides (Boiss.) Manden., fam. Apiaceae (Umbelliferae)","Thyme 2 - Thymus vulgaris L., fam. Lamiaceae (Labiatae)","Thymus villosus (Portugal) - Thymus villosus L., ssp. villosus, fam. Lamiaceae (Labiatae)","Turmeric (Bhutan) 1b leaf - Curcuma longa L. (C. domestica Val.), fam. Zingiberaceae","Turmeric (India) 6 - Curcuma longa L. (C. domestica Val.), fam. Zingiberaceae","Turmeric (Vietnam) 2 leaf - Curcuma longa L. (C. domestica Val.), fam. Zingiberaceae","Yarrow (Greece) - Achillea millefolium L., fam. Asteraceae (Compositae)"
"Achillea tenuifolia (Iran) flower - Achillea tenuifolia Lam., fam. Asteraceae (Compositae)",1.0,0.4944482439999962,0.6392697523160052,0.5799030002632576,0.0673250311778757,0.5397320273656203,0.48711628792537054,0.5288992196608124,0.6737005868568566,0.514477647474415,0.5109965845718596,0.5161919973514518,0.46862735125344224,0.5832715507440167,0.5328794151870231,0.4754854601525599,0.48544212509429996,0.5222945003567585,0.5136450705289655,0.5310970790241047,0.6066703845499777,0.5036314135149842,0.41676222077994385,0.5939852812715838,0.6176146642629581,0.5439701756282939,0.4260752312400399,0.44922655789172783,0.6363815208854128,0.561065727827586,0.5738394667771727,0.5776583534410309,0.5477410175280223,0.5254463828374158,0.5289903254034616,0.48592016892982715,0.2677877445157475
"Alpinia japonica - Alpinia japonica Miq., fam. Zingiberaceae",0.4944482439999962,1.0,0.6499089918845672,0.5682732578243015,0.0339791864527762,0.4830818707843506,0.6603498526738576,0.48477819377939635,0.6031005453770237,0.4953010202340642,0.5861401376153399,0.5559450286784976,0.7713866486208865,0.5936843217938652,0.5037775480832756,0.5296105009892311,0.43226893306855396,0.5485182619499138,0.525768629496661,0.5279011578227992,0.598289704332105,0.5396429008869688,0.3595021445371276,0.4957902087461512,0.5459510954003624,0.4997179881751471,0.4591330509397973,0.4795065663708663,0.526260826215877,0.5843036047044068,0.5354392060542519,0.5556651038572232,0.5242329556214227,0.6074801844872233,0.7566133457756162,0.5704765791107653,0.2329129316432771
"Amomum tsao-ko (China) 1 - Amomum tsao-ko Crevost et Lemarie, fam. Zingiberaceae",0.6392697523160052,0.6499089918845672,1.0,0.6476707326500669,0.09976991443711336,0.6049458731131869,0.6005528653757747,0.5479256802996388,0.7741924567288934,0.585106908188518,0.6025704637341793,0.6048191023049752,0.5990389286848408,0.6620103260740358,0.5728271187165659,0.5445067413597477,0.5422705485907477,0.5990759384594209,0.5486209746104851,0.5919206496349603,0.6597747815787723,0.5924315095914243,0.4642491786916414,0.6606436207132721,0.6945680553086602,0.6055502224567286,0.47205749674046826,0.5123445247395844,0.7008016092753916,0.6478857581664109,0.6393699987754418,0.641482052752691,0.549135337990927,0.6414057099252416,0.6779857395165143,0.5944752982677362,0.3015597885954845
"Armoise (Spain) ssp. valentina - Artemisia herba-alba Asso ssp. valentina (Lam.) Marcl., fam. Asteraceae",0.5799030002632576,0.5682732578243015,0.6476707326500669,1.0,0.06940790859872037,0.5395747742311593,0.5470209134586371,0.5438969632742802,0.6693867495748972,0.5283596600966752,0.5463975736708722,0.5394926712363877,0.5455257614670941,0.5913559681642859,0.5028533235253106,0.4947741164520406,0.477909931322844,0.553674209003133,0.49119408177806734,0.5294105691899561,0.5772095815966103,0.527206009352377,0.4143034707752423,0.574215341706306,0.6283985236569305,0.5737035806389702,0.4308739386342151,0.4828543224479819,0.6124580709652131,0.608737293124374,0.5872046583270272,0.5847189925633831,0.5280852898380282,0.5603427692860447,0.6034683889787633,0.5190893110743131,0.26509340003323023
"Artemisia molinieri - Artemisia molinieri Quezel, Barbero et R. Loisel, fam. Asteraceae (Compos)",0.0673250311778757,0.0339791864527762,0.09976991443711336,0.06940790859872037,1.0,0.07367414205464629,0.26574369605131987,0.04283196430262093,0.1210361981956165,0.05376042156314309,0.05680055477732093,0.04851136871460637,0.016281597980685514,0.08589286670974527,0.04376636646721388,0.0,0.034764360479567546,0.06447079030993075,0.03719090762826882,0.06184492697515065,0.08253864209242834,0.051213351967347887,0.00030449714511782133,0.08886177433857512,0.10388634320083412,0.06008492025570611,0.005059832505262651,0.03186913472857067,0.09658181977503444,0.0832374588530328,0.0857462004307864,0.08865651347786674,0.04662790859408483,0.051734240984405266,0.06790310572949632,0.028648824317641708,0.7163434612474269
"Blackcurrant bud, absolute - Ribes nigrum L., fam. Grossulariaceae",0.5397320273656203,0.4830818707843506,0.6049458731131869,0.5395747742311593,0.07367414205464629,1.0,0.4837594957739392,0.5831081893487927,0.6667182673682016,0.5813642449139512,0.5322245015263714,0.5465182183691066,0.45317074302416793,0.5779800749053223,0.5359837353908923,0.416438886591908,0.5003509608586386,0.5330915704012371,0.5317203329801401,0.5377552106918333,0.5873282610347504,0.5504250649642874,0.41445247245373285,0.6098777769043517,0.6153396269584805,0.544370419234691,0.42890082958906395,0.48662411468978783,0.6735245514834993,0.5970949823607296,0.6262283197436245,0.5908091488737437,0.5049165099182036,0.5639132754435242,0.5305752861118852,0.49178312156695714,0.23949953203636098
Boldo leaf - Boldea fragrans Juss. (Peumus boldus Mol.),0.48711628792537054,0.6603498526738576,0.6005528653757747,0.5470209134586371,0.26574369605131987,0.4837594957739392,1.0,0.508246160884379,0.6192687138704708,0.46385654073541027,0.5690114429809373,0.5436639796916325,0.6786586768098426,0.6121946867794696,0.5010390914368046,0.47052454839710156,0.4504408524007819,0.5736302829980038,0.5505452032691627,0.5401482911601783,0.6090246114302493,0.5752834816773055,0.3670198824495833,0.4994111819843948,0.5591314696861509,0.5361816569933979,0.48991013785155657,0.5199041565195903,0.5278219014413663,0.6036642982606575,0.5682437566696079,0.5688839221767852,0.586861119939895,0.5436138015038121,0.7013225058141843,0.5026445870643312,0.43328128199305804
"Cachrys sicula (Spain) - Cachrys sicula L., fam. Apiaceae (Umbelliferae)",0.5288992196608124,0.48477819377939635,0.5479256802996388,0.5438969632742802,0.04283196430262093,0.5831081893487927,0.508246160884379,1.0,0.6437527711796209,0.5581061666390988,0.5039980747656225,0.5056062950658875,0.4924989613213432,0.589344138193802,0.5577008396917679,0.4703462825680218,0.45304519803664,0.5341691949407803,0.5857206483050796,0.5273895849155783,0.6296295032501076,0.5311762926716083,0.39099438707510537,0.5283762193856608,0.6018392939085033,0.6444375520542742,0.487582477404376,0.5157172608468368,0.6684053668188066,0.612033958630653,0.654524797208669,0.5681892708129115,0.5616757215409635,0.4809805300941494,0.5219849834102335,0.44561078008632715,0.19201173553437056
"Cascarilla 1 - Croton eluteria Bennett, fam. Euphorbiaceae",0.6737005868568566,0.6031005453770237,0.7741924567288934,0.6693867495748972,0.1210361981956165,0.6667182673682016,0.6192687138704708,0.6437527711796209,1.0,0.6302535444750483,0.6437320399708772,0.6377173767974217,0.5791409225099097,0.7424956575164451,0.6489458324717343,0.523733461035303,0.5842409844565958,0.6686242740378345,0.6310361320628317,0.665639045165,0.7579198002242538,0.6675540906620432,0.5053851488176881,0.7241620287943134,0.7746925933129869,0.6684664345493069,0.5440148952793262,0.5964470025359561,0.7617020467582375,0.7607494689678239,0.7242688711373324,0.7400981215225112,0.6450223533943236,0.6302697125067279,0.6815665344784584,0.5779699081631565,0.30134903459508944
"Celery root - Apium graveolens L., fam. Apiaceae (Umbelliferae)",0.514477647474415,0.4953010202340642,0.585106908188518,0.5283596600966752,0.05376042156314309,0.5813642449139512,0.46385654073541027,0.5581061666390988,0.6302535444750483,1.0,0.49059752734620166,0.4872888190832745,0.4196783580505835,0.5573308629895444,0.4960672003292924,0.4240156884549593,0.4535661133017088,0.5136770289983046,0.4940129241827893,0.5293813120058621,0.570907792682712,0.5413023738648548,0.403657500000399,0.5506378867837595,0.6000637675446173,0.6140648345077927,0.41825503167981515,0.45380760358745853,0.635359848651855,0.5995698493739969,0.6494369551579127,0.5825903760855684,0.49098616762019787,0.5334226102652746,0.5183646799351043,0.4772342633235839,0.2157875785977178
"Chamomile, german (Germany) 2, Living Flower - Chamomilla recutita (L.) Rausch.(Matricaria chamomilla L.), fam.Asteraceae",0.5109965845718596,0.5861401376153399,0.6025704637341793,0.5463975736708722,0.05680055477732093,0.5322245015263714,0.5690114429809373,0.5039980747656225,0.6437320399708772,0.49059752734620166,1.0,0.5384557606860163,0.5584879085284589,0.6101952951834775,0.5104428608358211,0.4396194258641405,0.47037697548150403,0.5625107771288524,0.5553754232705311,0.5526866325032671,0.6060870552837843,0.522718585653267,0.39501428534326055,0.5567419440252327,0.5828141752364151,0.5108755548637935,0.4721646204093135,0.5549598875190879,0.565019843620552,0.5910520632044858,0.5831718422507179,0.5846976328915843,0.5500520922065306,0.5288276328571164,0.6269713402621793,0.4871596408835891,0.22817458986489236
"Cinnamomum angustifolium leaf (Madagascar) - Cinnamomum angustifolium Rafin, fam. Lauraceae",0.5161919973514518,0.5559450286784976,0.6048191023049752,0.5394926712363877,0.04851136871460637,0.5465182183691066,0.5436639796916325,0.5056062950658875,0.6377173767974217,0.4872888190832745,0.5384557606860163,1.0,0.5486873476637604,0.5809274486204344,0.7119214381578733,0.7251511334364793,0.515213493217512,0.5426424881080827,0.5288007036446842,0.6109939673719831,0.5787010531052715,0.5207922720444732,0.38427552623062977,0.6959798457504027,0.571214060164392,0.518000132380021,0.436073398236276,0.4759565187341923,0.6409683763041731,0.5789746294535532,0.5542341565499342,0.5703804909702659,0.5113762116525595,0.7561858756551992,0.5926332589749232,0.7945397598822492,0.2261332188841797
"Cinnamomum burmannii (China) 2c branch & leaf - Cinnamomum burmannii Blume (p-cymene type), fam. Lauraceae",0.46862735125344224,0.7713866486208865,0.5990389286848408,0.5455257614670941,0.016281597980685514,0.45317074302416793,0.6786586768098426,0.4924989613213432,0.5791409225099097,0.4196783580505835,0.5584879085284589,0.5486873476637604,1.0,0.5687784177784403,0.4866362287397328,0.526793469225816,0.4041755308173909,0.5287834542055617,0.5203991000325336,0.4909548760687823,0.5638410041122104,0.47915940475549246,0.3451014479604546,0.4593955584664354,0.5064644022867562,0.4668918247576396,0.44730261234682944,0.46996106117272674,0.49022442772411623,0.5372335360856229,0.5109621987582247,0.510067223818784,0.5202452495715805,0.5641427483218049,0.7715788379919404,0.5349433699599356,0.2138163009609596
"Cinnamomum propinquum leaf (Australia) - Cinnamomum propinquum F.M. Bailey, fam. Lauraceae",0.5832715507440167,0.5936843217938652,0.6620103260740358,0.5913559681642859,0.08589286670974527,0.5779800749053223,0.6121946867794696,0.589344138193802,0.7424956575164451,0.5573308629895444,0.6101952951834775,0.5809274486204344,0.5687784177784403,1.0,0.6041334877954055,0.4736426621729031,0.536322142577486,0.6832621300298056,0.6370030654403043,0.6378546253154245,0.7324293598571079,0.6030628688668478,0.45760196638489836,0.6211114557304114,0.6603541108356629,0.5900267507131796,0.5538727603623905,0.5853122320809274,0.6570951985601845,0.6673325835417425,0.6704469096352842,0.6679526531736983,0.646198235145558,0.56701616529533,0.6593860428611584,0.5201597224980781,0.24965805130361174
