,"Annual wormwood (China) 1 - Artemisia annua L., fam. Asteraceae (Compositae)","Annual wormwood (China) 2a - Artemisia annua L., fam. Asteraceae (Compositae)","Annual wormwood (China) 2b - Artemisia annua L., fam. Asteraceae (Compositae)","Annual wormwood (France) - Artemisia annua L., fam. Asteraceae (Compositae)","Annual wormwood (Hungary) - Artemisia annua L., fam. Asteraceae (Compositae)","Annual wormwood (India) 2 - Artemisia annua L., fam. Asteraceae (Compositae)","Annual wormwood (USA, Oregon) - Artemisia annua L., fam. Asteraceae (Compositae)","Annual wormwood (Yugoslavia) - Artemisia annua L., fam. Asteraceae (Compositae)","Annual wormwood 1 - Artemisia annua L., fam. Asteraceae (Compositae)","Annual wormwood, flower (U.S.A., Indiana) - Artemisia annua L., fam. Asteraceae (Compositae)","Annual wormwood, leaf (U.S.A., Indiana) 1 - Artemisia annua L., fam. Asteraceae (Compositae)","Annual wormwood, leaf (U.S.A., Indiana) 2 - Artemisia annua L., fam. Asteraceae (Compositae)","Artemisia gmelini (Himalaya) - Artemisia gmelinii Web. ex Stechm., fam. Asteracae (Compositae)","Artemisia indica (China) - Artemisia indica Willd., fam. Asteraceae (Compositae)","Santolina chamaecyparisus (Egypt) - Santolina chamaecyparisus L., fam. Asteraceae (Compositae)","Santolina chamaecyparisus (France) 1 - Santolina chamaecyparisus L., fam. Asteraceae (Compositae)","Santolina chamaecyparisus (France) 2 - Santolina chamaecyparisus L., fam. Asteraceae (Compositae)","Santolina chamaecyparisus (France) 3 - Santolina chamaecyparisus L., fam. Asteraceae (Compositae)","Tansy (Netherlands) 2a leaf - Tanacetum vulgare L. artemisia chemotype, fam. Asteraceae (Compositae)","Tansy (Netherlands) 2b flower - Tanacetum vulgare L. artemisia chemotype, fam. Asteraceae (Compositae)","Wormwood Roman, headspace - Artemisia pontica L., fam. Asteraceae (Compositae)"
"Annual wormwood (China) 1 - Artemisia annua L., fam. Asteraceae (Compositae)",1.0,0.848302190548564,0.7716240587102894,0.7477447351126991,0.6663543991866273,0.7811053982992301,0.41621532265487426,0.6883700409106184,0.8127390962487382,0.789832531388566,0.4651415455595136,0.40905236966713476,0.4729266031322237,0.5812851625761805,0.6612932827651541,0.5188246010539105,0.6548303234240805,0.48454229423026896,0.8126777704789224,0.5491121065851541,0.5777584853254578
"Annual wormwood (China) 2a - Artemisia annua L., fam. Asteraceae (Compositae)",0.848302190548564,1.0,0.7848083934289308,0.7233609914061364,0.7453163618547296,0.7570045455042519,0.397191097346135,0.660458357095158,0.7824170189320928,0.7694004782694882,0.42982156910708336,0.40099914920308843,0.44225370406507947,0.5442932659897153,0.6528356740136363,0.5093614708040843,0.6614019239847218,0.47085855544697,0.7799238663478556,0.5407099189301852,0.5344583836210421
"Annual wormwood (China) 2b - Artemisia annua L., fam. Asteraceae (Compositae)",0.7716240587102894,0.7848083934289308,1.0,0.7852687696735575,0.6588245251447812,0.8186488640249944,0.4915469484146323,0.7876854134389469,0.722076380047882,0.7955413811070916,0.5355950969345598,0.5630314804302364,0.6038663789224997,0.6849566778515672,0.790255839527122,0.6506420503561902,0.7460052973472525,0.6061147795934967,0.6440727598295215,0.3594041289450324,0.6050717056733043
"Annual wormwood (France) - Artemisia annua L., fam. Asteraceae (Compositae)",0.7477447351126991,0.7233609914061364,0.7852687696735575,1.0,0.5810304628408123,0.8718246626653456,0.6268691412154616,0.8345795751964644,0.7758856251216681,0.8289882122654302,0.653978520890678,0.5684763578193952,0.6434489845278151,0.741735202961648,0.7396528309643398,0.6214432563931932,0.7301158453866783,0.5749399191716795,0.6372251048493631,0.3565612221233816,0.7096374046454039
"Annual wormwood (Hungary) - Artemisia annua L., fam. Asteraceae (Compositae)",0.6663543991866273,0.7453163618547296,0.6588245251447812,0.5810304628408123,1.0,0.6440694547643832,0.35643486921232825,0.5604967997558377,0.6518125988595016,0.6302082147462073,0.370389633958788,0.32027022358306345,0.36864048394318605,0.4573857650969131,0.5285788889908565,0.41387060015921484,0.5323190715452211,0.3883440650249095,0.6480684410748091,0.4624461049927704,0.4549663508665176
"Annual wormwood (India) 2 - Artemisia annua L., fam. Asteraceae (Compositae)",0.7811053982992301,0.7570045455042519,0.8186488640249944,0.8718246626653456,0.6440694547643832,1.0,0.5783451610860131,0.8404971565951027,0.8114370219023398,0.8669135917595365,0.6042636660673404,0.5589148338751946,0.6091645220177155,0.7176948750736634,0.7591197111792372,0.599920113126551,0.7026346822475196,0.5618815750456971,0.6610426000516196,0.3874519029739919,0.677793786247652
"Annual wormwood (USA, Oregon) - Artemisia annua L., fam. Asteraceae (Compositae)",0.41621532265487426,0.397191097346135,0.4915469484146323,0.6268691412154616,0.35643486921232825,0.5783451610860131,1.0,0.6280165006555685,0.4742040875844955,0.5131191793177499,0.7881623170516181,0.5098228439058414,0.6408480248207611,0.6809289882269165,0.4746328216511946,0.5100364044917844,0.515042031697707,0.46586973123281283,0.31148006449149934,0.056737706955080625,0.6748405975793087
"Annual wormwood (Yugoslavia) - Artemisia annua L., fam. Asteraceae (Compositae)",0.6883700409106184,0.660458357095158,0.7876854134389469,0.8345795751964644,0.5604967997558377,0.8404971565951027,0.6280165006555685,1.0,0.7094354802460172,0.7826587866775225,0.6598567084597615,0.636828359811975,0.6954095514676795,0.7884984842702346,0.7746437390319125,0.6544055400416755,0.7083283475399096,0.6102960977956892,0.5588345585869994,0.2760918490176689,0.6962546450455285
"Annual wormwood 1 - Artemisia annua L., fam. Asteraceae (Compositae)",0.8127390962487382,0.7824170189320928,0.722076380047882,0.7758856251216681,0.6518125988595016,0.8114370219023398,0.4742040875844955,0.7094354802460172,1.0,0.7816953588378337,0.4755632039585367,0.4133591303241192,0.4579792070315366,0.5723369497578232,0.6475415724232492,0.47847585161258743,0.6143775389360495,0.4465196812066581,0.743339201957086,0.5229329504986031,0.5840670442749731
"Annual wormwood, flower (U.S.A., Indiana) - Artemisia annua L., fam. Asteraceae (Compositae)",0.789832531388566,0.7694004782694882,0.7955413811070916,0.8289882122654302,0.6302082147462073,0.8669135917595365,0.5131191793177499,0.7826587866775225,0.7816953588378337,1.0,0.5761691741940453,0.5592146042211414,0.5748527834730901,0.6744189818388331,0.7692882357842925,0.563552789249292,0.6786637211857025,0.5289429403637624,0.6764510687851415,0.41987488253843486,0.6413307105908391
