,"Aristolochia gibertii leaf - Aristolochia gibertii Hook., fam. Aristolochiaceae","Aristolochia gigantea - Aristolochia gigantea M.E. Zucc., fam. Aristolochiaceae","Aristolochia odoratissima - Aristolochia odoratissima L., fam. Aristolochaceae","Artemisia marschaliana (Iran) - Artemisia marschaliana Sprengel, fam. Asteraceae (Compositae)","Baccharis crispa - Baccharis crispa Spreng., fam. Asteraceae (Compositae)","Bidens pilosa (Cameroon) - Bidens pilosa L., fam. Asteraceae (Compositae)","Cabore (Brazil) - Micrastur ruficolis, fam. Leguminosae (so-called: officially unknown)","Carapa guianensis - Carapa guianensis Aubl., fam. Meliaceae","Caraway herb (Mongolia) - Carum carvi L., fam. Apiaceae (Umbelliferae)","Croton jimenezii (Costa Rica) - Croton jimenezii Standl. et Valerio, fam. Euphorbiaceae","Daniellia oliveri - Daniellia oliveri (Rolfe) Hutch & Dalz., fam. Caesalpiniaceae",Dysoxylum richii leaf (Fiji) - Dysoxylum richii (A. Gray) C.D.C.,"Eugenia burkartiana leaf (Brazil) - Eugenia burkartiana D. Legrand, fam. Myrtaceae","Eupatorium cannabinum - Eupatorium cannabinum L. ssp. cannabinum, fam. Astercaceae (Compositae)","Germander, common (Serbia/Montenegro) - Teucrium chamaedrys L., fam. Lamiaceae (Labiatae)","Hedyosmum costaricensis (Costa Rica) - Hedyosmum costaricensis C.E. Wood, fam. Chloranthaceae","Hoslundia opposita - Hoslundia opposita Vahl., fam. Lamiaceae (Labiatae)","Hyptis lanceolata - Hyptis lanciolata Poit., fam. Lamiaceae (Labiatae)","Hyssop (Finland) 2 - Hyssopus officinalis L., fam. Lamiaceae (Labiatae)","Lantana camara (India) 1a leaf - Lantana camara L., fam. Verbenaceae","Lantana camara (India) 1b flower - Lantana camara L., fam. Verbenaceae","Lippia lupulina flower (Brazil) - Lippia lupulina Cham., fam. Verbenaceae","Marsypianthes chamaedrys (Brazil) - Marsypianthes chamaedrys (Vahl) Kuntze, fam. Lamiaceae (Labiatae)","Mentha longifolia (Iran) 1 - Mentha longifolia (L.) Hudson, fam. Lamiaceae (Labiatae)","Mikania cordata leaf - Mikania cordata (Burm.f.) B.L. Robinson var. cordata, fam. Asteraceae","Origanum laevigatum (Turkey) - Origanum laevigatum Boiss., fam. Lamiaceae (Labiatae)","Pentaceras australe leaf - Pentaceras australe (F. Muell.) Benth., fam. Rutaceae","Pinus canariensis (Spain-Tenerife) - Pinus canariensis Sweet ex Sprengel, fam. Pinaceae","Pinus pinaster (Greece) needle - Pinus pinaster Ait., fam. Pinaceae","Prangos uloptera (Iran) aerial parts - Prangos uloptera DC., fam. Apiaceae (Umbelliferae)","Sage, ssp. altissima (Cuba) - Salvia officinalis L. ssp. altissima, fam. Lamiaceae (Labiatae)","Salvia syriaca (Turkey) - Salvia syriaca L., fam. Lamiaceae (Labiatea)","Salvia verticillata (Canada) - Salvia verticillata L., fam. Lamiaceae (Labiatae)","Schinus molle leaf (Uruguay) - Schinus molle L., fam. Anacardiaceae","Sideritis condensata - Sideritis condensata Boiss. et Heldr., fam. Lamiaceae (Labiatae)","Solidago gigantea - Solidago gigantea Ait., fam. Asteraceae (Compositae)","Teucrium abutiloides (Madeira) - Teucrium abutiloides L'Her., fam. Lamiaceae (Labiatae)","Teucrium arduini (Serbia/Montenegro) - Teucrium arduini L., fam. Lamiaceae (Labiatae)","Teucrium flavum (Greece) 1a flower - Teucrium flavum L. ssp. hellenicum Rech. fil., fam. Lamiaceae (Labiatae)","Teucrium flavum (Greece) 1b leaf - Teucrium flavum L. ssp. hellenicum Rech. fil., fam. Lamiaceae (Labiatae)","Teucrium fruticans (Italy) 1a flowering phase - Teucrium fruticans L., fam. Lamiaceae (Labiatae)","Teucrium fruticans (Italy) 1b fruiting phase - Teucrium fruticans L., fam. Lamiaceae (LAbiatae)","Teucrium montanum (Serbia/Montenegro) - Teucrium montanum L., fam. Lamiaceae (Labiatae)","Teucrium salviastrum (Portugal) - Teucrium salviastrum Schreber, fam. Lamiaceae (Lagiatae)","Thymus x oblongifolius (Lithuania) - Thymus x oblongifolius Opiz, fam. Lamiaceae (Labiatae)","Yarrow (Canada) 2 - Achillea millefolium L., fam. Asteraceae (Compositae)","Ylang Ylang (Colombia) - Cananga odorata (Lamk.) Hook. f. et Thomson forma genuina, fam. Annonaceae","Ylang Ylang 5a - Cananga odorata (Lamk.) Hook. f. et Thomson forma genuina, fam. Annonaceae","Ylang Ylang 5b - Cananga odorata (Lamk.) Hook. f. et Thomson forma genuina, fam. Annonacaea","Ylang Ylang 5c - Cananga odorata (Lamk.) Hook. f. et Thomson forma genuina, fam. Annonaceae","Ylang Ylang 5d - Cananga odorata (Lamk.) Hook. f. et Thomson forma genuina, fam. Annonaceae","Zanthoxylum hyemale - Zanthoxylum hyemale A. St. Hil. (Fagara hyemalis Engl.), fam. Rutaceae","Zanthoxylum naranjillo - Zanthoxylum naranjillo Griseb (Fagara naranjillo Engl.), fam. Rutaceae"
"Aristolochia gibertii leaf - Aristolochia gibertii Hook., fam. Aristolochiaceae",1.0,0.19405083708651782,0.26378853513601896,0.3320162633272864,0.188506710555976,0.20441477406654163,0.21388213326067007,0.4153233800021535,0.28640591265669013,0.24560405749102143,0.1730958596283676,0.17732989312240155,0.48626445645659067,0.18600011509944236,0.1783079064897638,0.2228428840397082,0.29637069119595905,0.28666319543133345,0.2004773389655824,0.24186804751225255,0.2507446635758639,0.4764951231003739,0.21760937828465554,0.13174285710983735,0.24157688830875423,0.6110777849500459,0.2561661310977207,0.07453989503075797,0.186773482005684,0.2643160950393941,0.0,0.32140405406098194,0.2576429607735634,0.520980797796631,0.2900895693485195,0.21414856657194015,0.19006365811838644,0.23827050801414618,0.1923542120575763,0.23050921831865356,0.1657086769077296,0.16932608834114693,0.28894597094656116,0.13132001432431617,0.21707945166642073,0.15011267676683449,0.1991531413646952,0.21706090468871764,0.21904298594366722,0.19886182155407672,0.15536210803692474,0.5639035922766142,0.4521166185316319
"Aristolochia gigantea - Aristolochia gigantea M.E. Zucc., fam. Aristolochiaceae",0.19405083708651782,1.0,0.5882839924168116,0.38259288463051033,0.5499912239960221,0.5094311097722359,0.5975762444778461,0.5517849702443978,0.6269358467617517,0.5369229701020265,0.48980307527733213,0.47565199789265944,0.546165437839047,0.542368050399278,0.5849192018408023,0.5992703257416948,0.640859502786884,0.6100007680416257,0.3330498601793216,0.7432000767977387,0.6238174111520449,0.5605254374901879,0.6082240190224972,0.3892658420172752,0.6560157176143302,0.30877229462585143,0.4697036731232581,0.4119798749893112,0.5306870362917837,0.6199536884791352,0.38820888806000253,0.5208707740824556,0.6185983937099708,0.3095470869616369,0.6129830759744799,0.48875508111450583,0.45244072371132615,0.6040598888986441,0.5865433527779946,0.5035368182669765,0.47009974114023156,0.5926785857082209,0.5582296254784995,0.4338816322450758,0.539025240935551,0.4465972766280655,0.4918930093503422,0.5284122748442817,0.5829291223628081,0.6032416556013431,0.5329439739513866,0.4654165312606515,0.4539647534910357
"Aristolochia odoratissima - Aristolochia odoratissima L., fam. Aristolochaceae",0.26378853513601885,0.5882839924168116,1.0,0.45028445048964805,0.4803814222296977,0.5139907106843571,0.5285455727344119,0.5618342699538843,0.7100696978911012,0.6253959478442559,0.545128344692843,0.5549564386376986,0.6130918055151807,0.5447596155711474,0.5521705548615492,0.609970037981809,0.6435719852620498,0.6546056644226628,0.3959432589063687,0.6455365438228874,0.5747391601431617,0.6084793030505324,0.5513917864417406,0.3919307357353451,0.6740653291171614,0.33165417231154726,0.5285622175502618,0.4457364442077322,0.5759423526074836,0.6355374892971,0.35104745099240875,0.5577377064398387,0.5606409981218721,0.36903586135045274,0.6743325172944519,0.551795525545534,0.5372741666714764,0.5792576288513347,0.5540516204183028,0.5226014265267591,0.5126932301519888,0.5795238301580887,0.6893213771201138,0.4284274574837964,0.5791324599915411,0.49057206649503904,0.5518256447047485,0.5736989626677329,0.6058748417297988,0.5924867221230139,0.5126784994338587,0.518953969607417,0.49399805771813554
"Artemisia marschaliana (Iran) - Artemisia marschaliana Sprengel, fam. Asteraceae (Compositae)",0.3320162633272864,0.38259288463051033,0.45028445048964805,1.0,0.32620949586051706,0.45650814860910016,0.33147851264010986,0.428844402443853,0.48077635357573056,0.40859084778439825,0.3219257959421179,0.3316255374097511,0.46410835258838823,0.43174591812086505,0.4191756696515181,0.47193376543304455,0.4244710564533347,0.49311185465815754,0.303872803185281,0.4620758225851539,0.36124294444721494,0.4820998383617823,0.45228877048986915,0.260164550421241,0.5794458269722141,0.39656406244697284,0.3616751001436177,0.6074188303676653,0.6208710017241225,0.45017831699739874,0.2092033785293136,0.623117042821586,0.40448555720451795,0.38899116492482355,0.4254109046329474,0.45903434993287284,0.3267240559607363,0.402288489126748,0.45985704796022175,0.4647750063384507,0.406702987906004,0.3983937223758546,0.5976033944628826,0.2659120828028687,0.362233722289823,0.3650032103623184,0.39027101531610786,0.3789280081848372,0.4051289753113878,0.3926795415355131,0.3358632369425232,0.5531267825039794,0.5307932313592377
"Baccharis crispa - Baccharis crispa Spreng., fam. Asteraceae (Compositae)",0.188506710555976,0.5499912239960221,0.4803814222296977,0.32620949586051706,1.0,0.39833762896579283,0.4084253555524149,0.41787316517043516,0.5097225702016446,0.4367989064329185,0.35868736395791956,0.3782976433081632,0.451612564701361,0.41875361404079137,0.4397640445895431,0.4813102067849616,0.4769078615476421,0.49294276168657103,0.2765058197328679,0.4995919515487991,0.4484698058244616,0.45202728204805764,0.44759486444971464,0.30585404698123575,0.5073194011630784,0.26551588258806313,0.389544899985265,0.31828574492114037,0.4195428020770733,0.49830228726441383,0.2991502703470784,0.4280823274762534,0.4498403179549031,0.2703789035158902,0.5075428454997374,0.405456515595668,0.36719040540089487,0.4717242839096111,0.4374644368788292,0.42803708611866764,0.37540706384052547,0.4525159326565722,0.45363888988018786,0.3428977024790486,0.44343580207977196,0.36253892487699924,0.4019438880371663,0.4198323783865021,0.450648718788881,0.4498637544167514,0.38721129718632397,0.40687227487610556,0.4033389639229412
"Bidens pilosa (Cameroon) - Bidens pilosa L., fam. Asteraceae (Compositae)",0.20441477406654163,0.5094311097722359,0.5139907106843571,0.45650814860910016,0.39833762896579283,1.0,0.40900378847462127,0.47001046791680223,0.5504941715822885,0.491474310591023,0.37627944932523283,0.3817147741597059,0.4842106579799217,0.494234349768944,0.6112219998734914,0.5512743904958135,0.5165902470878665,0.559365055972251,0.29298487744606894,0.5498827418420669,0.4334390683448117,0.509675482337052,0.5893071881886462,0.39627524012269655,0.6266747005970625,0.36751595151923966,0.38266416182174023,0.47658260996364044,0.584193631887679,0.5976679222165305,0.425485429856174,0.5453783633051532,0.6028691941380455,0.32748092324266154,0.5404179142080399,0.4474699533069024,0.36047492183318663,0.6096943844017892,0.5915063952787495,0.515923905466496,0.45336551582005225,0.5877274427943948,0.5392707154075264,0.4338922177379958,0.5076668798537611,0.4060287651051304,0.42160363467527473,0.4505154678055606,0.504121886086965,0.5273875781480966,0.4527950841234202,0.4628732314828321,0.4423493846789296
"Cabore (Brazil) - Micrastur ruficolis, fam. Leguminosae (so-called: officially unknown)",0.21388213326067018,0.5975762444778461,0.5285455727344119,0.33147851264010986,0.4084253555524149,0.40900378847462127,1.0,0.4865392281685943,0.557179206384885,0.48375446914721265,0.5405692213673892,0.45653431007009215,0.5529916015555338,0.4106084830614335,0.4463348531809094,0.4543830160003979,0.7656308452885334,0.5292467964871019,0.30337081169849556,0.5989976541633084,0.6378141854305773,0.58250149994979,0.479356656978875,0.3140569337566623,0.5438869732643117,0.2632538013249348,0.4361597803969566,0.3055516113378013,0.4393624040229025,0.533115124336677,0.26749385972895,0.4313240948732936,0.4955704100603977,0.29516640531364036,0.5640446744381393,0.419506636928484,0.45325952262621383,0.46417406238716774,0.45350380171756244,0.42409723343381855,0.39718056622369946,0.45509148364099883,0.4991347505992839,0.3482598171104917,0.5030762162750595,0.36920105960888183,0.42641697633949305,0.45364357735324046,0.48025387449144064,0.4802281211239098,0.41960327071808645,0.4267540390914262,0.39820011214821904
"Carapa guianensis - Carapa guianensis Aubl., fam. Meliaceae",0.4153233800021535,0.5517849702443978,0.5618342699538843,0.428844402443853,0.41787316517043516,0.47001046791680223,0.4865392281685943,1.0,0.5973583898436818,0.5476823020983609,0.4107741602330639,0.4259871347480254,0.6823166404467556,0.4481953802501445,0.5363983612808028,0.5287950121956297,0.5951336264686073,0.5784106547755197,0.37206140279043465,0.5690508414038787,0.5330262047604466,0.65960670469086,0.5116148447461086,0.3741279774349955,0.6132801576060499,0.475891500699706,0.48069139126796545,0.32885165344645173,0.4880806111622933,0.5805331762904345,0.28934719183925395,0.501289589613193,0.6280433117066082,0.4702967906183023,0.6090699127165173,0.4553087896176342,0.42395847295203815,0.583497131338381,0.585023527197573,0.4603010081884059,0.45094236161523904,0.5328013470183663,0.5590414115982572,0.40927017313873604,0.5440278937792401,0.4012071994449914,0.47823180994374104,0.49800888758309625,0.5284981837197911,0.521841714362344,0.4516148882697538,0.5728380830228035,0.5114921581066314
"Caraway herb (Mongolia) - Carum carvi L., fam. Apiaceae (Umbelliferae)",0.28640591265669013,0.6269358467617517,0.7100696978911012,0.48077635357573056,0.5097225702016446,0.5504941715822885,0.557179206384885,0.5973583898436818,1.0,0.6750798716731308,0.5150802332532278,0.5469612035684936,0.6426431770129767,0.5842012172004935,0.5947837792290656,0.6474977353032412,0.6854836054637652,0.7248827258991285,0.42179002627212425,0.7237135714572035,0.6663031296570254,0.6282061530226766,0.5855985167765059,0.42949859669663115,0.7275160388386407,0.3487950743826699,0.5966725618593944,0.48333318455986274,0.6168262267544199,0.7188387106579839,0.3936707111722366,0.5852387354944044,0.5928435503940429,0.3847991811399495,0.7643611634030404,0.588024379849019,0.5407007736144277,0.6310880288525875,0.5997562378451794,0.5793048579161009,0.543819045986494,0.6149991334918887,0.6784411957609062,0.4629452736497277,0.6305694420354697,0.5263821726477931,0.5841992450058502,0.6132930112908297,0.6474869985396379,0.6310638860099269,0.5425668860149901,0.5532538430142853,0.5468400555580128
"Croton jimenezii (Costa Rica) - Croton jimenezii Standl. et Valerio, fam. Euphorbiaceae",0.24560405749102143,0.5369229701020265,0.6253959478442559,0.40859084778439825,0.4367989064329185,0.491474310591023,0.48375446914721265,0.5476823020983609,0.6750798716731308,1.0,0.41834960678349065,0.4407531202812417,0.5679361794376918,0.46610750289906644,0.5531997108191642,0.5244162801671994,0.5772384846205676,0.5963865163900135,0.3620564849408028,0.5962618180110956,0.5479060499524775,0.5642876534060457,0.4946419791868707,0.4032186650741503,0.6246969365136044,0.31605640818093017,0.4750389869889652,0.3976142095401479,0.5634672671879166,0.6437745054203992,0.34289668491159186,0.4780306289003322,0.5547200530806329,0.34797904098838184,0.6956166245763817,0.4817088885240859,0.45210068425643335,0.5777649235685669,0.5538369494428623,0.5049419133036237,0.48796602730596406,0.558887600683105,0.5843300976437666,0.42876128946554415,0.5753039389852697,0.4360444710218251,0.4863108718965614,0.5217045082292682,0.5517012121868612,0.5478465590450251,0.47216211611600023,0.453916582355096,0.43269537218476983
