,"Abies alba needle (Montenegro) - Abies alba Mill., fam. Pinaceae","Abies alba needle (Serbia) - Abies alba Mill., fam. Pinaceae","Abies cephalonica - Abies cephalonica Loud., fam. Pinaceae","Abies cephalonica needle (Greece) - Abies cephalonica Loud., fam. Pinaceae","Achillea collina - Achillea collina Becker, fam. Asteraceae (Compositae)","Aframomum citratum (Cameroon) 2a leaf - Aframomum citratum (Pereira) K. Schum., fam. Zingiberaceae","Agathosma apiculata - Agathosma apiculata G.F.W. Mey, fam. Diosmeae (Rutaceae)","Agathosma clavisepala - Agathosma clavisepala R.A. Dyer, fam. Diosmeae (Rutaceae)","Ajuga chamaepitys (Iran) - Ajuga chamaepitys (L.) Schreb., fam. Lauraceae","Amomum villosum (China) 1g leaf - Amomum villosum Lour., fam. Zingiberaceae","Amomum villosum - Amomum villosum Lour., fam. Zingiberaceae","Artemisia campestris (Tunisia) - Artemisia campestris L., fam. Asteraceae (Compositae)","Artemisia campestris, ssp. glutinosa (Italy) - Artemisia campestris L. ssp. glutinosa (Ten.) Briq. et Cavill., Asteraceae","Bitter orange leaf (Petitgrain) (China) 2 - Citrus aurantium L., ssp. amara Engl., fam Rutaceae","Egletes viscosa (flower heads) - Egletes viscosa Less., fam. Asteraceae (Compositae)","Eucalyptus alba (Burkina Faso) - Eucalyptus alba Muell., fam. Myrtaceae","Fir balsam 2a - Abies balsamea (L.) Mill., fam. Pinaceae","Fir balsam twig (Canada) 4 - Abies balsamea (L.) Mill., fam. Pinaceae","Fir needle balsam (Canada) 1 - Abies balsamea (L.) Mill., fam. Pinaceae","Fir needle balsam (Canada) 2 - Abies balsamea (L.) Mill., fam. Pinaceae","Fir needle balsam (Canada) 3 - Abies balsamea (L.) Mill., fam. Pinaceae","Galbanum 1 - Ferula galbaniflua Boiss. et Buhse, fam. Apiaceae (Umbelliferae)","Galbanum 2 - Ferula galbaniflua Boiss. et Buhse, fam. Apiaceae (Umbelliferae)","Galbanum 3 - Ferula galbaniflua Boiss. et Buhse, fam. Apiaceae (Umbelliferae)","Galbanum 4 - Ferula galbaniflua Boiss. et Buhse, fam. Apiaceae (Umbelliferae)","Galbanum root (Iran) - Ferula galbaniflua Boiss. et Buhse, fam. Apiaceae (Umbelliferae)","Galbanum stem (Iran) - Ferula galbaniflua Boiss. et Buhse, fam. Apiaceae (Umbelliferae)","Hypericum dogonbadanicum - Hypericum dogonbadanicum Assadi, fam. Guttiferae (Hypericeae)","Lavandula dentata (Chemotype B) - Lavandula dentata L. (Chemotype B), fam. Lamiaceae (Labiatae)","Lavandula stoechas (ssp. pedunculata B) - Lavandula stoechas L. (ssp. pedunculata, Chemotype B), fam. Lamiaceae","Lavandula stoechas (ssp. sampaioana B) - Lavandula stoechas L. (ssp. sampaioana, Chemotype B), fam. Lamiaceae","Nutmeg (Hainan Island) - Myristica fragrans Houtt., fam. Myristicaceae","Nutmeg (India) 5a leaf - Myristica fragrans Houtt., fam. Myristicaceae","Nutmeg (India) 6 - Myristica fragrans Houtt., fam. Myristicaceae","Nutmeg (India) 7 - Myristica fragrans Houtt., fam. Myristicaceae","Nutmeg (Malaysia) - Myristica fragrans Houtt., fam. Myristicaceae","Picea abies conifer 2 - Picea abies (L.) Karst (P. excelsa Link), fam. Pinaceae","Pinus brutia (Greece) - Pinus brutia Tenore, fam. Pinaceae","Piper capense (Cameroon) 1a - Piper capense L., fam. Piperaceae","Piper capense (Cameroon) 1b - Piper capense L., fam. Piperaceae","Piper guineense (Cameroon) 1b - Piper guineense Schum. et Thom., fam. Piperaceae","Pteronia incana 1 - Pteronia incana, fam. Asteraceae (Compositae)","Pteronia incana 3 - Pteronia incana, fam. Asteraceae (Compositae)","Ribes sanguineum flower headspace - Ribes sanguineum L., fam. Grossulariaceae","Sage, spanish (Spain)  8 - Salvia lavandulaefolia Vahl. ssp. blancoana, fam. Lamiaceae (Labiatae)","Schinus latifolius - Schinus latifolius Engl., fam. Anarcadiaceae","Scleria striatinux rhizome (Cameroon) - Scleria striatinux De Wild., fam. Cyperaceae","Sideritis lycia (Turkey) - Sideritis lycia Boiss. et Heldr., fam. Lamiaceae (Labiatae)","Sideritis raeseri (Greece) - Sideritis raeseri Boiss.et Heldr.ssp.attica (Heldr.) Pap.et Kok, Lamiaceae","Swangi (Citrus hystrix) juice (Thailand) 2a - Citrus hystrix DC (Swangi), fam. Rutaceae","Swangi (Citrus hystrix) peel (Thailand) 2d - Citrus hystrix DC (Swangi), fam. Rutaceae","Teucrium haenseleri flower - Teucrium haenseleri Boiss., fam. Lamiaceae (Labiatae)","Teucrium polium (Serbia/Montenegro) - Teucrium polium L., fam. Lamiaceae (Labiatae)","Uromyrtus metrosideros (Australia) - Uromyrtus metrosideros (F.M. Bailey) A.J. Scott, fam. Myrtaceae","Vassoura (Uruguay) - Baccharis dracunculifolia DC., fam. Asteraceae (Compositae)","Vernonia chalybaea - Vernonia chalybaea Mart., fam. Asteraceae (Compositae)","Xylopia aethiopica leaf (Benin) - Xylopia aethiopica (Dunal) A. Richard, fam. Annonaceae","Xylopia parviflora fruit (Cameroon) - Xylopia parviflora (A. Rich) Benth., fam. Annonaceae","Yarrow (Estonia) 1a flower - Achillea millefolium L., fam. Asteraceae (Compositae)","Yarrow (Estonia) 1b leaf - Achillea millefolium L., fam. Asteraceae (Compositae)","Yarrow (Estonia) 1c stem - Achillea millefolium L., fam. Asteraceae (Compositae)"
"Abies alba needle (Montenegro) - Abies alba Mill., fam. Pinaceae",1.0,0.6367213175064039,0.8064665503394377,0.6804384889352579,0.5290794899738305,0.43861726392867684,0.30634140700287193,0.49304032980856527,0.650398825574029,0.5783171964074937,0.4528188296339126,0.4956447478590117,0.5344169374626035,0.5139168764649167,0.1497962632936487,0.6393822247668846,0.7140267423440436,0.6614062400437489,0.696785681146052,0.5988926099041354,0.7030256397226569,0.40769787328291063,0.5609140004655175,0.6195719983075156,0.49181050758549827,0.4513147110140766,0.5542207294748303,0.6378219776352861,0.6468781922192789,0.5606195062024377,0.540234680097535,0.5068095406199203,0.6628524556962212,0.5284549529877759,0.6211193765625189,0.6219196085427772,0.7766813135511863,0.5579130056500683,0.40562149064902664,0.5356209751138639,0.6242557198230686,0.5859191456012194,0.48200375604162427,0.5484010202125575,0.5640323440603522,0.5231835171166057,0.5431754149826662,0.6431856759427994,0.5914626089189803,0.5243777868339374,0.541042338090681,0.6696970640975246,0.556847149084664,0.5806550946267912,0.503732248153655,0.5914922642901248,0.5837568143566514,0.6890716095775962,0.5353863379505113,0.6283696025647706,0.644214363226242
"Abies alba needle (Serbia) - Abies alba Mill., fam. Pinaceae",0.6367213175064039,1.0,0.6051473304962236,0.7489671423965856,0.4126807437553218,0.2640303159593973,0.3338641350678726,0.5243397255892454,0.5590407008896061,0.3839065408605181,0.24164668113183985,0.4806649957359691,0.5529300235659071,0.5002035509050006,0.14669800992185522,0.5906022765720282,0.5750148483195825,0.58849339501843,0.5400731390971094,0.5108273784203698,0.5151847424305244,0.24133090275747604,0.4007358471219373,0.4701392915552216,0.35145516489826834,0.2945552435155794,0.43097259662110365,0.5106610565016663,0.5386062745606746,0.5458913439429358,0.5413520518538507,0.3415974473183052,0.5734109763149788,0.34579288639389183,0.5466460904404582,0.6290748919592337,0.6159398406057224,0.5418450845880443,0.2002527822036806,0.3964375952518855,0.58711568603806,0.5079151740693276,0.4784012229732749,0.36367292479469215,0.4871481919281083,0.4186211900880824,0.6020556374058346,0.6142714104434406,0.5022269053283427,0.44452402318754347,0.5361467209990778,0.5778680418273874,0.6045355581214358,0.5053334937642613,0.5593143544134402,0.5591603952715632,0.5005058344762676,0.535220311142979,0.4977526564971728,0.5732041623643622,0.599666035807385
"Abies cephalonica - Abies cephalonica Loud., fam. Pinaceae",0.8064665503394377,0.6051473304962234,1.0,0.7115194598456142,0.49286705986517176,0.47977936476389293,0.30415920827533693,0.5027408767017563,0.7147076188217827,0.6425696856430791,0.5184502777130326,0.5036017674483488,0.545475316245855,0.5276811328398836,0.14770528009806305,0.7588312575073599,0.7183198088619719,0.6920189173412467,0.6935771339772774,0.5899330248734465,0.6980062315152689,0.45816966711926965,0.5990142436103085,0.6679862372823608,0.5362945977860636,0.47829950719576386,0.5753904323688012,0.725376535246923,0.6722276138537537,0.5689946229929604,0.548896289232397,0.542369181709601,0.7376140953104271,0.5821213925083554,0.6551051098223409,0.6646610591140911,0.8379724101639674,0.5762850208639803,0.4605714467861235,0.5701940948230091,0.627335335069148,0.643022539874512,0.48628376542957275,0.6259452204029836,0.5729522332057777,0.5568400039975654,0.5598499212536814,0.6616206152615771,0.6223268609001058,0.5673458999045222,0.5930275112852195,0.7216733647334412,0.5639890056240966,0.6335770261246674,0.5055797640525698,0.6007194832755178,0.6057565020046473,0.7107856704590957,0.5405997597435035,0.6467068564373355,0.6676446730684813
"Abies cephalonica needle (Greece) - Abies cephalonica Loud., fam. Pinaceae",0.6804384889352579,0.7489671423965856,0.7115194598456142,1.0,0.43858558898237954,0.3136394852839328,0.3549160624136345,0.5683107676181683,0.656152840210819,0.47914132133484544,0.32421299108798174,0.5242453574522983,0.6028037385385019,0.5391502626435682,0.16264767966326665,0.7319384315376389,0.6403406962924537,0.6725681776052508,0.5938009540863223,0.5512717300864851,0.5634012176969676,0.29846710328152404,0.4634768533376651,0.5374798598166491,0.409498986014763,0.33214150856859603,0.4695859875167243,0.6367560574437809,0.601865409913358,0.6074274653018122,0.6003339320931123,0.3903376803067691,0.6886631291108689,0.4096239232137654,0.608626006465747,0.7375960818437165,0.7252996797546349,0.6168475115454912,0.26474315037264307,0.45675078462094554,0.6442007237050398,0.6008387420480243,0.5278593306043964,0.46929818091547737,0.5219683992750728,0.4904075951383152,0.6535435941911197,0.7028412723083943,0.5965074673838615,0.4915104375570475,0.597029547459162,0.6819459902664335,0.659729915059387,0.5822874397315602,0.650016894547287,0.6132941287880499,0.5608271335108593,0.5989262757491034,0.5363330218050246,0.6267001688569297,0.65749884637814
"Achillea collina - Achillea collina Becker, fam. Asteraceae (Compositae)",0.5290794899738305,0.4126807437553218,0.49286705986517176,0.43858558898237954,1.0,0.40708660548342257,0.2928691421113716,0.44832603388891834,0.5044095885692261,0.38280700598430073,0.294603675480153,0.4451927470204413,0.49068475999090855,0.48167585220044895,0.13797260999662497,0.45348254690445244,0.5418148616911602,0.49234645232656427,0.5963046785787692,0.49621141424588333,0.5770492211594648,0.33412550121958906,0.4600064033716619,0.5225912994017419,0.41522654128651815,0.4409492599406696,0.5343596506629755,0.33655406720000214,0.5525830880313383,0.501446114796962,0.46945190340935616,0.48367846052060015,0.4772846890524367,0.44896668388896865,0.5472487663764758,0.489357502075356,0.48297107468682376,0.4520093277601892,0.3093253444949916,0.4505390146435879,0.5355351335602389,0.46424826220153526,0.3909370735172297,0.3252122308879787,0.5680341237734565,0.3876476806999213,0.4975562520173973,0.5196998467999523,0.4131380851029073,0.4816363671806596,0.4795035326536161,0.4974029956720506,0.49022214462774283,0.47548351056809746,0.47797986387877234,0.5504962509571643,0.5050767293646572,0.5435089174962024,0.548026085417177,0.6069769478415805,0.5959688542690789
"Aframomum citratum (Cameroon) 2a leaf - Aframomum citratum (Pereira) K. Schum., fam. Zingiberaceae",0.43861726392867684,0.2640303159593973,0.47977936476389305,0.3136394852839328,0.40708660548342257,1.0,0.1465792607067642,0.2828125645706273,0.5160881341494403,0.5682625886108476,0.6473117913324633,0.3347891530810181,0.35521362852068383,0.40180773222351784,0.05916687622451455,0.4440597030669934,0.44591277529780216,0.3513048746542876,0.4665815486823789,0.3436248772292405,0.5336107412888542,0.673056440521734,0.6544670396891901,0.6891084353085364,0.6248507207895038,0.7860812375282827,0.6656915518760691,0.3721842535245873,0.5723388195447867,0.32336583938381713,0.2969935761894006,0.7923589101280032,0.4505768494729112,0.7872086656555433,0.5393970290821193,0.3322329873557982,0.4562312092079127,0.37399457602784414,0.7866968286563657,0.6266717423891873,0.4351025411318131,0.43068536808774616,0.2517640891820433,0.4913081888168046,0.6150596416007288,0.4197705979758459,0.3041133425334993,0.41311699235279165,0.3866087123673252,0.5351845459947648,0.41509956392478997,0.4664084853820569,0.3106320141293111,0.45919944376095256,0.29524487487710527,0.4897182193943188,0.4997450213773257,0.6149687527485235,0.4728604823900011,0.521968999258381,0.5105078221252056
"Agathosma apiculata - Agathosma apiculata G.F.W. Mey, fam. Diosmeae (Rutaceae)",0.30634140700287193,0.3338641350678726,0.30415920827533693,0.3549160624136345,0.2928691421113716,0.1465792607067642,1.0,0.5157453238532377,0.35273626532892033,0.20335194341921325,0.09131968571126414,0.3702583777757914,0.3915379999255689,0.37129280750293947,0.06376297513365692,0.31947104066957677,0.3429921120948374,0.3290920343634981,0.3112468591305745,0.2910879389847235,0.3170227750366257,0.11832114186787568,0.25445939275831586,0.3161554904242322,0.21703533028609423,0.1962542625497603,0.30722954197839536,0.22239383395662127,0.36694011612985733,0.3708534662345351,0.36701351525793124,0.23213176289525794,0.35620271320860786,0.2164990253522786,0.3924769394520484,0.39603375622325276,0.32429173222861074,0.32299431845526516,0.07711656380952292,0.25265110220821785,0.40093329462723015,0.33694527996719814,0.32271180546792266,0.16508518202869993,0.33046861732661126,0.26509382451040053,0.4158269822875489,0.3921538266580772,0.2900362154457252,0.33145747262633507,0.3585191967674499,0.36349060415832846,0.4089703454074395,0.3411041138667349,0.3814875845915139,0.3719366407236713,0.3446566381438251,0.34537109678628053,0.3533432598954711,0.4065668607755277,0.4191935949302127
"Agathosma clavisepala - Agathosma clavisepala R.A. Dyer, fam. Diosmeae (Rutaceae)",0.49304032980856527,0.5243397255892454,0.5027408767017563,0.5683107676181683,0.44832603388891834,0.2828125645706273,0.5157453238532377,1.0,0.5716275299150817,0.3711225069547053,0.24568099810056954,0.5431433462586983,0.6183228499336717,0.6409712355845902,0.17587096078525322,0.5218746431367308,0.5492572616928606,0.5348896192917871,0.5005867576484708,0.4735709101743306,0.5025313869609597,0.2624684470583002,0.4289132597374734,0.515650948479784,0.3831648372922585,0.3406215191485903,0.47531673819388554,0.41057232606588345,0.593776185401462,0.5926220353163474,0.5889487174001924,0.3851417350065248,0.5732627656046481,0.38100738530297584,0.600517629180314,0.6202157842659385,0.5309599003837691,0.5191139947779294,0.2193651239354062,0.44726398132841294,0.6409678804223986,0.5487678254804135,0.5101539278787046,0.3412718611691321,0.5059290583332046,0.47665856513705696,0.6304385325872539,0.6085711359639883,0.4772112131042072,0.49938933970289845,0.5994718733595614,0.5834482911059159,0.6283049652695545,0.5309092721906921,0.5672811251720178,0.5618812263746926,0.5506919996419641,0.5612432842799864,0.5372004011523992,0.6226574728166028,0.6440274860166487
"Ajuga chamaepitys (Iran) - Ajuga chamaepitys (L.) Schreb., fam. Lauraceae",0.650398825574029,0.5590407008896061,0.7147076188217827,0.656152840210819,0.5044095885692261,0.5160881341494403,0.35273626532892033,0.5716275299150817,1.0,0.6474195423123168,0.5186241050373088,0.5645662049104099,0.6580708334154096,0.6724606297717828,0.18676069112199079,0.7420329685504404,0.6723343149271457,0.6286452243664027,0.6264221433871613,0.535678985815503,0.6510864671939529,0.4784474139828373,0.6387481074753514,0.7260800104615412,0.5699825317414379,0.5334304944062099,0.636575288194803,0.6396041906638387,0.7496742173758875,0.6186708391487397,0.5989906405826848,0.5954142561962372,0.7779717682221297,0.6165382435111623,0.7244017714297772,0.6933862500988764,0.7300391620833359,0.6254284733887275,0.4786632902099103,0.6280139897032662,0.719833562319824,0.6653999853081582,0.529169027794705,0.6019685826344581,0.6214063864390484,0.583074446169464,0.61214253594752,0.7282848632209118,0.6523281047835574,0.6214109621837139,0.6205813533249515,0.7679062758157159,0.6665489611750481,0.6664550827436646,0.5673079565904433,0.6660314620618306,0.6829922465722094,0.7555885566231988,0.620790226637903,0.7220948628082762,0.745977730221806
"Amomum villosum (China) 1g leaf - Amomum villosum Lour., fam. Zingiberaceae",0.5783171964074937,0.3839065408605181,0.6425696856430791,0.47914132133484544,0.38280700598430073,0.5682625886108476,0.20335194341921325,0.3711225069547053,0.6474195423123168,1.0,0.770687119722733,0.4160285696344942,0.4104522863066309,0.41234320327969853,0.08073015393703853,0.5950016599779211,0.5535092681984548,0.4862977232665182,0.4959314381210741,0.395663957797447,0.553322275851619,0.5379832120563259,0.659234554213342,0.6761953205270217,0.568180141371113,0.5001143817582341,0.533160094834424,0.7054957835676043,0.6264927821794608,0.4850129581313323,0.4530875174175458,0.5975591179534153,0.6741028128524487,0.6734418500309284,0.571021680081753,0.5333223157767001,0.6600500947851775,0.5092721674022395,0.6255107802645143,0.6079472611494823,0.5305000936615919,0.5886858057624934,0.38602836213353975,0.8523574951794816,0.48231114676307585,0.5732011248928282,0.38970172969019157,0.5740066239345076,0.6489385871466742,0.48780272719214324,0.41501875845373115,0.6781496611887233,0.41374145546147756,0.5564350968684187,0.3734241515105584,0.5220206006403164,0.5661393357234736,0.6861492368489731,0.46281012047507486,0.5408376856521362,0.5363203536504189
