,"Abies nordmannia conifer - Abies nordmannia (Steven) Spach, fam. Pinaceae","Angelica (norvegica) lateral root - Angelica archangelica L. var. norvegica, fam. Apiaceae (Umbelliferae)","Angelica (norvegica) root - Angelica archangelica L. ssp. archangelica var. norvegica, fam. Apiaceae","Angelica (norvegica) tap root - Angelica archangelica L. var. norvegica, fam. Apiaceae (Umbelliferae)","Angelica (sativa) lateral root - Angelica archangelica L. var. sativa, fam. Apiaceae (Umbelliferae)","Angelica (sativa) tap root - Angelica archangelica L. var. sativa, fam. Apiaceae (Umbelliferae)","Angelica root (Brazil) 1a hydrodistilled - Angelica archangelica L., fam. Apiaceae (Umbelliferae)","Angelica root (Brazil) 1b CO2 extract - Angelica archangelica L., fam. Apiaceae (Umbelliferae)","Angelica root (France) 1 - Angelica archangelica L., fam. Apiaceae (Umbelliferae)","Angelica root 2 - Angelica archangelica L., fam. Apiaceae (Umbelliferae)","Fir balsam 1 - Abies balsamea (L.) Mill., fam. Pinaceae","Larix conifer needle - Larix decidua Mill., fam. Pinaceae","Mango (Cameroon) headspace of ripe fruit - Mangifera indica L., fam. Anacardiaceae","Persea podadenia leaf - Persea podadenia Blake, subgenus Eriodaphne, fam. Lauraceae","Picea engelmanni twig - Picea engelmanni (Parry) Engelm., fam. Pinaceae","Pinus mugo (Dwarf pine) 1 - Pinus mugo Turra ssp. pumilio (Haenke) Zenari (P.montana Miller), Pinaceae","Pinus mugo (Dwarf pine) 2 - Pinus mugo Turra ssp. pumilio (P. montana Miller), fam. Pinaceae","Pinus pumila 1 - Pinus pumila (Pall.) Regel, fam. Pinaceae","Pinus sylvestris (Estonia) - Pinus sylvestris L. (Scotch pine), fam. Pinaceae","Pinus sylvestris (Lithuania) - Pinus sylvestris L. (Scotch pine), fam. Pinaceae","Pinus sylvestris 2 - Pinus sylvestris L. (Scotch pine), fam. Pinaceae","Pinus sylvestris 8 - Pinus sylvestris L. (Scotch pine), fam. Pinaceae"
"Abies nordmannia conifer - Abies nordmannia (Steven) Spach, fam. Pinaceae",1.0,0.29811222370401136,0.22438515274931836,0.16397823911852893,0.4728572462892834,0.4154707164591671,0.4035109246022448,0.1995981745891494,0.5338769629997989,0.38419494827425504,0.33181972234404,0.6018721320736121,0.15344786651137599,0.39306564122931975,0.4820239278224925,0.5431117884977383,0.34309789625112896,0.14402485517893548,0.5206047195443719,0.45272169812882457,0.41079421912451175,0.43328337546649576
"Angelica (norvegica) lateral root - Angelica archangelica L. var. norvegica, fam. Apiaceae (Umbelliferae)",0.29811222370401136,1.0,0.3384117226510841,0.8198712074678962,0.600180519036108,0.7129820911834979,0.6225319392635779,0.5445053492596819,0.32883320813756844,0.7136060203785173,0.0782725644971689,0.20555654377567678,0.11819064370548649,0.3028696190166098,0.38273395926904474,0.29921399907978663,0.300745395553494,0.24215187058631116,0.2361352051534833,0.2634888192335556,0.303575227126726,0.2763649932996216
"Angelica (norvegica) root - Angelica archangelica L. ssp. archangelica var. norvegica, fam. Apiaceae",0.22438515274931836,0.3384117226510841,1.0,0.23774806483215982,0.3417651144332424,0.4439121062498289,0.48374801200096607,0.4932716833977705,0.4043040686174495,0.4314603278998267,0.24662322783369217,0.3333486388378799,0.3932090875889438,0.423644257292373,0.3229080701736031,0.43457832085957904,0.31693241700939645,0.475153416902412,0.38383867048830234,0.4339644334573677,0.4506812239151544,0.4524947631853695
"Angelica (norvegica) tap root - Angelica archangelica L. var. norvegica, fam. Apiaceae (Umbelliferae)",0.16397823911852893,0.819871207467896,0.23774806483215982,1.0,0.46178572750689717,0.5805462882677299,0.49305287554398436,0.46777867883869917,0.19225191708200062,0.6080589253395039,0.0,0.07832158103528397,0.03913337322931676,0.19617910327726895,0.29231107481403007,0.16036487552475698,0.22207358998534632,0.17965668350326713,0.10606172266656078,0.1353897375960208,0.183837225227919,0.14989630703882229
"Angelica (sativa) lateral root - Angelica archangelica L. var. sativa, fam. Apiaceae (Umbelliferae)",0.4728572462892834,0.600180519036108,0.3417651144332424,0.46178572750689717,1.0,0.8074443118142242,0.6596283681698174,0.4437172375988967,0.6083824869356395,0.720780070768988,0.04694511937857537,0.380785492050723,0.10058935292650306,0.4255536265930061,0.31500911141802757,0.47097553235366163,0.2085231410610433,0.23539304291000684,0.3987520862912326,0.4147809438824428,0.38148758303146957,0.4183542875869237
"Angelica (sativa) tap root - Angelica archangelica L. var. sativa, fam. Apiaceae (Umbelliferae)",0.4154707164591671,0.7129820911834979,0.4439121062498289,0.5805462882677299,0.8074443118142243,1.0,0.7513242465428234,0.5842164294199199,0.5611434304039637,0.8453488065832038,0.1269770208904658,0.3602191692851586,0.1863584477863096,0.46024311579771315,0.39850121582408815,0.46114372164726414,0.29997130654690085,0.35988819080101686,0.3867719634788993,0.41328903081720525,0.4150860422684489,0.4238882917537983
"Angelica root (Brazil) 1a hydrodistilled - Angelica archangelica L., fam. Apiaceae (Umbelliferae)",0.4035109246022448,0.6225319392635779,0.48374801200096607,0.49305287554398436,0.6596283681698174,0.7513242465428234,1.0,0.652634282893646,0.5619590693425128,0.6947968819395449,0.175177849760507,0.3867622205712957,0.2801024240033979,0.5106773393050946,0.407983712363733,0.4819994356813141,0.39883053121364653,0.3599287841611124,0.43963434330335394,0.4452484509065462,0.45779188678319693,0.4502240915595461
"Angelica root (Brazil) 1b CO2 extract - Angelica archangelica L., fam. Apiaceae (Umbelliferae)",0.1995981745891494,0.5445053492596819,0.4932716833977705,0.46777867883869917,0.4437172375988967,0.5842164294199199,0.652634282893646,1.0,0.33650175614458033,0.559578735434485,0.14246772086969217,0.21821547978303946,0.24968977319462038,0.3803978961822462,0.3525971259052426,0.306322367664814,0.3201521366134591,0.37767906484459846,0.25830710531030676,0.3009888608317681,0.3517817458487652,0.3215532678584393
"Angelica root (France) 1 - Angelica archangelica L., fam. Apiaceae (Umbelliferae)",0.5338769629997989,0.32883320813756844,0.4043040686174495,0.19225191708200062,0.6083824869356395,0.5611434304039637,0.5619590693425128,0.33650175614458033,1.0,0.5346229012599765,0.17184596357677562,0.5779437216869678,0.24858218402584453,0.5185711045843255,0.29728206013395264,0.6630450455126309,0.2808013554487664,0.341660488397698,0.6369743434346545,0.5915277325043908,0.5069910490479093,0.5697757744175316
"Angelica root 2 - Angelica archangelica L., fam. Apiaceae (Umbelliferae)",0.38419494827425504,0.7136060203785173,0.4314603278998267,0.6080589253395039,0.7207800707689882,0.8453488065832038,0.6947968819395449,0.559578735434485,0.5346229012599765,1.0,0.13372227061463005,0.3465714700982795,0.20021578211855096,0.44660391818632117,0.4205786065344024,0.43685091798610975,0.314895768475579,0.40354425669391636,0.3818735999825711,0.4013184645445049,0.40422268395484284,0.41053166770395755
"Fir balsam 1 - Abies balsamea (L.) Mill., fam. Pinaceae",0.33181972234404,0.0782725644971689,0.24662322783369217,0.0,0.04694511937857537,0.1269770208904658,0.175177849760507,0.14246772086969217,0.17184596357677562,0.13372227061463005,1.0,0.33155521435194957,0.31950544216244203,0.2977437202166555,0.5075560568170638,0.29912936422159786,0.49881614109258965,0.23428478402099961,0.2906621436366019,0.23704578679617394,0.3039315136319377,0.22987436529037675
"Larix conifer needle - Larix decidua Mill., fam. Pinaceae",0.6018721320736121,0.20555654377567678,0.3333486388378799,0.07832158103528397,0.380785492050723,0.3602191692851586,0.3867622205712957,0.21821547978303946,0.5779437216869678,0.3465714700982795,0.33155521435194957,1.0,0.27535293065291333,0.4447324643748257,0.39456852588659197,0.581240633533501,0.3227660371509702,0.26169353274607066,0.6238381129832267,0.6235623862733266,0.48228919447908225,0.5998113643513279
"Mango (Cameroon) headspace of ripe fruit - Mangifera indica L., fam. Anacardiaceae",0.15344786651137599,0.11819064370548649,0.3932090875889438,0.03913337322931676,0.10058935292650306,0.1863584477863096,0.2801024240033979,0.24968977319462038,0.24858218402584453,0.20021578211855096,0.31950544216244203,0.27535293065291333,1.0,0.2770005639496116,0.2552393520314926,0.29737837713422777,0.42730330696480334,0.38610561512333086,0.36353402651713174,0.32963554214972823,0.3741115653662488,0.3230220785782436
"Persea podadenia leaf - Persea podadenia Blake, subgenus Eriodaphne, fam. Lauraceae",0.39306564122931975,0.3028696190166098,0.423644257292373,0.19617910327726895,0.4255536265930061,0.46024311579771315,0.5106773393050946,0.3803978961822462,0.5185711045843255,0.44660391818632117,0.2977437202166555,0.4447324643748257,0.2770005639496116,1.0,0.3741795277758192,0.5054712201867737,0.3191549717072627,0.3377958781340962,0.44229183126219307,0.4396195073087398,0.48855657665833363,0.4472932481153631
"Picea engelmanni twig - Picea engelmanni (Parry) Engelm., fam. Pinaceae",0.4820239278224925,0.38273395926904474,0.3229080701736031,0.29231107481403007,0.31500911141802757,0.39850121582408815,0.407983712363733,0.3525971259052426,0.29728206013395264,0.4205786065344024,0.5075560568170638,0.39456852588659197,0.2552393520314926,0.3741795277758192,1.0,0.33416206502968504,0.5117302540930984,0.3142304887219566,0.3209360515210784,0.29527395228787745,0.33025018458710076,0.30029062077421287
"Pinus mugo (Dwarf pine) 1 - Pinus mugo Turra ssp. pumilio (Haenke) Zenari (P.montana Miller), Pinaceae",0.5431117884977383,0.29921399907978663,0.43457832085957904,0.16036487552475698,0.47097553235366163,0.46114372164726414,0.4819994356813141,0.306322367664814,0.6630450455126309,0.43685091798610975,0.29912936422159786,0.581240633533501,0.29737837713422777,0.5054712201867737,0.33416206502968504,1.0,0.3253030892874059,0.3170886866503204,0.6983301098308876,0.6791158693838837,0.6257189984041867,0.6635018434991499
"Pinus mugo (Dwarf pine) 2 - Pinus mugo Turra ssp. pumilio (P. montana Miller), fam. Pinaceae",0.34309789625112896,0.300745395553494,0.31693241700939645,0.22207358998534632,0.2085231410610433,0.29997130654690085,0.39883053121364653,0.3201521366134591,0.2808013554487664,0.314895768475579,0.49881614109258965,0.3227660371509702,0.42730330696480334,0.3191549717072627,0.5117302540930984,0.3253030892874059,1.0,0.33155974050323467,0.40019491103794114,0.3114256540923508,0.40471316614940467,0.29416640450539444
"Pinus pumila 1 - Pinus pumila (Pall.) Regel, fam. Pinaceae",0.14402485517893548,0.24215187058631116,0.475153416902412,0.17965668350326713,0.23539304291000684,0.35988819080101686,0.3599287841611124,0.37767906484459846,0.341660488397698,0.40354425669391636,0.23428478402099961,0.26169353274607066,0.38610561512333086,0.3377958781340962,0.3142304887219566,0.3170886866503204,0.33155974050323467,1.0,0.3365914653832064,0.3387833195443304,0.37680606091784463,0.3449915031861871
"Pinus sylvestris (Estonia) - Pinus sylvestris L. (Scotch pine), fam. Pinaceae",0.5206047195443719,0.2361352051534833,0.38383867048830234,0.10606172266656078,0.3987520862912326,0.3867719634788993,0.43963434330335394,0.25830710531030676,0.6369743434346545,0.3818735999825711,0.2906621436366019,0.6238381129832267,0.36353402651713174,0.44229183126219307,0.3209360515210784,0.6983301098308876,0.40019491103794114,0.3365914653832064,1.0,0.7142399417983554,0.6420269495948139,0.6701399272517544
"Pinus sylvestris (Lithuania) - Pinus sylvestris L. (Scotch pine), fam. Pinaceae",0.45272169812882457,0.2634888192335556,0.4339644334573677,0.1353897375960208,0.4147809438824428,0.41328903081720525,0.4452484509065462,0.3009888608317681,0.5915277325043908,0.4013184645445049,0.23704578679617394,0.6235623862733266,0.32963554214972823,0.4396195073087398,0.29527395228787745,0.6791158693838837,0.3114256540923508,0.3387833195443304,0.7142399417983554,1.0,0.6638458703838244,0.8902874073109516
"Pinus sylvestris 2 - Pinus sylvestris L. (Scotch pine), fam. Pinaceae",0.41079421912451175,0.303575227126726,0.4506812239151544,0.183837225227919,0.38148758303146957,0.4150860422684489,0.45779188678319693,0.3517817458487652,0.5069910490479093,0.40422268395484284,0.3039315136319377,0.48228919447908225,0.3741115653662488,0.48855657665833363,0.33025018458710076,0.6257189984041867,0.40471316614940467,0.37680606091784463,0.6420269495948139,0.6638458703838244,1.0,0.6567419838276576
"Pinus sylvestris 8 - Pinus sylvestris L. (Scotch pine), fam. Pinaceae",0.43328337546649576,0.2763649932996216,0.4524947631853695,0.14989630703882229,0.4183542875869237,0.4238882917537983,0.4502240915595461,0.3215532678584393,0.5697757744175316,0.41053166770395755,0.22987436529037675,0.5998113643513279,0.3230220785782436,0.4472932481153631,0.30029062077421287,0.6635018434991499,0.29416640450539444,0.3449915031861871,0.6701399272517544,0.8902874073109516,0.6567419838276576,1.0
