,Limonene,beta-Pinene,alpha-Pinene,Camphene,para-Cymene,beta-Caryophyllene,beta-Selinene,delta-Cadinene,gamma-Cadinene,Myrcene,alpha-Humulene,Terpinolene,delta-3-Carene,alpha-Terpinene,Sabinene,alpha-Terpineol,Linalool,alpha-Phellandrene,Piperitone,gamma-Terpinene,Geraniol,Geranyl acetate,alpha-Copaene,Citronellol,Nerol,"1,8-Cineole",Caryophyllene oxide,Spathulenol,Neryl acetate,beta-Cubebene,(Z)-beta-Farnesene,gamma-Muurolene,(E)-beta-Ocimene,(Z)-beta-Ocimene,alpha-Thujene,alpha-Farnesene,Elemol,trans-alpha-Bergamotene,Acetic acid,Geranial,Farnesol (unknown isomer),Neral,6-Methyl-5-hepten-2-one,beta-Bourbonene,cis-alpha-Bergamotene,Geranyl formate,(Z)-Nerolidol,Geranyl isovalerate,Methyl isoeugenol,Geranyl butyrate,Geranyl hexanoate,"(E,E)-Farnesol",gamma-Selinene,Farnesyl acetate (unknown isomer),"(Z,E)-Farnesol","(E,Z)-Farnesol",Geranyl octanoate
"Aframomum citratum (Cameroon) 1 seed - Aframomum citratum (Pereira) K. Schum., fam. Zingiberaceae",0.007,0.001,0.002,0.002,0.004,0.0,0.0,0.0,0.0,0.015,0.0,0.003,0.001,0.001,0.001,0.007,0.151,0.007,0.0,0.0,0.7,0.003,0.0,0.001,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.001,0.0,0.0,0.0,0.0,0.002,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Aframomum citratum (Cameroon) 2b seed - Aframomum citratum (Pereira) K. Schum., fam. Zingiberaceae",0.007,0.001,0.002,0.002,0.004,0.0,0.0,0.0,0.0,0.015,0.0,0.003,0.001,0.001,0.0,0.007,0.151,0.007,0.0,0.0,0.7,0.003,0.0,0.001,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.001,0.0,0.0,0.0,0.0,0.002,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cymbopogon khasianus (India) - Cymbopogon khasianus (Munro ex Hack.) Bor, fam. Poaceae (Gramineae)",0.002,0.0,0.0,0.002,0.0,0.014,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.002,0.0,0.784,0.073,0.0,0.0,0.0,0.0005,0.003,0.0,0.0,0.0,0.0,0.0,0.004,0.004,0.0,0.0,0.0,0.0,0.002,0.016,0.0,0.012,0.0,0.0,0.0,0.006,0.0005,0.0,0.0,0.009,0.011,0.005,0.0,0.0,0.0,0.0,0.003
"Ocimum gratissimum (Nigeria) flower - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)",0.0125,0.0015,0.0044,0.0,0.0,0.012,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0059,0.0,0.0,0.0,0.8374,0.0,0.0089,0.0,0.0,0.0,0.0,0.0087,0.0,0.0,0.0,0.0158,0.0,0.0,0.0,0.0,0.0,0.0085,0.0,0.0,0.0,0.0382,0.0,0.0078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ocimum gratissimum (Nigeria) stem - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)",0.0074,0.0011,0.0005,0.0,0.0,0.0229,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0038,0.0,0.0,0.0,0.8402,0.0,0.011,0.0,0.0,0.0,0.0,0.0125,0.0,0.0002,0.0026,0.0388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0136,0.0,0.0089,0.0106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Palmarosa (India) 3 - Cymbopogon martini (Roxb.) Wats, var. martini, fam. Poaceae (Gramineae)",0.0153,0.0001,0.0001,0.0,0.0001,0.0176,0.0004,0.0005,0.0,0.0021,0.0059,0.001,0.0,0.0012,0.0,0.0,0.0279,0.0,0.0,0.0001,0.8,0.0825,0.0,0.0,0.0001,0.0,0.0009,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0008,0.0003,0.0015,0.0,0.005,0.0024,0.0013,0.0064,0.0004,0.0
"Palmarosa (India) 5 - Cymbopogon martini (Roxb.) Wats, var. martini, fam. Poaceae (Gramineae)",0.0,0.0019,0.0071,0.0,0.0,0.0043,0.0,0.0,0.0035,0.0,0.0,0.0,0.0063,0.0,0.0,0.0,0.0364,0.0,0.0,0.0,0.7919,0.0915,0.0,0.0,0.0,0.0074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.004,0.0,0.0,0.0,0.0,0.0,0.0129
"Palmarosa (India) 7 - Cymbopogon martini (Roxb.) Wats, var. martini, fam. Poaceae (Gramineae)",0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.85,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Palmarosa (India) 9 - Cymbopogon martini (Roxb.) Wats, var. martini, fam. Poaceae (Gramineae)",0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0161,0.0,0.0,0.0022,0.85,0.0272,0.0,0.0,0.0008,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0126,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Palmarosa 2 - Cymbopogon martini (Roxb.) Wats, var. martini, fam. Poaceae (Germacreae)",0.011,0.0,0.0,0.0,0.001,0.012,0.0,0.0,0.0,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.027,0.0,0.0,0.0,0.814,0.073,0.0,0.0,0.006,0.004,0.003,0.0,0.013,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0
