,"Artemisia argentea (Madeira) - Artemisia argentea L'Her., fam. Asteraceae (Compositae)","Dill herb (Cuba) - Anethum graveolens L., fam. Apiaceae (Umbelliferae)","Dill herb (Europa) - Anethum graveolens L., fam. Apiaceae (Umbelliferae)","Dill herb (Finland) 2 - Anethum graveolens L., fam. Apiaceae (Umbelliferae)","Dill herb (Finland) 3 - Anethum graveolens L., fam. Apiaceae (Umbelliferae)","Dill herb (Reunion Island) - Anethum graveolens L., fam. Apiaceae (Umbelliferae)","Dill herb (U.S.A.) 1 - Anethum graveolens L., fam. Apiaceae (Umbelliferae)","Echinophora cinerea (Iran) - Echinophora cinerea (Boiss.) Hedge et Lamond, fam. Apiaceae (Umbelliferae)","Echinophora cinerea - Echinophora cinerea (Boiss.) Hedge et Lamond, fam. Apiaceae (Umbelliferae)","Erichtites hieracifolia (Brazil) - Erichtites hieracifolia (L.) Raf. ex DC, fam. Asteraceae (Compositae)","Ferulago contracta flower (Iran) - Ferulago contracta Boiss. et Hausskn., fam. Apiaceae (Umbelliferae)","Monodora brevipes seed (Cameroon) - Monodora brevipes Benth., fam. Annonaceae","Monodora myristica fruit (Cameroon) - Monodora myristica (Gaertn.) Dunal, fam. Annonaceae","Ridolfia segetum (Spain) 1a stem - Ridolfia segetum (L.) Moris, fam. Apiaceae (Umbelliferae)","Ridolfia segetum (Spain) 1b leaf - Ridolfia segetum (L.) Moris, fam. Apiaceae (Umbelliferae)","Ridolfia segetum (Spain) 1c flower - Ridolfia segetum (L.) Moris, fam. Apiaceae (Umbelliferae)","Ridolfia segetum (Spain) 1d fruit - Ridolfia segetum (L.) Moris, fam. Apiaceae (Umbelliferae)","Schinus molle berry - Schinus molle L., fam. Anarcadiaceae","Schinus molle leaf - Schinus molle L., fam. Anarcadiaceae"
"Artemisia argentea (Madeira) - Artemisia argentea L'Her., fam. Asteraceae (Compositae)",1.0,0.4871350644663518,0.2887372693142033,0.4101298933475327,0.32387593999258846,0.32775714255409094,0.26354870631701866,0.33680594234468353,0.529570433647162,0.5327322173476554,0.40247646861186814,0.17903797504631558,0.4571551514302208,0.45758715386461524,0.28541895253490934,0.36852080299444046,0.5022881705097195,0.35752370039799886,0.5665375684721192
"Dill herb (Cuba) - Anethum graveolens L., fam. Apiaceae (Umbelliferae)",0.4871350644663518,1.0,0.34408113847983135,0.5204003920068897,0.5063398132313836,0.3814911242279312,0.3088625304082455,0.25831514112221665,0.45206507097827753,0.4347375612658123,0.3543765012035909,0.0765209188139917,0.3848793004447755,0.37559233125528324,0.1848966025116684,0.25742464751529714,0.4289535508639636,0.34086139578895114,0.5024851219699613
"Dill herb (Europa) - Anethum graveolens L., fam. Apiaceae (Umbelliferae)",0.2887372693142033,0.34408113847983135,1.0,0.38937990705723713,0.5462623454344799,0.7056715894817465,0.9319079220092021,0.5380568776452785,0.4339043380352259,0.32791560152549093,0.5227093722200056,0.42568190532990635,0.4342419897637988,0.4360979154706387,0.4656714804289577,0.39433984229004726,0.22765821889001092,0.5222718595648966,0.3460122511458533
"Dill herb (Finland) 2 - Anethum graveolens L., fam. Apiaceae (Umbelliferae)",0.4101298933475327,0.5204003920068897,0.38937990705723713,1.0,0.6689725477432076,0.35793102449318814,0.334793970568558,0.15762090133319073,0.32970749629277996,0.27867378744863336,0.26328842465121083,0.0,0.2547672974873234,0.24730909815944813,0.1024231472835947,0.1934964859940057,0.32321375921451245,0.2017971864873649,0.3937063949469055
"Dill herb (Finland) 3 - Anethum graveolens L., fam. Apiaceae (Umbelliferae)",0.32387593999258846,0.5063398132313836,0.5462623454344799,0.6689725477432076,1.0,0.4915563009959488,0.48231766933764875,0.20852864503508206,0.3131265553810175,0.2750613150256752,0.26798083424113417,0.06857868948233148,0.26193205289967303,0.26793120158574557,0.15577225813184314,0.20076524964596154,0.25382080143828567,0.2355165721304786,0.32344703102749184
"Dill herb (Reunion Island) - Anethum graveolens L., fam. Apiaceae (Umbelliferae)",0.32775714255409094,0.3814911242279312,0.7056715894817465,0.35793102449318814,0.4915563009959488,1.0,0.6862449342502176,0.5414295439734549,0.43029912513750945,0.40203504169007687,0.4117978825916241,0.5180622373926074,0.5341972650447933,0.4947586539656811,0.5260212339980078,0.42493670134730444,0.22349591763440135,0.5639335566004058,0.3677506631950387
"Dill herb (U.S.A.) 1 - Anethum graveolens L., fam. Apiaceae (Umbelliferae)",0.26354870631701866,0.3088625304082455,0.9319079220092021,0.334793970568558,0.48231766933764875,0.6862449342502176,1.0,0.5719649986993806,0.430046934762523,0.3176834340342223,0.545678466258898,0.46065284396345896,0.43431513455510895,0.43961865555405844,0.4921961629927202,0.3989583174505672,0.21257360894119604,0.5497628413433766,0.329887200322142
"Echinophora cinerea (Iran) - Echinophora cinerea (Boiss.) Hedge et Lamond, fam. Apiaceae (Umbelliferae)",0.33680594234468353,0.25831514112221665,0.5380568776452785,0.15762090133319073,0.20852864503508206,0.5414295439734549,0.5719649986993806,1.0,0.630020291402265,0.4585017183554515,0.6297112614290086,0.6937208441501386,0.6514027516816345,0.6093011938401252,0.6941370279283128,0.5233109902623996,0.28167190990300306,0.6950879415825514,0.3804533687821754
"Echinophora cinerea - Echinophora cinerea (Boiss.) Hedge et Lamond, fam. Apiaceae (Umbelliferae)",0.529570433647162,0.45206507097827753,0.4339043380352259,0.32970749629277996,0.3131265553810175,0.43029912513750945,0.430046934762523,0.630020291402265,1.0,0.5194940938624126,0.6122954164865806,0.3810331173902093,0.7025832038279071,0.5659614796171584,0.450946907666693,0.478842850191294,0.4820733808640799,0.5563681646004366,0.5389171830082874
"Erichtites hieracifolia (Brazil) - Erichtites hieracifolia (L.) Raf. ex DC, fam. Asteraceae (Compositae)",0.5327322173476552,0.4347375612658123,0.32791560152549093,0.27867378744863336,0.2750613150256752,0.40203504169007687,0.3176834340342223,0.4585017183554515,0.5194940938624126,1.0,0.3966198489184968,0.3133204194811,0.4730000454266714,0.6123613688749688,0.4281088714898572,0.3955580779167921,0.4043587581428343,0.40507445327641944,0.42820005869270517
"Ferulago contracta flower (Iran) - Ferulago contracta Boiss. et Hausskn., fam. Apiaceae (Umbelliferae)",0.40247646861186814,0.3543765012035909,0.5227093722200056,0.26328842465121083,0.26798083424113417,0.4117978825916241,0.545678466258898,0.6297112614290086,0.6122954164865806,0.3966198489184968,1.0,0.3814928865311019,0.5081677636300345,0.5035545313189931,0.4678916955692115,0.45407520969270276,0.38212298155874447,0.6778194642512211,0.5203389201052805
"Monodora brevipes seed (Cameroon) - Monodora brevipes Benth., fam. Annonaceae",0.17903797504631558,0.0765209188139917,0.42568190532990635,0.0,0.06857868948233148,0.5180622373926074,0.46065284396345896,0.6937208441501386,0.3810331173902093,0.3133204194811,0.3814928865311019,1.0,0.5377471462901786,0.4761504569272409,0.6942932099039252,0.439340383020832,0.08523085777273709,0.5459033338494736,0.20162167155082766
"Monodora myristica fruit (Cameroon) - Monodora myristica (Gaertn.) Dunal, fam. Annonaceae",0.4571551514302208,0.3848793004447755,0.4342419897637988,0.2547672974873234,0.26193205289967303,0.5341972650447933,0.43431513455510895,0.6514027516816345,0.7025832038279071,0.4730000454266714,0.5081677636300345,0.5377471462901786,1.0,0.5663616109745084,0.5365227752883718,0.5164859253526826,0.36121388197401216,0.6211215059460458,0.48324428445350165
