,"Cassia, bark (Australia) - Cinnamomum cassia Blume, fam. Lauraceae","Cassia, bark (China) 3a - Cinnamomum cassia Blume, fam. Lauraceae","Cassia, branch & leaf (Australia) - Cinnamomum cassia Blume, fam. Lauraceae","Cassia, branch & leaf (China) 1a - Cinnamomum cassia Blume, fam. Lauraceae","Cassia, branch & leaf (China) 1b - Cinnamomum cassia Blume, fam. Lauraceae","Cassia, leaf (Australia) - Cinnamomum cassia Blume, fam. Lauraceae","Cinnamon bark (China) - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae","Cinnamon bark 1 - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae","Cinnamon bark 10 - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae","Cinnamon bark 11 - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae","Cinnamon bark 2a - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae","Cinnamon bark 2b - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae","Cinnamon bark 3 - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae","Cinnamon bark 8 - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae","Tejpat leaf (cinnamaldehyde-type) 1 - Cinnamomum tamala (Ham.) Nees et Eberm., fam. Lauraceae","Tejpat leaf (cinnamaldehyde-type) 2 - Cinnamomum tamala (Ham.) Nees et Eberm., fam. Lauraceae"
"Cassia, bark (Australia) - Cinnamomum cassia Blume, fam. Lauraceae",1.0,0.7810304848978394,0.6454586196205784,0.6527963894914546,0.652999293746238,0.6326638170482033,0.196812891476415,0.6681670336594709,0.5370880038882945,0.5819686099740302,0.7913532943903857,0.8200034219864575,0.7144153906976922,0.7092451031719823,0.1729708878918952,0.2446244228836132
"Cassia, bark (China) 3a - Cinnamomum cassia Blume, fam. Lauraceae",0.7810304848978394,1.0,0.5237473701259527,0.5090952288809856,0.5090538915321554,0.44964279070674207,0.05698841299165447,0.5227229619903835,0.37012083672521234,0.43069606002417726,0.6552971719973376,0.7112879384479276,0.5672572022120721,0.5933772871255567,0.0,0.082015261997616
"Cassia, branch & leaf (Australia) - Cinnamomum cassia Blume, fam. Lauraceae",0.6454586196205784,0.5237473701259527,1.0,0.658448433873551,0.6583663344197446,0.7749691798044481,0.26496294812084775,0.6552463265721225,0.5699354219914408,0.6080278564380399,0.6982200498939688,0.6814350378427492,0.684915469937617,0.6232242332240026,0.2708609051613432,0.33071284032812565
"Cassia, branch & leaf (China) 1a - Cinnamomum cassia Blume, fam. Lauraceae",0.6527963894914546,0.5090952288809856,0.658448433873551,1.0,0.9926965043545694,0.71009158302236,0.3200901940102967,0.7308083737038332,0.636866009883603,0.6865153307304211,0.7617761290302612,0.7290391244178094,0.7683929554123579,0.6568184919780753,0.33740720769334864,0.3953887466374052
"Cassia, branch & leaf (China) 1b - Cinnamomum cassia Blume, fam. Lauraceae",0.652999293746238,0.5090538915321554,0.6583663344197446,0.9926965043545694,1.0,0.7096968870670057,0.3200603472415624,0.7307329972308455,0.6368101296977511,0.6864506020108379,0.7616909573429587,0.7289642399819238,0.7683053513459346,0.6567593634772959,0.3373765809081043,0.3952442495026818
"Cassia, leaf (Australia) - Cinnamomum cassia Blume, fam. Lauraceae",0.6326638170482033,0.44964279070674207,0.7749691798044481,0.71009158302236,0.7096968870670057,1.0,0.36849915075065376,0.7190141165250883,0.7000016711696093,0.7010101812991917,0.7130954476098932,0.6653204683708964,0.7327431271996656,0.6522443573939458,0.4221116434170974,0.4735732686285571
"Cinnamon bark (China) - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae",0.1968128914764149,0.05698841299165447,0.26496294812084775,0.3200901940102967,0.3200603472415624,0.36849915075065376,1.0,0.49136816777078096,0.6169465893815325,0.451352506777257,0.3211261862598731,0.2836581512675924,0.367023565116976,0.4538074487427639,0.5053076489902406,0.36449450032328934
"Cinnamon bark 1 - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae",0.6681670336594709,0.5227229619903835,0.6552463265721225,0.7308083737038332,0.7307329972308455,0.7190141165250883,0.49136816777078096,1.0,0.7954672372391698,0.7819538977090149,0.8246802298792059,0.7841003877040631,0.8519727290204828,0.8318587033180537,0.4155436066244905,0.43765711717380984
"Cinnamon bark 10 - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae",0.5370880038882944,0.37012083672521223,0.5699354219914405,0.6368660098836032,0.6368101296977515,0.7000016711696093,0.6169465893815325,0.7954672372391702,1.0,0.7423751396893032,0.6537861493885402,0.6066260217681534,0.6907963631940138,0.7349749961022682,0.5248997766960783,0.4870710666938681
"Cinnamon bark 11 - Cinnamomum zeylanicum Blume (C. verum L. Presl), fam. Lauraceae",0.5819686099740302,0.43069606002417726,0.6080278564380399,0.6865153307304211,0.6864506020108379,0.7010101812991917,0.451352506777257,0.7819538977090149,0.7423751396893032,1.0,0.7203066908545182,0.6757754837925933,0.7783787633606136,0.6879678811166302,0.44894088274696053,0.48474740750059075
