,"Calamintha incana (Turkey) - Calamintha incana (Sm.) Boiss., fam. Lamiaceae (Labiatae)","Calamintha nepeta (Turkey) 2 - Calamintha nepeta (L.) Savi ssp. glandulosa (Req.) P.W.Ball, fam.Lamiaceae","Mentha longifolia (Italy) - Mentha longifolia (L.) Hudson, fam. Lamiaceae (Labiatae)","Mentha longifolia (Jordan) - Mentha longifolia (L.) Hudson, fam. Lamiaceae (Labiatae)","Mentha longifolia (Lithuania) - Mentha longifolia (L.) Hudson, fam. Lamiaceae (Labiatae)","Mentha longifolia ssp. himalaiensis - Mentha longifolia (L.) Hudson, ssp. himalaiensis Briq., fam. Lamiaceae","Mentha rotundifolia (Japan) - Mentha rotundifolia (L.) Hudson, fam. Lamiaceae (Labiatae)","Mentha spicata (Cuba) Chemotype - Mentha spicata L., fam. Lamiaceae (Labiatae)","Mentha spicata (Greece) Chemotype IIIb - Mentha spicata L. (Chemotype IIIb), fam. Lamiaceae (Labiatae)","Mentha suaveolens (Greece) - Mentha suaveolens Ehrh., fam Lamiacae (Labiatae)","Mentha x villosa (Greece) 2 - Mentha x villosa Hudson, fam. Lamiaceae (Labiatae)",Mentha x villoso-nervata (Greece) 1 - Mentha x villoso-nervata Opiz (M.longifolia L. x M.spicata L.) (Chemot.I),"Micromeria congesta (Turkey) - Micromeria congesta Boiss. et Hausskn. ex Boiss., fam. Lamiaceae (Labiat.","Satureja parvifolia (Argentina) - Satureja parvifolia (Phil.) Epl., fam. Lamiaceae (Labiatae)"
"Calamintha incana (Turkey) - Calamintha incana (Sm.) Boiss., fam. Lamiaceae (Labiatae)",1.0,0.3852819878537207,0.7433300517065344,0.6771289124875738,0.48389375544967694,0.5028711591830124,0.23032065841802352,0.6606669172020654,0.8096922673619503,0.7782119769875135,0.7787373670131978,0.21497800611397255,0.4911041277761833,0.8196879936858714
"Calamintha nepeta (Turkey) 2 - Calamintha nepeta (L.) Savi ssp. glandulosa (Req.) P.W.Ball, fam.Lamiaceae",0.3852819878537207,1.0,0.23699835135561842,0.14325638273174868,0.4391622293655306,0.30511531692583693,0.21842832189521533,0.4692397191989849,0.3591562868797903,0.2599090337087785,0.41401291857095146,0.19467557225885346,0.5288507749421549,0.3249268655288172
"Mentha longifolia (Italy) - Mentha longifolia (L.) Hudson, fam. Lamiaceae (Labiatae)",0.7433300517065344,0.23699835135561842,1.0,0.8080158582610042,0.34904722316261383,0.4438230074514995,0.05201530543961852,0.5312778402555033,0.8112460964901539,0.9310311238507936,0.6858728779796379,0.01603475214716077,0.3278030783839927,0.8064858777252426
"Mentha longifolia (Jordan) - Mentha longifolia (L.) Hudson, fam. Lamiaceae (Labiatae)",0.6771289124875738,0.14325638273174868,0.8080158582610042,1.0,0.2323866632080348,0.3630628207402562,0.024820166488243367,0.4111569547224724,0.6647541778372317,0.8115144087108744,0.5592234325999337,0.0,0.21826881994967107,0.6901815787944308
"Mentha longifolia (Lithuania) - Mentha longifolia (L.) Hudson, fam. Lamiaceae (Labiatae)",0.48389375544967683,0.4391622293655306,0.34904722316261383,0.2323866632080347,1.0,0.3929820694872188,0.2887373356256602,0.6929585727945238,0.49318129563825,0.3673707094878701,0.6217871994942801,0.3232608965031273,0.5815873160530125,0.4476198869402822
"Mentha longifolia ssp. himalaiensis - Mentha longifolia (L.) Hudson, ssp. himalaiensis Briq., fam. Lamiaceae",0.5028711591830124,0.30511531692583693,0.4438230074514995,0.3630628207402562,0.3929820694872188,1.0,0.14100979850364925,0.5039508126671428,0.5145227045660087,0.46195427881931983,0.5241718021855788,0.11557180973248238,0.45314448831067566,0.49475718161772375
"Mentha rotundifolia (Japan) - Mentha rotundifolia (L.) Hudson, fam. Lamiaceae (Labiatae)",0.23032065841802352,0.21842832189521533,0.05201530543961852,0.024820166488243367,0.2887373356256602,0.14100979850364925,1.0,0.29824872757537857,0.17480132023219241,0.08442812921409815,0.23031204814184592,0.5531966699214311,0.3179372955076002,0.13962343713216285
"Mentha spicata (Cuba) Chemotype - Mentha spicata L., fam. Lamiaceae (Labiatae)",0.6606669172020654,0.4692397191989849,0.5312778402555033,0.4111569547224724,0.6929585727945236,0.5039508126671428,0.29824872757537857,1.0,0.6771106112168424,0.5562935231777931,0.7774323337441627,0.29273469094452753,0.6288127930192133,0.6281905191884722
"Mentha spicata (Greece) Chemotype IIIb - Mentha spicata L. (Chemotype IIIb), fam. Lamiaceae (Labiatae)",0.8096922673619503,0.3591562868797903,0.8112460964901539,0.6647541778372317,0.4931812956382501,0.5145227045660087,0.17480132023219241,0.6771106112168424,1.0,0.8215909915430413,0.8143396674690346,0.14726888721156006,0.4763595490200794,0.8183233038048292
"Mentha suaveolens (Greece) - Mentha suaveolens Ehrh., fam Lamiacae (Labiatae)",0.7782119769875135,0.2599090337087785,0.9310311238507936,0.8115144087108744,0.3673707094878701,0.46195427881931983,0.08442812921409815,0.5562935231777931,0.8215909915430413,1.0,0.7074692994723709,0.04958416621722661,0.35446274486398743,0.8222377335042724
