,"Chenopodium ambrosioides - Chenopodium ambrosioides L., fam. Chenopodiaceae","Citrus cybrid leaf (Italy) - Citrus sinensis (L.) Osbeck x C. limon (L.) Burm. f., fam. Rutaceae","Etrog, leaf - Citrus medica L., cultivar ethrog Engl., fam. Rutaceae","Lemon leaf (petitgrain) (China) - Citrus limon (L.) Burm. f., fam. Rutaceae","Lemon leaf (petitgrain) (France-Corsica) - Citrus limon (L.) Burm. f., cultivar Eureka (fam. Rutaceae)","Lemon leaf (petitgrain) (India) - Citrus limon (L.) Burm. f., cultivar ""Plant Lemon-1"", fam. Rutaceae","Lemon leaf (petitgrain) (Italy) 2 - Citrus limon (L.) Burm. f., fam. Rutaceae","Lemon leaf (petitgrain) (Italy) 4 - Citrus limon (L.) Burm. f., fam. Rutaceae","Lemon leaf (petitgrain) (Italy) 5 Femminello - Citrus limon (L.) Burm. f., cultivar Femminello, fam. Rutaceae","Lemon leaf (petitgrain) (Nigeria) - Citrus limon (L.) Burm. f., cultivar Lisbon, fam. Rutaceae","Lemon leaf (petitgrain) (Russia) - Citrus limon (L.) Burm. f., fam. Rutaceae","Lemon leaf (petitgrain) (Spain) - Citrus limon (L.) Burm. f., fam. Rutaceae","Lemon leaf (petitgrain) (USA) - Citrus limon (L.) Burm. f., fam. Rutaceae","Lemon leaf (petitgrain) 2 - Citrus limon (L.) Burm. f., fam. Rutaceae","Lemon verbena (Turkey) - Aloysia triphylla (L'Herit.) Britton, fam. Verbenaceae","Lemongrass 3b headspace neat oil - Cymbopogon citratus (DC) Stapf (C. flexuosus), fam. Poaceae (Gramineae)","Lime (Mexican, West Indian, Key) (Cameroon) leaf - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae","Lime (Mexican, West Indian, Key) (China) leaf - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae","Lime (Mexican, West Indian, Key) (France) 1 leaf - Citrus aurantifolia (Christm.) Swingle, cultivar Mexican, fam. Rutaceae","Lime (Mexican, West Indian, Key) (Malaysia) leaf - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae","Lime (Mexican, West Indian, Key) (Nigeria) leaf - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae","Lime (Mexican, West Indian, Key) leaf - Citrus aurantifolia (Christm.) Swingle, fam. Rutaceae","Lime (Persian) (India) leaf - Citrus latifolia Tanaka, fam. Rutaceae","Zanthoxylum nitidum (Vietnam) - Zanthoxylum nitidum DC., fam Rutaceae"
"Chenopodium ambrosioides - Chenopodium ambrosioides L., fam. Chenopodiaceae",1.0,0.1132960519939813,0.24812420231874632,0.12732694933167876,0.11298117478288949,0.17453534990094444,0.1502326800495708,0.16862480974360128,0.14676696359270414,0.061874522705590795,0.0699845179704689,0.1327657186836666,0.158870157855736,0.1190802394609205,0.09132804058897626,0.015224742063360663,0.16291854329115762,0.0798337362492837,0.07317698182465748,0.0665141909030289,0.17019270819850274,0.1470127917530355,0.0,0.14457028401464078
"Citrus cybrid leaf (Italy) - Citrus sinensis (L.) Osbeck x C. limon (L.) Burm. f., fam. Rutaceae",0.1132960519939813,1.0,0.41989262084709267,0.3924197180510144,0.7270783078352032,0.4015487529687385,0.7237457596747343,0.7713006086059441,0.7987530727461333,0.40854372558037577,0.6441609349361411,0.7414403580037807,0.6213626204631163,0.5952645865384234,0.4542604601142315,0.38460448608037723,0.3146631860411999,0.43103804187309647,0.42361969912550523,0.4688602554827912,0.4590161753934634,0.5889490219008229,0.3430020638928254,0.3372752296841576
"Etrog, leaf - Citrus medica L., cultivar ethrog Engl., fam. Rutaceae",0.24812420231874632,0.41989262084709267,1.0,0.5355133524411879,0.4513846695009046,0.6280378551479734,0.47592434478066836,0.5306388331056995,0.5003622721309999,0.43076991772407336,0.3457034002753063,0.4863269854551163,0.5454438054617443,0.3833023515995665,0.33162139180969485,0.3046752248872646,0.6458535811756663,0.48575886746687447,0.4772390805043696,0.4283650994282504,0.5481996633457806,0.44767459131769216,0.37277063181567727,0.5722161925658045
"Lemon leaf (petitgrain) (China) - Citrus limon (L.) Burm. f., fam. Rutaceae",0.12732694933167876,0.3924197180510144,0.5355133524411879,1.0,0.5017875832354778,0.6098496482534411,0.44268571432002146,0.4901101359924509,0.5280551906091538,0.5072660217080096,0.3956188643793045,0.49056200439038367,0.4494125081388082,0.3188825615134493,0.2903399653186587,0.40200768713246526,0.5377665361530723,0.5925825207365742,0.6083894630936361,0.49246221119716127,0.4976164628020969,0.4141254202305299,0.5101068738269015,0.5776465904586301
"Lemon leaf (petitgrain) (France-Corsica) - Citrus limon (L.) Burm. f., cultivar Eureka (fam. Rutaceae)",0.11298117478288949,0.7270783078352032,0.4513846695009046,0.5017875832354778,1.0,0.5276420151836145,0.6958566984299092,0.8170383029240934,0.8089552941384193,0.5493848905395572,0.7803428660187348,0.7914473475252176,0.6491312362462751,0.6249773244398036,0.44827279812601206,0.4839301802337944,0.4169986019731119,0.557148941335573,0.5640955612930243,0.5298717887334115,0.5793579262532778,0.5298145948759014,0.4710342847498532,0.46040285571571127
"Lemon leaf (petitgrain) (India) - Citrus limon (L.) Burm. f., cultivar ""Plant Lemon-1"", fam. Rutaceae",0.17453534990094444,0.4015487529687385,0.6280378551479734,0.6098496482534411,0.5276420151836145,1.0,0.4686346688905447,0.5375789932811305,0.5542380692722464,0.5901692501584677,0.42194877847814827,0.5077529501077507,0.4951723924344088,0.36438381711895707,0.3391135834943537,0.4713417245520246,0.6479567868373615,0.63221377533259,0.6444270069777798,0.4927147534691336,0.6000890791641205,0.44244652225752434,0.5596458565189426,0.7486614859930083
"Lemon leaf (petitgrain) (Italy) 2 - Citrus limon (L.) Burm. f., fam. Rutaceae",0.1502326800495708,0.7237457596747343,0.47592434478066836,0.44268571432002146,0.6958566984299092,0.4686346688905447,1.0,0.7833798050573274,0.7377173427323556,0.3847305345830897,0.6137712444077634,0.7892980463043139,0.6152384407927115,0.6133478049547013,0.368549869666413,0.33702190043557145,0.38978650528214576,0.4352321516761648,0.42745615817929383,0.413760158341801,0.5144228055115991,0.5117364999031306,0.3538122085069242,0.4439025920367333
"Lemon leaf (petitgrain) (Italy) 4 - Citrus limon (L.) Burm. f., fam. Rutaceae",0.16862480974360128,0.7713006086059441,0.5306388331056995,0.4901101359924509,0.8170383029240934,0.5375789932811305,0.7833798050573274,1.0,0.8194703352621454,0.4744961884118284,0.6812822407876609,0.8428389964020088,0.6884561780589017,0.6637777227311698,0.4323200594949602,0.41242874838990895,0.44934213201511175,0.5059018645051787,0.5022517502690604,0.47507563162830646,0.582255927513952,0.5450596810625752,0.40872836657373635,0.48797122558070016
"Lemon leaf (petitgrain) (Italy) 5 Femminello - Citrus limon (L.) Burm. f., cultivar Femminello, fam. Rutaceae",0.14676696359270414,0.7987530727461333,0.5003622721309999,0.5280551906091538,0.8089552941384193,0.5542380692722464,0.7377173427323556,0.8194703352621454,1.0,0.5413027052937658,0.6858046622696403,0.7910136682839404,0.6432282001516998,0.592131280280721,0.4804894118511043,0.4654210743035986,0.43313308125149985,0.5734288828293646,0.5730573271224901,0.5504557436974074,0.5789947579271244,0.6148340735896587,0.48314691126757003,0.47332311240005565
"Lemon leaf (petitgrain) (Nigeria) - Citrus limon (L.) Burm. f., cultivar Lisbon, fam. Rutaceae",0.061874522705590795,0.40854372558037577,0.43076991772407336,0.5072660217080096,0.5493848905395572,0.5901692501584677,0.3847305345830897,0.4744961884118284,0.5413027052937658,1.0,0.5031337021210187,0.4503156446241766,0.41260376960565304,0.28567381334333164,0.43436483569635786,0.5332993042712194,0.4153408225188009,0.7936120118195025,0.7829448646930607,0.6760682203294868,0.5203926086784048,0.5038108072194081,0.7165518469271872,0.4385891199594759
