,"Achillea biebersteinii (Iran) flower - Achillea biebersteinii Afan., fam. Asteraceae (Compositae)","Artemisia anethoides (China) - Artemisia anethoides Mattf., fam. Asteraceae (Compositae)","Artemisia deserti (Iran) - Artemisia deserti Krasch., fam. Asteraceae (Compositae)","Artemisia judaica (Egypt) 2 - Artemisia judaica L. (Bat'aran), fam. Asteraceae (Compositae)","Cymbopogon distans 3 (Himalaya) - Cymbopogon distans (Steud.) Wats. (Chemotype 3), fam. Poaceae (Gramineae)","Cymbopogon jwarancusa (Himalaya) - Cymbopogon jwarancusa (Jones) Schult., fam. Poaceae (Gramineae)","Cymbopogon olivieri (Iran) - Cymbopogon olivieri (Boiss.) Bor, fam. Poaceae (Gramineae)","Eucalyptus dives (Rwanda) - Eucalyptus dives Schau., fam. Myrtaceae","Mentha longifolia (Iran) 3 - Mentha longifolia (L.) Hudson, fam. Lamiaceae (Labiatae)",Mentha longifolia (Iran) 3a flower - Mentha longifolia (L.) Hudson var. asiatica (Boriss.) Rech.f.fam.Lamiaceae,Mentha longifolia (Iran) 3b leaf - Mentha longifolia (L.) Hudson var. asiatica (Boriss.) Rech.f.fam.Lamiaceae,"Mentha rotundifolia (Greece) 1 - Mentha x rotundifolia (L.) Hudson (Chemotype I), fam. Lamiaceae (Labiatae)","Pennyroyal (Austria) - Mentha pulegium L., fam. Lamiaceae (Labiatae)","Zanthoxylum bungeanum (China) - Zanthoxylum bungeanum Maxim., fam. Rutaceae"
"Achillea biebersteinii (Iran) flower - Achillea biebersteinii Afan., fam. Asteraceae (Compositae)",1.0,0.5545956810081034,0.6265919022024746,0.4614227530349212,0.5154433384242119,0.31680742072662516,0.501640034260842,0.32027888938300464,0.4972926168739924,0.5790073933145912,0.5169161009687141,0.5191022484246416,0.3790580355278037,0.59797315346233
"Artemisia anethoides (China) - Artemisia anethoides Mattf., fam. Asteraceae (Compositae)",0.5545956810081034,1.0,0.6028283264676155,0.3501814631815937,0.7162329193208369,0.6563210019607281,0.5903828443246872,0.15471242192190204,0.4197431735981447,0.6187805404752563,0.7851646520876336,0.8360432589709145,0.6577992025275214,0.7877685254093627
"Artemisia deserti (Iran) - Artemisia deserti Krasch., fam. Asteraceae (Compositae)",0.6265919022024746,0.6028283264676155,1.0,0.4986513869744402,0.5139575965398453,0.37039785351588095,0.48333256689906245,0.21568544420959557,0.40493271577752576,0.5290414933674163,0.5239224420231099,0.5337394660073158,0.39512000254473456,0.5892095557799512
"Artemisia judaica (Egypt) 2 - Artemisia judaica L. (Bat'aran), fam. Asteraceae (Compositae)",0.4614227530349212,0.3501814631815937,0.4986513869744402,1.0,0.3784517549259194,0.17252082961049087,0.415375218516681,0.2997869655490124,0.4265145245482339,0.3541296328612141,0.25847909498120347,0.30912947113094336,0.21487172900600027,0.44761341330462545
"Cymbopogon distans 3 (Himalaya) - Cymbopogon distans (Steud.) Wats. (Chemotype 3), fam. Poaceae (Gramineae)",0.5154433384242119,0.7162329193208369,0.5139575965398453,0.3784517549259194,1.0,0.5787146420632518,0.5950326007052776,0.21943491440517282,0.4682056639465898,0.5401671900556702,0.6156007915146765,0.6926395659488875,0.6165325903066272,0.7293734141444743
"Cymbopogon jwarancusa (Himalaya) - Cymbopogon jwarancusa (Jones) Schult., fam. Poaceae (Gramineae)",0.31680742072662516,0.6563210019607283,0.37039785351588095,0.17252082961049087,0.5787146420632518,1.0,0.4432272192411876,0.0,0.2739134297786687,0.42476326655223284,0.6078527117865176,0.6578498481864699,0.6238012199640155,0.574248466887809
"Cymbopogon olivieri (Iran) - Cymbopogon olivieri (Boiss.) Bor, fam. Poaceae (Gramineae)",0.501640034260842,0.5903828443246872,0.48333256689906245,0.415375218516681,0.5950326007052776,0.4432272192411876,1.0,0.23665764084317453,0.4756511588304041,0.49313111333266035,0.49900960055296417,0.5631778540079282,0.4840688586798688,0.6451705890831714
"Eucalyptus dives (Rwanda) - Eucalyptus dives Schau., fam. Myrtaceae",0.32027888938300464,0.15471242192190204,0.21568544420959557,0.2997869655490124,0.21943491440517282,0.0,0.23665764084317453,1.0,0.2572402186143312,0.1799353919682709,0.07928891852428077,0.1244287053366877,0.040229514636641595,0.2442546891052314
"Mentha longifolia (Iran) 3 - Mentha longifolia (L.) Hudson, fam. Lamiaceae (Labiatae)",0.4972926168739924,0.41974317359814484,0.40493271577752576,0.4265145245482339,0.4682056639465899,0.27391342977866884,0.4756511588304041,0.2572402186143312,1.0,0.39502166878027734,0.3644441260868875,0.4196200642199007,0.3782300919558751,0.5182905799121023
Mentha longifolia (Iran) 3a flower - Mentha longifolia (L.) Hudson var. asiatica (Boriss.) Rech.f.fam.Lamiaceae,0.5790073933145912,0.6187805404752563,0.5290414933674163,0.3541296328612141,0.5401671900556702,0.42476326655223284,0.49313111333266035,0.1799353919682709,0.39502166878027734,1.0,0.5860718650357359,0.591530315272097,0.45385475781561857,0.6133452946296261
