,"Citronella ceylon (China) - Cymbopogon nardus (L.) Rendle, fam. Poaceae (Gramineae)","Citronella ceylon 4 - Cymbopogon nardus (L.) Rendle, fam. Poaceae (Gramineae)","Citronella java (Argentina) 1 - Cymbopogon winterianus Jowitt., fam. Poaceae (Gramineae)","Citronella java (Argentina) 2 - Cymbopogon winterianus Jowitt., fam. Poaceae (Gramineae)","Citronella java (Brazil) 1 - Cymbopogon winterianus Jowitt., fam. Poaceae (Gramineae)","Citronella java (Brazil) 2 - Cymbopogon winterianus Jowitt., fam. Poaceae (Gramineae)","Citronella java (China) - Cymbopogon winterianus Jowitt., fam. Poaceae (Gramineae)","Citronella java (Cuba) - Cymbopogon winterianus Jowitt., fam. Poaceae (Graminae)","Citronella java (Ghana) - Cymbopogon winterianus Jowitt., fam. Poaceae (Gramineae)","Citronella java (India) 1 - Cymbopogon winterianus Jowitt, fam. Poaceae (Gramineae)","Citronella java (India) 2 Andhra Pradesh - Cymbopogon winterianus Jowitt, fam. Poaceae (Gramineae)","Citronella java (India) 3 Orissa - Cymbopogon winterianus Jowitt, fam. Poaceae (Gramineae)","Citronella java (India) 4 - Cymbopogon winterianus Jowitt, fam. Poaceae (Gramineae)","Citronella java (India) 5 - Cymbopogon winterianus Jowitt, fam. Poaceae (Gramineae)","Citronella java (India) 6 - Cymbopogon winterianus Jowitt, fam. Poaceae (Gramineae)","Citronella java (S. America) - Cymbopogon winterianus Jowitt., fam. Poaceae (Gramineae)","Citronella java (Zimbabwe) - Cymbopogon winterianus Jowitt., fam. Poaceae (Gramineae)","Citronella java 1 - Cymbopogon winterianus Jowitt., fam. Poaceae (Gramineae)","Citronella java 2 - Cymbopogon winterianus Jowitt., fam. Poaceae (Gramineae)","Citronella java 3 - Cymbopogon winterianus Jowitt., fam. Poaceae (Gramineae)","Citronella java 4b oil - Cymbopogon winterianus Jowitt, fam. Poaceae (Gramineae)","Eucalyptus citriodora (Burundi) - Eucalyptus citriodora Hook. f., fam. Myrtaceae","Lemon balm 2 - Melissa officinalis L., fam. Lamiaceae (Labiatae)"
"Citronella ceylon (China) - Cymbopogon nardus (L.) Rendle, fam. Poaceae (Gramineae)",1.0,0.3165379993861446,0.7761048009180943,0.7773143024322161,0.22459653420213022,0.7678672594671856,0.7322788634876133,0.6310295414054229,0.6234128316602865,0.7929487299832778,0.6381036232515986,0.7351558650427911,0.7640405416102798,0.6999763073834858,0.6473627634599476,0.7409722241435297,0.7559504463184722,0.6573544835699052,0.8109654908895478,0.7632844644780941,0.7472469218126011,0.4858645572804676,0.33339234157511155
"Citronella ceylon 4 - Cymbopogon nardus (L.) Rendle, fam. Poaceae (Gramineae)",0.3165379993861446,1.0,0.37138152842029326,0.3499134331703295,0.035118338923629366,0.3612830542607678,0.3637851397355937,0.47263166338384244,0.3434962103272404,0.30993602967216627,0.0861392068375193,0.19783348895651187,0.3749913800906862,0.1552543275581495,0.4402384562077356,0.3431206811286879,0.3281718392653623,0.357075572438156,0.3442322784892038,0.3747722240634117,0.39602397163573666,0.0,0.13607016179733733
"Citronella java (Argentina) 1 - Cymbopogon winterianus Jowitt., fam. Poaceae (Gramineae)",0.7761048009180943,0.37138152842029326,1.0,0.849545552039601,0.17820917317405605,0.826457878337383,0.8304385027304582,0.6983108381647503,0.7927031514105518,0.7949250089401385,0.5563939197293221,0.6996597773749582,0.8194751024286321,0.7263466281322947,0.7413929116664608,0.8439306236642016,0.8457307826615826,0.7852506689063921,0.9227809849950752,0.8406975048110037,0.8109113877309676,0.36012190917953335,0.27053554064127505
"Citronella java (Argentina) 2 - Cymbopogon winterianus Jowitt., fam. Poaceae (Gramineae)",0.7773143024322161,0.3499134331703295,0.849545552039601,1.0,0.17600099878563502,0.8439248773490315,0.9278850989761581,0.6717150992426388,0.7628130890679065,0.8445294000775064,0.6076474049060443,0.7387229581747611,0.8132014935760135,0.7043617297017775,0.7263522970098497,0.9078179088385836,0.8257134881304962,0.7365333678657942,0.83731238189101,0.9187604021375673,0.8009095737739735,0.34141913243365374,0.28887263089797355
"Citronella java (Brazil) 1 - Cymbopogon winterianus Jowitt., fam. Poaceae (Gramineae)",0.22459653420213022,0.035118338923629366,0.17820917317405605,0.17600099878563502,1.0,0.20822761268694545,0.16334824474448495,0.19373997469962678,0.07331100411483915,0.19141335703155582,0.15375729470346822,0.19376679170982058,0.21918034662122898,0.08914740482807226,0.19654595580855094,0.1329511572737163,0.14051947056578795,0.12519081189979486,0.19026680374189364,0.1638222053662628,0.15788683506839563,0.19661987180377227,0.24676255635559474
"Citronella java (Brazil) 2 - Cymbopogon winterianus Jowitt., fam. Poaceae (Gramineae)",0.7678672594671856,0.3612830542607678,0.826457878337383,0.8439248773490315,0.20822761268694545,1.0,0.8471384093400155,0.6943406488877102,0.7414749373611526,0.837967920396528,0.6176247109108528,0.7611429976856048,0.8812676939416242,0.6445660503959447,0.786553311117458,0.8218390826661688,0.8129176651074597,0.7354259911739911,0.8030616628741198,0.837760567041211,0.772288461193456,0.3682822734384663,0.35047542233178264
"Citronella java (China) - Cymbopogon winterianus Jowitt., fam. Poaceae (Gramineae)",0.7322788634876133,0.3637851397355937,0.8304385027304582,0.9278850989761581,0.16334824474448495,0.8471384093400155,1.0,0.6775547451532888,0.7870180488400156,0.8171031113519226,0.5807558838125908,0.7119499070707971,0.8236484945466006,0.6586877068434758,0.7645211676073759,0.9096169238351303,0.8031783761308404,0.7446078281122173,0.7965183268476258,0.9223418342336855,0.7971818401816272,0.29672125231377366,0.2771619041202972
"Citronella java (Cuba) - Cymbopogon winterianus Jowitt., fam. Poaceae (Graminae)",0.6310295414054229,0.47263166338384244,0.6983108381647503,0.6717150992426388,0.19373997469962678,0.6943406488877102,0.6775547451532888,1.0,0.6198425809952737,0.5947520368263657,0.3614313018404177,0.4965964043499359,0.7069121595264114,0.4853183423063818,0.7530646907646309,0.6355281910959765,0.6077038744562346,0.6594966954417454,0.6632385532473392,0.6844352252137275,0.6767404553636751,0.2999870063238581,0.264850947169879
"Citronella java (Ghana) - Cymbopogon winterianus Jowitt., fam. Poaceae (Gramineae)",0.6234128316602865,0.3434962103272404,0.7927031514105518,0.7628130890679065,0.07331100411483915,0.7414749373611526,0.7870180488400156,0.6198425809952737,1.0,0.6872441946415998,0.45891431258638704,0.5970891941955772,0.6997692331658335,0.646990135428027,0.6789737363440782,0.8126562602595179,0.7678882485132756,0.7370078711128822,0.7424754014722921,0.7824192344323073,0.7412132022996369,0.18118399202850044,0.17378939675924177
"Citronella java (India) 1 - Cymbopogon winterianus Jowitt, fam. Poaceae (Gramineae)",0.7929487299832778,0.30993602967216627,0.7949250089401385,0.8445294000775064,0.19141335703155582,0.837967920396528,0.8171031113519226,0.5947520368263657,0.6872441946415998,1.0,0.7160512948525402,0.8228463930512171,0.8153826428747015,0.6896853193033758,0.6891000402456474,0.8305919582284074,0.8173394286171878,0.6823548137579931,0.8073326539721765,0.8232613199399217,0.7545459358559519,0.39338474063960416,0.3206606763235115
