,"Basil (Italy) 2 var. hispidum - Ocimum basilicum L. cultivar hispidum (Lam.) Chiov., fam. Lamiaceae","Basil, var. hispidum (Somalia) - Ocimum basilicum L. cultivar hispidum, fam. Lamiaceae (Labiatae)","Tagetes (Argentina) 3 - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)","Tagetes (Egypt) - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)","Tagetes (India) 5 - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)","Tagetes (India) 6a whole plant - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)","Tagetes (India) 6b leaf - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)","Tagetes (India) 6c flower - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)","Tagetes (Zambia) - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)","Tagetes 3a (leaf) - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)","Tagetes lemmonii - Tagetes lemmonii Gray, fam. Asteraceae (Compositae)"
"Basil (Italy) 2 var. hispidum - Ocimum basilicum L. cultivar hispidum (Lam.) Chiov., fam. Lamiaceae",1.0,0.9917353370825884,0.2625571632189011,0.29758693856459906,0.218412718510959,0.36743498394789065,0.5892600825392957,0.3230827448526933,0.0,0.3831762821230229,0.24111637631021177
"Basil, var. hispidum (Somalia) - Ocimum basilicum L. cultivar hispidum, fam. Lamiaceae (Labiatae)",0.9917353370825884,1.0,0.2625571632189011,0.29758693856459906,0.218412718510959,0.36743498394789065,0.5892600825392957,0.3230827448526933,0.0,0.3831762821230229,0.24111637631021177
"Tagetes (Argentina) 3 - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)",0.2625571632189011,0.2625571632189011,1.0,0.47855773723635653,0.7201808815126964,0.7964249455051544,0.6352601464685208,0.7974340233559778,0.6769114089506785,0.657230437084485,0.4712411546254005
"Tagetes (Egypt) - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)",0.29758693856459906,0.29758693856459906,0.47855773723635653,1.0,0.3515962408291802,0.5422669630869343,0.511272214586682,0.5730950283299464,0.35963220246389305,0.6256545028382747,0.5554223671115521
"Tagetes (India) 5 - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)",0.218412718510959,0.218412718510959,0.7201808815126964,0.3515962408291802,1.0,0.7405909652959546,0.6024819693641779,0.619841822807499,0.5595936493922096,0.5055541369364761,0.3396360914972788
"Tagetes (India) 6a whole plant - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)",0.36743498394789065,0.36743498394789065,0.7964249455051544,0.5422669630869343,0.7405909652959546,1.0,0.7687159728488198,0.8121812884324214,0.570098076622791,0.7513555250449189,0.531793392043316
"Tagetes (India) 6b leaf - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)",0.5892600825392957,0.5892600825392957,0.6352601464685208,0.511272214586682,0.6024819693641779,0.7687159728488198,1.0,0.6723699351496057,0.3787900720215337,0.6938703247332263,0.46995093658732345
"Tagetes (India) 6c flower - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)",0.3230827448526933,0.3230827448526933,0.7974340233559778,0.5730950283299464,0.619841822807499,0.8121812884324214,0.6723699351496057,1.0,0.6022924779322858,0.7701579317736861,0.5774591709492561
"Tagetes (Zambia) - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)",0.0,0.0,0.6769114089506785,0.35963220246389305,0.5595936493922095,0.570098076622791,0.3787900720215337,0.6022924779322858,1.0,0.5118820061698857,0.39578340539388435
"Tagetes 3a (leaf) - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)",0.383176282123023,0.383176282123023,0.657230437084485,0.6256545028382747,0.5055541369364761,0.7513555250449189,0.6938703247332265,0.7701579317736861,0.5118820061698857,1.0,0.632566646278188
"Tagetes lemmonii - Tagetes lemmonii Gray, fam. Asteraceae (Compositae)",0.24111637631021177,0.24111637631021177,0.4712411546254005,0.5554223671115521,0.3396360914972788,0.531793392043316,0.46995093658732345,0.5774591709492561,0.39578340539388435,0.632566646278188,1.0
