,"Anthemis montana (Yugoslavia) - Anthemis montana L., fam. Asteraceae (Compositae)","Artemisia coerulescens - Artemisia coerulescens L. var. palmata Lam., fam. Asteraceae (Compsitae)","Artemisia genipi (Italy) - Artemisia genipi Weber, fam. Asteraceae (Compositae)","Artemisia maritima (Himalaya) - Artemisia maritima L., fam. Asteracae (Compositae)","Artemisia nilagirica (vulgaris) (India) 2 - Artemisia nilagirica (C.B. Clarks) Pamp. (A. vulgaris Hook f.), Asteraceae","Artemisia petrosa (Italy) - Artemisia petrosa Baumg. ssp. eriantha Ten., fam. Asteraceae (Compositae)","Artemisia speciosa (China) - Artemisia speciosa (Pamp.) Ling et Y.R. Ling, fam. Asteraceae (Compositae)","Artemisia umbelliformis (Italy) - Artemisia umbelliformis Lam., fam. Asteraceae (Compositae)","Artemisia verlotiorum (France) - Artemisia verlotiorum Lamotte, fam. Asteraceae (Compositae)","Cedarleaf (Canada) 1 - Thuja occidentalis L., fam. Taxodiaceae","Cedarleaf (Canada) 2 - Thuja occidentalis L., fam. Taxodiaceae","Cedarleaf (Canada) 3 - Thuja occidentalis L., fam. Taxodiaceae","Cedarleaf (Canada) 4 - Thuja occidentalis L., fam. Taxodiaceae","Cedarleaf (Italy) - Thuja occidentalis L., fam. Taxodiaceae","Cedarleaf (Japan) - Thuja occidentalis L., fam. Taxodiaceae","Cedarleaf (U.S.A.) - Thuja occidentalis L., fam. Taxodiaceae","Cedarleaf 1 - Thuja occidentalis L., fam. Taxodiaceae","Cedarleaf 2 - Thuja occidentalis L., fam. Taxodiaceae","Cedarleaf 3 - Thuja occidentalis L., fam. Taxodiaceae","Cedarleaf 5 - Thuja occidentalis L., fam. Taxodiaceae","Lanyana (Oregon-USA) - Artemisia afra Jacq., fam. Asteraceae (Compositae)","Lanyana (South Africa) 1 - Artemisia afra Jacq., fam. Asteraceae (Compositae)","Lanyana (South Afrika) 2 - Artemisia afra Jacq., fam. Asteraceae (Compositae)","Sage, dalmatian (Egypt) 1 - Salvia officinalis L., fam. Lamiaceae (Labiatae)","Sage, dalmatian (France) 3 - Salvia officinalis L., fam. Lamiaceae (Labiatae)","Sage, dalmatian (Italy) 7 - Salvia officinalis L., fam. Lamiaceae (Labiatae)","Sage, dalmatian (Reunion Island) 2 - Salvia officinalis L., fam. Lamiaceae (Labiatae)","Sage, dalmatian 7 - Salvia officinalis L., fam. Lamiaceae (Labiatae)"
"Anthemis montana (Yugoslavia) - Anthemis montana L., fam. Asteraceae (Compositae)",1.0,0.455781692463447,0.16646102929221485,0.34120829494004634,0.5521621451446734,0.37940921278523687,0.3445825237111172,0.4266562585766628,0.4017376636528893,0.4722752322664402,0.5523876849068279,0.502795327507146,0.4924031008552783,0.4996607865178384,0.5123176235626737,0.5151603457051102,0.34842572812370487,0.503524938554111,0.5140594066668293,0.5260815101427772,0.4831310511481639,0.5200099603764143,0.30889370191687404,0.07775780236139884,0.4026108220521267,0.5249532887492119,0.4546598129390167,0.40975077457424525
"Artemisia coerulescens - Artemisia coerulescens L. var. palmata Lam., fam. Asteraceae (Compsitae)",0.455781692463447,1.0,0.6563672040160726,0.6611674242399697,0.7114684747596125,0.8063071617491682,0.4036643917127697,0.832665166372222,0.3516802675828804,0.5598017783325859,0.5390394997552508,0.4476833436004509,0.5166123299876662,0.3790188008761952,0.48380456327148924,0.5127187970417736,0.7590171061609308,0.30326167156015504,0.4855205440253937,0.41292341902350793,0.5404727830510099,0.5456484625064341,0.367919478590914,0.15596818572655569,0.7141510374784137,0.45241259035780346,0.3681276975664629,0.7052020433739113
"Artemisia genipi (Italy) - Artemisia genipi Weber, fam. Asteraceae (Compositae)",0.16646102929221485,0.6563672040160731,1.0,0.49206390376654374,0.4361355748193487,0.7089348825316188,0.20086338840415352,0.6556280551008182,0.09858735089335402,0.3262742128331656,0.2515034321420102,0.16701461930053607,0.2486084616594787,0.08404451543747149,0.2081584327990852,0.23552532509295065,0.6366183575964387,0.0,0.20926449186342888,0.11687699719694278,0.2943732403379292,0.28069210623658747,0.17189554530336082,0.02178256945109658,0.5570731625663491,0.17057995808528814,0.10253121317665126,0.5347169724130247
"Artemisia maritima (Himalaya) - Artemisia maritima L., fam. Asteracae (Compositae)",0.34120829494004634,0.6611674242399697,0.49206390376654374,1.0,0.6350629595906487,0.512445201434993,0.4554350393612162,0.5256218789062386,0.407021257058805,0.4223666385300976,0.49346156465451396,0.42262359340035627,0.4796713998300166,0.37430321032475655,0.45463567386323944,0.4744507257407602,0.6537900621558288,0.2594293125928213,0.4562595932403113,0.39803634742547467,0.4939258773252527,0.5082517911874181,0.4859962670461754,0.17921487889980958,0.5686289786193219,0.45823116734019,0.3647673589415401,0.6430591565509333
"Artemisia nilagirica (vulgaris) (India) 2 - Artemisia nilagirica (C.B. Clarks) Pamp. (A. vulgaris Hook f.), Asteraceae",0.5521621451446734,0.7114684747596125,0.4361355748193484,0.6350629595906487,1.0,0.5869524838841216,0.5202674565974852,0.6134012769048184,0.44534556339462206,0.5789307021394366,0.6678173717602993,0.5837134198121172,0.6134729164508586,0.5378803943207258,0.6163857353151269,0.6223266431049672,0.6196886187929169,0.46190642140492133,0.6186955216020593,0.5760299037879817,0.5985955071656821,0.6272986947834636,0.5060359822851632,0.23807471478351128,0.5941582979464254,0.6264245840434426,0.5518506759047592,0.7075903400493149
"Artemisia petrosa (Italy) - Artemisia petrosa Baumg. ssp. eriantha Ten., fam. Asteraceae (Compositae)",0.37940921278523687,0.8063071617491688,0.7089348825316188,0.512445201434993,0.5869524838841216,1.0,0.2936115540912623,0.8688836211222833,0.26389883858036756,0.4963433145004682,0.4242783305573493,0.33711671085233363,0.4047215340836652,0.26001423291114567,0.37175067303526443,0.40206902635341013,0.674117751553284,0.20109659120202528,0.3731583788481706,0.29354083907540096,0.46888402354037895,0.4634092205978496,0.2605546368304086,0.07681299559206411,0.6965015668779815,0.3465924274247004,0.2684402527542833,0.6120734689943225
"Artemisia speciosa (China) - Artemisia speciosa (Pamp.) Ling et Y.R. Ling, fam. Asteraceae (Compositae)",0.3445825237111172,0.4036643917127697,0.2008633884041534,0.4554350393612162,0.5202674565974852,0.2936115540912623,1.0,0.3058003055310736,0.30813571454697697,0.34061104044816726,0.4573116576081583,0.4083559496642277,0.4163274825980713,0.3974182008715945,0.431585926785944,0.42572165707403054,0.3731996992462002,0.32269195390140193,0.4331438098173549,0.41992118866020756,0.374182929412314,0.3994429805849373,0.398070396352717,0.12670123598583605,0.3224092003065687,0.4345581864985063,0.3866453352652366,0.4458398609820836
"Artemisia umbelliformis (Italy) - Artemisia umbelliformis Lam., fam. Asteraceae (Compositae)",0.4266562585766628,0.832665166372222,0.6556280551008182,0.5256218789062386,0.6134012769048184,0.8688836211222833,0.3058003055310736,1.0,0.3153142203845831,0.531703852465065,0.4602620417799621,0.37378406838906386,0.4398180884545605,0.29933491336917906,0.40549811656697754,0.43739575215442017,0.6704521612645096,0.2473665370519883,0.40697212065012356,0.33398752131238196,0.5234779661644537,0.5205932886670233,0.2888250829716952,0.08238521086021422,0.7444701310875348,0.3960944341757284,0.31179332331403886,0.6200575268789853
"Artemisia verlotiorum (France) - Artemisia verlotiorum Lamotte, fam. Asteraceae (Compositae)",0.4017376636528893,0.3516802675828804,0.09858735089335402,0.407021257058805,0.44534556339462206,0.26389883858036756,0.30813571454697697,0.3153142203845831,1.0,0.3351379469951671,0.4298889990929642,0.4023384301991745,0.39291449440597004,0.39969034605752163,0.40279054418174665,0.40114183368245027,0.26647808192006217,0.37565277106053874,0.40416443686424597,0.416994681436171,0.6642215097630001,0.7095133096050659,0.5196206328845902,0.045046359446973994,0.49576124267528765,0.636561149631296,0.4772046374764799,0.36705938647812697
"Cedarleaf (Canada) 1 - Thuja occidentalis L., fam. Taxodiaceae",0.4722752322664402,0.5598017783325859,0.3262742128331656,0.4223666385300976,0.5789307021394366,0.4963433145004682,0.34061104044816726,0.531703852465065,0.3351379469951671,1.0,0.7713650623156986,0.7172532577101078,0.7630959496402949,0.6101834362383158,0.7453428141297441,0.6752285608231972,0.6154312222160374,0.570221113887354,0.7488103909710506,0.6313428870152265,0.48803761557136593,0.5012285719350498,0.3284103093890325,0.0852745153141724,0.48910986926446887,0.46976254116367144,0.41197997542984766,0.5026161582721282
