,"Aframomum citratum (Cameroon) 1 seed - Aframomum citratum (Pereira) K. Schum., fam. Zingiberaceae","Aframomum citratum (Cameroon) 2b seed - Aframomum citratum (Pereira) K. Schum., fam. Zingiberaceae","Cymbopogon khasianus (India) - Cymbopogon khasianus (Munro ex Hack.) Bor, fam. Poaceae (Gramineae)","Cymbopogon nardus, var. confertiflorus - Cymbopogon naruds (L.) Rendle, var., confertiflorus (Steud.), fam. Poaceae","Monarda fistulosa, var. menthaefolia 1 - Monarda fistulosa L. var. menthaefolia, fam. Lamiaceae (Labiatae)","Monarda fistulosa, var. menthaefolia 2 - Monarda fistulosa L. var. menthaefolia, fam. Lamiaceae (Labiatae)","Ocimum gratissimum (Nigeria) flower - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)","Ocimum gratissimum (Nigeria) leaf - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)","Ocimum gratissimum (Nigeria) stem - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)","Palmarosa (Bangladesh) - Cymbopogon martini (Roxb.) Wats, var. martini, fam. Poaceae (Gramineae)","Palmarosa (Brazil) - Cymbopogon martini (Roxb.) Wats, var. martini, fam. Poaceae (Gramineae)","Palmarosa (Guatemala) - Cymbopogon martini (Roxb.) Wats, var. martini, fam. Poaceae (Gramineae)","Palmarosa (India) 1 - Cymbopogon martini (Roxb.) Wats, var. martini, fam. Poaceae (Gramineae)","Palmarosa (India) 10a Spikelet - Cymbopogon martini (Roxb.) Wats, var. motia, fam. Poaceae (Gramineae)","Palmarosa (India) 10b Raceme - Cymbopogon martini (Roxb.) Wats, var. motia, fam. Poaceae (Gramineae)","Palmarosa (India) 10c Spathe - Cymbopogon martini (Roxb.) Wats, var. motia, fam. Poaceae (Gramineae)","Palmarosa (India) 2 - Cymbopogon martini (Roxb.) Wats, var. martini, fam. Poaceae (Gramineae)","Palmarosa (India) 3 - Cymbopogon martini (Roxb.) Wats, var. martini, fam. Poaceae (Gramineae)","Palmarosa (India) 4 - Cymbopogon martini (Roxb.) Wats, var. martini, fam. Poaceae (Gramineae)","Palmarosa (India) 5 - Cymbopogon martini (Roxb.) Wats, var. martini, fam. Poaceae (Gramineae)","Palmarosa (India) 6 - Cymbopogon martini (Roxb.) Wats, var. martini, fam. Poaceae (Gramineae)","Palmarosa (India) 7 - Cymbopogon martini (Roxb.) Wats, var. martini, fam. Poaceae (Gramineae)","Palmarosa (India) 8 - Cymbopogon martini (Roxb.) Wats, var. motia Burk., fam. Poaceae","Palmarosa (India) 9 - Cymbopogon martini (Roxb.) Wats, var. martini, fam. Poaceae (Gramineae)","Palmarosa (Madagascar) - Cymbopogon martini (Roxb.) Wats, var. martini, fam. Poaceae (Gramineae)","Palmarosa 1 - Cymbopogon martini (Roxb.) Wats, var. martini, fam Poacae (Gramineae)","Palmarosa 2 - Cymbopogon martini (Roxb.) Wats, var. martini, fam. Poaceae (Germacreae)"
"Aframomum citratum (Cameroon) 1 seed - Aframomum citratum (Pereira) K. Schum., fam. Zingiberaceae",1.0,0.9975015016921511,0.5686163410979841,0.559696823558077,0.3163764365938302,0.4765482066276947,0.4853951052813026,0.39369002786733476,0.4736987595162887,0.46651648976812066,0.47774834702715985,0.28922711548089663,0.5662262257396327,0.4797749123128996,0.45144788285613957,0.5023135614647136,0.6049305299167661,0.550859225446031,0.5355799707063269,0.565206158760396,0.543136757433575,0.4864081628818333,0.6282523334930092,0.48742699808296974,0.49528825221916506,0.42079010597547517,0.5381696357212946
"Aframomum citratum (Cameroon) 2b seed - Aframomum citratum (Pereira) K. Schum., fam. Zingiberaceae",0.9975015016921511,1.0,0.5686235765901209,0.5597039124735996,0.3163810023482686,0.47655416947797646,0.48540117064391786,0.3936951758284273,0.47370469008274285,0.4665223404906854,0.4777543235802978,0.2892315068365685,0.5662334213631799,0.4797809121482952,0.45145357285894205,0.5023198330170813,0.6049384304971493,0.5508661748730702,0.5355866914963088,0.5652133375020592,0.5431299255782891,0.4864142402084908,0.6282607297317093,0.4874330874895998,0.4952944364739046,0.4207954948016117,0.5381763941979468
"Cymbopogon khasianus (India) - Cymbopogon khasianus (Munro ex Hack.) Bor, fam. Poaceae (Gramineae)",0.5686163410979841,0.5686235765901209,1.0,0.8305896543718854,0.5828854540305215,0.7047804595419882,0.7454158953537238,0.6636172156077516,0.7321210131325263,0.8586415102436815,0.8352229474537712,0.35355495248949265,0.832037533756314,0.706269351334657,0.6713672074542945,0.7268392817625116,0.8682433553502299,0.9116894825427829,0.8314254100945966,0.9022138704122612,0.8359625972904048,0.8066365687017761,0.8736219150120182,0.7797219828470567,0.8323446198472444,0.7929635693447693,0.8912220289693382
"Cymbopogon nardus, var. confertiflorus - Cymbopogon naruds (L.) Rendle, var., confertiflorus (Steud.), fam. Poaceae",0.559696823558077,0.5597039124735996,0.8305896543718854,1.0,0.48852438126347,0.6104184917765911,0.660010835342563,0.5736269630742701,0.6496416660903217,0.7669823805001902,0.7590488855441305,0.40402833282979034,0.7859915508120016,0.6263518544546602,0.6775668815848933,0.7215195261434881,0.8216518424835932,0.7967137267327522,0.7985607529120216,0.8002157258371425,0.8291129438604525,0.7037303505242541,0.832079350716972,0.6847817854620014,0.7263643558858894,0.6962294562929763,0.7864258860873871
"Monarda fistulosa, var. menthaefolia 1 - Monarda fistulosa L. var. menthaefolia, fam. Lamiaceae (Labiatae)",0.3163764365938302,0.3163810023482686,0.5828854540305215,0.48852438126347,1.0,0.8175839558730963,0.7422043683419937,0.8540566848358662,0.7351984276188503,0.6191859072101471,0.5569791194568243,0.0,0.45786472785031374,0.6997128277102054,0.298383593831387,0.3955537177906182,0.5057498586575482,0.600473011244379,0.4414654674001216,0.5699048699163105,0.46646383615218023,0.7499066843303295,0.538409622240447,0.7715052606220558,0.6843027014276195,0.6880927309413355,0.642675432188293
"Monarda fistulosa, var. menthaefolia 2 - Monarda fistulosa L. var. menthaefolia, fam. Lamiaceae (Labiatae)",0.4765482066276947,0.47655416947797646,0.7047804595419882,0.6104184917765911,0.8175839558730963,1.0,0.8469201262618781,0.854764160945091,0.8212679366953111,0.6972432369283741,0.6454705734487474,0.12860169290422552,0.5782141895027074,0.7770094809863284,0.40527867389395533,0.5079979108813124,0.6375591685884592,0.7117508155030465,0.5556025492790397,0.6830147014995441,0.5855127605916643,0.8322467227995107,0.6783529114006965,0.8642480542629867,0.7746742353752302,0.7343237359133465,0.7509259080139934
"Ocimum gratissimum (Nigeria) flower - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)",0.4853951052813026,0.48540117064391786,0.7454158953537238,0.660010835342563,0.7422043683419937,0.8469201262618781,1.0,0.8529593944811416,0.9026511825977319,0.7154665634236836,0.6555762311253449,0.1690091160094711,0.6192661569374989,0.7767685790192767,0.4402894227606634,0.5524317025644698,0.6672252552600674,0.7430085886382458,0.5959633125383725,0.7045118255151106,0.6189559898868078,0.8227639898107366,0.7227403020738502,0.8482516530654678,0.7557961057067657,0.7305828599398676,0.7693700645007449
"Ocimum gratissimum (Nigeria) leaf - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)",0.39369002786733476,0.3936951758284273,0.6636172156077516,0.5736269630742701,0.8540566848358662,0.854764160945091,0.8529593944811416,1.0,0.8641565758062832,0.6819841511975003,0.6155801540657913,0.07711837359278195,0.5400553018040855,0.7591372470682419,0.3694754010187222,0.47428157917521874,0.5888472218013472,0.6824052866375159,0.5211632068134314,0.6424229911510949,0.5467693080545704,0.8184396102128673,0.6282539287637711,0.8396974311887262,0.7371383850699783,0.7310495677953293,0.7181741531901702
"Ocimum gratissimum (Nigeria) stem - Ocimum gratissimum L., fam. Lamiaceae (Labiatae)",0.4736987595162887,0.47370469008274285,0.7321210131325263,0.6496416660903217,0.7351984276188503,0.8212679366953111,0.9026511825977319,0.8641565758062832,1.0,0.7115714464806179,0.6494717287842526,0.16235274058614912,0.6143390009704375,0.7736098564964724,0.43420023247413253,0.5452202524051846,0.6563353950646653,0.7345078957457876,0.590003203165493,0.6963175259382524,0.6133718575237752,0.8128131137708768,0.7129251539056054,0.8410642794980463,0.7490844590147078,0.7273295720486319,0.7600014522165306
"Palmarosa (Bangladesh) - Cymbopogon martini (Roxb.) Wats, var. martini, fam. Poaceae (Gramineae)",0.46651648976812066,0.4665223404906854,0.8586415102436815,0.7669823805001902,0.6191859072101471,0.6972432369283741,0.7154665634236836,0.6819841511975003,0.7115714464806179,1.0,0.8963601940996447,0.307603997510393,0.7643020728286568,0.6859383652443588,0.6610687816845053,0.6807212427766367,0.806775277094897,0.8947779158713314,0.7923576536600445,0.8693622224379287,0.8070081887586382,0.8364771509686119,0.7725954737307748,0.7869670102703534,0.8837368437284978,0.8801892556017499,0.891768583121565
