,Limonene,beta-Pinene,alpha-Pinene,Bornyl acetate,Camphene,para-Cymene,Borneol,beta-Caryophyllene,beta-Selinene,Myrcene,alpha-Humulene,Terpinolene,alpha-Terpinyl acetate,alpha-Terpinene,Sabinene,alpha-Terpineol,Linalool,alpha-Phellandrene,Terpinen-4-ol,gamma-Terpinene,Camphor,Geraniol,Geranyl acetate,alpha-Copaene,alpha-Ylangene,Citronellol,Benzaldehyde,Nerol,"1,8-Cineole",Caryophyllene oxide,Spathulenol,beta-Eudesmol,Neryl acetate,Nerolidol (unknown isomer),(Z)-beta-Farnesene,beta-Elemene,Methyl eugenol,(E)-Nerolidol,(E)-beta-Ocimene,(Z)-beta-Ocimene,alpha-Thujene,(E)-beta-Farnesene,Safrole,Linalyl acetate,alpha-Cubebene,Guaiol,cis-Linalool oxide (5) (furanoid),trans-Linalool oxide (5) (furanoid),cis-/trans-Anhydrolinalooloxides,Geranial,Farnesol (unknown isomer),Neral,(Z)-3-Hexenol,1-Hexanol,Benzyl benzoate,"3,7-Dimethylocta-1,5-diene-3,7-diol",Hotrienol,trans-Linalool oxide (6) (pyranoid),(Z)-Nerolidol,Methyl isoeugenol,Eremophilene,Methyl anthranilate,Isogeraniol,gamma-Selinene,dihydro-Linalool epoxide,Terpinyl acetate (unknown isomer),cis-Sabinol,beta-Terpinene,beta-Ocimene,Cyclosativene,9-Oxonerolidol,4-Methyl-2-pentanol,iso-Nerolidol (unknown isomer),9-oxo-Nerolidol
"Bois-de-Rose (Brazil) 1b - Abina rosaeodora var. amazonica Ducke, fam. Laureaceae",0.0033,0.0005,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.895,0.0,0.0018,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0134,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0042,0.0,0.0015,0.0015,0.0,0.0,0.006,0.0,0.0,0.0028,0.0019,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0
"Cinnamomum parthenoxylum (China) 1g - Cinnamomum parthenoxylum (Jack) Nees, fam. Lauraceae",0.0061,0.0,0.0073,0.0,0.0042,0.0,0.0048,0.0013,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0014,0.9429,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0081,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0151
"Ho leaf (China) 2 - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae",0.0015,0.0007,0.0021,0.0,0.001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0002,0.8959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ho leaf (China) 3 - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae",0.0001,0.0005,0.0012,0.0018,0.0,0.0001,0.0016,0.0199,0.0,0.0008,0.0017,0.0002,0.0018,0.0,0.0005,0.0053,0.9057,0.0005,0.0004,0.003,0.0047,0.0,0.0003,0.0011,0.0,0.0025,0.0,0.0019,0.0021,0.0,0.0,0.0011,0.0,0.0,0.0,0.0,0.0011,0.0,0.0,0.0,0.0007,0.0,0.0088,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,0.0
"Ho leaf (China) 4 - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae",0.0,0.001,0.0012,0.0018,0.0,0.0,0.0016,0.0199,0.0,0.001,0.0017,0.0,0.0,0.0,0.001,0.0053,0.9057,0.001,0.0,0.003,0.0047,0.0,0.0,0.0011,0.0,0.0025,0.0,0.0,0.0021,0.0,0.0,0.0011,0.0,0.0,0.0,0.0,0.0011,0.0,0.0,0.0,0.001,0.0,0.0088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0019,0.0,0.0,0.0018,0.0,0.0,0.001,0.0,0.0,0.0,0.0046,0.0
"Ho leaf (Japan) 1b - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae",0.003,0.0045,0.007,0.0,0.001,0.001,0.0,0.0015,0.006,0.0,0.0015,0.0,0.0,0.0,0.0,0.0085,0.9335,0.0,0.004,0.0,0.009,0.001,0.0,0.0,0.0005,0.0,0.0,0.001,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.003,0.004,0.0,0.0,0.0,0.0005,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ho leaf (Vietnam) 1 - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae",0.0005,0.0005,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0005,0.001,0.0,0.0,0.0,0.0,0.018,0.911,0.0,0.0,0.0,0.023,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.002,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0005,0.0,0.0,0.0005,0.0,0.0
"Ho leaf (Vietnam) 2 - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae",0.0005,0.001,0.0005,0.0,0.0005,0.0,0.0,0.006,0.0,0.0005,0.007,0.0,0.0,0.0,0.0,0.004,0.92,0.0005,0.002,0.0,0.013,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0005,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0
"Ho leaf 1 - Cinnamomum camphora Sieb. ssp. formosana var. brientalis, fam. Lauraceae",0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.001,0.0,0.001,0.0,0.0005,0.95,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ho leaf 2 - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae",0.0004,0.0008,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.9747,0.0,0.0005,0.0,0.0057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ho wood - Cinnamomum camphora Sieb. linaloolifera Fujita, fam. Lauraceae",0.0023,0.0001,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0031,0.0,0.0,0.0,0.0,0.0,0.0,0.9565,0.0,0.0012,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033,0.0047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Neroli bigarade (bitter orange flower) Italy 2b - Citrus aurantium L., ssp. amara Engl., fam. Rutaceae",0.0049,0.001,0.0,0.0,0.0,0.0,0.0,0.0011,0.0,0.0001,0.0,0.0,0.0,0.0,0.0002,0.0004,0.9521,0.0,0.0,0.0,0.0,0.0031,0.0065,0.0,0.0,0.0,0.0022,0.001,0.0,0.0,0.0,0.0,0.0046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0099,0.0022,0.0093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
