,"Astronium fraxinifolium 1b - Astronium fraxinifolium Schott., fam. Anacardiaceae","Bouea macrophylla fruit (Malaysia) - Bouea macrophylla Grif. (B. gandaria Blume x Miq., fam. Anacardiaceae","Calanthe izu-insularis flower headspace (Japan) - Calanthe izu-insularis, fam. Orchidaceae","Chaerophyllum macrospermum (Iran) - Chaerophyllum macrospermum (Spreng.) Fisch. et C.A. Mey, fam. Apiaceae","Conyza pinnata (Zimbabwe) - Conyza pinnata (Kuntz), fam. Asteraceae (Compositae)","Cunila galioides (Brazil) 1b - Cunila galioides Benth., fam. Lamiaceae (Labiatae)","Daffodil flower headspace - Narcissus pseudonarcissus L., fam. Amaryllidaceae","Gourd, ridge (Columbia) flower headspace - Luffa acutangula, fam. Cucurbitaceae","Jonquil (France) flower headspace - Narcissus jonquilla L., fam. Amaryllidaceae","Lilac headspace - Syringa vulgaris L., fam. Oleaceae","Lilac, Purple, Picked Flower Headspace 3 - Syringa vulgaris L., fam. Oleaceae","Lilac, White, Picked Flower Headspace 2 - Syringa vulgaris L., fam. Oleaceae","Lycaste aromatica flower headspace - Lycaste aromatica Lindl., fam Orchidaceae","Narcissus tazetta (var. chinensis) headspace - Narcissus tazetta L., var. chinensis, fam. Amarillidaceae","Narcissus tazetta headspace (China) 3 - Narcissus tazetta L. var. chinensis Roem. ssp. aurens, fam. Amaryllidaceae","Pistacia chinensis (Egypt) leaf - Pistacia chinensis Bunge, fam. Anacardiaceae","Tagetes (Argentina) 2b - Tagetes minuta L. (Marigold), fam. Asteraceae (Compositae)","Tagetes (Hungary) - Tagetes minuta L. (T. glandulifera Schrank), fam. Asteraceae (Compositae)","Viola etrusca (Italy) 1c violet flower headspace - Viola etrusca Erben, fam. Violaceae",Zanthoxylum zanthoxyloides fruit (Benin) - Zanthoxylum zanthoxyloides Lam. (F. zanthoxyloides Lam.) fam. Rutaceae
"Astronium fraxinifolium 1b - Astronium fraxinifolium Schott., fam. Anacardiaceae",1.0,0.6182213629200517,0.5919323949265058,0.16613105610587997,0.1856745168564634,0.31070516851798424,0.7163068416808719,0.909865236372527,0.10070216486006878,0.19379985559767887,0.4948354277536132,0.6041487680410701,0.0,0.3483560077015254,0.5624831785616411,0.16414029052397383,0.11274885739554918,0.1424370544557837,0.2425502754912896,0.2501657620635148
"Bouea macrophylla fruit (Malaysia) - Bouea macrophylla Grif. (B. gandaria Blume x Miq., fam. Anacardiaceae",0.6182213629200515,1.0,0.7678209427856761,0.4831724235854523,0.48360918379837603,0.5954323438685469,0.8065971196040846,0.6736837971272114,0.37282197714107523,0.5042123223399171,0.78378060289201,0.857976723825619,0.23091189027571335,0.60165901971553,0.7101160971068643,0.44558230896169393,0.36659252645758134,0.40702904652312966,0.5203978026331888,0.5571448222057107
"Calanthe izu-insularis flower headspace (Japan) - Calanthe izu-insularis, fam. Orchidaceae",0.5919323949265058,0.7678209427856761,1.0,0.43033486101594787,0.4630072016060063,0.6432201740561478,0.7794662908414564,0.6454534764248806,0.4429638476299018,0.501468848208129,0.7445176511053402,0.7698178251997865,0.23160082028940343,0.6304473946420093,0.6915015498670886,0.4398429218716545,0.3602790231047184,0.4070486923026837,0.5267702192999699,0.6028012735609896
"Chaerophyllum macrospermum (Iran) - Chaerophyllum macrospermum (Spreng.) Fisch. et C.A. Mey, fam. Apiaceae",0.16613105610587997,0.4831724235854523,0.43033486101594776,1.0,0.5472769632144275,0.530529495316665,0.3790970182933753,0.2199651266873215,0.42524295475896856,0.547132910334303,0.5498386502015034,0.5053355937555715,0.2687513990941288,0.495010109847838,0.40233907137592073,0.46827239017488975,0.3624007830584537,0.4324674622092165,0.494305232916013,0.5685620989586734
"Conyza pinnata (Zimbabwe) - Conyza pinnata (Kuntz), fam. Asteraceae (Compositae)",0.1856745168564634,0.4836091837983759,0.4630072016060063,0.5472769632144275,1.0,0.578241505331204,0.40998133295914496,0.2430915297049555,0.46148663062730655,0.5938174466135664,0.5673883149183352,0.4936344674948433,0.2965175704994032,0.5319113677476124,0.4349617907142087,0.5244316479240295,0.4117550213445853,0.4687569932271831,0.55181547825394,0.6056462569377619
"Cunila galioides (Brazil) 1b - Cunila galioides Benth., fam. Lamiaceae (Labiatae)",0.31070516851798413,0.5954323438685469,0.6432201740561478,0.530529495316665,0.578241505331204,1.0,0.5469363047287435,0.3746435084631071,0.5609972952694151,0.649295294892539,0.6855276743585597,0.6047620310840511,0.32513978906979946,0.651267101084844,0.5523876058184478,0.5730051700624359,0.4988321905377857,0.5139972552601069,0.6041070026723516,0.7407390513992459
"Daffodil flower headspace - Narcissus pseudonarcissus L., fam. Amaryllidaceae",0.7163068416808719,0.8065971196040849,0.7794662908414564,0.3790970182933753,0.4099813329591451,0.5469363047287435,1.0,0.780660584545007,0.3180886951308919,0.4542648101755419,0.7325296643357266,0.8074230249714269,0.1909973295994326,0.5597854627762662,0.7176439730017143,0.38719487696665256,0.3417068951403832,0.35531163906909013,0.4668572792746666,0.49098012531212554
"Gourd, ridge (Columbia) flower headspace - Luffa acutangula, fam. Cucurbitaceae",0.909865236372527,0.6736837971272115,0.6454534764248806,0.2199651266873215,0.2430915297049555,0.37464350846310723,0.780660584545007,1.0,0.15500065468538604,0.252671059609081,0.555025911747925,0.6610740878281245,0.047761079085666736,0.40294627393584725,0.611026724547765,0.2232784302368177,0.1980844302533744,0.19579114531152209,0.2970150243802908,0.31248549356652155
"Jonquil (France) flower headspace - Narcissus jonquilla L., fam. Amaryllidaceae",0.10070216486006878,0.3728219771410751,0.4429638476299018,0.42524295475896856,0.46148663062730655,0.5609972952694151,0.3180886951308919,0.15500065468538604,1.0,0.5331715626714307,0.46404075041470483,0.38371586598726637,0.35129930504161266,0.49803136737195974,0.35534158347477574,0.4435600441174724,0.3427462479404867,0.4165195664548623,0.4734332710387792,0.601221364176714
"Lilac headspace - Syringa vulgaris L., fam. Oleaceae",0.19379985559767898,0.5042123223399171,0.501468848208129,0.547132910334303,0.5938174466135664,0.649295294892539,0.4542648101755419,0.2526710596090811,0.5331715626714307,1.0,0.641517063199512,0.5161246172051983,0.35577854491372973,0.591141819395888,0.4664458476061726,0.569021023636971,0.4462824767742779,0.5351895777865983,0.6085872428048027,0.6756174134337627
