,"Eucalyptus cloeziana leaf (Chemotype 1) - Eucalyptus cloeziana F. Muell., fam. Myrtaeceae","Eucalyptus grandis (Burundi) - Eucalyptus grandis W. Hill ex Maiden, fam. Myrtaceae","Helichrysum stoechas (France) - Helichrysum stoechas L., fam. Asteraceae (Compositae)","Helichrysum stoechas (Portugal) - Helichrysum stoechas (L.) DC var. alpha-sincladum (Jord. et Fourr.) Rouy,","Hypericum scabrum (Turkey) - Hypericum scabrum L., fam. Guttiferae (Hypericeae)","Juniper berry 2 - Juniperus communis L., fam. Cupressaceae","Juniper berry 9 - Juniperus communis L., fam. Cupressaceae","Juniper leaf (Canada) - Juniperus communis L., fam. Cupressaceae","Juniper leaf (Sweden) - Juniperus communis L., fam. Cupressaceae","Juniperus flaccida var. poblana - Juniperus flaccida var. poblana Martinez, fam. Cupressaceae","Juniperus oxycedrus berry - Juniperus oxycedrys L., ssp. macrocarpa (Sm.) Ball., fam. Cupressaceae","Kanuka (New Zealand) 1 - Kunzea ericoides (A. Rich.) J. Thompson, fam. Myrtaceae","Kanuka (New Zealand) 3 - Kunzea ericoides (A. Rich.) J. Thompson, fam. Myrteceae","Kanuka (New Zealand) 4 - Kunzea ericoides (A. Rich.) J. Thompson, fam. Myrtaceae","Mastic gum (Greece) 1 - Pistacia lentiscus L., var. Chia, fam. Anacardiaceae","Mastic gum (Greece) 2 - Pistacia lentiscus L., var. Chia, fam. Anacardiaceae","Mastic gum (Spain) - Pistacia lentiscus L., fam. Anacardiaceae","Olibanum, African (Oman) - Boswellia frereana Birdwood, fam. Burseraceae","Pinus caribaea, var. hondurensis (Malaysia) - Pinus caribaea Morelet var. hondurensis Barrett et Golfari, fam. Pinaceae","Pinus cembra - Pinus cembra L. ssp. cembra (Swiss Stone Pine), fam. Pinaceae","Pinus insularis (Malaysia) - Pinus insularis Endl., fam. Pinaceae","Pinus kesiya (China) 1 - Pinus kesiya Royle ex Gord. var. langbianensis Gaussen, fam. Pinaceae","Pinus merkusii (Malaysia) - Pinus merkusii Jungh, fam. Pinaceae","Pinus pinaster (France) - Pinus pinaster Ait., fam. Pinaceae","Pinus pinaster (Portugal) 1 - Pinus pinaster Ait., fam. Pinaceae","Pinus sibirica (Mongolia) 1a - Pinus sibirica (Rupr.) Mayr (Siberian pine), fam. Pinaceae","Protium heptaphyllum 2b fruit - Protium heptaphyllum (Aubl.) March., fam. Burseraceae","Sequoia leaf 1 - Sequoiadendron giganteum Buchh., fam. Taxodiaceae","Sequoia leaf 2 - Sequoiadendron giganteum Buchh., fam. Taxodiaceae","Sequoia leaf 3 - Sequoiadendron giganteum Buchh., fam. Taxodiaceae","St. John's wort (India) - Hypericum perforatum L., fam. Guttiferae (Hypericaceae)","St. John's wort (Turkey) - Hypericum perforatum L., fam. Guttiferae (Hypericaceae)","Yarmor pine - Pinus palustris Mill. (P. australis Michx. f.), fam. Pinaceae"
"Eucalyptus cloeziana leaf (Chemotype 1) - Eucalyptus cloeziana F. Muell., fam. Myrtaeceae",1.0,0.47941704422064135,0.4609230309956851,0.4203616261276216,0.7085901919352954,0.6972968964326804,0.4854563751804587,0.8334215679528765,0.3702337263445117,0.4598672457849239,0.5208581776159755,0.6207285749844521,0.38386041591506914,0.7557858595404354,0.6500917875625296,0.6501722649431299,0.8083710372872767,0.38378460190525043,0.7624756363798447,0.5448159324657513,0.6178109686305051,0.6269200959891241,0.7331256001201447,0.445931675414452,0.699336499718643,0.26370735416233215,0.7352960745267023,0.6588109915239033,0.6989222347960331,0.5717607942647558,0.6102741075232928,0.4742838376101356,0.7373196340867835
"Eucalyptus grandis (Burundi) - Eucalyptus grandis W. Hill ex Maiden, fam. Myrtaceae",0.47941704422064135,1.0,0.4499129673083173,0.4509916649659923,0.5193571699310308,0.4646484664415539,0.45275969265196325,0.47681848631780277,0.38780619857997545,0.4487621017894501,0.4768948887431187,0.7073271755865905,0.6119222194270076,0.6080105462822395,0.41834624808237986,0.41841635388708776,0.4762695637028851,0.44948077551865007,0.490432940613612,0.4602728717238451,0.27658618922010125,0.3170906493977441,0.5023191580903243,0.20843096605653455,0.34658329629676377,0.23737049736248095,0.4942091242240825,0.33267634303626936,0.42217985028994887,0.45760348705358744,0.4995129358611933,0.45837521758727595,0.3530108855536488
"Helichrysum stoechas (France) - Helichrysum stoechas L., fam. Asteraceae (Compositae)",0.46092303099568466,0.4499129673083173,1.0,0.5936575722809381,0.5685261358446574,0.49576531735920304,0.596556640694619,0.4562017158871774,0.6277143241991844,0.6044178920031891,0.5978139112470124,0.5626994739680322,0.5137921588501932,0.5214749348581786,0.4066632619814309,0.4067419431403483,0.434349703929483,0.5637562675413619,0.6097165954741393,0.6313612281687264,0.19753169597749642,0.22788418712275904,0.6133419039343091,0.2381209766033714,0.3507974740521138,0.3624047464647395,0.5999095303422175,0.2651478316704542,0.3944190375130314,0.5117041397718682,0.5870355063041006,0.5872266044500215,0.3159065179203049
"Helichrysum stoechas (Portugal) - Helichrysum stoechas (L.) DC var. alpha-sincladum (Jord. et Fourr.) Rouy,",0.42036162612762196,0.4509916649659923,0.5936575722809381,1.0,0.5316554031063938,0.4838304820394548,0.6076428380238699,0.41900574990777195,0.6025739557436164,0.6687552778305645,0.6162611253497341,0.5974280064211879,0.6017446693098061,0.4886688671478263,0.3715314221528856,0.37159310093483633,0.4047391887394819,0.6588576176192495,0.47557593125168995,0.5828916301997276,0.12598457432302435,0.17457895292686365,0.4935475765926991,0.24893451137646672,0.3158296009352429,0.39842436529644687,0.5323312454098181,0.1999314676330325,0.3432360523948502,0.5007833396641986,0.5783432187069453,0.6019988979300215,0.2988732864123167
"Hypericum scabrum (Turkey) - Hypericum scabrum L., fam. Guttiferae (Hypericeae)",0.7085901919352954,0.5193571699310308,0.5685261358446574,0.5316554031063938,1.0,0.6598906331752237,0.6501063661202642,0.7490617828227104,0.5118838962945096,0.5991721506925975,0.6625850086274319,0.6928361351834544,0.508911327502455,0.7364412327271297,0.6938266096326252,0.6937171292096551,0.7204803199880908,0.5156798763980782,0.7103597422617189,0.621044595389578,0.45333307572704906,0.4954082409196845,0.7280647272520597,0.3707983087474672,0.5492346302176782,0.32906980261905705,0.7408999247097561,0.5447368298223758,0.6748561245814539,0.6985304683084124,0.7385402603186992,0.6920744715122524,0.562012094245701
"Juniper berry 2 - Juniperus communis L., fam. Cupressaceae",0.6972968964326804,0.4646484664415539,0.49576531735920304,0.4838304820394548,0.6598906331752237,1.0,0.5699534832037979,0.6792963837125371,0.49023467792475584,0.5726436392255652,0.5924540460778938,0.5891726978228327,0.4444316472187515,0.6041494775981684,0.574206854465708,0.5742458704432275,0.6338220532250575,0.45749837549583505,0.6903528385519317,0.5915091571899938,0.37225673105972146,0.3937816328996713,0.6507413145375811,0.6670094859066134,0.7722723113530617,0.3621635152819842,0.8172326735101874,0.4442867526250296,0.5536286521017755,0.5741186678835923,0.6110944859081795,0.5421062577213577,0.7287534871024972
"Juniper berry 9 - Juniperus communis L., fam. Cupressaceae",0.4854563751804587,0.45275969265196325,0.596556640694619,0.6076428380238699,0.6501063661202642,0.5699534832037979,1.0,0.5246732976264568,0.6591902839801015,0.7318839375549904,0.7746898784512029,0.6116661609930735,0.5674761543403621,0.535477491221801,0.5552250861376389,0.5554964219782232,0.5062416174358354,0.623889128293035,0.5486745175579982,0.626534308416097,0.2007676334490721,0.24056522228123545,0.5698248194196951,0.30206487634428325,0.3810391436188062,0.40529838173399246,0.6336788351168435,0.31654720746179954,0.4967311626806038,0.7095528147260278,0.6496867082112929,0.7027420624086156,0.3673617690204356
"Juniper leaf (Canada) - Juniperus communis L., fam. Cupressaceae",0.8334215679528765,0.47681848631780277,0.45620171588717695,0.4190057499077723,0.7490617828227104,0.6792963837125371,0.5246732976264568,1.0,0.397949534244054,0.4815672126971836,0.5606511019803754,0.6180191320801541,0.38355754246424234,0.7525301297381568,0.7507070507145943,0.7508553102195965,0.8469171412005956,0.39199324632395705,0.7606234962818481,0.5391071856467481,0.6248540262131472,0.6578461598607136,0.765261946924844,0.40663984631117145,0.6523140677009472,0.2597902241488256,0.7425367019482315,0.7138410104649126,0.7911118615419437,0.6506845311857793,0.6195109512150014,0.5149877966211969,0.6926828870177433
"Juniper leaf (Sweden) - Juniperus communis L., fam. Cupressaceae",0.370233726344512,0.38780619857997545,0.6277143241991844,0.6025739557436164,0.5118838962945096,0.49023467792475584,0.6591902839801015,0.3979495342440543,1.0,0.7877651747899893,0.6603426576537124,0.5162794854061872,0.5500531336759971,0.4134387233397617,0.3745740890800794,0.3747825879048797,0.35287888900522757,0.634336010350802,0.4805850478044028,0.676968249777874,0.07142379178724134,0.11832332223443232,0.5266516896758127,0.26762958035660556,0.297744099197607,0.6068585131566255,0.5389346482711868,0.1566103530745605,0.3211824325220517,0.5264380507021051,0.5414085447976905,0.6710454830320066,0.2636054463815023
"Juniperus flaccida var. poblana - Juniperus flaccida var. poblana Martinez, fam. Cupressaceae",0.4598672457849239,0.4487621017894501,0.6044178920031891,0.6687552778305645,0.5991721506925975,0.5726436392255652,0.7318839375549904,0.4815672126971836,0.7877651747899893,1.0,0.7570873830365873,0.6208908012958804,0.6258505622392969,0.5074246504547295,0.4649360886591488,0.4650330008066421,0.4492469224140875,0.7029822915085919,0.5262813914042084,0.695459984469406,0.14516827718078662,0.1895155361492069,0.5509145265554001,0.33091410285420075,0.37320551871859364,0.5679856002420418,0.6209527718352792,0.23790574252085828,0.40826456362475894,0.6189162351110467,0.6360687355096917,0.7033268799294614,0.352314900595996
